A                : what                Ġdo                 Ġyou                Ġthink              Ġabout              Ġcapital            Ġpunishment         <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġdon                't                  Ġknow               Ġin                 Ġsome               Ġways               Ġi                  Ġdon                't                  Ġlike               Ġit                 Ġbecause            Ġit                 's                 
Timings          : (62.27, 62.387)     (62.387, 62.447)    (62.447, 62.507)    (62.507, 62.647)    (62.647, 62.747)    (62.747, 63.077)    (63.077, 63.307)    (63.307, 63.377)    (63.377, 63.482)    (63.482, 63.587)    (63.587, 63.807)    (63.807, 63.937)    (63.937, 64.187)    (64.187, 64.282)    (64.282, 64.377)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (64.377, 64.537)    (64.537, 64.587)    (64.587, 64.637)    (64.637, 64.987)    (64.987, 65.367)    (65.638, 66.156)    (-1.0, -1.0)        (66.294, 66.404)    (66.404, 66.637)    (67.055, 67.214)    (67.214, 67.324)    (67.324, 67.374)    (67.374, 67.434)    (67.434, 67.494)    (67.494, 67.654)   
Token Types      : 0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   82483773177863      82483773177863      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġlike               Ġyou                're                 Ġplaying            Ġgod                Ġand                Ġthat               's                  Ġnot                Ġyou                Ġknow               Ġi                  Ġdon                't                  Ġthink             
Timings          : (64.377, 64.537)    (64.537, 64.587)    (64.587, 64.637)    (64.637, 64.987)    (64.987, 65.367)    (66.004, 66.184)    (66.184, 66.294)    (66.294, 66.404)    (66.404, 66.637)    (67.055, 67.214)    (67.214, 67.324)    (67.324, 67.374)    (67.374, 67.434)    (67.434, 67.494)    (67.494, 67.654)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (67.654, 67.769)    (67.769, 67.884)    (67.884, 68.244)    (68.244, 68.334)    (68.334, 68.464)    (68.464, 68.574)    (68.574, 68.764)    (68.764, 69.024)    (69.024, 69.134)    (69.134, 69.244)    (69.244, 69.284)    (69.284, 69.454)    (69.454, 69.524)    (69.524, 70.094)    (70.094, 70.273)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthat               's                  Ġright              Ġbut                Ġon                 Ġthe                Ġother              Ġhand               Ġthere              's                  Ġa                  Ġlot                Ġof                 Ġadvantages         Ġto                
Timings          : (67.654, 67.769)    (67.769, 67.884)    (67.884, 68.244)    (68.244, 68.334)    (68.334, 68.464)    (68.464, 68.574)    (68.574, 68.764)    (68.764, 69.024)    (69.024, 69.134)    (69.134, 69.244)    (69.244, 69.284)    (69.284, 69.454)    (69.454, 69.524)    (69.524, 70.094)    (70.094, 70.273)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (70.273, 70.47)     (70.917, 71.372)    (-1.0, -1.0)        (71.344, 71.704)    (71.704, 71.964)    (71.964, 72.214)    (72.214, 72.464)    (72.464, 72.504)    (72.504, 72.744)    (72.744, 73.004)    (73.194, 73.374)    (73.374, 73.704)    (73.704, 73.884)    (74.47, 74.78)      (74.78, 74.85)     
Token Types      : 0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   82483773177864      82483773177864      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 Ġi                  Ġthink              Ġcrime              Ġrates              Ġdeter              red                 Ġa                  Ġlittle             Ġbit                Ġby                 Ġusing              Ġit                 Ġand                Ġof                
Timings          : (70.273, 70.47)     (70.877, 71.033)    (71.033, 71.344)    (71.344, 71.704)    (71.704, 71.964)    (71.964, 72.214)    (72.214, 72.464)    (72.464, 72.504)    (72.504, 72.744)    (72.744, 73.004)    (73.194, 73.374)    (73.374, 73.704)    (73.704, 73.884)    (74.47, 74.78)      (74.78, 74.85)     
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (74.85, 75.366)     (76.222, 76.8)      (76.8, 76.99)       (76.99, 77.14)      (77.14, 77.55)      (77.55, 77.66)      (77.66, 77.91)      (77.91, 77.99)      (77.99, 78.51)      (78.51, 78.81)      (78.81, 79.16)      (79.16, 79.46)      (79.46, 79.56)      (79.56, 79.8)       (79.8, 79.92)      
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġcourse             Ġyou                Ġhave               Ġsome               Ġsavings            Ġin                 Ġterms              Ġof                 Ġtaxpayer           Ġmoney              Ġkeeping            Ġpeople             Ġin                 Ġjail               Ġor                
Timings          : (74.85, 75.366)     (76.222, 76.8)      (76.8, 76.99)       (76.99, 77.14)      (77.14, 77.55)      (77.55, 77.66)      (77.66, 77.91)      (77.91, 77.99)      (77.99, 78.51)      (78.51, 78.81)      (78.81, 79.16)      (79.16, 79.46)      (79.46, 79.56)      (79.56, 79.8)       (79.8, 79.92)      
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (79.92, 80.271)     (80.915, 81.391)    (-1.0, -1.0)        (81.562, 81.688)    (81.688, 81.815)    (81.815, 81.942)    (81.942, 82.047)    (82.047, 82.152)    (82.152, 82.202)    (82.202, 82.402)    (82.402, 82.762)    (82.762, 83.072)    (83.072, 83.167)    (83.167, 83.262)    (83.262, 83.422)   
Token Types      : 0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   82483773177865      82483773177865      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġnot                Ġum                 Ġwith               Ġfl                 or                  ida                 Ġthat               's                  Ġa                  Ġbig                Ġproblem            Ġbecause            Ġthere              's                  Ġso                
Timings          : (79.92, 80.271)     (81.012, 81.422)    (81.422, 81.562)    (81.562, 81.688)    (81.688, 81.815)    (81.815, 81.942)    (81.942, 82.047)    (82.047, 82.152)    (82.152, 82.202)    (82.202, 82.402)    (82.402, 82.762)    (82.762, 83.072)    (83.072, 83.167)    (83.167, 83.262)    (83.262, 83.422)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġthat              
Timings          : (83.422, 83.622)    (83.622, 83.982)    (83.982, 84.122)    (84.122, 84.462)    (84.462, 84.572)    (84.572, 84.702)    (84.702, 84.842)    (84.842, 84.972)    (84.972, 85.132)    (85.132, 85.262)    (85.262, 85.452)    (85.452, 85.702)    (85.702, 85.988)    (86.587, 86.767)    (86.767, 86.957)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82481625694216      82481625694216     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġmany               Ġpeople             Ġin                 Ġjail               Ġthat               Ġthey               Ġhave               Ġto                 Ġlet                Ġthem               Ġout                Ġevery              Ġyear               Ġthey               <eot>              
Timings          : (83.422, 83.622)    (83.622, 83.982)    (83.982, 84.122)    (84.122, 84.462)    (84.462, 84.572)    (84.572, 84.702)    (84.702, 84.842)    (84.842, 84.972)    (84.972, 85.132)    (85.132, 85.262)    (85.262, 85.452)    (85.452, 85.702)    (85.702, 85.988)    (86.436, 86.752)    (-1.0, -1.0)       
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599      82485383790599     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : 's                  Ġwhat               's                  Ġhappening          Ġhere               Ġthere              Ġis                 Ġlike               Ġum                 Ġthat               's                  Ġin                 Ġfact               Ġa                  Ġbig               
Timings          : (86.957, 87.147)    (87.147, 87.247)    (87.247, 87.347)    (87.347, 87.777)    (87.777, 88.107)    (88.107, 88.327)    (88.327, 88.497)    (88.497, 88.897)    (88.897, 89.334)    (89.609, 89.848)    (89.848, 90.087)    (90.087, 90.307)    (90.307, 90.633)    (90.633, 90.817)    (90.817, 91.057)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (86.957, 87.147)    (87.147, 87.247)    (87.247, 87.347)    (87.347, 87.777)    (87.777, 88.107)    (88.107, 88.327)    (88.327, 88.497)    (88.497, 88.897)    (88.897, 89.334)    (89.609, 89.848)    (89.848, 90.087)    (90.087, 90.307)    (90.307, 90.633)    (90.633, 90.817)    (90.817, 91.057)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġgubernatorial      Ġissue              Ġis                 Ġthe                <emp>               Ġthe                Ġturn               Ġover               Ġrates              Ġof                 Ġum                 Ġrepeat             Ġuh                 Ġrepeat             Ġoffenders         
Timings          : (91.057, 92.246)    (92.614, 93.074)    (93.074, 93.297)    (93.297, 93.696)    (93.641, 93.846)    (94.018, 94.282)    (94.282, 94.528)    (94.528, 94.829)    (94.829, 95.277)    (95.277, 95.558)    (96.582, 97.156)    (97.755, 98.011)    (98.011, 98.278)    (98.278, 98.638)    (98.638, 99.088)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (91.057, 92.246)    (92.614, 93.074)    (93.074, 93.297)    (93.436, 93.641)    (93.641, 93.846)    (-1.0, -1.0)        (94.282, 94.528)    (94.528, 94.829)    (94.829, 95.277)    (95.277, 95.558)    (96.582, 97.156)    (97.755, 98.011)    (98.011, 98.278)    (98.278, 98.638)    (98.638, 99.088)   
Token Types      : 0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   82484310048774      82484310048774      82484310048774      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbeing              Ġlet                Ġout                Ġand                Ġdoing              <emp>               Ġit                 Ġagain              <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (99.088, 99.572)    (99.7, 99.928)      (99.928, 100.348)   (100.348, 100.702)  (100.879, 101.188)  (101.13, 101.225)   (101.188, 101.288)  (101.288, 101.771)  (-1.0, -1.0)        (101.74, 101.86)    (101.86, 101.955)   (101.955, 102.05)   (102.05, 102.12)    (102.12, 102.34)    (102.34, 102.75)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      82481625694216      0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               Ġsure               Ġand                Ġit                 's                  Ġlike               Ġyou                Ġknow               Ġthat               's                  Ġa                  Ġbig                Ġproblem           
Timings          : (99.088, 99.572)    (99.7, 99.928)      (99.928, 100.348)   (100.33, 100.795)   (100.95, 101.13)    (101.13, 101.225)   (101.225, 101.32)   (101.32, 101.522)   (101.657, 101.74)   (101.74, 101.86)    (101.86, 101.955)   (101.955, 102.05)   (102.05, 102.12)    (102.12, 102.34)    (102.34, 102.75)   
Token Types      : 0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (102.75, 102.912)   (103.398, 103.474)  (103.474, 103.55)   (103.55, 103.79)    (103.79, 103.84)    (103.84, 104.13)    (104.13, 104.35)    (104.35, 104.47)    (104.47, 104.687)   (104.687, 105.08)   (105.08, 105.48)    (105.48, 105.75)    (105.75, 106.29)    (106.29, 106.365)   (106.365, 106.44)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbut                Ġthere              's                  Ġnot                Ġa                  Ġwhole              Ġlot                Ġyou                Ġcan                Ġdo                 Ġabout              Ġit                 Ġbecause            Ġthere              's                 
Timings          : (102.75, 102.912)   (103.398, 103.474)  (103.474, 103.55)   (103.55, 103.79)    (103.79, 103.84)    (103.84, 104.13)    (104.13, 104.35)    (104.35, 104.47)    (104.47, 104.687)   (104.687, 105.08)   (105.08, 105.48)    (105.48, 105.75)    (105.75, 106.29)    (106.29, 106.365)   (106.365, 106.44)  
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (106.44, 106.67)    (106.67, 106.83)    (106.83, 107.04)    (107.04, 107.41)    (107.41, 107.54)    (107.54, 107.72)    (107.72, 108.07)    (108.556, 108.791)  (108.791, 109.026)  (-1.0, -1.0)        (109.374, 109.454)  (109.454, 109.888)  (110.28, 110.438)   (110.438, 110.544)  (110.544, 110.729) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   82483773177867      82483773177867      82483773177867      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : Ġonly               Ġso                 Ġmany               Ġjails              Ġyou                Ġcan                Ġbuild              <emp>               Ġand                Ġit                 's                  Ġreally             Ġyou                Ġknow               Ġit                
Timings          : (106.44, 106.67)    (106.67, 106.83)    (106.83, 107.04)    (107.04, 107.41)    (107.41, 107.54)    (107.54, 107.72)    (107.72, 108.07)    (108.556, 108.791)  (108.704, 109.294)  (109.294, 109.374)  (109.374, 109.454)  (109.454, 109.888)  (110.28, 110.438)   (110.438, 110.544)  (110.544, 110.729) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601      82485383790601     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
