A                : ok                  ay                  Ġum                 Ġi                  'm                  Ġi                  'm                  Ġnot                Ġto                 Ġfamiliar           Ġwith               Ġthe                Ġtopic              Ġbecause            Ġuh                
turn_ids         : 82550882041861      82550882041861      82550882041861      82550882041861      82550882041861      82550882041861      82550882041861      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (69.616, 69.796)    (69.796, 69.925)    (69.925, 70.006)    (70.006, 70.296)    (70.296, 70.336)    (70.336, 70.646)    (70.646, 70.815)    (70.815, 71.235)    (71.235, 71.455)    (71.455, 71.745)    (71.745, 71.992)    (72.659, 72.785)    (72.785, 72.965)    (72.965, 73.296)    (73.296, 73.478)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthere              Ġif                 Ġhe                 Ġwants              Ġa                  Ġtrial              Ġby                 Ġjury               Ġand                Ġthen               Ġuh                 Ġwith               Ġthe                Ġoption             Ġof                
Timings          : (69.616, 69.796)    (69.796, 69.925)    (69.925, 70.006)    (70.006, 70.296)    (70.296, 70.336)    (70.336, 70.646)    (70.646, 70.815)    (70.815, 71.235)    (71.235, 71.455)    (71.455, 71.745)    (71.745, 71.992)    (72.659, 72.785)    (72.785, 72.965)    (72.965, 73.296)    (73.296, 73.478)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>              
Timings          : (73.478, 73.884)    (73.884, 74.028)    (74.028, 74.256)    (74.256, 74.616)    (74.616, 74.696)    (74.696, 75.116)    (75.116, 75.205)    (75.205, 75.495)    (75.495, 75.679)    (77.013, 77.434)    (-1.0, -1.0)        (77.804, 78.243)    (78.243, 78.43)     (79.635, 79.743)    (79.743, 80.047)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82552492654597      82552492654597      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                  

B                : Ġletting            Ġyou                Ġknow               Ġallowing           Ġthe                Ġjudge              Ġto                 Ġtry                Ġit                 <emp>               Ġsome               Ġcases              Ġit                 Ġyou                Ġknow              
Timings          : (73.478, 73.884)    (73.884, 74.028)    (74.028, 74.256)    (74.256, 74.616)    (74.616, 74.696)    (74.696, 75.116)    (75.116, 75.205)    (75.205, 75.495)    (75.495, 75.679)    (77.013, 77.434)    (77.576, 77.804)    (77.804, 78.243)    (78.243, 78.43)     (79.635, 79.743)    (79.743, 80.047)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġwould              Ġassume             Ġit                 Ġwould              Ġtake               Ġmore               Ġof                
Timings          : (81.079, 81.352)    (81.352, 81.575)    (81.575, 81.798)    (82.172, 82.841)    (82.841, 82.984)    (83.131, 83.441)    (83.441, 83.918)    (84.993, 85.141)    (85.141, 85.312)    (85.312, 85.492)    (85.492, 85.586)    (85.586, 85.686)    (85.686, 86.026)    (86.026, 86.31)     (86.31, 86.461)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġprobably           Ġdoesn              't                  Ġrequire            Ġa                  Ġfull               Ġjury               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (81.079, 81.352)    (81.352, 81.575)    (81.575, 81.798)    (82.172, 82.841)    (82.841, 82.984)    (83.131, 83.441)    (83.441, 83.918)    (-1.0, -1.0)        (85.141, 85.312)    (85.312, 85.492)    (85.492, 85.586)    (85.586, 85.686)    (85.686, 86.026)    (86.026, 86.31)     (86.31, 86.461)    
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      82554103267335      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġtaxpayers          '                   Ġmoney              Ġfor                Ġit                 Ġto                 Ġgo                 Ġthrough            Ġtrial              Ġby                 Ġjury               <emp>               <emp>               Ġbut               
Timings          : (86.461, 86.605)    (86.605, 87.318)    (87.318, 88.03)     (88.03, 88.446)     (88.446, 88.586)    (88.586, 88.669)    (88.669, 88.82)     (88.82, 89.076)     (89.076, 89.196)    (89.196, 89.585)    (89.585, 89.755)    (89.755, 90.162)    (90.024, 90.547)    (90.547, 90.907)    (90.991, 91.226)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               yeah                <emp>               Ġexactly            Ġthat               <eint>             
Timings          : (86.461, 86.605)    (86.605, 87.318)    (87.318, 88.03)     (88.03, 88.446)     (88.446, 88.586)    (88.586, 88.669)    (88.669, 88.82)     (88.82, 89.076)     (89.076, 89.196)    (89.196, 89.585)    (89.542, 90.024)    (89.755, 90.162)    (90.024, 90.547)    (90.547, 90.907)    (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   5                   5                   5                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82555177009156      82555177009156      82555177009156      82555177009156      82555177009156     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : Ġsometimes          Ġit                 Ġseems              Ġlike               Ġit                 Ġcomes              Ġout                Ġthe                Ġoutcome            Ġcomes              Ġout                Ġthe                Ġbest               Ġsometimes          Ġin                
Timings          : (91.226, 91.736)    (91.736, 91.856)    (91.856, 92.106)    (92.106, 92.286)    (92.286, 92.406)    (92.406, 92.796)    (92.796, 93.166)    (93.29, 93.456)     (93.456, 93.946)    (93.946, 94.296)    (94.296, 94.486)    (94.486, 94.61)     (94.61, 95.308)     (95.807, 96.125)    (96.125, 96.37)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (91.226, 91.736)    (91.736, 91.856)    (91.856, 92.106)    (92.106, 92.286)    (92.286, 92.406)    (92.406, 92.796)    (92.796, 93.166)    (93.29, 93.456)     (93.456, 93.946)    (93.946, 94.296)    (94.296, 94.486)    (94.486, 94.61)     (94.61, 95.308)     (95.807, 96.125)    (96.125, 96.37)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġin                 Ġmost               Ġcases              Ġit                 Ġcomes              Ġout                Ġthe                Ġbest               Ġwhen               Ġit                 's                  Ġtrial              Ġby                 Ġjury               Ġbut               
Timings          : (96.37, 96.603)     (96.603, 96.943)    (96.943, 97.373)    (97.373, 97.473)    (97.473, 97.723)    (97.723, 97.853)    (97.853, 97.943)    (97.943, 98.223)    (98.223, 98.313)    (98.313, 98.358)    (98.358, 98.403)    (98.403, 98.727)    (98.727, 98.923)    (98.923, 99.173)    (99.173, 99.322)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (96.37, 96.603)     (96.603, 96.943)    (96.943, 97.373)    (97.373, 97.473)    (97.473, 97.723)    (97.723, 97.853)    (97.853, 97.943)    (97.943, 98.223)    (98.223, 98.313)    (98.313, 98.358)    (98.358, 98.403)    (98.403, 98.727)    (98.727, 98.923)    (98.923, 99.173)    (99.173, 99.322)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġi                  Ġcould              Ġsee                Ġwhere              Ġit                 Ġcould              Ġtake               Ġup                 Ġa                  Ġlot                Ġof                 Ġum                 Ġthe                Ġcommunity         
Timings          : (99.322, 99.617)    (99.99, 100.109)    (100.109, 100.243)  (100.243, 100.413)  (100.413, 100.503)  (100.503, 100.563)  (100.563, 100.703)  (100.703, 100.943)  (100.943, 101.063)  (101.063, 101.133)  (101.133, 101.443)  (101.443, 101.838)  (101.838, 102.193)  (102.193, 102.273)  (102.273, 102.618) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (99.322, 99.617)    (99.99, 100.109)    (100.109, 100.243)  (100.243, 100.413)  (100.413, 100.503)  (100.503, 100.563)  (100.563, 100.703)  (100.703, 100.943)  (100.943, 101.063)  (101.063, 101.133)  (101.133, 101.443)  (101.443, 101.838)  (101.838, 102.193)  (102.193, 102.273)  (102.273, 102.618) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 's                  Ġmoney              Ġthat               Ġway                Ġrather             Ġthan               Ġjust               Ġleaving            Ġit                 Ġup                 Ġto                 Ġthe                Ġjudge              <eot>               <emp>              
Timings          : (102.618, 102.963)  (102.963, 103.618)  (104.036, 104.347)  (104.347, 104.629)  (104.629, 104.875)  (104.875, 105.014)  (105.014, 105.283)  (105.283, 105.573)  (105.573, 105.683)  (105.683, 105.803)  (105.803, 105.903)  (105.903, 106.063)  (106.063, 106.741)  (-1.0, -1.0)        (107.024, 107.249) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      82550345170952      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyou                Ġthink             
Timings          : (102.618, 102.963)  (102.963, 103.618)  (104.036, 104.347)  (104.347, 104.629)  (104.629, 104.875)  (104.875, 105.014)  (105.014, 105.283)  (105.283, 105.573)  (105.573, 105.683)  (105.683, 105.803)  (105.803, 105.903)  (105.903, 106.063)  (106.063, 106.741)  (106.872, 107.024)  (107.024, 107.249) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82550882041865      82550882041865     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  'd                  Ġsay                Ġfor                Ġthe               
Timings          : (107.249, 107.489)  (107.489, 107.798)  (107.945, 108.041)  (108.041, 108.379)  (108.379, 108.629)  (108.629, 108.849)  (108.849, 108.949)  (108.949, 109.309)  (109.309, 109.449)  (109.449, 109.509)  (109.96, 110.042)   (110.042, 110.125)  (110.125, 110.359)  (110.359, 110.5)    (110.5, 110.623)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82550345170954      82550345170954      82550345170954      82550345170954      82550345170954     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : Ġit                 Ġuh                 Ġit                 Ġalways             Ġcomes              Ġout                Ġthe                Ġbest               Ġwith               Ġa                  Ġjury               <eot>               <emp>               <emp>               <emp>              
Timings          : (107.249, 107.489)  (107.489, 107.798)  (107.945, 108.041)  (108.041, 108.379)  (108.379, 108.629)  (108.629, 108.849)  (108.849, 108.949)  (108.949, 109.309)  (109.309, 109.449)  (109.449, 109.509)  (109.509, 110.088)  (-1.0, -1.0)        (110.125, 110.359)  (110.359, 110.5)    (110.5, 110.623)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 82550882041865      82550882041865      82550882041865      82550882041865      82550882041865      82550882041865      82550882041865      82550882041865      82550882041865      82550882041865      82550882041865      82550882041865      0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  


A                : Ġmost               Ġpart               Ġnot                <emp>               Ġyou                Ġknow               Ġit                 's                  Ġit                 's                  Ġit                 's                  Ġhard               Ġit                 Ġreally            
Timings          : (110.623, 111.033)  (111.033, 111.623)  (111.623, 111.857)  (111.774, 112.046)  (112.053, 112.198)  (112.198, 112.373)  (112.373, 112.503)  (112.503, 112.632)  (112.632, 112.848)  (112.848, 113.064)  (113.064, 113.194)  (113.194, 113.323)  (113.323, 113.773)  (113.773, 113.873)  (113.873, 114.163) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550345170954      82550345170954      82550345170954      82550345170954      82550345170954      82550345170954      82550345170954      82550345170954      82550345170954      82550345170954      82550345170954      82550345170954      82550345170954      82550345170954      82550345170954     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (110.623, 111.033)  (111.033, 111.623)  (111.503, 111.774)  (111.774, 112.046)  (-1.0, -1.0)        (112.198, 112.373)  (112.373, 112.503)  (112.503, 112.632)  (112.632, 112.848)  (112.848, 113.064)  (113.064, 113.194)  (113.194, 113.323)  (113.323, 113.773)  (113.773, 113.873)  (113.873, 114.163) 
Token Types      : 0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   82553029525509      82553029525509      82553029525509      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġis                 Ġbut                Ġi                  <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (114.163, 114.373)  (114.373, 114.491)  (114.491, 114.716)  (-1.0, -1.0)        (114.967, 115.357)  (115.357, 115.567)  (115.567, 116.139)  (116.486, 116.667)  (116.667, 117.047)  (117.047, 117.254)  (117.254, 117.453)  (117.453, 117.827)  (117.827, 118.297)  (118.297, 118.497)  (118.497, 118.727) 
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82550345170954      82550345170954      82550345170954      82550345170954      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               Ġwhat               Ġabout              Ġthe                Ġfact               Ġthat               Ġuh                 Ġa                  Ġjury               Ġmay                Ġbe                 Ġsix                Ġpeople             Ġin                 Ġsome              
Timings          : (114.163, 114.373)  (114.346, 114.596)  (114.596, 114.907)  (114.907, 114.967)  (114.967, 115.357)  (115.357, 115.567)  (115.567, 116.139)  (116.486, 116.667)  (116.667, 117.047)  (117.047, 117.254)  (117.254, 117.453)  (117.453, 117.827)  (117.827, 118.297)  (118.297, 118.497)  (118.497, 118.727) 
Token Types      : 0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   82554103267339      82554103267339      82554103267339      82554103267339      82554103267339      82554103267339      82554103267339      82554103267339      82554103267339      82554103267339      82554103267339      82554103267339      82554103267339      82554103267339     
turn_end_types   : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (118.727, 119.267)  (119.267, 119.637)  (119.637, 119.971)  (121.556, 122.389)  (122.389, 122.65)   (122.65, 122.771)   (122.771, 122.891)  (122.891, 123.172)  (123.36, 123.463)   (123.463, 123.869)  (125.49, 125.685)   (125.685, 125.968)  (125.968, 126.038)  (126.038, 126.388)  (126.388, 126.805) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
