A                : why                 Ġdon                't                  Ġyou                Ġgo                 Ġahead              Ġand                Ġstart              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 're                 Ġlike               Ġlawyers            Ġi                  Ġguess              Ġthey               're                 Ġexperts            Ġin                 Ġthe                Ġlaw                Ġand                Ġuh                 Ġthere              Ġthere             
Timings          : (67.96, 68.01)      (68.01, 68.23)      (68.23, 68.57)      (68.57, 68.67)      (68.67, 68.983)     (68.983, 69.082)    (69.082, 69.182)    (69.182, 69.63)     (69.63, 69.7)       (69.7, 69.76)       (69.76, 70.1)       (70.371, 70.68)     (70.68, 70.889)     (71.521, 71.732)    (72.332, 72.46)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>              
Timings          : (67.96, 68.01)      (68.01, 68.23)      (68.23, 68.57)      (68.57, 68.67)      (68.67, 68.983)     (68.983, 69.082)    (69.082, 69.182)    (69.182, 69.63)     (69.63, 69.7)       (69.7, 69.76)       (69.76, 70.1)       (70.376, 70.911)    (-1.0, -1.0)        (71.521, 71.732)    (72.332, 72.46)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80388366008323      80388366008323      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                  


A                : Ġreally             Ġisn                't                  Ġa                  Ġjury               Ġand                Ġuh                 Ġuh                 Ġthey               Ġdo                 Ġthe                Ġquestioning        Ġalso               Ġthe                Ġjudges            
Timings          : (72.46, 72.66)      (72.66, 72.775)     (72.775, 72.89)     (72.89, 72.96)      (72.96, 73.37)      (73.37, 73.64)      (73.64, 73.8)       (74.687, 74.897)    (74.897, 75.077)    (75.077, 75.207)    (75.207, 75.307)    (75.307, 75.847)    (75.847, 76.147)    (76.147, 76.265)    (76.265, 76.638)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (72.46, 72.66)      (72.66, 72.775)     (72.775, 72.89)     (72.89, 72.96)      (72.96, 73.37)      (73.37, 73.64)      (73.64, 73.8)       (74.687, 74.897)    (74.897, 75.077)    (75.077, 75.207)    (75.207, 75.307)    (75.307, 75.847)    (75.847, 76.147)    (76.147, 76.265)    (76.265, 76.638)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġdo                 Ġthe                Ġquestioning        Ġand                Ġuh                 Ġthey               Ġuh                 Ġit                 's                  Ġi                  Ġthink              Ġit                 's                  Ġa                  Ġlot               
Timings          : (76.638, 76.737)    (76.737, 76.873)    (76.873, 77.407)    (77.587, 77.897)    (77.897, 78.092)    (78.88, 79.137)     (79.137, 79.385)    (80.409, 80.52)     (80.52, 80.63)      (80.734, 80.823)    (80.823, 80.985)    (80.985, 81.05)     (81.05, 81.116)     (81.116, 81.165)    (81.165, 81.385)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (76.638, 76.737)    (76.737, 76.873)    (76.873, 77.407)    (77.718, 77.987)    (77.987, 78.257)    (-1.0, -1.0)        (79.137, 79.385)    (80.409, 80.52)     (80.52, 80.63)      (80.734, 80.823)    (80.823, 80.985)    (80.985, 81.05)     (81.05, 81.116)     (81.116, 81.165)    (81.165, 81.385)   
Token Types      : 0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   80388366008324      80388366008324      80388366008324      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġharder             Ġto                 Ġget                Ġoff                Ġon                 Ġtechnical          ities               Ġalso               Ġbecause            Ġthey               Ġuh                 Ġuh                 Ġthe                Ġjudge              Ġis                
Timings          : (81.385, 81.646)    (81.646, 81.745)    (81.745, 81.896)    (81.896, 82.095)    (82.095, 82.196)    (82.196, 82.565)    (82.565, 82.936)    (82.936, 83.256)    (83.256, 83.675)    (83.675, 83.915)    (83.915, 84.065)    (85.125, 85.464)    (85.769, 85.899)    (85.899, 86.175)    (86.175, 86.275)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (81.385, 81.646)    (81.646, 81.745)    (81.745, 81.896)    (81.896, 82.095)    (82.095, 82.196)    (82.196, 82.565)    (82.565, 82.936)    (82.936, 83.256)    (83.256, 83.675)    (83.675, 83.915)    (83.915, 84.065)    (85.125, 85.464)    (85.769, 85.899)    (85.899, 86.175)    (86.175, 86.275)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġalso               Ġsort               Ġof                 Ġa                  Ġjury               Ġuh                 Ġbut                Ġi                  'm                  Ġnot                Ġsure               Ġi                  Ġlike               Ġthat               Ġi                 
Timings          : (86.275, 86.686)    (87.273, 87.51)     (87.51, 87.607)     (87.607, 87.705)    (87.705, 88.095)    (89.117, 89.319)    (89.319, 89.455)    (89.455, 89.506)    (89.506, 89.557)    (89.557, 89.727)    (89.727, 89.898)    (89.898, 89.996)    (89.996, 90.187)    (90.187, 90.455)    (90.455, 90.568)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (86.275, 86.686)    (87.273, 87.51)     (87.51, 87.607)     (87.607, 87.705)    (87.705, 88.095)    (89.117, 89.319)    (89.319, 89.455)    (89.455, 89.506)    (89.506, 89.557)    (89.557, 89.727)    (89.727, 89.898)    (89.898, 89.996)    (89.996, 90.187)    (90.187, 90.455)    (90.455, 90.568)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthink              Ġi                  Ġprefer             Ġthe                Ġjury               Ġsystem             <emp>               Ġmyself             <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (90.568, 90.707)    (90.707, 90.852)    (90.852, 91.115)    (91.115, 91.239)    (91.239, 91.487)    (91.487, 91.807)    (91.663, 91.885)    (91.807, 92.207)    (-1.0, -1.0)        (92.375, 92.495)    (92.495, 92.893)    (93.349, 93.425)    (93.425, 93.645)    (93.645, 93.745)    (93.745, 94.285)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyou                Ġthink              Ġyou                Ġprefer             Ġthe                Ġjury               Ġyou                Ġthink              Ġyour               Ġchances           
Timings          : (90.568, 90.707)    (90.707, 90.852)    (90.852, 91.115)    (91.115, 91.239)    (91.239, 91.487)    (91.476, 91.663)    (91.663, 91.885)    (91.885, 92.035)    (92.035, 92.375)    (92.375, 92.495)    (92.495, 92.893)    (93.349, 93.425)    (93.425, 93.645)    (93.645, 93.745)    (93.745, 94.285)   
Token Types      : 0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   80389439750149      80389439750149      80389439750149      80389439750149      80389439750149      80389439750149      80389439750149      80389439750149      80389439750149      80389439750149     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġuh                 Ġwell               Ġactually           Ġi                  Ġthink              Ġin                 Ġmost               Ġcriminal           Ġcases              Ġit                 Ġwouldn             't                  Ġmake              
Timings          : (94.285, 94.375)    (94.375, 94.838)    (96.814, 97.386)    (97.638, 97.959)    (98.78, 99.203)     (99.203, 99.303)    (99.303, 99.603)    (99.603, 99.753)    (99.753, 100.053)   (100.053, 100.373)  (100.373, 100.773)  (100.773, 100.873)  (100.873, 100.978)  (100.978, 101.083)  (101.083, 101.243) 
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766     
turn_end_types   : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġare                Ġbetter             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (94.285, 94.375)    (94.375, 94.838)    (-1.0, -1.0)        (97.638, 97.959)    (98.78, 99.203)     (99.203, 99.303)    (99.303, 99.603)    (99.603, 99.753)    (99.753, 100.053)   (100.053, 100.373)  (100.373, 100.773)  (100.773, 100.873)  (100.873, 100.978)  (100.978, 101.083)  (101.083, 101.243) 
Token Types      : 4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80389439750149      80389439750149      80389439750149      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġany                Ġdifference         Ġwhether            Ġit                 Ġwas                Ġa                  Ġcouple             Ġof                 Ġjudges             Ġor                 Ġa                  Ġjury               Ġwhat               Ġi                  Ġwhat              
Timings          : (101.243, 101.363)  (101.363, 101.853)  (101.853, 102.133)  (102.133, 102.221)  (102.221, 102.447)  (102.447, 102.7)    (103.186, 103.453)  (103.453, 103.523)  (103.523, 103.973)  (103.973, 104.269)  (104.744, 104.834)  (104.834, 105.238)  (105.754, 105.959)  (105.959, 106.129)  (106.129, 106.269) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (101.243, 101.363)  (101.363, 101.853)  (101.853, 102.133)  (102.133, 102.221)  (102.221, 102.447)  (102.447, 102.7)    (103.186, 103.453)  (103.453, 103.523)  (103.523, 103.973)  (103.973, 104.269)  (104.744, 104.834)  (104.834, 105.238)  (105.754, 105.959)  (105.959, 106.129)  (106.129, 106.269) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġworry              Ġabout              Ġis                 Ġcases              Ġwhere              Ġit                 's                  Ġthe                Ġgovernment         Ġagainst            Ġthe                Ġindividual         Ġthat               's                 
Timings          : (106.269, 106.386)  (106.386, 106.644)  (106.644, 106.904)  (106.904, 107.014)  (107.014, 107.394)  (107.394, 107.544)  (107.544, 107.609)  (107.609, 107.674)  (107.674, 107.744)  (107.744, 108.104)  (108.104, 108.414)  (108.414, 108.484)  (108.484, 109.014)  (109.014, 109.129)  (109.129, 109.244) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (106.269, 106.386)  (106.386, 106.644)  (106.644, 106.904)  (106.904, 107.014)  (107.014, 107.394)  (107.394, 107.544)  (107.544, 107.609)  (107.609, 107.674)  (107.674, 107.744)  (107.744, 108.104)  (108.104, 108.414)  (108.414, 108.484)  (108.484, 109.014)  (109.014, 109.129)  (109.129, 109.244) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwhere              Ġyou                Ġreally             Ġneed               Ġa                  Ġjury               Ġof                 Ġpeers              <eot>               <emp>               <emp>               <emp>               Ġbecause            Ġuh                 Ġanytime           
Timings          : (109.244, 109.354)  (109.354, 109.454)  (109.454, 109.674)  (109.674, 109.824)  (109.824, 109.884)  (109.884, 110.194)  (110.194, 110.304)  (110.304, 110.745)  (-1.0, -1.0)        (111.6, 111.687)    (111.687, 111.773)  (111.773, 112.196)  (112.142, 112.457)  (112.57, 112.85)    (113.467, 113.894) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                  
turn_ids         : 80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      80385681653766      0                   0                   0                   80385681653768      80385681653768      80385681653768     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġthat               's                  Ġtrue               <eot>               <emp>               <emp>              
Timings          : (109.244, 109.354)  (109.354, 109.454)  (109.454, 109.674)  (109.674, 109.824)  (109.824, 109.884)  (109.884, 110.194)  (110.194, 110.304)  (110.304, 110.745)  (111.286, 111.6)    (111.6, 111.687)    (111.687, 111.773)  (111.773, 112.196)  (-1.0, -1.0)        (112.57, 112.85)    (113.467, 113.894) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   80386218524679      80386218524679      80386218524679      80386218524679      80386218524679      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   0                   0                  


A                : Ġthe                Ġthe                Ġgovernment         Ġum                 Ġis                 Ġthe                Ġgovernment         Ġagainst            Ġthe                Ġindividual         Ġyou                Ġneed               Ġsome               Ġkind               Ġyeah              
Timings          : (113.894, 114.104)  (114.104, 114.268)  (114.268, 114.641)  (115.253, 115.662)  (116.529, 116.649)  (116.649, 116.739)  (116.739, 117.099)  (117.099, 117.369)  (117.369, 117.459)  (117.459, 118.019)  (118.019, 118.089)  (118.089, 118.309)  (118.309, 118.565)  (118.565, 118.701)  (118.701, 118.909) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (113.894, 114.104)  (114.104, 114.268)  (114.268, 114.641)  (115.253, 115.662)  (116.529, 116.649)  (116.649, 116.739)  (116.739, 117.099)  (117.099, 117.369)  (117.369, 117.459)  (117.459, 118.019)  (118.019, 118.089)  (118.089, 118.309)  (118.309, 118.565)  (118.565, 118.701)  (118.701, 118.909) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthey               Ġneed               Ġthe                Ġprotection         Ġof                 Ġordinary           Ġcitizens           Ġi                  Ġthink              Ġthat               's                  Ġreally             Ġthe                Ġonly               Ġthing             
Timings          : (118.909, 119.229)  (119.229, 119.409)  (119.409, 119.469)  (119.469, 119.949)  (119.949, 120.059)  (120.059, 120.409)  (120.409, 120.879)  (120.879, 120.959)  (120.959, 121.149)  (121.149, 121.244)  (121.244, 121.339)  (121.339, 121.619)  (121.619, 121.679)  (121.679, 121.849)  (121.849, 122.082) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768      80385681653768     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
