A                : ok                  ay                  Ġgo                 Ġahead              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (57.441, 57.581)    (57.581, 57.961)    (57.961, 58.241)    (58.241, 58.391)    (58.391, 58.651)    (58.651, 59.021)    (59.021, 59.521)    (59.871, 60.071)    (60.071, 60.151)    (60.151, 60.391)    (60.391, 60.446)    (60.446, 60.501)    (60.501, 60.981)    (60.981, 61.141)    (61.141, 61.481)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmoney              Ġon                 Ġthe                Ġprograms           Ġand                Ġnot                Ġspending           Ġenough             Ġmoney              Ġon                 Ġthe                Ġearth              Ġthat               Ġwe                 Ġhave              
Timings          : (61.481, 61.811)    (61.811, 61.921)    (61.921, 61.981)    (61.981, 62.521)    (62.521, 62.621)    (62.621, 62.809)    (62.93, 63.191)     (63.191, 63.766)    (64.049, 64.35)     (64.35, 64.686)     (64.686, 64.931)    (64.931, 65.131)    (65.131, 65.301)    (65.301, 65.471)    (65.471, 65.781)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (61.481, 61.811)    (61.811, 61.921)    (61.921, 61.981)    (61.981, 62.521)    (62.521, 62.621)    (62.621, 62.809)    (62.93, 63.191)     (63.191, 63.766)    (64.049, 64.35)     (64.35, 64.686)     (64.686, 64.931)    (64.931, 65.131)    (65.131, 65.301)    (65.301, 65.471)    (65.471, 65.781)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhere               Ġbeing              Ġyou                Ġknow               Ġto                 Ġme                 Ġthe                Ġall                Ġthis               Ġuh                 Ġspace              Ġexploration        Ġthat               Ġwe                 've                
Timings          : (65.931, 66.361)    (66.361, 66.731)    (67.121, 67.181)    (67.181, 67.451)    (67.806, 67.886)    (67.886, 68.261)    (68.261, 68.382)    (68.382, 68.726)    (68.726, 69.036)    (69.036, 69.276)    (69.276, 70.146)    (70.146, 71.096)    (71.096, 71.246)    (71.246, 71.351)    (71.351, 71.456)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (65.931, 66.361)    (66.361, 66.731)    (67.121, 67.181)    (67.181, 67.451)    (67.806, 67.886)    (67.886, 68.261)    (68.261, 68.382)    (68.382, 68.726)    (68.726, 69.036)    (69.036, 69.276)    (69.276, 70.146)    (70.146, 71.096)    (71.096, 71.246)    (71.246, 71.351)    (71.351, 71.456)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġdone               Ġthus               Ġfar                Ġhas                Ġtold               Ġus                 Ġthat               Ġthere              's                  Ġno                 Ġother              Ġplace              Ġlike               Ġearth              Ġthat              
Timings          : (71.456, 71.706)    (71.826, 72.013)    (72.149, 72.466)    (72.466, 72.766)    (72.936, 73.264)    (73.264, 73.626)    (73.626, 73.866)    (73.866, 74.011)    (74.011, 74.156)    (74.236, 74.466)    (74.466, 74.736)    (74.736, 75.146)    (75.386, 75.626)    (75.716, 75.996)    (76.807, 77.177)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (71.456, 71.706)    (71.826, 72.013)    (72.149, 72.466)    (72.466, 72.766)    (72.936, 73.264)    (73.264, 73.626)    (73.626, 73.866)    (73.866, 74.011)    (74.011, 74.156)    (74.236, 74.466)    (74.466, 74.736)    (74.736, 75.146)    (75.386, 75.626)    (75.716, 75.996)    (76.807, 77.177)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġuh                 Ġwe                 Ġcan                't                  Ġlive               Ġon                 Ġmars               Ġwe                 Ġcan                't                  Ġlive               Ġhere               Ġwe                 Ġcan                't                 
Timings          : (77.177, 77.437)    (77.913, 78.03)     (78.03, 78.203)     (78.203, 78.377)    (78.377, 78.517)    (78.517, 78.707)    (78.707, 79.177)    (79.177, 79.347)    (79.347, 79.487)    (79.487, 79.627)    (79.627, 79.817)    (79.817, 80.197)    (80.197, 80.287)    (80.287, 80.462)    (80.462, 80.637)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (77.177, 77.437)    (77.913, 78.03)     (78.03, 78.203)     (78.203, 78.377)    (78.377, 78.517)    (78.517, 78.707)    (78.707, 79.177)    (79.177, 79.347)    (79.347, 79.487)    (79.487, 79.627)    (79.627, 79.817)    (79.817, 80.197)    (80.197, 80.287)    (80.287, 80.462)    (80.462, 80.637)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġlive               Ġthere              Ġi                  Ġmean               Ġthis               Ġis                 Ġthe                Ġthe                Ġplace              Ġthat               Ġwe                 Ġhave               Ġto                 Ġlive               Ġi                 
Timings          : (80.637, 80.807)    (80.867, 81.207)    (81.207, 81.277)    (81.277, 81.477)    (81.477, 81.667)    (81.667, 81.757)    (81.837, 81.947)    (82.267, 82.347)    (82.347, 82.657)    (82.657, 82.777)    (82.777, 82.887)    (82.887, 83.107)    (83.107, 83.277)    (83.277, 83.607)    (83.607, 83.697)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (80.637, 80.807)    (80.867, 81.207)    (81.207, 81.277)    (81.277, 81.477)    (81.477, 81.667)    (81.667, 81.757)    (81.837, 81.947)    (82.267, 82.347)    (82.347, 82.657)    (82.657, 82.777)    (82.777, 82.887)    (82.887, 83.107)    (83.107, 83.277)    (83.277, 83.607)    (83.607, 83.697)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmean               Ġthere              's                  Ġuh                 Ġno                 Ġother              Ġresource           Ġfor                Ġus                 Ġto                 Ġto                 Ġlook               Ġat                 Ġother              Ġthan              
Timings          : (83.697, 84.017)    (84.017, 84.118)    (84.118, 84.218)    (84.553, 84.827)    (84.827, 85.077)    (85.077, 85.453)    (85.931, 86.467)    (86.467, 86.667)    (86.667, 86.977)    (86.977, 87.237)    (87.677, 87.777)    (87.777, 88.077)    (88.077, 88.357)    (88.357, 88.637)    (88.637, 88.917)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (83.697, 84.017)    (84.017, 84.118)    (84.118, 84.218)    (84.553, 84.827)    (84.827, 85.077)    (85.077, 85.453)    (85.931, 86.467)    (86.467, 86.667)    (86.667, 86.977)    (86.977, 87.237)    (87.677, 87.777)    (87.777, 88.077)    (88.077, 88.357)    (88.357, 88.637)    (88.637, 88.917)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhere               Ġso                 Ġit                 's                  Ġkind               Ġof                 Ġlike               Ġto                 Ġme                 Ġi                  Ġwould              Ġlike               Ġto                 Ġsee                Ġa                 
Timings          : (89.027, 89.307)    (89.307, 89.577)    (89.577, 89.657)    (89.657, 89.737)    (89.737, 89.957)    (89.957, 90.067)    (90.067, 90.407)    (90.931, 91.021)    (91.021, 91.451)    (91.451, 91.541)    (91.541, 91.691)    (91.691, 91.901)    (91.901, 92.031)    (92.031, 92.291)    (92.291, 92.361)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (89.027, 89.307)    (89.307, 89.577)    (89.577, 89.657)    (89.657, 89.737)    (89.737, 89.957)    (89.957, 90.067)    (90.067, 90.407)    (90.931, 91.021)    (91.021, 91.451)    (91.451, 91.541)    (91.541, 91.691)    (91.691, 91.901)    (91.901, 92.031)    (92.031, 92.291)    (92.291, 92.361)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġlot                Ġmore               Ġmoney              Ġbeing              Ġput                Ġtoward             Ġtaking             Ġcare               Ġof                 Ġthe                Ġenvironment        Ġthat               Ġwe                 Ġhave               Ġhere              
Timings          : (92.361, 92.641)    (92.641, 92.811)    (92.811, 93.121)    (93.121, 93.381)    (93.592, 93.881)    (94.371, 94.751)    (94.941, 95.271)    (95.271, 95.581)    (95.581, 95.751)    (95.751, 95.838)    (95.838, 96.471)    (96.471, 96.641)    (96.641, 96.811)    (96.811, 97.071)    (97.231, 97.671)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (92.361, 92.641)    (92.641, 92.811)    (92.811, 93.121)    (93.121, 93.381)    (93.592, 93.881)    (94.371, 94.751)    (94.941, 95.271)    (95.271, 95.581)    (95.581, 95.751)    (95.751, 95.838)    (95.838, 96.471)    (96.471, 96.641)    (96.641, 96.811)    (96.811, 97.071)    (97.231, 97.671)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġnot                Ġso                 Ġmuch               Ġemphasis           Ġput                Ġon                 Ġwhat               's                  Ġgoing              Ġout                Ġin                 Ġspace              Ġand                Ġwhat              
Timings          : (98.109, 98.579)    (99.025, 99.329)    (99.329, 99.489)    (99.489, 99.849)    (100.149, 100.749)  (100.749, 100.959)  (100.959, 101.309)  (101.669, 101.784)  (101.784, 101.899)  (101.899, 102.199)  (102.199, 102.419)  (102.519, 102.679)  (102.679, 103.239)  (103.239, 103.369)  (103.369, 103.553) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (98.109, 98.579)    (99.025, 99.329)    (99.329, 99.489)    (99.489, 99.849)    (100.149, 100.749)  (100.749, 100.959)  (100.959, 101.309)  (101.669, 101.784)  (101.784, 101.899)  (101.899, 102.199)  (102.199, 102.419)  (102.519, 102.679)  (102.679, 103.239)  (103.239, 103.369)  (103.369, 103.553) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġit                 Ġyou                Ġknow               Ġnot                Ġthat               Ġi                  Ġwant               Ġeverything         Ġto                 Ġhalt               Ġand                Ġlet                's                  Ġforget             Ġabout             
Timings          : (103.553, 103.726)  (103.726, 103.869)  (103.869, 103.999)  (103.999, 104.299)  (104.299, 104.429)  (104.429, 104.539)  (104.539, 104.849)  (105.129, 105.509)  (105.509, 105.609)  (105.609, 106.049)  (106.049, 106.255)  (106.546, 106.651)  (106.651, 106.756)  (106.756, 107.146)  (107.146, 107.446) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (103.553, 103.726)  (103.726, 103.869)  (103.869, 103.999)  (103.999, 104.299)  (104.299, 104.429)  (104.429, 104.539)  (104.539, 104.849)  (105.129, 105.509)  (105.509, 105.609)  (105.609, 106.049)  (106.049, 106.255)  (106.546, 106.651)  (106.651, 106.756)  (106.756, 107.146)  (107.146, 107.446) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġspace              Ġprogram            Ġor                 Ġwhatever           Ġbecause            Ġwe                 're                 Ġalways             Ġcurious            Ġand                Ġwe                 Ġalways             Ġneed               Ġto                
Timings          : (107.446, 107.516)  (107.516, 107.896)  (107.896, 108.466)  (108.466, 108.566)  (108.566, 109.256)  (109.256, 109.506)  (109.506, 109.566)  (109.566, 109.626)  (109.626, 109.956)  (110.426, 111.046)  (111.046, 111.136)  (111.136, 111.306)  (111.306, 111.616)  (111.616, 111.866)  (111.866, 111.986) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078      82842402947078     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (107.446, 107.516)  (107.516, 107.896)  (107.896, 108.466)  (108.466, 108.566)  (108.566, 109.256)  (109.256, 109.506)  (109.506, 109.566)  (109.566, 109.626)  (109.626, 109.956)  (110.426, 111.046)  (111.046, 111.136)  (111.136, 111.306)  (111.306, 111.616)  (111.616, 111.866)  (111.866, 111.986) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
