A                : now                 Ġum                 Ġwe                 're                 Ġdriving            Ġa                  Ġnineteen           Ġeighty             Ġfive               Ġuh                 Ġbu                 ick                 Ġpark               Ġavenue             Ġthat              
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (55.062, 55.222)    (55.222, 55.411)    (55.411, 55.601)    (55.601, 55.791)    (56.453, 56.532)    (56.532, 56.891)    (56.891, 56.942)    (56.942, 57.172)    (57.172, 57.562)    (57.562, 57.661)    (57.661, 57.751)    (57.751, 57.782)    (57.782, 57.931)    (57.931, 58.251)    (58.251, 58.312)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġhad                Ġh                  ond                 as                  Ġthey               Ġcost               Ġa                  Ġlittle             Ġmore               Ġand                Ġwhen               Ġi                  Ġwas                Ġlooking            Ġfor               
Timings          : (55.062, 55.222)    (55.222, 55.411)    (55.411, 55.601)    (55.601, 55.791)    (56.453, 56.532)    (56.532, 56.891)    (56.891, 56.942)    (56.942, 57.172)    (57.172, 57.562)    (57.562, 57.661)    (57.661, 57.751)    (57.751, 57.782)    (57.782, 57.931)    (57.931, 58.251)    (58.251, 58.312)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (58.312, 58.512)    (58.512, 58.621)    (58.621, 58.891)    (58.891, 59.141)    (59.141, 59.257)    (59.257, 59.371)    (59.371, 59.882)    (59.882, 60.001)    (60.001, 60.346)    (60.812, 60.904)    (60.904, 60.942)    (60.942, 60.98)     (60.98, 61.211)     (61.211, 61.251)    (61.251, 61.492)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthem               Ġthe                Ġdealer             Ġjust               Ġwouldn             't                  Ġnegotiate          Ġat                 Ġall                Ġbecause            Ġthey               're                 Ġsuch               Ġa                  Ġbig               
Timings          : (58.312, 58.512)    (58.512, 58.621)    (58.621, 58.891)    (58.891, 59.141)    (59.141, 59.257)    (59.257, 59.371)    (59.371, 59.882)    (59.882, 60.001)    (60.001, 60.346)    (60.812, 60.904)    (60.904, 60.942)    (60.942, 60.98)     (60.98, 61.211)     (61.211, 61.251)    (61.251, 61.492)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (61.492, 62.043)    (62.043, 62.28)     (62.881, 62.983)    (62.983, 63.175)    (63.175, 63.327)    (63.327, 63.397)    (63.397, 63.847)    (63.847, 63.967)    (63.967, 64.337)    (64.337, 64.516)    (64.516, 64.719)    (65.182, 65.231)    (65.231, 65.336)    (65.336, 65.381)    (65.381, 65.897)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġdemand             Ġbut                Ġit                 Ġhad                Ġall                Ġthe                Ġfeatures           Ġi                  Ġneeded             Ġthe                Ġuh                 Ġyou                Ġknow               Ġthe                Ġpower             
Timings          : (61.492, 62.043)    (62.043, 62.28)     (62.881, 62.983)    (62.983, 63.175)    (63.175, 63.327)    (63.327, 63.397)    (63.397, 63.847)    (63.847, 63.967)    (63.967, 64.337)    (64.337, 64.516)    (64.516, 64.719)    (65.182, 65.231)    (65.231, 65.336)    (65.336, 65.381)    (65.381, 65.897)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (65.897, 66.127)    (66.127, 66.329)    (66.329, 66.633)    (66.633, 67.125)    (67.125, 67.617)    (67.617, 67.856)    (68.038, 68.257)    (68.257, 68.697)    (68.697, 68.857)    (68.857, 69.087)    (69.087, 69.307)    (69.307, 69.602)    (70.678, 70.816)    (70.816, 70.886)    (70.886, 71.517)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġthe                Ġuh                 Ġadjust             ability             Ġand                Ġpower              Ġwindows            Ġand                Ġthings             Ġlike               Ġthat               Ġand                Ġthe                Ġdashboard         
Timings          : (65.897, 66.127)    (66.127, 66.329)    (66.329, 66.633)    (66.633, 67.125)    (67.125, 67.617)    (67.617, 67.856)    (68.038, 68.257)    (68.257, 68.697)    (68.697, 68.857)    (68.857, 69.087)    (69.087, 69.307)    (69.307, 69.602)    (70.678, 70.816)    (70.816, 70.886)    (70.886, 71.517)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (71.517, 71.717)    (71.717, 72.047)    (72.047, 72.297)    (72.297, 72.377)    (72.377, 72.576)    (72.576, 72.646)    (72.646, 72.797)    (72.797, 73.036)    (73.036, 73.187)    (73.187, 73.776)    (73.776, 74.007)    (74.007, 74.165)    (74.82, 74.988)     (74.988, 75.082)    (75.082, 75.176)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġjust               Ġlooked             Ġgood               Ġto                 Ġme                 Ġit                 Ġwas                Ġjust               Ġno                 Ġnonsense           Ġhad                Ġthe                Ġthe                Ġspeed              ometer             
Timings          : (71.517, 71.717)    (71.717, 72.047)    (72.047, 72.297)    (72.297, 72.377)    (72.377, 72.576)    (72.576, 72.646)    (72.646, 72.797)    (72.797, 73.036)    (73.036, 73.187)    (73.187, 73.776)    (73.776, 74.007)    (74.007, 74.165)    (74.82, 74.988)     (74.988, 75.082)    (75.082, 75.176)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (75.176, 75.767)    (75.767, 76.087)    (76.087, 76.407)    (76.407, 76.496)    (76.496, 76.557)    (76.557, 76.761)    (76.761, 76.966)    (76.966, 77.136)    (77.136, 77.374)    (77.374, 77.676)    (77.676, 77.757)    (77.757, 77.907)    (77.907, 78.136)    (78.136, 78.356)    (78.356, 78.576)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 Ġspeed              ometer              Ġand                Ġthe                Ġt                  ach                 Ġand                Ġthe                Ġcouple             Ġof                 Ġother              Ġlittle             Ġgau                ges                
Timings          : (75.176, 75.767)    (75.767, 76.087)    (76.087, 76.407)    (76.407, 76.496)    (76.496, 76.557)    (76.557, 76.761)    (76.761, 76.966)    (76.966, 77.136)    (77.136, 77.374)    (77.374, 77.676)    (77.676, 77.757)    (77.757, 77.907)    (77.907, 78.136)    (78.136, 78.356)    (78.356, 78.576)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                 
Timings          : (78.576, 78.776)    (78.776, 79.096)    (79.096, 79.349)    (79.963, 80.076)    (80.076, 80.237)    (80.237, 80.367)    (80.367, 80.507)    (80.507, 80.716)    (80.716, 80.964)    (80.964, 81.243)    (81.243, 81.697)    (81.697, 82.307)    (82.307, 82.748)    (83.727, 83.889)    (83.889, 84.311)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81588272496646      81588272496646     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġlike               Ġengine             Ġheat               Ġbut                Ġnone               Ġof                 Ġthe                Ġyou                Ġknow               Ġbig                Ġflashy             Ġelectronic         Ġstuff              <eot>               <emp>              
Timings          : (78.576, 78.776)    (78.776, 79.096)    (79.096, 79.349)    (79.963, 80.076)    (80.076, 80.237)    (80.237, 80.367)    (80.367, 80.507)    (80.507, 80.716)    (80.716, 80.964)    (80.964, 81.243)    (81.243, 81.697)    (81.697, 82.307)    (82.307, 82.748)    (-1.0, -1.0)        (83.889, 84.311)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  


A                : Ġi                  've                 Ġcontinually        Ġi                  've                 Ġcome               Ġto                 Ġlearn              Ġin                 Ġhaving             Ġthis               Ġcar                Ġthat               Ġit                 Ġwas               
Timings          : (84.311, 84.463)    (84.463, 84.616)    (84.755, 85.519)    (85.519, 85.599)    (85.599, 85.679)    (85.679, 85.959)    (85.959, 86.089)    (86.089, 86.439)    (86.439, 86.569)    (86.569, 86.929)    (86.929, 87.164)    (87.164, 87.545)    (87.748, 87.916)    (88.153, 88.269)    (88.269, 88.479)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (84.311, 84.463)    (84.463, 84.616)    (84.755, 85.519)    (85.519, 85.599)    (85.599, 85.679)    (85.679, 85.959)    (85.959, 86.089)    (86.089, 86.439)    (86.439, 86.569)    (86.569, 86.929)    (86.929, 87.164)    (87.164, 87.545)    (87.748, 87.916)    (88.153, 88.269)    (88.269, 88.479)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġfully              Ġloaded             Ġwhen               Ġwe                 Ġgot                Ġit                 Ġand                Ġthe                Ġproblem            Ġis                 Ġit                 's                  Ġthe                Ġfully              Ġloaded            
Timings          : (88.479, 88.829)    (88.829, 89.311)    (89.604, 89.769)    (89.769, 89.879)    (89.879, 90.199)    (90.199, 90.399)    (90.399, 90.939)    (90.939, 91.032)    (91.032, 91.529)    (91.529, 91.779)    (91.779, 91.864)    (91.864, 91.949)    (91.949, 92.049)    (92.049, 92.419)    (92.419, 92.789)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (88.479, 88.829)    (88.829, 89.311)    (89.609, 89.76)     (89.76, 89.911)     (-1.0, -1.0)        (90.199, 90.399)    (90.399, 90.939)    (90.939, 91.032)    (91.032, 91.529)    (91.529, 91.779)    (91.779, 91.864)    (91.864, 91.949)    (91.949, 92.049)    (92.049, 92.419)    (92.419, 92.789)   
Token Types      : 0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   81590956851205      81590956851205      81590956851205      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġgives              Ġthe                Ġcar                Ġmore               Ġchances            Ġfor                Ġthings             Ġto                 Ġgo                 Ġwrong              <emp>               <emp>               <emp>               Ġthat               Ġmake              
Timings          : (92.789, 93.089)    (93.089, 93.199)    (93.199, 93.549)    (93.549, 93.859)    (93.859, 94.389)    (94.389, 94.569)    (94.569, 94.899)    (94.899, 95.029)    (95.029, 95.287)    (95.287, 95.799)    (95.96, 96.13)      (96.13, 96.3)       (96.3, 96.471)      (96.734, 96.869)    (96.869, 97.089)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>              
Timings          : (92.789, 93.089)    (93.089, 93.199)    (93.199, 93.549)    (93.549, 93.859)    (93.859, 94.389)    (94.389, 94.569)    (94.569, 94.899)    (94.899, 95.029)    (95.029, 95.287)    (95.287, 95.799)    (95.96, 96.13)      (96.13, 96.3)       (96.3, 96.471)      (-1.0, -1.0)        (96.869, 97.089)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   3                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81590956851206      81590956851206      81590956851206      81590956851206      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   0                  


A                : Ġit                 Ġnot                Ġdri                vable               Ġand                Ġi                  'd                  Ġheard              Ġgood               Ġthings             Ġabout              Ġthe                Ġh                  ond                 as                 
Timings          : (97.089, 97.199)    (97.199, 97.509)    (97.509, 97.886)    (97.886, 98.263)    (98.537, 99.189)    (99.659, 99.789)    (99.789, 99.919)    (99.919, 100.159)   (100.159, 100.389)  (100.389, 100.689)  (100.689, 100.979)  (100.979, 101.099)  (101.099, 101.322)  (101.322, 101.545)  (101.545, 101.767) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (97.089, 97.199)    (97.199, 97.509)    (97.509, 97.886)    (97.886, 98.263)    (98.537, 99.189)    (99.659, 99.789)    (99.789, 99.919)    (99.919, 100.159)   (100.159, 100.389)  (100.389, 100.689)  (100.689, 100.979)  (100.979, 101.099)  (101.099, 101.322)  (101.322, 101.545)  (101.545, 101.767) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġuh                 Ġespecially         Ġthe                Ġaccord             Ġum                 Ġbut                Ġuh                 Ġyou                Ġknow               Ġwe                 've                 Ġbeen               Ġwe                 've                 Ġbeen              
Timings          : (102.174, 102.371)  (102.371, 102.889)  (102.889, 103.069)  (103.069, 103.757)  (104.372, 105.102)  (105.911, 106.149)  (106.149, 106.379)  (106.379, 106.539)  (106.539, 106.659)  (106.659, 106.759)  (106.759, 106.859)  (106.859, 107.148)  (107.483, 107.561)  (107.561, 107.639)  (107.639, 107.819) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646      81588272496646     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (102.174, 102.371)  (102.371, 102.889)  (102.889, 103.069)  (103.069, 103.757)  (104.372, 105.102)  (105.911, 106.149)  (106.149, 106.379)  (106.379, 106.539)  (106.539, 106.659)  (106.659, 106.759)  (106.759, 106.859)  (106.859, 107.148)  (107.483, 107.561)  (107.561, 107.639)  (107.639, 107.819) 
