A                : ok                  ay                  Ġuh                 Ġwe                 Ġkeep               Ġa                  Ġmonthly            Ġbudget             Ġi                  Ġjust               Ġrecently           Ġstopped            Ġworking            Ġso                 Ġi                 
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81762755543044     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : Ġsecond             Ġpay                Ġand                Ġthen               Ġum                 Ġagain              Ġhe                 Ġdoes               Ġhave               Ġa                  Ġsavings            Ġthat               Ġcomes              Ġout                Ġyou               
Timings          : (80.496, 80.896)    (80.896, 81.568)    (81.568, 81.776)    (81.776, 82.066)    (82.066, 82.303)    (82.303, 82.616)    (82.616, 82.746)    (82.746, 82.972)    (82.972, 83.146)    (83.146, 83.196)    (83.196, 83.676)    (83.676, 83.786)    (83.786, 84.086)    (84.086, 84.386)    (84.616, 84.786)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760071188486      81760071188486      81760071188486      81760071188486      81760071188486      81760071188486      81760071188486      81760071188486      81760071188486      81760071188486      81760071188486      81760071188486      81760071188486      81760071188486      81760071188486     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (80.896, 81.568)    (81.568, 81.776)    (81.776, 82.066)    (82.066, 82.303)    (82.303, 82.616)    (82.616, 82.746)    (82.746, 82.972)    (82.972, 83.146)    (83.146, 83.196)    (83.196, 83.676)    (83.676, 83.786)    (83.786, 84.086)    (84.086, 84.386)    (84.616, 84.786)   
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81762755543044      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġknow               Ġfor                Ġchrist             mas                 Ġand                Ġstuff              Ġthat               Ġkind               Ġof                 Ġthing              <yield>             <emp>               <emp>               <emp>               <emp>              
Timings          : (84.786, 84.866)    (84.866, 85.211)    (85.788, 86.157)    (86.157, 86.526)    (86.676, 86.776)    (86.776, 87.163)    (87.506, 87.686)    (87.686, 87.828)    (87.828, 87.949)    (87.949, 88.186)    (-1.0, -1.0)        (88.607, 88.747)    (88.747, 88.927)    (88.927, 89.047)    (89.047, 89.127)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 81760071188486      81760071188486      81760071188486      81760071188486      81760071188486      81760071188486      81760071188486      81760071188486      81760071188486      81760071188486      81760071188486      0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               Ġyeah               <emp>               <emp>               <emp>               Ġyeah               Ġwhen               Ġthe                Ġcar                Ġinsurance          Ġis                 Ġdue                Ġand                Ġyou               
Timings          : (84.786, 84.866)    (84.866, 85.211)    (85.851, 86.5)      (86.157, 86.526)    (86.676, 86.776)    (86.776, 87.163)    (87.083, 87.613)    (87.613, 87.807)    (87.807, 87.867)    (87.867, 88.117)    (88.117, 88.607)    (88.607, 88.747)    (88.747, 88.927)    (88.927, 89.047)    (89.047, 89.127)   
Token Types      : 0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   81763829284871      81763829284871      81763829284871      81763829284871      81763829284871      81763829284871      81763829284871      81763829284871      81763829284871      81763829284871      81763829284871      81763829284871      81763829284871     
turn_end_types   : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġthat               Ġkind              
Timings          : (89.127, 89.327)    (89.327, 89.387)    (89.387, 89.687)    (89.687, 89.897)    (89.897, 90.077)    (90.077, 90.237)    (90.237, 90.357)    (90.357, 90.617)    (90.617, 90.827)    (90.827, 91.007)    (91.007, 91.147)    (91.147, 91.387)    (92.168, 92.488)    (92.488, 92.638)    (92.638, 92.848)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81760071188488      81760071188488      81760071188488     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġcall               Ġthe                Ġcredit             Ġunion              Ġand                Ġtell               Ġthem               Ġwell               Ġsend               Ġme                 Ġsome               Ġmoney              <eot>               <emp>               <emp>              
Timings          : (89.127, 89.327)    (89.327, 89.387)    (89.387, 89.687)    (89.687, 89.897)    (89.897, 90.077)    (90.077, 90.237)    (90.237, 90.357)    (90.357, 90.617)    (90.617, 90.827)    (90.827, 91.007)    (91.007, 91.147)    (91.147, 91.387)    (-1.0, -1.0)        (92.488, 92.638)    (92.638, 92.848)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                  
turn_ids         : 81763829284871      81763829284871      81763829284871      81763829284871      81763829284871      81763829284871      81763829284871      81763829284871      81763829284871      81763829284871      81763829284871      81763829284871      81763829284871      0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  


A                : Ġof                 Ġthing              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (92.848, 92.908)    (92.908, 93.218)    (-1.0, -1.0)        (94.662, 95.132)    (95.132, 95.425)    (96.024, 96.132)    (96.132, 96.282)    (96.282, 96.452)    (96.452, 96.912)    (96.912, 97.062)    (97.062, 97.132)    (97.132, 97.242)    (97.242, 97.352)    (97.352, 97.582)    (97.582, 97.722)   
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81760071188488      81760071188488      81760071188488      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               Ġyeah               Ġit                 Ġuh                 Ġit                 Ġwould              Ġbe                 Ġnice               Ġif                 Ġwe                 Ġdidn               't                  Ġhave               Ġto                
Timings          : (92.848, 92.908)    (92.908, 93.218)    (93.752, 94.266)    (94.662, 95.132)    (95.132, 95.425)    (96.024, 96.132)    (96.132, 96.282)    (96.282, 96.452)    (96.452, 96.912)    (96.912, 97.062)    (97.062, 97.132)    (97.132, 97.242)    (97.242, 97.352)    (97.352, 97.582)    (97.582, 97.722)   
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401     
turn_end_types   : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġbut                Ġit                 's                  Ġnice              
Timings          : (97.722, 98.142)    (98.142, 98.212)    (98.212, 98.532)    (98.532, 98.662)    (98.662, 98.952)    (98.952, 99.272)    (99.272, 99.442)    (99.442, 99.552)    (99.552, 99.702)    (99.702, 99.982)    (99.982, 100.498)   (100.965, 101.035)  (101.035, 101.149)  (101.149, 101.265)  (101.265, 101.535) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   5                   5                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81764366155789      81764366155789      81764366155789      81764366155789     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  

B                : Ġtouch              Ġthe                Ġmoney              Ġhe                 Ġhas                Ġtaken              Ġout                Ġand                Ġput                Ġin                 Ġsavings            Ġbut                <emp>               Ġwe                 <emp>              
Timings          : (97.722, 98.142)    (98.142, 98.212)    (98.212, 98.532)    (98.532, 98.662)    (98.662, 98.952)    (98.952, 99.272)    (99.272, 99.442)    (99.442, 99.552)    (99.552, 99.702)    (99.702, 99.982)    (99.982, 100.498)   (100.945, 101.195)  (101.035, 101.149)  (101.195, 101.408)  (101.265, 101.535) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġthat               's                  Ġthere              Ġyou                Ġknow               <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (101.535, 101.67)   (101.67, 101.804)   (101.804, 102.615)  (102.615, 102.704)  (102.704, 103.155)  (-1.0, -1.0)        (103.385, 103.59)   (103.59, 103.827)   (103.827, 104.064)  (104.064, 104.285)  (104.335, 104.656)  (104.656, 104.844)  (104.844, 104.965)  (104.965, 105.166)  (105.26, 105.494)  
Token Types      : 5                   5                   5                   5                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81764366155789      81764366155789      81764366155789      81764366155789      81764366155789      81764366155789      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġdo                 <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġit                 Ġi                  'm                  Ġjust               Ġglad               Ġthat               Ġit                 Ġis                 Ġthere             
Timings          : (101.408, 101.947)  (101.67, 101.804)   (101.804, 102.615)  (102.615, 102.704)  (102.704, 103.155)  (102.99, 103.385)   (103.385, 103.59)   (103.59, 103.827)   (103.827, 104.064)  (104.064, 104.285)  (104.335, 104.656)  (104.656, 104.844)  (104.844, 104.965)  (104.965, 105.166)  (105.26, 105.494)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġyeah               <ebc>               <emp>               <emp>               <emp>               Ġyeah               <emp>               <emp>               Ġyeah               Ġit                 's                  Ġnice               Ġthat               Ġit                 's                 
Timings          : (105.463, 106.083)  (-1.0, -1.0)        (106.795, 107.414)  (107.545, 107.954)  (107.954, 108.384)  (108.502, 109.342)  (108.814, 109.066)  (109.901, 110.198)  (110.151, 110.382)  (110.382, 110.542)  (110.542, 110.702)  (110.702, 110.982)  (110.982, 111.082)  (111.082, 111.177)  (111.177, 111.272) 
Token Types      : 3                   3                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81762218672139      81762218672139      0                   0                   0                   81763292413962      81763292413962      81763292413962      81763292413962      81763292413962      81763292413962      81763292413962      81763292413962      81763292413962      81763292413962     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġfor                Ġcar                Ġinsurance          Ġmedical            Ġbills              Ġwhatever           Ġhappen             Ġbut                Ġuh                 <yield>             <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (105.588, 105.966)  (106.542, 106.795)  (106.795, 107.414)  (107.545, 107.954)  (107.954, 108.384)  (108.384, 108.814)  (108.814, 109.066)  (109.901, 110.198)  (110.198, 110.443)  (-1.0, -1.0)        (110.542, 110.702)  (110.702, 110.982)  (110.982, 111.082)  (111.082, 111.177)  (111.177, 111.272) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      81760608059401      0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġthere              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (111.272, 111.732)  (-1.0, -1.0)        (112.096, 112.484)  (112.921, 113.19)   (113.19, 113.348)   (113.348, 113.736)  (113.736, 113.791)  (113.791, 113.846)  (113.846, 114.174)  (114.174, 114.656)  (114.656, 114.876)  (114.876, 115.571)  (116.038, 116.343)  (116.581, 116.966)  (116.966, 117.106) 
Token Types      : 4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81763292413962      81763292413962      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               Ġi                  Ġknow               Ġbut                Ġi                  Ġyou                Ġit                 's                  Ġjust               Ġreally             Ġis                 Ġdifficult          Ġuh                 Ġneither            Ġone               
Timings          : (111.272, 111.732)  (111.876, 112.096)  (112.096, 112.484)  (112.921, 113.19)   (113.19, 113.348)   (113.348, 113.736)  (113.736, 113.791)  (113.791, 113.846)  (113.846, 114.174)  (114.174, 114.656)  (114.656, 114.876)  (114.876, 115.571)  (116.038, 116.343)  (116.581, 116.966)  (116.966, 117.106) 
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403     
turn_end_types   : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>              
Timings          : (117.106, 117.204)  (117.204, 117.456)  (117.456, 117.562)  (117.679, 117.866)  (117.866, 117.936)  (117.936, 118.398)  (118.718, 118.796)  (118.796, 118.856)  (118.856, 119.166)  (119.166, 119.256)  (119.256, 119.602)  (119.867, 120.337)  (-1.0, -1.0)        (120.697, 120.767)  (120.767, 121.127) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81762218672141      81762218672141      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                  

B                : Ġof                 Ġus                 Ġhas                Ġhad                Ġa                  Ġraise              Ġin                 Ġa                  Ġcouple             Ġof                 Ġyears              <emp>               Ġand                Ġof                 Ġcourse            
Timings          : (117.106, 117.204)  (117.204, 117.456)  (117.456, 117.562)  (117.679, 117.866)  (117.866, 117.936)  (117.936, 118.398)  (118.718, 118.796)  (118.796, 118.856)  (118.856, 119.166)  (119.166, 119.256)  (119.256, 119.602)  (119.867, 120.337)  (120.557, 120.697)  (120.697, 120.767)  (120.767, 121.127) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>              
Timings          : (121.127, 121.197)  (121.197, 121.627)  (121.627, 121.697)  (121.697, 121.987)  (121.987, 122.307)  (122.307, 122.577)  (122.577, 122.747)  (122.747, 122.927)  (122.927, 123.147)  (123.125, 123.804)  (-1.0, -1.0)        (123.987, 124.747)  (124.747, 124.857)  (124.857, 124.999)  (124.999, 125.21)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   81762218672142      81762218672142      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                  

B                : Ġthe                Ġcost               Ġof                 Ġliving             Ġkeeps              Ġgoing              Ġup                 Ġso                 Ġmy                 Ġgroceries          Ġare                Ġoutrageous         Ġand                Ġi                  Ġkeep              
Timings          : (121.127, 121.197)  (121.197, 121.627)  (121.627, 121.697)  (121.697, 121.987)  (121.987, 122.307)  (122.307, 122.577)  (122.577, 122.747)  (122.747, 122.927)  (122.927, 123.147)  (123.147, 123.837)  (123.837, 123.987)  (123.987, 124.747)  (124.747, 124.857)  (124.857, 124.999)  (124.999, 125.21)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġyeah               <emp>               Ġthat               's                  Ġkind               Ġof                 Ġhow               
Timings          : (125.21, 125.977)   (125.977, 126.037)  (126.037, 126.437)  (126.437, 126.717)  (126.717, 127.117)  (127.117, 127.299)  (127.299, 127.96)   (127.644, 128.459)  (128.459, 128.998)  (129.231, 129.535)  (129.563, 129.662)  (129.662, 129.762)  (129.762, 129.982)  (129.982, 130.042)  (130.042, 130.191) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġsaying             Ġmy                 Ġcheck              Ġdoes               Ġless               Ġand                Ġless               <emp>               <emp>               Ġbut                <yield>             <emp>               <emp>               <emp>               <emp>              
Timings          : (125.21, 125.977)   (125.977, 126.037)  (126.037, 126.437)  (126.437, 126.717)  (126.717, 127.117)  (127.117, 127.299)  (127.299, 127.96)   (127.644, 128.459)  (128.459, 128.998)  (129.231, 129.535)  (-1.0, -1.0)        (129.662, 129.762)  (129.762, 129.982)  (129.982, 130.042)  (130.042, 130.191) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      81760608059403      0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                  


A                : Ġi                  Ġfelt               Ġwhen               Ġi                  Ġwas                Ġworking            Ġbecause            Ġit                 Ġseemed             Ġlike               Ġwe                 Ġspent              Ġmore               Ġwe                 Ġbought            
Timings          : (130.191, 130.301)  (130.301, 130.652)  (130.652, 130.831)  (130.831, 130.992)  (130.992, 131.232)  (131.232, 131.902)  (131.902, 132.212)  (132.212, 132.331)  (132.331, 132.641)  (132.641, 132.882)  (132.882, 133.021)  (133.021, 133.652)  (133.652, 134.274)  (134.835, 134.971)  (134.971, 135.352) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964      81763292413964     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
