A                : do                  Ġyou                Ġhave               Ġany                Ġthoughts           Ġon                 Ġcompany            Ġbenefits           <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (64.281, 64.541)    (64.541, 64.781)    (64.781, 64.891)    (64.891, 65.161)    (65.161, 65.446)    (66.13, 66.413)     (66.413, 66.654)    (66.967, 67.113)    (67.113, 67.313)    (67.313, 67.753)    (67.753, 68.015)    (68.015, 68.219)    (68.219, 68.463)    (68.463, 68.613)   
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82653424386060      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 Ġreally             Ġis                 Ġit                 Ġreally             Ġis                 Ġbut                Ġuh                 Ġi                  Ġi                  Ġthink              Ġuh                 Ġi                  Ġguess              Ġmy                
Timings          : (64.106, 64.281)    (64.281, 64.541)    (64.541, 64.781)    (64.781, 64.891)    (64.891, 65.161)    (65.161, 65.446)    (66.13, 66.413)     (66.413, 66.654)    (66.967, 67.113)    (67.113, 67.313)    (67.313, 67.753)    (67.753, 68.015)    (68.015, 68.219)    (68.219, 68.463)    (68.463, 68.613)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (68.613, 69.033)    (69.033, 69.233)    (69.233, 69.453)    (69.453, 69.793)    (69.793, 70.023)    (70.023, 70.296)    (70.296, 70.423)    (70.423, 70.483)    (70.483, 70.543)    (70.543, 70.783)    (70.783, 71.193)    (71.193, 71.603)    (71.603, 71.713)    (71.713, 72.222)    (72.222, 72.615)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġfeelings           Ġon                 Ġthis               Ġare                Ġthat               Ġthe                Ġone                Ġof                 Ġthe                Ġmost               Ġimportant          Ġbenefits           Ġwe                 Ġcurrently          Ġhave              
Timings          : (68.613, 69.033)    (69.033, 69.233)    (69.233, 69.453)    (69.453, 69.793)    (69.793, 70.023)    (70.023, 70.296)    (70.296, 70.423)    (70.423, 70.483)    (70.483, 70.543)    (70.543, 70.783)    (70.783, 71.193)    (71.193, 71.603)    (71.603, 71.713)    (71.713, 72.222)    (72.222, 72.615)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      82653961256973     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġthat               's                  Ġtrue               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (72.615, 72.803)    (72.803, 72.923)    (72.923, 73.163)    (73.163, 73.681)    (74.42, 74.529)     (74.529, 74.638)    (74.638, 75.018)    (-1.0, -1.0)        (75.164, 75.324)    (75.324, 75.524)    (75.524, 75.654)    (75.654, 75.764)    (75.764, 76.064)    (76.064, 76.214)    (76.214, 76.364)   
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   82653424386062      82653424386062      82653424386062      82653424386062      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġis                 Ġour                Ġhealth             Ġinsurance          <eot>               <emp>               <emp>               Ġand                Ġthat               Ġif                 Ġthere              Ġwere               Ġsome               Ġway                Ġto                
Timings          : (72.615, 72.803)    (72.803, 72.923)    (72.923, 73.163)    (73.163, 73.681)    (-1.0, -1.0)        (74.529, 74.638)    (74.638, 75.018)    (74.992, 75.164)    (75.164, 75.324)    (75.324, 75.524)    (75.524, 75.654)    (75.654, 75.764)    (75.764, 76.064)    (76.064, 76.214)    (76.214, 76.364)   
Token Types      : 1                   1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653961256973      82653961256973      82653961256973      82653961256973      82653961256973      0                   0                   82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975     
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (76.364, 76.604)    (76.604, 76.824)    (76.824, 76.894)    (76.894, 77.234)    (77.234, 77.384)    (77.384, 77.634)    (77.634, 77.894)    (77.894, 78.034)    (78.034, 78.47)     (79.152, 79.303)    (79.303, 79.553)    (79.553, 79.713)    (79.713, 79.803)    (79.803, 80.063)    (80.063, 80.293)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġget                Ġthat               Ġto                 Ġfollow             Ġyou                Ġfrom               Ġjob                Ġto                 Ġjob                Ġor                 Ġso                 Ġthat               Ġyou                Ġwould              Ġnot               
Timings          : (76.364, 76.604)    (76.604, 76.824)    (76.824, 76.894)    (76.894, 77.234)    (77.234, 77.384)    (77.384, 77.634)    (77.634, 77.894)    (77.894, 78.034)    (78.034, 78.47)     (79.152, 79.303)    (79.303, 79.553)    (79.553, 79.713)    (79.713, 79.803)    (79.803, 80.063)    (80.063, 80.293)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġisn                't                  Ġthere              Ġsome               Ġsort               Ġof                
Timings          : (80.293, 80.583)    (80.583, 80.924)    (80.924, 81.203)    (81.203, 81.323)    (81.323, 81.473)    (81.473, 81.583)    (81.583, 81.783)    (81.783, 81.843)    (81.843, 82.335)    (83.042, 83.194)    (83.194, 83.346)    (83.346, 83.566)    (83.566, 83.876)    (83.876, 84.126)    (84.126, 84.216)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82653424386064      82653424386064      82653424386064      82653424386064      82653424386064      82653424386064     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  

B                : Ġlose               Ġit                 Ġif                 Ġyou                Ġhave               Ġto                 Ġleave              Ġa                  Ġcompany            <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (80.293, 80.583)    (80.583, 80.924)    (80.924, 81.203)    (81.203, 81.323)    (81.323, 81.473)    (81.473, 81.583)    (81.583, 81.783)    (81.783, 81.843)    (81.843, 82.335)    (-1.0, -1.0)        (83.194, 83.346)    (83.346, 83.566)    (83.566, 83.876)    (83.876, 84.126)    (84.126, 84.216)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      82653961256975      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġdeal               Ġwhere              Ġyou                Ġcan                Ġcontinue           Ġyour               Ġbenefits           Ġfor                Ġeighteen           Ġmonths             <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (84.216, 84.516)    (84.516, 84.656)    (84.656, 84.806)    (84.806, 85.116)    (85.116, 85.696)    (85.696, 85.886)    (85.886, 86.546)    (86.546, 86.646)    (86.646, 87.046)    (87.046, 87.522)    (-1.0, -1.0)        (87.969, 88.099)    (88.099, 88.229)    (88.229, 88.359)    (88.359, 88.799)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 82653424386064      82653424386064      82653424386064      82653424386064      82653424386064      82653424386064      82653424386064      82653424386064      82653424386064      82653424386064      82653424386064      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġthere              Ġis                 Ġu                  hh                  uh                  Ġand               
Timings          : (84.216, 84.516)    (84.516, 84.656)    (84.656, 84.806)    (84.806, 85.116)    (85.116, 85.696)    (85.696, 85.886)    (85.886, 86.546)    (86.546, 86.646)    (86.646, 87.046)    (87.389, 87.589)    (87.589, 87.969)    (87.969, 88.099)    (88.099, 88.229)    (88.229, 88.359)    (88.359, 88.799)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82653961256977      82653961256977      82653961256977      82653961256977      82653961256977      82653961256977     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (88.799, 88.989)    (88.989, 89.104)    (89.104, 89.219)    (89.219, 89.779)    (89.779, 89.919)    (89.919, 90.009)    (90.009, 90.099)    (90.099, 90.154)    (90.154, 90.209)    (90.209, 90.479)    (90.479, 91.039)    (91.039, 91.669)    (91.669, 91.959)    (91.959, 92.459)    (92.459, 92.759)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġthat               's                  Ġfine               Ġbut                Ġyou                Ġknow               Ġi                  'm                  Ġstill              Ġunemployed         Ġafter              Ġabout              Ġfourteen           Ġmonths            
Timings          : (88.799, 88.989)    (88.989, 89.104)    (89.104, 89.219)    (89.219, 89.779)    (89.779, 89.919)    (89.919, 90.009)    (90.009, 90.099)    (90.099, 90.154)    (90.154, 90.209)    (90.209, 90.479)    (90.479, 91.039)    (91.039, 91.669)    (91.669, 91.959)    (91.959, 92.459)    (92.459, 92.759)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653961256977      82653961256977      82653961256977      82653961256977      82653961256977      82653961256977      82653961256977      82653961256977      82653961256977      82653961256977      82653961256977      82653961256977      82653961256977      82653961256977      82653961256977     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġoh                 Ġyeah               Ġthat               's                  Ġworrisome          <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (92.759, 93.121)    (93.582, 93.783)    (93.783, 94.022)    (94.022, 94.223)    (94.223, 94.423)    (94.423, 94.999)    (-1.0, -1.0)        (95.047, 95.209)    (95.209, 95.429)    (95.429, 95.519)    (95.519, 95.859)    (95.859, 96.234)    (96.961, 97.139)    (97.139, 97.299)    (97.299, 97.789)   
Token Types      : 0                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   82653424386066      82653424386066      82653424386066      82653424386066      82653424386066      82653424386066      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġokay               <eot>               <emp>               Ġand                Ġwhen               Ġyou                Ġswitch             Ġyeah               Ġwhen               Ġyou                Ġswitch             Ġover               Ġthe                Ġthe                Ġpremiums          
Timings          : (92.759, 93.121)    (-1.0, -1.0)        (93.783, 94.022)    (93.933, 94.269)    (94.269, 94.409)    (94.409, 94.519)    (94.519, 95.047)    (95.047, 95.209)    (95.209, 95.429)    (95.429, 95.519)    (95.519, 95.859)    (95.859, 96.234)    (96.961, 97.139)    (97.139, 97.299)    (97.299, 97.789)   
Token Types      : 1                   1                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82653961256977      82653961256977      0                   82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451     
turn_end_types   : 1                   1                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               um                  <eint>              <emp>              
Timings          : (97.789, 97.939)    (97.939, 98.109)    (98.109, 98.379)    (98.379, 98.712)    (99.674, 99.806)    (99.806, 100.266)   (100.266, 100.326)  (100.326, 100.386)  (100.386, 100.576)  (100.576, 100.616)  (100.616, 100.826)  (100.826, 101.201)  (102.268, 102.872)  (-1.0, -1.0)        (102.448, 102.523) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82657719353357      82657719353357      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                  

B                : Ġare                Ġreally             Ġquite              Ġhigh               Ġand                Ġadditionally       Ġi                  've                 Ġhad                Ġa                  Ġheart              Ġattack             Ġso                 Ġit                 's                 
Timings          : (97.789, 97.939)    (97.939, 98.109)    (98.109, 98.379)    (98.379, 98.712)    (99.674, 99.806)    (99.806, 100.266)   (100.266, 100.326)  (100.326, 100.386)  (100.386, 100.576)  (100.576, 100.616)  (100.616, 100.826)  (100.826, 101.201)  (102.246, 102.373)  (102.373, 102.448)  (102.448, 102.523) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (102.523, 102.643)  (102.643, 102.703)  (102.703, 102.823)  (102.823, 103.283)  (103.283, 103.573)  (103.573, 103.823)  (103.823, 103.943)  (103.943, 104.053)  (104.053, 104.223)  (104.223, 104.481)  (104.899, 105.213)  (105.213, 105.349)  (105.349, 105.573)  (105.573, 105.762)  (105.943, 106.133) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġgoing              Ġto                 Ġbe                 Ġreally             Ġtough              Ġfor                Ġme                 Ġto                 Ġdo                 Ġthis               Ġso                 Ġyou                Ġknow               Ġuh                 Ġin                
Timings          : (102.523, 102.643)  (102.643, 102.703)  (102.703, 102.823)  (102.823, 103.283)  (103.283, 103.573)  (103.573, 103.823)  (103.823, 103.943)  (103.943, 104.053)  (104.053, 104.223)  (104.223, 104.481)  (104.899, 105.213)  (105.213, 105.349)  (105.349, 105.573)  (105.573, 105.762)  (105.943, 106.133) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (106.133, 106.323)  (106.323, 106.483)  (106.483, 106.863)  (106.863, 107.474)  (107.708, 108.101)  (108.101, 108.233)  (108.233, 108.603)  (108.603, 108.753)  (109.473, 109.923)  (109.923, 110.113)  (110.113, 110.383)  (110.383, 110.593)  (110.593, 110.653)  (110.653, 110.713)  (110.713, 110.933) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġin                 Ġmy                 Ġvery               Ġpersonal           Ġway                Ġi                  Ġfeel               Ġthat               Ġinsurance          Ġis                 Ġjust               Ġone                Ġof                 Ġthe                Ġmost              
Timings          : (106.133, 106.323)  (106.323, 106.483)  (106.483, 106.863)  (106.863, 107.474)  (107.708, 108.101)  (108.101, 108.233)  (108.233, 108.603)  (108.603, 108.753)  (109.473, 109.923)  (109.923, 110.113)  (110.113, 110.383)  (110.383, 110.593)  (110.593, 110.653)  (110.653, 110.713)  (110.713, 110.933) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451      82657182482451     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (110.933, 111.313)  (111.313, 111.673)  (111.673, 111.833)  (111.833, 112.123)  (112.123, 112.386)  (113.523, 113.664)  (113.664, 113.878)  (113.878, 114.019)  (114.019, 114.294)  (114.448, 114.982)  (114.982, 115.552)  (115.552, 115.612)  (115.612, 115.742)  (115.742, 115.822)  (115.822, 115.972) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
