A                : um                  Ġin                 Ġtex                as                  Ġthey               Ġdo                 Ġhave               Ġthe                Ġum                 Ġcapital            Ġpunishment         Ġand                Ġum                 Ġi                  Ġi                 
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġlike               Ġten                Ġto                 Ġfifteen            Ġyears              Ġbefore             Ġyou                Ġcan                Ġactually           Ġyou                Ġknow               Ġput                Ġsomebody           Ġto                 Ġdeath             
Timings          : (71.981, 72.249)    (72.648, 72.871)    (72.871, 72.951)    (72.951, 73.491)    (73.491, 74.086)    (74.704, 75.151)    (75.151, 75.271)    (75.271, 75.441)    (75.441, 76.084)    (76.696, 76.811)    (76.811, 77.066)    (77.935, 78.061)    (78.061, 78.311)    (78.311, 78.431)    (78.431, 78.691)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               yeah                <eint>              <emp>               Ġyeah               Ġthat               Ġis                 Ġa                  Ġconsequence        Ġyeah               <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (78.691, 78.761)    (78.866, 79.315)    (-1.0, -1.0)        (79.251, 79.708)    (80.257, 80.577)    (80.577, 80.747)    (80.747, 80.917)    (80.917, 80.967)    (80.967, 81.817)    (81.817, 82.143)    (-1.0, -1.0)        (82.874, 82.934)    (82.934, 83.194)    (83.194, 83.421)    (83.421, 83.647)   
Token Types      : 0                   5                   5                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 0                   83430813466627      83430813466627      0                   83426518499330      83426518499330      83426518499330      83426518499330      83426518499330      83426518499330      83426518499330      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : Ġfor                Ġfor                Ġa                  Ġcrime              <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               Ġand                Ġi                  Ġmean               Ġthat               's                 
Timings          : (78.691, 78.761)    (78.761, 79.103)    (79.103, 79.251)    (79.251, 79.708)    (-1.0, -1.0)        (80.577, 80.747)    (80.747, 80.917)    (80.917, 80.967)    (80.967, 81.817)    (81.817, 82.143)    (82.551, 82.874)    (82.874, 82.934)    (82.934, 83.194)    (83.194, 83.421)    (83.421, 83.647)   
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      0                   0                   0                   0                   0                   83427055370243      83427055370243      83427055370243      83427055370243      83427055370243     
turn_end_types   : 2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (83.647, 83.781)    (83.781, 83.914)    (83.914, 84.414)    (84.414, 84.454)    (84.454, 84.594)    (84.594, 84.704)    (84.704, 84.824)    (84.824, 85.097)    (85.79, 85.924)     (85.924, 86.192)    (86.192, 86.422)    (86.422, 86.623)    (87.316, 87.471)    (87.471, 87.964)    (87.964, 88.114)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthat               's                  Ġridiculous         Ġi                  Ġmean               Ġif                 Ġyou                Ġcan                Ġyou                Ġknow               Ġyou                Ġyou                Ġthe                Ġtrial              Ġis                
Timings          : (83.647, 83.781)    (83.781, 83.914)    (83.914, 84.414)    (84.414, 84.454)    (84.454, 84.594)    (84.594, 84.704)    (84.704, 84.824)    (84.824, 85.097)    (85.79, 85.924)     (85.924, 86.192)    (86.192, 86.422)    (86.422, 86.623)    (87.316, 87.471)    (87.471, 87.964)    (87.964, 88.114)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (88.114, 88.544)    (88.544, 88.672)    (88.672, 89.238)    (89.637, 89.754)    (89.754, 89.864)    (89.864, 90.124)    (90.124, 90.204)    (90.204, 90.604)    (90.604, 90.985)    (91.603, 91.94)     (92.09, 92.218)     (92.218, 92.474)    (92.474, 92.604)    (92.604, 93.073)    (93.952, 94.104)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsupposed           Ġto                 Ġprove              Ġyou                Ġknow               Ġwithin             Ġa                  Ġreasonable         Ġdoubt              Ġthat               Ġthe                Ġperson             Ġis                 Ġguilty             Ġand               
Timings          : (88.114, 88.544)    (88.544, 88.672)    (88.672, 89.238)    (89.637, 89.754)    (89.754, 89.864)    (89.864, 90.124)    (90.124, 90.204)    (90.204, 90.604)    (90.604, 90.985)    (91.603, 91.94)     (92.09, 92.218)     (92.218, 92.474)    (92.474, 92.604)    (92.604, 93.073)    (93.952, 94.104)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (94.104, 94.254)    (94.254, 94.364)    (94.364, 94.544)    (94.544, 95.264)    (95.264, 95.414)    (95.414, 95.534)    (95.534, 95.654)    (95.654, 96.067)    (96.33, 96.414)     (96.414, 96.524)    (96.524, 96.659)    (96.659, 96.794)    (96.794, 96.974)    (96.974, 97.164)    (97.164, 97.294)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthen               Ġthey               Ġhave               Ġappeals            Ġwell               Ġthat               's                  Ġfine               Ġbut                Ġit                 Ġshouldn            't                  Ġtake               Ġmore               Ġthan              
Timings          : (94.104, 94.254)    (94.254, 94.364)    (94.364, 94.544)    (94.544, 95.264)    (95.264, 95.414)    (95.414, 95.534)    (95.534, 95.654)    (95.654, 96.067)    (96.33, 96.414)     (96.414, 96.524)    (96.524, 96.659)    (96.659, 96.794)    (96.794, 96.974)    (96.974, 97.164)    (97.164, 97.294)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (97.294, 97.334)    (97.334, 97.794)    (97.794, 98.294)    (98.294, 98.44)     (98.44, 98.643)     (98.643, 98.789)    (98.782, 99.393)    (-1.0, -1.0)        (99.064, 99.354)    (99.354, 99.424)    (99.424, 99.644)    (99.644, 100.175)   (100.616, 101.259)  (101.583, 101.664)  (101.664, 101.844) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83428665982980      83428665982980      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġa                  Ġfew                Ġyears              Ġi                  Ġmean               Ġi                  Ġshould             Ġthink              Ġtwo                Ġor                 Ġthree              Ġyears              Ġmaximum            Ġyou                Ġshould            
Timings          : (97.294, 97.334)    (97.334, 97.794)    (97.794, 98.294)    (98.294, 98.44)     (98.44, 98.643)     (98.643, 98.789)    (98.789, 98.924)    (98.924, 99.064)    (99.064, 99.354)    (99.354, 99.424)    (99.424, 99.644)    (99.644, 100.175)   (100.616, 101.259)  (101.583, 101.664)  (101.664, 101.844) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (101.844, 101.984)  (101.984, 102.164)  (102.164, 102.284)  (102.284, 102.564)  (102.564, 102.694)  (102.694, 102.754)  (102.754, 102.904)  (102.904, 102.994)  (102.994, 103.144)  (103.144, 103.254)  (103.254, 103.394)  (103.394, 103.624)  (103.624, 103.684)  (103.684, 103.874)  (103.874, 104.024) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbe                 Ġable               Ġto                 Ġknow               Ġand                Ġyou                Ġshould             Ġbe                 Ġable               Ġto                 Ġeither             Ġput                Ġthe                Ġguy                Ġto                
Timings          : (101.844, 101.984)  (101.984, 102.164)  (102.164, 102.284)  (102.284, 102.564)  (102.564, 102.694)  (102.694, 102.754)  (102.754, 102.904)  (102.904, 102.994)  (102.994, 103.144)  (103.144, 103.254)  (103.254, 103.394)  (103.394, 103.624)  (103.624, 103.684)  (103.684, 103.874)  (103.874, 104.024) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (104.024, 104.42)   (104.963, 105.054)  (105.054, 105.129)  (105.129, 105.204)  (105.204, 105.854)  (105.874, 106.256)  (-1.0, -1.0)        (106.204, 106.361)  (106.361, 106.518)  (106.518, 106.724)  (106.724, 106.794)  (106.794, 106.864)  (106.864, 107.447)  (107.447, 107.794)  (107.794, 108.163) 
Token Types      : 0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   83428665982981      83428665982981      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġdeath              Ġor                 Ġhe                 's                  Ġinnocent           Ġi                  Ġmean               Ġit                 's                  Ġif                 Ġhe                 's                  Ġguilty             Ġfor                Ġfor               
Timings          : (104.024, 104.42)   (104.963, 105.054)  (105.054, 105.129)  (105.129, 105.204)  (105.204, 105.854)  (105.854, 105.954)  (105.954, 106.204)  (106.204, 106.361)  (106.361, 106.518)  (106.518, 106.724)  (106.724, 106.794)  (106.794, 106.864)  (106.864, 107.447)  (107.447, 107.794)  (107.794, 108.163) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               Ġwell              
Timings          : (108.163, 108.294)  (108.294, 108.434)  (108.434, 108.914)  (108.914, 109.314)  (109.314, 109.374)  (109.374, 109.604)  (109.604, 109.715)  (109.715, 109.944)  (109.944, 110.114)  (110.114, 110.284)  (110.509, 110.72)   (110.72, 110.932)   (-1.0, -1.0)        (111.104, 111.286)  (112.977, 113.037) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83428665982982      83428665982982      83428665982982      0                   83426518499332     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   1                  

B                : Ġyou                Ġknow               Ġmultiple           Ġmurders            Ġor                 Ġwhatever           Ġthe                Ġcase               Ġmay                Ġbe                 <emp>               <emp>               Ġyou                Ġknow               <eot>              
Timings          : (108.163, 108.294)  (108.294, 108.434)  (108.434, 108.914)  (108.914, 109.314)  (109.314, 109.374)  (109.374, 109.604)  (109.604, 109.715)  (109.715, 109.944)  (109.944, 110.114)  (110.114, 110.284)  (110.509, 110.72)   (110.72, 110.932)   (110.996, 111.104)  (111.104, 111.286)  (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243      83427055370243     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġmaybe              Ġthat               's                  Ġsomething          Ġthat               Ġneeds              Ġto                 Ġbe                 Ġworked             Ġon                 Ġbut                Ġi                  Ġi                  Ġjust               Ġfeel              
Timings          : (113.037, 113.247)  (113.247, 113.342)  (113.342, 113.437)  (113.437, 113.707)  (113.707, 113.817)  (113.817, 114.007)  (114.007, 114.137)  (114.137, 114.267)  (114.267, 114.657)  (114.657, 114.927)  (115.167, 115.277)  (115.277, 115.537)  (115.537, 115.697)  (115.697, 116.007)  (116.007, 116.227) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               yeah                <ebc>               <emp>               <emp>               <emp>              
Timings          : (113.037, 113.247)  (113.247, 113.342)  (113.342, 113.437)  (113.437, 113.707)  (113.707, 113.817)  (113.817, 114.007)  (114.007, 114.137)  (114.137, 114.267)  (114.267, 114.657)  (114.657, 114.927)  (115.158, 115.353)  (-1.0, -1.0)        (115.537, 115.697)  (115.697, 116.007)  (116.007, 116.227) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83429202853890      83429202853890      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                  


A                : Ġthat               Ġthat               Ġcapital            Ġpunishment         Ġneeds              Ġto                 Ġstay               Ġwithin             Ġthe                Ġsystem             Ġnot                Ġall                Ġstates             Ġhave               Ġthem              
Timings          : (116.227, 116.333)  (116.542, 116.743)  (117.712, 117.986)  (117.986, 118.346)  (118.346, 118.616)  (118.616, 118.814)  (118.814, 119.126)  (119.126, 119.386)  (119.386, 119.526)  (119.526, 119.946)  (120.407, 120.546)  (120.546, 120.696)  (120.696, 121.066)  (121.066, 121.286)  (121.286, 121.516) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (116.227, 116.333)  (116.542, 116.743)  (117.712, 117.986)  (117.986, 118.346)  (118.346, 118.616)  (118.616, 118.814)  (118.814, 119.126)  (119.126, 119.386)  (119.386, 119.526)  (119.526, 119.946)  (120.407, 120.546)  (120.546, 120.696)  (120.696, 121.066)  (121.066, 121.286)  (121.286, 121.516) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbut                Ġi                  Ġyou                Ġknow               Ġwas                Ġthat               Ġwas                Ġthat               Ġthe                Ġi                  'm                  Ġnot                Ġsure               Ġif                 Ġthat              
Timings          : (121.516, 121.676)  (121.676, 121.951)  (123.822, 123.912)  (123.912, 123.992)  (123.992, 124.172)  (124.172, 124.432)  (124.432, 124.582)  (124.582, 124.816)  (124.816, 124.971)  (124.971, 125.031)  (125.031, 125.092)  (125.092, 125.262)  (125.262, 125.362)  (125.362, 125.422)  (125.422, 125.522) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332      83426518499332     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (121.516, 121.676)  (121.676, 121.951)  (123.822, 123.912)  (123.912, 123.992)  (123.992, 124.172)  (124.172, 124.432)  (124.432, 124.582)  (124.582, 124.816)  (124.816, 124.971)  (124.971, 125.031)  (125.031, 125.092)  (125.092, 125.262)  (125.262, 125.362)  (125.362, 125.422)  (125.422, 125.522) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
