A                : any                 way                 Ġi                  Ġguess              Ġthere              Ġwas                Ġjust               Ġsomebody           Ġrecently           Ġdown               Ġthere              Ġwasn               't                  Ġtoday              Ġin                
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (60.568, 60.888)    (60.888, 60.948)    (60.948, 61.008)    (61.008, 61.188)    (61.188, 61.572)    (61.572, 62.008)    (62.008, 62.468)    (62.468, 62.498)    (62.498, 62.888)    (62.888, 62.978)    (62.978, 63.168)    (63.168, 63.278)    (63.278, 63.488)    (63.488, 63.817)    (63.817, 63.928)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmost               Ġabout              Ġit                 Ġis                 Ġthat               Ġthe                Ġprocess            Ġitself             Ġgets               Ġso                 Ġdrug               Ġout                Ġand                Ġso                 Ġyou               
Timings          : (63.928, 64.258)    (64.258, 64.538)    (64.538, 64.598)    (64.598, 64.798)    (64.798, 65.068)    (66.161, 66.507)    (66.507, 67.118)    (67.118, 67.637)    (67.637, 67.878)    (67.878, 68.018)    (68.018, 68.327)    (68.327, 68.628)    (68.628, 68.838)    (68.838, 69.359)    (70.354, 70.474)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (63.928, 64.258)    (64.258, 64.538)    (64.538, 64.598)    (64.598, 64.798)    (64.798, 65.068)    (66.161, 66.507)    (66.507, 67.118)    (67.118, 67.637)    (67.637, 67.878)    (67.878, 68.018)    (68.018, 68.327)    (68.327, 68.628)    (68.628, 68.838)    (68.838, 69.359)    (70.354, 70.474)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġknow               Ġi                  Ġunderstand         Ġyou                Ġneed               Ġto                 Ġprove              Ġwithout            Ġa                  Ġshadow             Ġof                 Ġa                  Ġdoubt              Ġthat               Ġthe               
Timings          : (70.474, 70.594)    (70.594, 70.694)    (70.694, 71.114)    (71.114, 71.174)    (71.174, 71.324)    (71.324, 71.484)    (71.484, 71.844)    (71.844, 72.114)    (72.114, 72.154)    (72.154, 72.354)    (72.354, 72.454)    (72.454, 72.524)    (72.524, 72.884)    (72.884, 73.094)    (73.094, 73.374)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (70.474, 70.594)    (70.594, 70.694)    (70.694, 71.114)    (71.114, 71.174)    (71.174, 71.324)    (71.324, 71.484)    (71.484, 71.844)    (71.844, 72.114)    (72.114, 72.154)    (72.154, 72.354)    (72.354, 72.454)    (72.454, 72.524)    (72.524, 72.884)    (72.884, 73.094)    (73.094, 73.374)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġguilt              Ġand                Ġwhat               not                 Ġbut                Ġthe                Ġappeal             Ġprocess            Ġof                 Ġit                 Ġi                  Ġthink              Ġis                 Ġwhat               Ġreally            
Timings          : (73.374, 73.834)    (73.834, 73.974)    (73.974, 74.229)    (74.229, 74.484)    (74.484, 74.839)    (75.106, 75.214)    (75.214, 75.484)    (75.484, 76.014)    (76.014, 76.154)    (76.154, 76.234)    (76.234, 76.284)    (76.284, 76.544)    (76.544, 76.644)    (76.644, 76.784)    (76.784, 76.974)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (73.374, 73.834)    (73.834, 73.974)    (73.974, 74.229)    (74.229, 74.484)    (74.484, 74.839)    (75.106, 75.214)    (75.214, 75.484)    (75.484, 76.014)    (76.014, 76.154)    (76.154, 76.234)    (76.234, 76.284)    (76.284, 76.544)    (76.544, 76.644)    (76.644, 76.784)    (76.784, 76.974)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbugs               Ġme                 Ġif                 Ġyou                're                 Ġgonna              Ġmake               Ġit                 Ġgo                 Ġso                 Ġlong               Ġyou                Ġknow               Ġwhat               's                 
Timings          : (76.974, 77.214)    (77.214, 77.384)    (77.384, 77.514)    (77.514, 77.574)    (77.574, 77.634)    (77.634, 77.979)    (77.979, 78.274)    (78.274, 78.414)    (78.414, 78.564)    (78.564, 78.784)    (78.784, 79.287)    (79.287, 79.424)    (79.424, 79.697)    (79.697, 79.87)     (79.87, 80.044)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (76.974, 77.214)    (77.214, 77.384)    (77.384, 77.514)    (77.514, 77.574)    (77.574, 77.634)    (77.634, 77.979)    (77.979, 78.274)    (78.274, 78.414)    (78.414, 78.564)    (78.564, 78.784)    (78.784, 79.287)    (79.287, 79.424)    (79.424, 79.697)    (79.697, 79.87)     (79.87, 80.044)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġuse                Ġof                 Ġit                 Ġit                 Ġalmost             Ġbecomes            Ġmore               Ġmore               Ġcost               Ġyou                Ġknow               Ġto                 Ġmuch               Ġcost              
Timings          : (80.044, 80.124)    (80.124, 80.394)    (80.394, 80.524)    (80.524, 80.649)    (81.092, 81.239)    (81.239, 81.489)    (81.489, 81.929)    (81.929, 82.406)    (82.933, 83.129)    (83.129, 83.429)    (83.429, 83.499)    (83.499, 83.609)    (83.609, 83.799)    (83.799, 84.029)    (84.029, 84.509)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               yeah                <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (80.044, 80.124)    (80.124, 80.394)    (80.394, 80.524)    (80.524, 80.649)    (80.846, 81.286)    (-1.0, -1.0)        (81.489, 81.929)    (81.929, 82.406)    (82.933, 83.129)    (83.129, 83.429)    (83.429, 83.499)    (83.499, 83.609)    (83.609, 83.799)    (83.799, 84.029)    (84.029, 84.509)   
Token Types      : 0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   82432770441219      82432770441219      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġmore               Ġtrouble            Ġthan               Ġit                 's                  Ġworth              Ġyou                Ġknow               Ġto                 Ġto                 Ġput                Ġsomebody           Ġlike               Ġthat              
Timings          : (84.509, 84.791)    (85.194, 85.409)    (85.409, 85.769)    (85.769, 85.889)    (85.889, 85.984)    (85.984, 86.079)    (86.079, 86.533)    (86.533, 86.799)    (86.799, 87.181)    (87.181, 87.67)     (88.559, 88.679)    (88.679, 88.949)    (88.949, 89.229)    (89.229, 89.449)    (89.449, 89.669)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (84.509, 84.791)    (85.194, 85.409)    (85.409, 85.769)    (85.769, 85.889)    (85.889, 85.984)    (85.984, 86.079)    (86.079, 86.533)    (86.622, 86.983)    (-1.0, -1.0)        (87.181, 87.67)     (88.559, 88.679)    (88.679, 88.949)    (88.949, 89.229)    (89.229, 89.449)    (89.449, 89.669)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   82432770441220      82432770441220      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġto                 Ġdeath              Ġor                 Ġsomething          Ġthat               Ġyou                Ġknow               Ġrather             Ġthan               Ġjust               Ġsentence           Ġhim                Ġto                 Ġlife               Ġand               
Timings          : (89.669, 89.759)    (89.759, 90.079)    (90.079, 90.179)    (90.179, 90.419)    (90.419, 90.539)    (90.539, 90.669)    (90.669, 90.927)    (91.54, 91.88)      (91.88, 92.4)       (92.4, 92.68)       (92.68, 93.1)       (93.1, 93.19)       (93.19, 93.25)      (93.25, 93.57)      (93.57, 93.68)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (89.669, 89.759)    (89.759, 90.079)    (90.079, 90.179)    (90.179, 90.419)    (90.419, 90.539)    (90.539, 90.669)    (90.669, 90.927)    (91.54, 91.88)      (91.88, 92.4)       (92.4, 92.68)       (92.68, 93.1)       (93.1, 93.19)       (93.19, 93.25)      (93.25, 93.57)      (93.57, 93.68)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġforget             Ġall                Ġthe                Ġhassle             Ġyou                Ġdon                't                  Ġhave               Ġto                 Ġpay                Ġthe                Ġattorneys          Ġall                Ġthose              Ġfees              
Timings          : (93.68, 93.96)      (93.96, 94.08)      (94.08, 94.16)      (94.16, 94.53)      (94.53, 94.6)       (94.6, 94.685)      (94.685, 94.77)     (94.77, 94.86)      (94.86, 94.92)      (94.92, 95.03)      (95.03, 95.09)      (95.09, 95.46)      (95.46, 95.61)      (95.61, 95.82)      (95.82, 96.06)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (93.68, 93.96)      (93.96, 94.08)      (94.08, 94.16)      (94.16, 94.53)      (94.53, 94.6)       (94.6, 94.685)      (94.685, 94.77)     (94.77, 94.86)      (94.86, 94.92)      (94.92, 95.03)      (95.03, 95.09)      (95.09, 95.46)      (95.46, 95.61)      (95.61, 95.82)      (95.82, 96.06)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthey               Ġget                Ġand                Ġwhat               not                 Ġbecause            Ġi                  Ġfeel               Ġlike               Ġyou                Ġknow               Ġsometimes          Ġit                 Ġgets               Ġtoo               
Timings          : (96.06, 96.24)      (96.24, 96.51)      (96.51, 96.6)       (96.6, 96.806)      (96.806, 97.012)    (97.294, 97.5)      (97.741, 97.9)      (97.9, 98.16)       (98.16, 98.497)     (98.497, 98.64)     (98.64, 98.75)      (98.75, 99.14)      (99.14, 99.21)      (99.21, 99.37)      (99.37, 99.56)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               yeah                <eint>              <emp>               <emp>               <emp>               Ġyeah               <eint>              <emp>               <emp>               <emp>              
Timings          : (96.06, 96.24)      (96.24, 96.51)      (96.51, 96.6)       (96.6, 96.806)      (96.806, 97.012)    (97.199, 97.604)    (-1.0, -1.0)        (97.9, 98.16)       (98.16, 98.497)     (98.497, 98.64)     (98.577, 99.104)    (-1.0, -1.0)        (99.14, 99.21)      (99.21, 99.37)      (99.37, 99.56)     
Token Types      : 0                   0                   0                   0                   0                   5                   5                   0                   0                   0                   5                   5                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   82434917924869      82434917924869      0                   0                   0                   82434917924870      82434917924870      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   2                   2                   0                   0                   0                  


A                : Ġdrug               Ġout                Ġbut                <emp>               Ġi                  Ġthink              Ġi                  Ġam                 Ġi                  Ġam                 Ġbasically          Ġfor                Ġit                 Ġwith               Ġif                
Timings          : (99.56, 99.87)      (99.87, 100.16)     (100.16, 100.48)    (100.363, 100.787)  (101.041, 101.121)  (101.121, 101.281)  (101.281, 101.311)  (101.311, 101.497)  (101.497, 101.651)  (101.651, 101.811)  (101.811, 102.171)  (102.171, 102.541)  (102.541, 102.711)  (102.711, 103.053)  (103.302, 103.716) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (99.56, 99.87)      (99.87, 100.16)     (100.16, 100.48)    (100.363, 100.787)  (-1.0, -1.0)        (101.121, 101.281)  (101.281, 101.311)  (101.311, 101.497)  (101.497, 101.651)  (101.651, 101.811)  (101.811, 102.171)  (102.171, 102.541)  (102.541, 102.711)  (102.711, 103.053)  (103.302, 103.716) 
Token Types      : 0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   82432770441221      82432770441221      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyou                Ġknow               Ġif                 Ġthe                Ġcrime              Ġof                 Ġcourse             Ġfits               Ġit                 Ġbecause            Ġsome               Ġof                 Ġthose              Ġpeople             Ġthis              
Timings          : (103.716, 103.891)  (103.891, 103.991)  (103.991, 104.141)  (104.141, 104.211)  (104.211, 104.641)  (104.641, 104.741)  (104.741, 105.221)  (105.447, 105.771)  (105.771, 105.881)  (105.881, 106.301)  (106.301, 107.041)  (107.041, 107.101)  (107.101, 107.241)  (107.241, 107.551)  (107.551, 107.882) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662      82430086086662     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>              
Timings          : (103.716, 103.891)  (103.891, 103.991)  (103.991, 104.141)  (104.141, 104.211)  (104.211, 104.641)  (104.641, 104.741)  (104.741, 105.221)  (105.447, 105.771)  (105.771, 105.881)  (105.881, 106.301)  (106.413, 106.831)  (-1.0, -1.0)        (107.101, 107.241)  (107.241, 107.551)  (107.551, 107.882) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82432770441222      82432770441222      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                  


A                : Ġyou                Ġgot                Ġto                 Ġwonder             Ġwill               Ġthey               Ġever               Ġdo                 Ġanything           Ġi                  Ġmean               <yield>             <emp>               <emp>               <emp>              
