A                : well                Ġwhat               's                  Ġyour               Ġopinion            Ġon                 Ġcapital            Ġpunishment         <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
turn_ids         : 83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (76.488, 76.755)    (76.755, 76.955)    (76.955, 77.085)    (77.085, 77.376)    (77.376, 77.666)    (77.666, 77.956)    (77.956, 78.145)    (78.145, 78.295)    (78.295, 78.375)    (78.375, 78.425)    (78.425, 78.625)    (78.625, 78.685)    (78.685, 78.915)    (78.915, 79.185)    (79.185, 79.395)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġrather             Ġinteresting        Ġin                 Ġhow                Ġthat               Ġuh                 Ġthey               Ġprolonged          Ġthe                Ġguy                Ġthat               Ġwas                Ġsupposed           Ġto                 Ġbe                
Timings          : (79.395, 79.635)    (79.635, 80.245)    (80.245, 80.365)    (80.365, 80.853)    (81.17, 81.492)     (81.692, 81.915)    (81.915, 82.165)    (82.165, 82.857)    (83.105, 83.155)    (83.155, 83.435)    (83.435, 83.575)    (83.575, 83.952)    (83.952, 84.355)    (84.355, 84.425)    (84.425, 84.565)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (79.395, 79.635)    (79.635, 80.245)    (80.245, 80.365)    (80.365, 80.853)    (81.17, 81.492)     (81.692, 81.915)    (81.915, 82.165)    (82.165, 82.857)    (83.105, 83.155)    (83.155, 83.435)    (83.435, 83.575)    (83.575, 83.952)    (83.952, 84.355)    (84.355, 84.425)    (84.425, 84.565)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġexecuted           <emp>               Ġand                Ġi                  Ġjust               Ġi                  Ġcan                't                  Ġsee                Ġany                Ġreal               Ġvalue              Ġin                 Ġjust               Ġletting           
Timings          : (84.565, 85.215)    (85.192, 85.572)    (86.226, 86.644)    (87.089, 87.254)    (87.254, 87.624)    (87.624, 87.746)    (87.746, 87.916)    (87.916, 88.086)    (88.086, 88.545)    (88.545, 88.866)    (88.866, 89.136)    (89.136, 89.819)    (90.011, 90.176)    (90.176, 90.456)    (90.456, 90.686)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (84.565, 85.215)    (85.192, 85.572)    (-1.0, -1.0)        (87.089, 87.254)    (87.254, 87.624)    (87.624, 87.746)    (87.746, 87.916)    (87.916, 88.086)    (88.086, 88.545)    (88.545, 88.866)    (88.866, 89.136)    (89.136, 89.819)    (90.011, 90.176)    (90.176, 90.456)    (90.456, 90.686)   
Token Types      : 0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   83068425601030      83068425601030      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthese              Ġpeople             Ġlive               Ġout                Ġtheir              Ġsentences          <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (90.686, 90.806)    (90.806, 91.126)    (91.126, 91.266)    (91.266, 91.456)    (91.456, 91.832)    (92.115, 92.91)     (-1.0, -1.0)        (93.404, 93.595)    (94.509, 94.899)    (94.899, 95.089)    (95.089, 95.469)    (95.469, 95.559)    (95.559, 95.769)    (95.769, 95.941)    (96.318, 97.033)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 Ġyeah               Ġit                 Ġseems              Ġa                  Ġlittle             Ġbit                Ġridiculous        
Timings          : (90.686, 90.806)    (90.806, 91.126)    (91.126, 91.266)    (91.266, 91.456)    (91.456, 91.832)    (92.115, 92.91)     (93.212, 93.404)    (93.404, 93.595)    (94.509, 94.899)    (94.899, 95.089)    (95.089, 95.469)    (95.469, 95.559)    (95.559, 95.769)    (95.769, 95.941)    (96.318, 97.033)   
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83066278117381      83066278117381      83066278117381      83066278117381      83066278117381      83066278117381      83066278117381      83066278117381      83066278117381     
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (97.27, 97.659)     (97.659, 97.911)    (98.844, 99.094)    (99.094, 99.241)    (99.241, 99.773)    (99.773, 100.254)   (100.254, 100.354)  (100.354, 100.684)  (100.684, 100.976)  (101.907, 102.605)  (102.605, 103.005)  (103.005, 103.223)  (103.223, 103.44)   (103.44, 103.926)   (103.926, 104.412) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbecause            Ġof                 Ġjust               Ġthe                Ġtax                Ġdollar             Ġit                 Ġtakes              Ġto                 Ġmaintain           Ġsomebody           Ġthat               's                  Ġhopeless           ly                 
Timings          : (97.27, 97.659)     (97.659, 97.911)    (98.844, 99.094)    (99.094, 99.241)    (99.241, 99.773)    (99.773, 100.254)   (100.254, 100.354)  (100.354, 100.684)  (100.684, 100.976)  (101.907, 102.605)  (102.605, 103.005)  (103.005, 103.223)  (103.223, 103.44)   (103.44, 103.926)   (103.926, 104.412) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83066278117381      83066278117381      83066278117381      83066278117381      83066278117381      83066278117381      83066278117381      83066278117381      83066278117381      83066278117381      83066278117381      83066278117381      83066278117381      83066278117381      83066278117381     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 Ġand                <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (106.118, 106.268)  (106.268, 106.488)  (106.488, 106.938)  (106.938, 107.326)  (107.326, 107.968)  (108.025, 108.272)  (108.272, 108.519)  (109.352, 109.633)  (-1.0, -1.0)        (110.196, 110.433)  (110.433, 110.67)   (111.063, 111.166)  (111.166, 111.268)  (111.268, 111.448)  (111.448, 111.618) 
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   83065741246470      83065741246470      83065741246470      83065741246470      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġyou                Ġknow               Ġjust               Ġuh                 Ġviolent            <eot>               <emp>               Ġand                Ġuh                 Ġit                 's                  Ġdoesn              't                  Ġmake               Ġmuch              
Timings          : (106.118, 106.268)  (106.268, 106.488)  (106.488, 106.938)  (106.938, 107.326)  (107.326, 107.968)  (-1.0, -1.0)        (108.272, 108.519)  (109.218, 109.678)  (109.678, 110.196)  (110.196, 110.433)  (110.433, 110.67)   (111.063, 111.166)  (111.166, 111.268)  (111.268, 111.448)  (111.448, 111.618) 
Token Types      : 1                   1                   1                   1                   1                   1                   0                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83066278117381      83066278117381      83066278117381      83066278117381      83066278117381      83066278117381      0                   83069499342855      83069499342855      83069499342855      83069499342855      83069499342855      83069499342855      83069499342855      83069499342855     
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   0                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġhow                Ġdo                 Ġyou                Ġfeel               Ġabout              Ġinsanity           Ġpleas              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (111.618, 112.102)  (112.299, 112.419)  (112.419, 112.489)  (112.489, 112.579)  (112.579, 112.809)  (112.809, 113.079)  (113.079, 113.649)  (113.649, 114.104)  (-1.0, -1.0)        (115.971, 116.41)   (117.909, 118.263)  (118.263, 118.364)  (118.364, 118.481)  (118.481, 118.597)  (118.597, 118.817) 
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   83065741246472      83065741246472      83065741246472      83065741246472      83065741246472      83065741246472      83065741246472      83065741246472      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġsense              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġuh                 Ġi                  Ġi                  Ġdon                't                  Ġthink             
Timings          : (111.618, 112.102)  (-1.0, -1.0)        (112.419, 112.489)  (112.489, 112.579)  (112.579, 112.809)  (112.809, 113.079)  (113.079, 113.649)  (113.649, 114.104)  (115.538, 115.971)  (115.971, 116.41)   (117.909, 118.263)  (118.263, 118.364)  (118.364, 118.481)  (118.481, 118.597)  (118.597, 118.817) 
Token Types      : 4                   4                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83069499342855      83069499342855      0                   0                   0                   0                   0                   0                   83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385     
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (118.817, 118.892)  (118.892, 118.967)  (118.967, 119.287)  (119.287, 119.427)  (119.427, 119.707)  (120.806, 121.406)  (122.331, 122.821)  (122.821, 123.205)  (124.379, 124.869)  (125.857, 126.143)  (126.143, 126.254)  (126.254, 126.342)  (126.342, 126.43)   (126.43, 126.574)   (126.574, 126.649) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 's                  Ġmuch               Ġof                 Ġa                  Ġa                  Ġreason             Ġfor                Ġum                 Ġi                  Ġi                  Ġdon                't                  Ġthink              Ġit                
Timings          : (118.817, 118.892)  (118.892, 118.967)  (118.967, 119.287)  (119.287, 119.427)  (119.427, 119.707)  (120.806, 121.406)  (122.331, 122.821)  (122.821, 123.205)  (124.379, 124.869)  (125.857, 126.143)  (126.143, 126.254)  (126.254, 126.342)  (126.342, 126.43)   (126.43, 126.574)   (126.574, 126.649) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (126.649, 126.724)  (126.724, 126.954)  (126.954, 127.104)  (127.104, 127.31)   (128.908, 129.278)  (129.278, 129.378)  (129.378, 129.548)  (129.548, 129.908)  (129.908, 130.188)  (130.188, 130.466)  (130.56, 130.778)   (130.778, 130.878)  (130.878, 131.198)  (131.198, 131.288)  (131.288, 131.598) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 's                  Ġmuch               Ġof                 Ġa                  Ġreason             Ġto                 Ġget                Ġsomebody           Ġoff                Ġa                  Ġoff                Ġthe                Ġhook               Ġi                  Ġmean              
Timings          : (126.649, 126.724)  (126.724, 126.954)  (126.954, 127.104)  (127.104, 127.31)   (128.908, 129.278)  (129.278, 129.378)  (129.378, 129.548)  (129.548, 129.908)  (129.908, 130.188)  (130.188, 130.466)  (130.56, 130.778)   (130.778, 130.878)  (130.878, 131.198)  (131.198, 131.288)  (131.288, 131.598) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (132.48, 132.743)   (132.743, 132.923)  (132.923, 133.06)   (133.06, 133.197)   (133.197, 133.333)  (133.333, 133.46)   (133.46, 133.587)   (133.587, 133.713)  (133.713, 133.968)  (133.968, 134.073)  (134.073, 134.183)  (134.183, 134.293)  (134.293, 134.58)   (134.58, 134.693)   (134.693, 134.817) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġlike               Ġuh                 Ġje                 ff                  rey                 Ġd                  ahl                 mer                 Ġi                  Ġi                  Ġdon                't                  Ġknow               Ġi                  Ġhaven             
Timings          : (132.48, 132.743)   (132.743, 132.923)  (132.923, 133.06)   (133.06, 133.197)   (133.197, 133.333)  (133.333, 133.46)   (133.46, 133.587)   (133.587, 133.713)  (133.713, 133.968)  (133.968, 134.073)  (134.073, 134.183)  (134.183, 134.293)  (134.293, 134.58)   (134.58, 134.693)   (134.693, 134.817) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (134.817, 134.941)  (136.716, 137.197)  (137.197, 137.439)  (137.879, 138.327)  (138.327, 138.407)  (138.407, 138.617)  (138.617, 138.817)  (138.817, 139.007)  (139.007, 139.167)  (139.167, 139.257)  (139.257, 139.755)  (139.755, 139.976)  (140.926, 141.076)  (141.076, 141.296)  (141.296, 141.416) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 't                  Ġfollowed           Ġthat               Ġsince              Ġyou                Ġknow               Ġit                 Ġwas                Ġon                 Ġthe                Ġnews               Ġbut                Ġuh                 Ġyou                Ġknow              
Timings          : (134.817, 134.941)  (136.716, 137.197)  (137.197, 137.439)  (137.879, 138.327)  (138.327, 138.407)  (138.407, 138.617)  (138.617, 138.817)  (138.817, 139.007)  (139.007, 139.167)  (139.167, 139.257)  (139.257, 139.755)  (139.755, 139.976)  (140.926, 141.076)  (141.076, 141.296)  (141.296, 141.416) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (141.416, 141.531)  (141.531, 141.646)  (141.646, 141.801)  (141.801, 141.956)  (141.956, 142.276)  (142.276, 142.436)  (142.436, 142.526)  (142.526, 142.746)  (142.746, 142.866)  (142.866, 143.107)  (143.657, 144.206)  (144.206, 144.496)  (144.496, 144.536)  (144.536, 144.631)  (144.631, 144.726) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  've                 Ġi                  've                 Ġheard              Ġthat               Ġthere              Ġmight              Ġbe                 Ġsome               Ġinsanity           Ġthere              Ġi                  Ġdon                't                 
Timings          : (141.416, 141.531)  (141.531, 141.646)  (141.646, 141.801)  (141.801, 141.956)  (141.956, 142.276)  (142.276, 142.436)  (142.436, 142.526)  (142.526, 142.746)  (142.746, 142.866)  (142.866, 143.107)  (143.657, 144.206)  (144.206, 144.496)  (144.496, 144.536)  (144.536, 144.631)  (144.631, 144.726) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385      83066278117385     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
