A                : well                Ġi                  Ġhaven              't                  Ġhad                Ġan                 Ġawful              Ġlot                Ġof                 Ġuh                 Ġincidents          Ġin                 Ġregarding          Ġchild              Ġcare              
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (83.663, 83.943)    (83.943, 84.033)    (84.033, 84.093)    (84.093, 84.183)    (84.183, 84.563)    (84.563, 84.855)    (85.287, 85.376)    (85.376, 85.575)    (85.712, 85.911)    (85.911, 86.138)    (86.138, 86.238)    (86.238, 86.585)    (87.007, 87.158)    (87.158, 87.698)    (87.698, 87.948)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwork               Ġout                Ġof                 Ġthe                Ġhome               Ġand                Ġmy                 Ġkids               Ġi                  Ġthink              Ġare                Ġvery               Ġvery               Ġsecure             Ġwell              
Timings          : (83.663, 83.943)    (83.943, 84.033)    (84.033, 84.093)    (84.093, 84.183)    (84.183, 84.563)    (84.563, 84.855)    (85.287, 85.376)    (85.376, 85.575)    (85.712, 85.911)    (85.911, 86.138)    (86.138, 86.238)    (86.238, 86.585)    (87.007, 87.158)    (87.158, 87.698)    (87.698, 87.948)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               hm                  <eint>             
Timings          : (87.948, 88.228)    (88.228, 88.58)     (88.921, 89.052)    (89.052, 89.518)    (89.518, 89.668)    (89.668, 89.948)    (89.948, 90.068)    (90.068, 90.238)    (90.238, 90.358)    (90.358, 90.658)    (90.658, 90.888)    (90.888, 91.368)    (91.368, 91.938)    (92.387, 92.83)     (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83774410850305      83774410850305     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġraised             Ġchildren           Ġmy                 Ġcomment            Ġon                 Ġthis               Ġis                 Ġthat               Ġwe                 Ġpaid               Ġan                 Ġabsolute           Ġfortune            <emp>               Ġover              
Timings          : (87.948, 88.228)    (88.228, 88.58)     (88.921, 89.052)    (89.052, 89.518)    (89.518, 89.668)    (89.668, 89.948)    (89.948, 90.068)    (90.068, 90.238)    (90.238, 90.358)    (90.358, 90.658)    (90.658, 90.888)    (90.888, 91.368)    (91.368, 91.938)    (92.387, 92.83)     (92.741, 93.008)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (93.008, 93.078)    (93.078, 93.528)    (93.528, 93.728)    (93.728, 93.778)    (93.778, 94.258)    (94.258, 94.368)    (94.368, 95.159)    (96.014, 96.11)     (96.11, 96.34)      (96.46, 96.777)     (96.947, 97.09)     (97.09, 97.187)     (97.705, 98.101)    (98.101, 98.259)    (98.259, 98.419)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthe                Ġyears              Ġfor                Ġa                  Ġvariety            Ġof                 Ġopportunities      Ġso                 Ġi                  Ġi                  Ġi                  Ġuh                 Ġyou                Ġknow               Ġit                
Timings          : (93.008, 93.078)    (93.078, 93.528)    (93.528, 93.728)    (93.728, 93.778)    (93.778, 94.258)    (94.258, 94.368)    (94.368, 95.159)    (96.014, 96.11)     (96.11, 96.34)      (96.46, 96.777)     (96.947, 97.09)     (97.09, 97.187)     (97.705, 98.101)    (98.101, 98.259)    (98.259, 98.419)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (98.419, 98.599)    (98.599, 98.678)    (98.678, 99.088)    (99.239, 99.413)    (100.034, 100.159)  (100.159, 100.359)  (100.359, 100.479)  (100.479, 100.809)  (100.809, 100.939)  (100.939, 101.025)  (101.025, 101.145)  (101.145, 101.249)  (101.249, 101.449)  (101.449, 101.549)  (101.549, 101.709) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġis                 Ġa                  Ġproblem            Ġand                Ġbut                Ġas                 Ġyou                Ġpointed            Ġout                Ġi                  Ġthink              Ġi                  Ġthink              Ġthe                Ġreal              
Timings          : (98.419, 98.599)    (98.599, 98.678)    (98.678, 99.088)    (99.239, 99.413)    (100.034, 100.159)  (100.159, 100.359)  (100.359, 100.479)  (100.479, 100.809)  (100.809, 100.939)  (100.939, 101.025)  (101.025, 101.145)  (101.145, 101.249)  (101.249, 101.449)  (101.449, 101.549)  (101.549, 101.709) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (101.709, 102.18)   (102.564, 102.642)  (102.852, 102.989)  (102.989, 103.149)  (103.149, 103.419)  (103.419, 103.739)  (103.739, 103.929)  (103.929, 104.449)  (104.449, 104.609)  (104.609, 104.839)  (104.839, 105.049)  (105.049, 105.539)  (105.539, 105.689)  (105.689, 105.919)  (105.919, 106.149) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġproblem            Ġis                 Ġthe                Ġlow                Ġpay                Ġchild              Ġcare               Ġfacilities         Ġand                Ġthat               Ġis                 Ġsometimes          Ġwhat               Ġsome               Ġwomen             
Timings          : (101.709, 102.18)   (102.564, 102.642)  (102.852, 102.989)  (102.989, 103.149)  (103.149, 103.419)  (103.419, 103.739)  (103.739, 103.929)  (103.929, 104.449)  (104.449, 104.609)  (104.609, 104.839)  (104.839, 105.049)  (105.049, 105.539)  (105.539, 105.689)  (105.689, 105.919)  (105.919, 106.149) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (106.149, 106.269)  (106.269, 106.509)  (106.509, 106.629)  (106.629, 106.809)  (106.809, 106.959)  (106.959, 107.139)  (107.139, 107.309)  (107.309, 107.439)  (107.439, 107.619)  (107.619, 108.118)  (109.293, 109.384)  (109.384, 109.512)  (109.512, 109.792)  (109.792, 109.852)  (109.852, 110.132) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwho                Ġhave               Ġto                 Ġwork               Ġthat               Ġis                 Ġall                Ġthey               Ġcan                Ġafford             Ġwhen               Ġour                Ġchildren           Ġwere               Ġvery              
Timings          : (106.149, 106.269)  (106.269, 106.509)  (106.509, 106.629)  (106.629, 106.809)  (106.809, 106.959)  (106.959, 107.139)  (107.139, 107.309)  (107.309, 107.439)  (107.439, 107.619)  (107.619, 108.118)  (109.293, 109.384)  (109.384, 109.512)  (109.512, 109.792)  (109.792, 109.852)  (109.852, 110.132) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġh                  m                   <eint>             
Timings          : (110.132, 110.392)  (110.392, 110.522)  (110.522, 110.692)  (110.692, 110.782)  (110.782, 111.124)  (111.124, 111.214)  (111.214, 111.352)  (111.352, 111.535)  (111.797, 112.019)  (112.463, 112.778)  (112.778, 113.092)  (113.302, 113.412)  (113.501, 113.602)  (113.602, 113.703)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   5                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83774410850306      83774410850306      83774410850306     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġyoung              Ġwe                 Ġhad                Ġa                  Ġpay                Ġa                  Ġlive               Ġin                 Ġpaid               Ġbabys              itter               Ġthat               Ġwas                Ġwonderful          Ġand               
Timings          : (110.132, 110.392)  (110.392, 110.522)  (110.522, 110.692)  (110.692, 110.782)  (110.782, 111.124)  (111.124, 111.214)  (111.214, 111.352)  (111.352, 111.535)  (111.797, 112.019)  (112.463, 112.778)  (112.778, 113.092)  (113.302, 113.412)  (113.412, 113.572)  (113.572, 114.1)    (114.322, 114.432) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (114.432, 114.522)  (114.522, 114.632)  (114.632, 114.732)  (114.732, 114.922)  (114.922, 115.422)  (115.422, 115.542)  (115.542, 115.772)  (115.772, 115.977)  (115.977, 116.224)  (117.132, 117.282)  (117.282, 117.682)  (117.682, 117.752)  (117.752, 117.992)  (117.992, 118.112)  (118.112, 118.642) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthen               Ġas                 Ġthey               Ġgot                Ġolder              Ġthey               Ġwent               Ġto                 Ġuh                 Ġi                  Ġpreferred          Ġto                 Ġcall               Ġthem               Ġschools           
Timings          : (114.432, 114.522)  (114.522, 114.632)  (114.632, 114.732)  (114.732, 114.922)  (114.922, 115.422)  (115.422, 115.542)  (115.542, 115.772)  (115.772, 115.977)  (115.977, 116.224)  (117.132, 117.282)  (117.282, 117.682)  (117.682, 117.752)  (117.752, 117.992)  (117.992, 118.112)  (118.112, 118.642) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (118.642, 118.732)  (118.732, 118.844)  (118.844, 119.102)  (119.102, 119.275)  (119.275, 119.452)  (119.452, 119.612)  (119.612, 119.862)  (119.862, 120.112)  (120.112, 120.202)  (120.202, 120.262)  (120.262, 120.372)  (120.372, 120.944)  (121.853, 121.905)  (121.905, 122.042)  (122.042, 122.189) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġthey               Ġreally             Ġwere               Ġall                Ġday                Ġpreschool          s                   Ġand                Ġthey               Ġwere               Ġwonderful          Ġand                Ġi                  Ġthink             
Timings          : (118.642, 118.732)  (118.732, 118.844)  (118.844, 119.102)  (119.102, 119.275)  (119.275, 119.452)  (119.452, 119.612)  (119.612, 119.862)  (119.862, 120.112)  (120.112, 120.202)  (120.202, 120.262)  (120.262, 120.372)  (120.372, 120.944)  (121.853, 121.905)  (121.905, 122.042)  (122.042, 122.189) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġwell               Ġthat               's                  Ġinteresting        <eot>              
Timings          : (122.189, 122.28)   (122.28, 122.41)    (122.41, 122.969)   (122.969, 123.07)   (123.07, 123.14)    (123.14, 123.339)   (123.339, 123.479)  (123.479, 123.799)  (123.799, 124.28)   (124.665, 124.978)  (124.978, 125.124)  (125.124, 125.21)   (125.21, 125.297)   (125.297, 125.837)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   83770115883010      83770115883010      83770115883010      83770115883010      83770115883010      83770115883010     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  

B                : Ġthey               Ġgot                Ġexposed            Ġto                 Ġa                  Ġlot                Ġof                 Ġneat               Ġthings             <eot>               <emp>               <emp>               <emp>               Ġbut                Ġwe                
Timings          : (122.189, 122.28)   (122.28, 122.41)    (122.41, 122.969)   (122.969, 123.07)   (123.07, 123.14)    (123.14, 123.339)   (123.339, 123.479)  (123.479, 123.799)  (123.799, 124.28)   (-1.0, -1.0)        (124.978, 125.124)  (125.124, 125.21)   (125.21, 125.297)   (125.653, 125.891)  (125.891, 126.023) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                  
turn_ids         : 83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      83770652753921      0                   0                   0                   83770652753923      83770652753923     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (126.023, 126.193)  (126.478, 126.599)  (126.599, 126.863)  (126.863, 127.293)  (127.293, 127.503)  (127.503, 127.703)  (127.703, 127.733)  (127.733, 128.173)  (128.173, 128.213)  (128.213, 128.383)  (128.383, 128.463)  (128.463, 128.593)  (128.593, 129.055)  (130.099, 130.248)  (130.248, 130.45)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġdid                Ġwe                 Ġreally             Ġtruly              Ġdid                Ġpay                Ġa                  Ġfortune            Ġi                  Ġmean               Ġwe                 Ġwere               Ġpaying             Ġat                 Ġone               
Timings          : (126.023, 126.193)  (126.478, 126.599)  (126.599, 126.863)  (126.863, 127.293)  (127.293, 127.503)  (127.503, 127.703)  (127.703, 127.733)  (127.733, 128.173)  (128.173, 128.213)  (128.213, 128.383)  (128.383, 128.463)  (128.463, 128.593)  (128.593, 129.055)  (130.099, 130.248)  (130.248, 130.45)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753923      83770652753923      83770652753923      83770652753923      83770652753923      83770652753923      83770652753923      83770652753923      83770652753923      83770652753923      83770652753923      83770652753923      83770652753923      83770652753923      83770652753923     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (130.589, 130.896)  (131.97, 132.216)   (132.631, 132.82)   (133.046, 133.289)  (133.289, 133.458)  (133.59, 133.889)   (134.186, 134.411)  (134.411, 134.471)  (134.471, 134.651)  (134.651, 134.871)  (134.871, 135.081)  (135.081, 135.341)  (135.341, 135.411)  (135.411, 135.761)  (135.761, 135.861) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġpoint              Ġwell               Ġabout              Ġabout              Ġclose              Ġuh                 Ġclose              Ġto                 Ġabout              Ġfive               Ġhundred            Ġdollars            Ġa                  Ġweek               Ġfor               
Timings          : (130.589, 130.896)  (131.97, 132.216)   (132.631, 132.82)   (133.046, 133.289)  (133.289, 133.458)  (133.59, 133.889)   (134.186, 134.411)  (134.411, 134.471)  (134.471, 134.651)  (134.651, 134.871)  (134.871, 135.081)  (135.081, 135.341)  (135.341, 135.411)  (135.411, 135.761)  (135.761, 135.861) 
