A                : uh                  Ġi                  Ġdon                't                  Ġknow               Ġi                  Ġcan                't                  Ġgive               Ġuh                 Ġtoo                Ġgood               Ġa                  Ġperspective        Ġuh                
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (73.331, 73.587)    (73.734, 74.036)    (74.127, 74.339)    (74.339, 74.419)    (74.419, 74.649)    (74.649, 74.749)    (74.749, 74.839)    (74.839, 75.069)    (75.069, 75.439)    (75.439, 75.639)    (75.639, 75.909)    (75.909, 76.159)    (76.159, 76.449)    (76.781, 76.856)    (76.856, 76.959)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġlack               Ġof                 Ġa                  Ġgood               Ġfamily             Ġstructure          Ġfor                Ġthis               Ġpeople             Ġyou                Ġknow               Ġthey               Ġjust               <eot>               <emp>              
Timings          : (76.959, 77.229)    (77.229, 77.319)    (77.319, 77.359)    (77.359, 77.519)    (77.519, 77.889)    (77.889, 78.409)    (79.36, 79.539)     (79.539, 79.667)    (79.667, 80.077)    (80.561, 80.651)    (80.651, 80.787)    (80.787, 80.887)    (80.887, 81.028)    (-1.0, -1.0)        (81.221, 81.289)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      83649856798726      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġdon               
Timings          : (76.959, 77.229)    (77.229, 77.319)    (77.319, 77.359)    (77.359, 77.519)    (77.519, 77.889)    (77.889, 78.409)    (79.36, 79.539)     (79.539, 79.667)    (79.667, 80.077)    (80.561, 80.651)    (80.651, 80.787)    (80.787, 80.887)    (80.856, 81.135)    (81.135, 81.221)    (81.221, 81.289)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83650393669639      83650393669639      83650393669639     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (81.289, 81.357)    (81.357, 81.537)    (81.537, 81.745)    (81.858, 82.077)    (82.077, 82.627)    (82.627, 82.677)    (82.677, 82.782)    (82.782, 82.887)    (82.887, 83.027)    (83.027, 83.057)    (83.057, 83.307)    (83.307, 83.377)    (83.377, 83.807)    (83.807, 83.937)    (83.937, 84.008)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 't                  Ġknow               Ġwhich              Ġcame               Ġfirst              Ġi                  Ġdon                't                  Ġknow               Ġi                  Ġthink              Ġthe                Ġdrugs              Ġhad                Ġa                 
Timings          : (81.289, 81.357)    (81.357, 81.537)    (81.537, 81.745)    (81.858, 82.077)    (82.077, 82.627)    (82.627, 82.677)    (82.677, 82.782)    (82.782, 82.887)    (82.887, 83.027)    (83.027, 83.057)    (83.057, 83.307)    (83.307, 83.377)    (83.377, 83.807)    (83.807, 83.937)    (83.937, 84.008)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83650393669639      83650393669639      83650393669639      83650393669639      83650393669639      83650393669639      83650393669639      83650393669639      83650393669639      83650393669639      83650393669639      83650393669639      83650393669639      83650393669639      83650393669639     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġyeah               Ġi                  Ġdon                't                  Ġyou                Ġknow               <eot>               <emp>              
Timings          : (84.008, 84.185)    (84.313, 84.362)    (84.362, 84.487)    (84.487, 84.707)    (84.707, 84.817)    (84.817, 84.958)    (85.428, 85.916)    (86.286, 86.576)    (86.576, 86.771)    (86.771, 86.837)    (86.837, 86.903)    (87.167, 87.311)    (87.311, 87.516)    (-1.0, -1.0)        (88.466, 88.495)   
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83649856798728      83649856798728      83649856798728      83649856798728      83649856798728      83649856798728      83649856798728      83649856798728      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : Ġlot                Ġto                 Ġdo                 Ġwith               Ġit                 Ġbut                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġdon               
Timings          : (84.008, 84.185)    (84.313, 84.362)    (84.362, 84.487)    (84.487, 84.707)    (84.707, 84.817)    (84.817, 84.958)    (-1.0, -1.0)        (86.286, 86.576)    (86.576, 86.771)    (86.771, 86.837)    (86.837, 86.903)    (87.167, 87.311)    (87.311, 87.516)    (88.416, 88.466)    (88.466, 88.495)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 83650393669639      83650393669639      83650393669639      83650393669639      83650393669639      83650393669639      83650393669639      0                   0                   0                   0                   0                   0                   83650393669641      83650393669641     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġthat               's                  Ġthat               's                 
Timings          : (88.495, 88.524)    (88.524, 88.587)    (88.587, 88.687)    (88.687, 88.816)    (88.816, 88.947)    (88.947, 88.987)    (88.987, 89.416)    (89.416, 89.517)    (89.517, 89.596)    (89.596, 90.001)    (90.857, 91.177)    (91.177, 91.277)    (91.277, 91.377)    (91.377, 91.522)    (91.522, 91.667)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83649856798730      83649856798730      83649856798730      83649856798730      83649856798730     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : 't                  Ġknow               Ġif                 Ġthat               's                  Ġa                  Ġcause              Ġor                 Ġan                 Ġeffect             <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (88.495, 88.524)    (88.524, 88.587)    (88.587, 88.687)    (88.687, 88.816)    (88.816, 88.947)    (88.947, 88.987)    (88.987, 89.416)    (89.416, 89.517)    (89.517, 89.596)    (89.596, 90.001)    (-1.0, -1.0)        (91.177, 91.277)    (91.277, 91.377)    (91.377, 91.522)    (91.522, 91.667)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 83650393669641      83650393669641      83650393669641      83650393669641      83650393669641      83650393669641      83650393669641      83650393669641      83650393669641      83650393669641      83650393669641      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                  


A                : Ġthe                Ġtricky             Ġthing              Ġtrying             Ġto                 Ġseparate           Ġfigure             Ġout                Ġwhich              Ġis                 Ġwhich              Ġum                 Ġbut                Ġi                  Ġdon               
Timings          : (91.667, 91.747)    (91.747, 92.075)    (92.075, 92.24)     (92.24, 92.557)     (92.557, 92.637)    (92.637, 93.077)    (94.314, 94.478)    (94.478, 94.589)    (94.589, 94.774)    (94.774, 94.944)    (94.944, 95.361)    (95.588, 95.82)     (96.662, 96.855)    (97.065, 97.167)    (97.167, 97.212)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (91.667, 91.747)    (91.747, 92.075)    (92.075, 92.24)     (92.24, 92.557)     (92.557, 92.637)    (92.637, 93.077)    (94.314, 94.478)    (94.478, 94.589)    (94.589, 94.774)    (94.774, 94.944)    (94.944, 95.361)    (95.588, 95.82)     (96.662, 96.855)    (97.065, 97.167)    (97.167, 97.212)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 't                  Ġknow               Ġyou                Ġknow               Ġit                 Ġi                  Ġdon                't                  Ġthink              Ġthere              Ġwas                Ġmuch               Ġof                 Ġa                  Ġproblem           
Timings          : (97.212, 97.257)    (97.257, 97.396)    (97.396, 97.517)    (97.517, 97.757)    (97.757, 97.933)    (98.461, 98.547)    (98.547, 98.617)    (98.617, 98.687)    (98.687, 98.91)     (99.057, 99.176)    (99.176, 99.346)    (99.346, 99.596)    (99.596, 99.676)    (99.676, 99.737)    (99.737, 100.106)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (97.212, 97.257)    (97.257, 97.396)    (97.396, 97.517)    (97.517, 97.757)    (97.757, 97.933)    (98.461, 98.547)    (98.547, 98.617)    (98.617, 98.687)    (98.687, 98.91)     (99.057, 99.176)    (99.176, 99.346)    (99.346, 99.596)    (99.596, 99.676)    (99.676, 99.737)    (99.737, 100.106)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġuntil              Ġcrack              Ġstarted            Ġhitting            Ġthe                Ġstreets            Ġreally             <emp>               Ġyeah               Ġbecause            Ġthat               's                  Ġcheap              Ġand                Ġincredibly        
Timings          : (100.106, 100.377)  (100.377, 100.757)  (100.757, 101.066)  (101.066, 101.346)  (101.346, 101.407)  (101.407, 101.814)  (101.814, 102.154)  (102.66, 102.973)   (102.939, 103.167)  (103.167, 103.282)  (103.282, 103.407)  (103.407, 103.532)  (103.532, 103.932)  (103.932, 104.072)  (104.072, 104.612) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (100.106, 100.377)  (100.377, 100.757)  (100.757, 101.066)  (101.066, 101.346)  (101.346, 101.407)  (101.407, 101.814)  (101.814, 102.154)  (102.66, 102.973)   (-1.0, -1.0)        (103.167, 103.282)  (103.282, 103.407)  (103.407, 103.532)  (103.532, 103.932)  (103.932, 104.072)  (104.072, 104.612) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   83652541153286      83652541153286      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġaddictive          Ġand                Ġuh                 Ġyou                Ġknow               Ġthat               Ġseems              Ġto                 Ġbe                 Ġthe                Ġtarget             Ġchoice             Ġof                 Ġthe                Ġyou               
Timings          : (104.612, 105.117)  (105.679, 106.065)  (106.065, 106.322)  (107.274, 107.336)  (107.336, 107.505)  (107.647, 107.79)   (107.79, 108.05)    (108.05, 108.16)    (108.16, 108.31)    (108.31, 108.46)    (108.46, 108.8)     (108.8, 109.2)      (109.2, 109.31)     (109.31, 109.478)   (109.625, 109.72)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (104.612, 105.117)  (105.679, 106.065)  (106.065, 106.322)  (107.274, 107.336)  (107.336, 107.505)  (107.647, 107.79)   (107.79, 108.05)    (108.05, 108.16)    (108.16, 108.31)    (108.31, 108.46)    (108.46, 108.8)     (108.8, 109.2)      (109.2, 109.31)     (109.31, 109.478)   (109.625, 109.72)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġknow               Ġpoor               Ġinter              city                Ġpeople             Ġcocaine            Ġand                Ġmarijuana          Ġi                  Ġdon                't                  Ġthey               Ġreally             Ġwere               Ġafter             
Timings          : (109.72, 109.795)   (110.405, 110.6)    (110.6, 110.835)    (110.835, 111.07)   (111.07, 111.472)   (113.097, 113.567)  (113.567, 113.697)  (113.697, 114.297)  (114.297, 114.415)  (114.415, 114.481)  (114.481, 114.547)  (114.777, 114.837)  (114.837, 115.098)  (115.64, 115.807)   (115.807, 116.157) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (109.72, 109.795)   (110.405, 110.6)    (110.6, 110.835)    (110.835, 111.07)   (111.07, 111.472)   (113.097, 113.567)  (113.567, 113.697)  (113.697, 114.297)  (114.297, 114.415)  (114.415, 114.481)  (114.481, 114.547)  (114.777, 114.837)  (114.837, 115.098)  (115.64, 115.807)   (115.807, 116.157) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthat               Ġi                  Ġdon                't                  Ġthink              Ġthey               Ġreally             Ġtouch              Ġthat               Ġthat               Ġmuch               <eot>               <emp>               <emp>               <emp>              
Timings          : (116.157, 116.267)  (116.267, 116.307)  (116.307, 116.392)  (116.392, 116.477)  (116.477, 116.637)  (116.637, 116.717)  (116.717, 116.937)  (116.937, 117.217)  (117.217, 117.507)  (117.507, 117.667)  (117.667, 117.994)  (-1.0, -1.0)        (120.039, 120.151)  (120.151, 120.211)  (120.211, 120.551) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      83649856798730      0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġhowever            Ġon                 Ġthe                Ġbrighter          
Timings          : (116.157, 116.267)  (116.267, 116.307)  (116.307, 116.392)  (116.392, 116.477)  (116.477, 116.637)  (116.637, 116.717)  (116.717, 116.937)  (116.937, 117.217)  (117.217, 117.507)  (117.507, 117.667)  (117.667, 117.994)  (119.679, 120.039)  (120.039, 120.151)  (120.151, 120.211)  (120.211, 120.551) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83650393669643      83650393669643      83650393669643      83650393669643     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġthat               's                  Ġtrue               Ġthat              
Timings          : (120.551, 120.875)  (121.019, 121.391)  (121.391, 121.661)  (121.661, 121.721)  (121.721, 121.935)  (123.06, 123.544)   (123.544, 123.615)  (123.615, 123.802)  (123.802, 124.002)  (124.002, 124.275)  (124.496, 124.862)  (124.862, 124.999)  (124.999, 125.136)  (125.136, 125.482)  (125.682, 125.809) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83649856798732      83649856798732      83649856798732      83649856798732      83649856798732     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : Ġside               Ġcars               Ġseems              Ġto                 Ġbe                 Ġperforming         Ġa                  Ġwhole              Ġlot                Ġbetter             <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (120.551, 120.875)  (121.019, 121.391)  (121.391, 121.661)  (121.661, 121.721)  (121.721, 121.935)  (123.06, 123.544)   (123.544, 123.615)  (123.615, 123.802)  (123.802, 124.002)  (124.002, 124.275)  (-1.0, -1.0)        (124.862, 124.999)  (124.999, 125.136)  (125.136, 125.482)  (125.682, 125.809) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 83650393669643      83650393669643      83650393669643      83650393669643      83650393669643      83650393669643      83650393669643      83650393669643      83650393669643      83650393669643      83650393669643      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
