A                : what                 Ġkind                Ġof                  Ġcrime               Ġdo                  Ġyou                 Ġthink               Ġum                 
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4                   
turn_ids         : 74565464096777       74565464096777       74565464096777       74565464096777       74565464096777       74565464096777       74565464096777       74565464096777      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (94.075, 94.373)     (94.373, 94.486)     (94.486, 94.634)     (94.634, 94.715)     (94.715, 94.905)     (94.905, 95.047)     (95.337, 95.503)     (95.503, 95.71)     
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġcrime               Ġi                   Ġthink               Ġof                  Ġstuff               Ġthat                Ġthat                Ġaffects            
Timings          : (94.075, 94.373)     (94.373, 94.486)     (94.486, 94.634)     (94.634, 94.715)     (94.715, 94.905)     (94.905, 95.047)     (95.337, 95.503)     (95.503, 95.71)     
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4                   
turn_ids         : 74565464096777       74565464096777       74565464096777       74565464096777       74565464096777       74565464096777       74565464096777       74565464096777      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (95.71, 96.164)      (96.164, 96.344)     (96.344, 96.704)     (96.704, 96.874)     (96.874, 97.115)     (97.115, 97.454)     (97.685, 97.785)     (97.785, 97.854)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġaffects             Ġother               Ġpeople              Ġlike                Ġpeople              Ġgetting             Ġyou                 Ġknow               
Timings          : (95.71, 96.164)      (96.164, 96.344)     (96.344, 96.704)     (96.704, 96.874)     (96.874, 97.115)     (97.115, 97.454)     (97.685, 97.785)     (97.785, 97.854)    
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4                   
turn_ids         : 74565464096777       74565464096777       74565464096777       74565464096777       74565464096777       74565464096777       74565464096777       74565464096777      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (97.854, 98.384)     (98.384, 98.524)     (98.524, 98.986)     (99.721, 99.825)     (99.825, 99.984)     (99.984, 100.185)    (100.185, 100.255)   (100.255, 100.374)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġkilled              Ġor                  Ġraped               Ġi                   Ġthink               Ġrape                Ġis                  Ġone                
Timings          : (97.854, 98.384)     (98.384, 98.524)     (98.524, 98.986)     (99.721, 99.825)     (99.825, 99.984)     (99.984, 100.185)    (100.185, 100.255)   (100.255, 100.374)  
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4                   
turn_ids         : 74565464096777       74565464096777       74565464096777       74565464096777       74565464096777       74565464096777       74565464096777       74565464096777      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                Ġyeah                Ġi                   Ġthink               Ġit                 
Timings          : (100.374, 100.445)   (100.445, 100.505)   (100.505, 100.835)   (100.835, 101.26)    (101.835, 102.188)   (102.437, 102.571)   (102.627, 102.824)   (102.824, 102.924)  
Token Types      : 0                    0                    0                    0                    1                    1                    1                    1                   
turn_ids         : 0                    0                    0                    0                    74561706000394       74561706000394       74561706000394       74561706000394      
turn_end_types   : 0                    0                    0                    0                    1                    1                    1                    1                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġof                  Ġthe                 Ġworst               Ġcrimes              <eot>                <emp>                <emp>                <emp>               
Timings          : (100.374, 100.445)   (100.445, 100.505)   (100.505, 100.835)   (100.835, 101.26)    (-1.0, -1.0)         (102.437, 102.571)   (102.627, 102.824)   (102.824, 102.924)  
Token Types      : 4                    4                    4                    4                    4                    0                    0                    0                   
turn_ids         : 74565464096777       74565464096777       74565464096777       74565464096777       74565464096777       0                    0                    0                   
turn_end_types   : 1                    1                    1                    1                    1                    0                    0                    0                   
speaker_ids      : 1                    1                    1                    1                    1                    0                    0                    0                   


A                : Ġis                  Ġi                   Ġin                  Ġsome                Ġways                Ġit                  's                   Ġalmost             
Timings          : (102.924, 103.412)   (103.504, 103.696)   (103.794, 103.954)   (103.954, 104.154)   (104.154, 104.374)   (104.374, 104.459)   (104.459, 104.544)   (104.544, 104.894)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74561706000394       74561706000394       74561706000394       74561706000394       74561706000394       74561706000394       74561706000394       74561706000394      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (102.924, 103.412)   (103.504, 103.696)   (103.794, 103.954)   (103.954, 104.154)   (104.154, 104.374)   (104.374, 104.459)   (104.459, 104.544)   (104.544, 104.894)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   


A                : Ġworse               Ġthan                Ġmurder              <eot>                <emp>                <emp>                Ġum                  <eint>              
Timings          : (104.894, 105.124)   (105.124, 105.264)   (105.264, 105.674)   (-1.0, -1.0)         (106.266, 106.391)   (106.391, 106.516)   (106.571, 107.003)   (-1.0, -1.0)        
Token Types      : 1                    1                    1                    1                    0                    0                    5                    5                   
turn_ids         : 74561706000394       74561706000394       74561706000394       74561706000394       0                    0                    74566000967687       74566000967687      
turn_end_types   : 1                    1                    1                    1                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                Ġyeah                Ġit                  's                   Ġvery                Ġdegrading          
Timings          : (104.894, 105.124)   (105.124, 105.264)   (105.264, 105.674)   (105.987, 106.266)   (106.266, 106.391)   (106.391, 106.516)   (106.516, 106.716)   (106.716, 107.386)  
Token Types      : 0                    0                    0                    1                    1                    1                    1                    1                   
turn_ids         : 0                    0                    0                    74562242871307       74562242871307       74562242871307       74562242871307       74562242871307      
turn_end_types   : 0                    0                    0                    2                    2                    2                    2                    2                   
speaker_ids      : 0                    0                    0                    1                    1                    1                    1                    1                   


A                : <emp>                Ġmurder              Ġmurder              Ġis                  Ġis                  Ġhard                Ġon                  Ġthe                
Timings          : (107.386, 107.578)   (107.941, 108.39)    (108.485, 108.958)   (108.958, 109.323)   (109.398, 109.618)   (109.618, 109.818)   (109.818, 109.918)   (109.918, 109.978)  
Token Types      : 0                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 0                    74561706000396       74561706000396       74561706000396       74561706000396       74561706000396       74561706000396       74561706000396      
turn_end_types   : 0                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġand                 <yield>              <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (107.386, 107.578)   (-1.0, -1.0)         (108.485, 108.958)   (108.958, 109.323)   (109.398, 109.618)   (109.618, 109.818)   (109.818, 109.918)   (109.918, 109.978)  
Token Types      : 1                    1                    0                    0                    0                    0                    0                    0                   
turn_ids         : 74562242871307       74562242871307       0                    0                    0                    0                    0                    0                   
turn_end_types   : 2                    2                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 1                    1                    0                    0                    0                    0                    0                    0                   


A                : Ġpeople              Ġthat                Ġwere                Ġrelated             Ġto                  Ġbut                 <emp>                Ġyou                
Timings          : (109.978, 110.358)   (110.358, 110.518)   (110.518, 110.698)   (110.698, 111.158)   (111.158, 111.463)   (112.692, 112.76)    (112.771, 112.865)   (112.868, 112.978)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74561706000396       74561706000396       74561706000396       74561706000396       74561706000396       74561706000396       74561706000396       74561706000396      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                y                    ep                  
Timings          : (109.978, 110.358)   (110.358, 110.518)   (110.518, 110.698)   (110.698, 111.158)   (111.158, 111.463)   (112.692, 112.76)    (112.771, 112.865)   (112.865, 112.959)  
Token Types      : 0                    0                    0                    0                    0                    0                    5                    5                   
turn_ids         : 0                    0                    0                    0                    0                    0                    74566537838599       74566537838599      
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    1                    1                   


A                : Ġknow                Ġi                   Ġmean                Ġit                  Ġis                  Ġa                   Ġrather              Ġfinal              
Timings          : (112.978, 113.183)   (113.446, 113.548)   (113.548, 113.818)   (114.04, 114.127)    (114.127, 114.338)   (114.338, 114.418)   (114.418, 114.677)   (114.677, 115.058)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74561706000396       74561706000396       74561706000396       74561706000396       74561706000396       74561706000396       74561706000396       74561706000396      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <eint>               <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (-1.0, -1.0)         (113.446, 113.548)   (113.548, 113.818)   (114.04, 114.127)    (114.127, 114.338)   (114.338, 114.418)   (114.418, 114.677)   (114.677, 115.058)  
Token Types      : 5                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 74566537838599       0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 1                    0                    0                    0                    0                    0                    0                    0                   


A                : Ġsolution            Ġthough              <eot>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (115.058, 115.559)   (115.559, 115.944)   (-1.0, -1.0)         (116.686, 116.966)   (116.966, 117.256)   (117.256, 117.436)   (117.436, 117.476)   (117.476, 117.836)  
Token Types      : 1                    1                    1                    0                    0                    0                    0                    0                   
turn_ids         : 74561706000396       74561706000396       74561706000396       0                    0                    0                    0                    0                   
turn_end_types   : 1                    1                    1                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                Ġyeah                Ġright               Ġonce                Ġonce                Ġa                   Ġperson             
Timings          : (115.058, 115.559)   (115.559, 115.944)   (116.285, 116.626)   (116.686, 116.966)   (116.966, 117.256)   (117.256, 117.436)   (117.436, 117.476)   (117.476, 117.836)  
Token Types      : 0                    0                    1                    1                    1                    1                    1                    1                   
turn_ids         : 0                    0                    74562242871309       74562242871309       74562242871309       74562242871309       74562242871309       74562242871309      
turn_end_types   : 0                    0                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 0                    0                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (117.836, 118.197)   (118.359, 118.436)   (118.436, 118.536)   (118.536, 118.886)   (118.886, 119.016)   (119.016, 119.219)   (119.219, 119.422)   (119.829, 119.956)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : 's                   Ġyou                 Ġknow                Ġgone                Ġthen                Ġit                  's                   Ġbut                
Timings          : (117.836, 118.197)   (118.359, 118.436)   (118.436, 118.536)   (118.536, 118.886)   (118.886, 119.016)   (119.016, 119.219)   (119.219, 119.422)   (119.829, 119.956)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871309       74562242871309       74562242871309       74562242871309       74562242871309       74562242871309       74562242871309       74562242871309      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (119.956, 120.053)   (120.445, 120.666)   (120.666, 120.726)   (120.726, 120.786)   (120.786, 120.916)   (120.916, 121.136)   (121.136, 121.256)   (121.256, 121.356)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġthe                 Ġperson              Ġthat                's                   Ġbeen                Ġraped               Ġhas                 Ġto                 
Timings          : (119.956, 120.053)   (120.445, 120.666)   (120.666, 120.726)   (120.726, 120.786)   (120.786, 120.916)   (120.916, 121.136)   (121.136, 121.256)   (121.256, 121.356)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871309       74562242871309       74562242871309       74562242871309       74562242871309       74562242871309       74562242871309       74562242871309      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (121.356, 121.456)   (121.456, 121.546)   (121.546, 121.646)   (121.646, 121.716)   (121.716, 121.886)   (121.886, 121.946)   (121.946, 122.096)   (122.096, 122.496)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġlive                Ġwith                Ġthat                Ġthe                 Ġrest                Ġof                  Ġtheir               Ġlife               
Timings          : (121.356, 121.456)   (121.456, 121.546)   (121.546, 121.646)   (121.646, 121.716)   (121.716, 121.886)   (121.886, 121.946)   (121.946, 122.096)   (122.096, 122.496)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74562242871309       74562242871309       74562242871309       74562242871309       74562242871309       74562242871309       74562242871309       74562242871309      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                Ġyes                 Ġwhat                Ġdo                  Ġwhat                Ġdo                  Ġyou                 Ġthink              
Timings          : (122.496, 122.566)   (122.651, 123.103)   (123.895, 124.058)   (124.058, 124.145)   (124.145, 124.37)    (124.37, 124.43)     (124.43, 124.53)     (124.53, 124.9)     
Token Types      : 0                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 0                    74561706000398       74561706000398       74561706000398       74561706000398       74561706000398       74561706000398       74561706000398      
turn_end_types   : 0                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġyou                 Ġknow                <eot>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (122.496, 122.566)   (122.566, 122.796)   (-1.0, -1.0)         (124.058, 124.145)   (124.145, 124.37)    (124.37, 124.43)     (124.43, 124.53)     (124.53, 124.9)     
Token Types      : 1                    1                    1                    0                    0                    0                    0                    0                   
turn_ids         : 74562242871309       74562242871309       74562242871309       0                    0                    0                    0                    0                   
turn_end_types   : 1                    1                    1                    0                    0                    0                    0                    0                   
speaker_ids      : 1                    1                    1                    0                    0                    0                    0                    0                   


A                : Ġis                  Ġuh                  Ġis                  Ġan                  Ġappropriate         Ġum                  Ġpunishment          Ġfor                
Timings          : (124.9, 125.17)      (125.17, 125.406)    (125.48, 125.72)     (125.72, 125.86)     (125.86, 126.399)    (126.768, 127.125)   (127.502, 128.0)     (128.0, 128.15)     
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74561706000398       74561706000398       74561706000398       74561706000398       74561706000398       74561706000398       74561706000398       74561706000398      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (124.9, 125.17)      (125.17, 125.406)    (125.48, 125.72)     (125.72, 125.86)     (125.86, 126.399)    (126.768, 127.125)   (127.502, 128.0)     (128.0, 128.15)     
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   


A                : Ġsome                Ġof                  Ġthe                 Ġvarious             Ġyou                 Ġknow                Ġsuch                Ġas                 
Timings          : (128.15, 128.35)     (128.35, 128.41)     (128.41, 128.5)      (128.5, 129.071)     (129.598, 129.73)    (129.73, 129.88)     (129.88, 130.15)     (130.15, 130.35)    
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74561706000398       74561706000398       74561706000398       74561706000398       74561706000398       74561706000398       74561706000398       74561706000398      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (128.15, 128.35)     (128.35, 128.41)     (128.41, 128.5)      (128.5, 129.071)     (129.598, 129.73)    (129.73, 129.88)     (129.88, 130.15)     (130.15, 130.35)    
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   


A                : Ġthings              Ġsuch                Ġas                  Ġrape                Ġor                  Ġor                  Ġuh                  Ġmurder             
Timings          : (130.35, 131.46)     (131.46, 131.66)     (131.66, 131.83)     (131.83, 132.15)     (132.15, 132.47)     (132.6, 133.007)     (133.083, 133.472)   (133.788, 134.173)  
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1                   
turn_ids         : 74561706000398       74561706000398       74561706000398       74561706000398       74561706000398       74561706000398       74561706000398       74561706000398      
turn_end_types   : 2                    2                    2                    2                    2                    2                    2                    2                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (130.35, 131.46)     (131.46, 131.66)     (131.66, 131.83)     (131.83, 132.15)     (132.15, 132.47)     (132.6, 133.007)     (133.083, 133.472)   (133.788, 134.173)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   


A                : Ġor                  Ġsomething           Ġlike                Ġthat                <yield>              <emp>                <emp>                <emp>               
Timings          : (134.84, 134.95)     (134.95, 135.3)      (135.3, 135.458)     (135.532, 135.656)   (-1.0, -1.0)         (136.278, 136.348)   (136.348, 136.528)   (136.528, 136.588)  
Token Types      : 1                    1                    1                    1                    1                    0                    0                    0                   
turn_ids         : 74561706000398       74561706000398       74561706000398       74561706000398       74561706000398       0                    0                    0                   
turn_end_types   : 2                    2                    2                    2                    2                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : <emp>                Ġwell                Ġfor                 <emp>                Ġfor                 Ġa                   Ġlot                 Ġof                 
Timings          : (134.84, 134.95)     (134.908, 135.148)   (135.288, 135.91)    (135.532, 135.656)   (136.143, 136.278)   (136.278, 136.348)   (136.348, 136.528)   (136.528, 136.588)  
Token Types      : 0                    4                    4                    4                    4                    4                    4                    4                   
turn_ids         : 0                    74565464096783       74565464096783       74565464096783       74565464096783       74565464096783       74565464096783       74565464096783      
turn_end_types   : 0                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 0                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (136.588, 136.648)   (136.648, 136.868)   (136.868, 137.089)   (137.262, 137.474)   (137.474, 137.686)   (137.686, 137.898)   (137.898, 138.208)   (138.208, 138.301)  
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġthe                 Ġkind                Ġof                  Ġpre                 med                  itated               Ġmurders             Ġi                  
Timings          : (136.588, 136.648)   (136.648, 136.868)   (136.868, 137.089)   (137.262, 137.474)   (137.474, 137.686)   (137.686, 137.898)   (137.898, 138.208)   (138.208, 138.301)  
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4                   
turn_ids         : 74565464096783       74565464096783       74565464096783       74565464096783       74565464096783       74565464096783       74565464096783       74565464096783      
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1                   
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1                   


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>               
Timings          : (138.301, 138.458)   (138.458, 138.518)   (138.518, 138.768)   (138.768, 139.188)   (139.188, 139.648)   (140.606, 140.709)   (140.709, 140.911)   (141.02, 141.131)   
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0                   
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0                   
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0                   

B                : Ġthink               Ġthe                 Ġdeath               Ġpenalty             Ġis                  Ġa                   Ġpretty              Ġgood               
Timings          : (138.301, 138.458)   (138.458, 138.518)   (138.518, 138.768)   (138.768, 139.188)   (139.188, 139.648)   (140.606, 140.709)   (140.709, 140.911)   (141.02, 141.131)   
