A                : have                Ġyou                Ġany                Ġthoughts           <eot>               <emp>               <emp>               <emp>               Ġokay               Ġwell               Ġum                 Ġi                  'll                 Ġtell               Ġyou               
Token Types      : 0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   82741471215619      82741471215619      82741471215619      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġin                 Ġthe                Ġeight              ies                 <emp>               Ġand                Ġwhen               Ġyou                Ġhave               Ġa                  Ġlot                Ġof                 Ġmoney              Ġin                 Ġyour              
Timings          : (74.767, 74.887)    (74.887, 74.957)    (74.957, 75.237)    (75.237, 75.517)    (75.735, 75.983)    (75.907, 76.397)    (76.867, 76.977)    (76.977, 77.087)    (77.087, 77.217)    (77.217, 77.307)    (77.307, 77.567)    (77.567, 77.667)    (77.667, 78.007)    (78.007, 78.077)    (78.077, 78.187)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (78.187, 78.607)    (78.607, 78.757)    (78.757, 78.847)    (78.847, 78.932)    (78.932, 79.017)    (79.017, 79.227)    (79.227, 79.386)    (79.386, 79.544)    (79.544, 79.787)    (79.787, 80.117)    (80.117, 80.247)    (80.247, 80.777)    (80.777, 81.007)    (81.007, 81.217)    (81.217, 81.337)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbudget             Ġand                Ġyou                Ġdon                't                  Ġwanna              Ġhave               Ġit                 Ġcut                Ġback               Ġyou                Ġspend              Ġit                 Ġeven               Ġif                
Timings          : (78.187, 78.607)    (78.607, 78.757)    (78.757, 78.847)    (78.847, 78.932)    (78.932, 79.017)    (79.017, 79.227)    (79.227, 79.386)    (79.386, 79.544)    (79.544, 79.787)    (79.787, 80.117)    (80.117, 80.247)    (80.247, 80.777)    (80.777, 81.007)    (81.007, 81.217)    (81.217, 81.337)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (81.337, 81.437)    (81.437, 81.985)    (82.136, 82.607)    (82.607, 82.687)    (82.687, 83.127)    (83.217, 83.556)    (-1.0, -1.0)        (84.831, 85.034)    (85.034, 85.415)    (85.415, 85.625)    (85.625, 86.015)    (86.015, 86.205)    (86.205, 86.495)    (86.495, 86.596)    (86.596, 87.278)   
Token Types      : 0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   82741471215620      82741471215620      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 Ġmeans              Ġthrowing           Ġit                 Ġaway               <emp>               Ġand                Ġi                  Ġthink              Ġthat               Ġwhile              Ġwe                 Ġneed               Ġto                 Ġspend             
Timings          : (81.337, 81.437)    (81.437, 81.985)    (82.136, 82.607)    (82.607, 82.687)    (82.687, 83.127)    (83.217, 83.556)    (84.135, 84.756)    (84.831, 85.034)    (85.034, 85.415)    (85.415, 85.625)    (85.625, 86.015)    (86.015, 86.205)    (86.205, 86.495)    (86.495, 86.596)    (86.596, 87.278)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (87.278, 87.765)    (87.765, 88.285)    (88.285, 88.445)    (88.445, 88.775)    (88.775, 88.975)    (88.975, 89.245)    (89.245, 89.445)    (89.445, 90.461)    (90.646, 91.417)    (91.564, 91.765)    (91.765, 91.995)    (91.995, 92.625)    (92.625, 93.205)    (93.205, 93.295)    (93.295, 93.855)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġmore               Ġeffort             Ġand                Ġmoney              Ġon                 Ġthings             Ġlike               Ġeducation          Ġand                Ġmaybe              Ġeven               Ġalternative        Ġtreatments         Ġand                Ġalternative       
Timings          : (87.278, 87.765)    (87.765, 88.285)    (88.285, 88.445)    (88.445, 88.775)    (88.775, 88.975)    (88.975, 89.245)    (89.245, 89.445)    (89.445, 90.461)    (90.646, 91.417)    (91.564, 91.765)    (91.765, 91.995)    (91.995, 92.625)    (92.625, 93.205)    (93.205, 93.295)    (93.295, 93.855)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>              
Timings          : (93.855, 94.12)     (94.772, 94.995)    (94.995, 95.115)    (95.115, 95.365)    (95.365, 95.625)    (95.625, 96.125)    (96.125, 96.565)    (96.565, 96.685)    (96.685, 96.865)    (96.865, 97.304)    (97.484, 97.617)    (97.617, 97.75)     (-1.0, -1.0)        (97.908, 98.1)      (98.1, 98.24)      
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82741471215621      82741471215621      82741471215621      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                  

B                : Ġexperiments        Ġthings             Ġto                 Ġkeep               Ġthose              Ġafflicted          Ġalive              Ġat                 Ġthis               Ġpoint              <emp>               <emp>               Ġi                  Ġthink              Ġthat              
Timings          : (93.855, 94.12)     (94.772, 94.995)    (94.995, 95.115)    (95.115, 95.365)    (95.365, 95.625)    (95.625, 96.125)    (96.125, 96.565)    (96.565, 96.685)    (96.685, 96.865)    (96.865, 97.304)    (97.484, 97.617)    (97.617, 97.75)     (97.769, 97.908)    (97.908, 98.1)      (98.1, 98.24)      
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (98.24, 98.45)      (98.45, 98.69)      (98.69, 98.85)      (98.85, 99.08)      (99.08, 99.632)     (99.632, 100.14)    (100.14, 100.26)    (100.26, 100.62)    (100.62, 101.18)    (101.18, 101.52)    (101.66, 101.79)    (101.79, 102.15)    (102.15, 102.27)    (102.27, 102.4)     (102.4, 102.46)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġany                Ġmoney              Ġthat               Ġis                 Ġgiven              Ġmust               Ġbe                 Ġgiven              Ġcarefully          Ġjust               Ġto                 Ġsomething          Ġthat               Ġis                 Ġa                 
Timings          : (98.24, 98.45)      (98.45, 98.69)      (98.69, 98.85)      (98.85, 99.08)      (99.08, 99.632)     (99.632, 100.14)    (100.14, 100.26)    (100.26, 100.62)    (100.62, 101.18)    (101.18, 101.52)    (101.66, 101.79)    (101.79, 102.15)    (102.15, 102.27)    (102.27, 102.4)     (102.4, 102.46)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (102.46, 102.86)    (102.86, 103.19)    (103.19, 103.43)    (103.43, 103.7)     (103.7, 104.2)      (104.2, 104.379)    (104.379, 104.61)   (104.738, 104.862)  (104.862, 104.986)  (-1.0, -1.0)        (106.565, 106.827)  (106.827, 107.007)  (107.007, 107.137)  (107.137, 107.268)  (107.268, 107.537) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   82741471215622      82741471215622      82741471215622      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : Ġproven             Ġpoint              Ġnot                Ġjust               Ġthrown             Ġat                 Ġit                 <emp>               <emp>               Ġum                 Ġi                  Ġi                  Ġdon                't                  Ġsee               
Timings          : (102.46, 102.86)    (102.86, 103.19)    (103.19, 103.43)    (103.43, 103.7)     (103.7, 104.2)      (104.2, 104.379)    (104.379, 104.61)   (104.738, 104.862)  (104.862, 104.986)  (105.527, 106.279)  (106.565, 106.827)  (106.827, 107.007)  (107.007, 107.137)  (107.137, 107.268)  (107.268, 107.537) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (107.537, 107.728)  (107.728, 107.787)  (107.787, 108.107)  (108.107, 108.257)  (108.257, 108.628)  (108.628, 109.067)  (109.067, 109.257)  (109.257, 109.518)  (109.518, 109.887)  (109.887, 110.882)  (111.046, 111.495)  (112.046, 112.406)  (112.406, 112.555)  (112.555, 112.735)  (112.735, 112.785) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthat               Ġthe                Ġmoney              Ġis                 Ġbeing              Ġremoved            Ġfrom               Ġany                Ġother              Ġcauses             Ġum                 Ġaids               Ġhas                Ġbeen               Ġa                 
Timings          : (107.537, 107.728)  (107.728, 107.787)  (107.787, 108.107)  (108.107, 108.257)  (108.257, 108.628)  (108.628, 109.067)  (109.067, 109.257)  (109.257, 109.518)  (109.518, 109.887)  (109.887, 110.882)  (111.046, 111.495)  (112.046, 112.406)  (112.406, 112.555)  (112.555, 112.735)  (112.735, 112.785) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (112.785, 113.376)  (113.376, 113.686)  (113.686, 114.245)  (114.245, 114.336)  (114.336, 114.555)  (114.555, 114.826)  (114.826, 115.095)  (115.91, 116.357)   (116.836, 117.131)  (117.131, 117.296)  (117.296, 117.461)  (117.461, 117.51)   (117.51, 117.73)    (117.73, 117.811)   (117.811, 118.18)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġproblem            Ġthough             Ġespecially         Ġin                 Ġthe                Ġeight              ies                 Ġwhen               Ġthere              Ġwasn               't                  Ġa                  Ġlot                Ġof                 Ġprivate           
Timings          : (112.785, 113.376)  (113.376, 113.686)  (113.686, 114.245)  (114.245, 114.336)  (114.336, 114.555)  (114.555, 114.826)  (114.826, 115.095)  (115.91, 116.357)   (116.836, 117.131)  (117.131, 117.296)  (117.296, 117.461)  (117.461, 117.51)   (117.51, 117.73)    (117.73, 117.811)   (117.811, 118.18)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>               <emp>              
Timings          : (118.18, 118.571)   (118.571, 118.851)  (118.851, 119.141)  (119.141, 119.26)   (119.26, 119.321)   (119.321, 119.891)  (119.891, 120.001)  (120.001, 120.061)  (120.061, 120.84)   (120.966, 121.079)  (121.079, 121.193)  (121.193, 121.306)  (-1.0, -1.0)        (122.537, 122.788)  (122.788, 123.118) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82741471215623      82741471215623      82741471215623      82741471215623      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                  

B                : Ġdollars            Ġaround             Ġbecause            Ġof                 Ġthe                Ġstigma             Ġof                 Ġthe                Ġdisease            <emp>               <emp>               <emp>               Ġand                Ġthat               Ġpeople            
Timings          : (118.18, 118.571)   (118.571, 118.851)  (118.851, 119.141)  (119.141, 119.26)   (119.26, 119.321)   (119.321, 119.891)  (119.891, 120.001)  (120.001, 120.061)  (120.061, 120.84)   (120.966, 121.079)  (121.079, 121.193)  (121.193, 121.306)  (121.47, 122.179)   (122.537, 122.788)  (122.788, 123.118) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (123.118, 123.318)  (123.318, 123.488)  (123.488, 123.658)  (123.658, 123.958)  (123.958, 124.038)  (124.038, 124.118)  (124.118, 124.288)  (124.288, 124.408)  (124.408, 124.988)  (124.988, 125.118)  (125.118, 125.178)  (125.178, 125.488)  (125.488, 125.568)  (125.568, 125.718)  (125.718, 125.798) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġreally             Ġdidn               't                  Ġgroups             Ġdidn               't                  Ġwanna              Ġbe                 Ġassociated         Ġwith               Ġit                 Ġbecause            Ġit                 Ġwas                Ġa                 
Timings          : (123.118, 123.318)  (123.318, 123.488)  (123.488, 123.658)  (123.658, 123.958)  (123.958, 124.038)  (124.038, 124.118)  (124.118, 124.288)  (124.288, 124.408)  (124.408, 124.988)  (124.988, 125.118)  (125.118, 125.178)  (125.178, 125.488)  (125.488, 125.568)  (125.568, 125.718)  (125.718, 125.798) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (125.798, 126.548)  (126.548, 126.954)  (127.065, 127.377)  (-1.0, -1.0)        (128.233, 128.404)  (128.404, 128.449)  (128.449, 128.494)  (128.494, 128.934)  (128.934, 129.234)  (129.234, 129.484)  (129.484, 129.784)  (129.784, 129.874)  (129.874, 130.124)  (130.124, 130.284)  (130.284, 130.434) 
Token Types      : 0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   82741471215624      82741471215624      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġmorals             Ġissue              <emp>               Ġi                  Ġthink              Ġwe                 're                 Ġfinally            Ġgetting            Ġover               Ġthat               Ġi                  Ġthought            Ġthat               Ġwas               
Timings          : (125.798, 126.548)  (126.548, 126.954)  (127.065, 127.377)  (128.113, 128.233)  (128.233, 128.404)  (128.404, 128.449)  (128.449, 128.494)  (128.494, 128.934)  (128.934, 129.234)  (129.234, 129.484)  (129.484, 129.784)  (129.784, 129.874)  (129.874, 130.124)  (130.124, 130.284)  (130.284, 130.434) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883      82739860602883     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
