A                : uh                  Ġwith               Ġregard             Ġto                 Ġuh                 Ġto                 Ġjury               Ġtrials             Ġi                  Ġyou                Ġknow               Ġi                  Ġi                  Ġreally             Ġfeel              
Timings          : (68.683, 68.793)    (68.793, 68.933)    (68.933, 69.333)    (69.333, 69.473)    (69.473, 69.573)    (69.573, 69.907)    (70.686, 70.883)    (70.883, 70.943)    (70.943, 71.233)    (71.233, 71.513)    (71.63, 72.035)     (72.338, 72.673)    (74.526, 74.687)    (74.687, 74.947)    (74.947, 75.017)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġof                 Ġus                 Ġwitnessed          Ġwhat               Ġwe                 Ġdid                Ġwith               Ġthe                Ġvideo              Ġtape               Ġbeating            Ġum                 Ġjust               Ġmakes              Ġyou               
Timings          : (68.683, 68.793)    (68.793, 68.933)    (68.933, 69.333)    (69.333, 69.473)    (69.473, 69.573)    (69.573, 69.907)    (70.686, 70.883)    (70.883, 70.943)    (70.943, 71.233)    (71.233, 71.513)    (71.63, 72.035)     (72.338, 72.673)    (74.526, 74.687)    (74.687, 74.947)    (74.947, 75.017)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84011170922497      84011170922497      84011170922497      84011170922497      84011170922497      84011170922497      84011170922497      84011170922497      84011170922497      84011170922497      84011170922497      84011170922497      84011170922497      84011170922497      84011170922497     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġwell               Ġwon                't                  Ġwell               Ġmaybe              Ġthey               Ġused               Ġa                  Ġlittle             Ġbit                Ġtoo                Ġmuch              
Timings          : (75.017, 75.487)    (75.487, 75.617)    (75.617, 76.095)    (76.493, 76.687)    (76.687, 76.839)    (76.839, 76.991)    (77.24, 77.436)     (77.436, 77.774)    (77.774, 77.906)    (77.906, 78.256)    (78.256, 78.344)    (78.344, 78.505)    (78.505, 78.704)    (78.704, 78.795)    (78.795, 79.085)   
Token Types      : 0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġwonder             Ġi                  Ġguess              Ġwhether            Ġor                 Ġnot                <emp>               Ġthey               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (75.017, 75.487)    (75.487, 75.617)    (75.617, 76.095)    (76.4, 76.667)      (76.667, 76.757)    (76.757, 76.965)    (77.24, 77.436)     (77.405, 77.564)    (-1.0, -1.0)        (77.906, 78.256)    (78.256, 78.344)    (78.344, 78.505)    (78.505, 78.704)    (78.704, 78.795)    (78.795, 79.085)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 84011170922497      84011170922497      84011170922497      84011170922497      84011170922497      84011170922497      84011170922497      84011170922497      84011170922497      0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġforce              Ġwith               Ġstuff              Ġlike               Ġthat               Ġbut                Ġthen               <emp>               Ġthen               Ġyou                Ġknow               Ġthe                Ġdefense            Ġlawyer             Ġaddressed         
Timings          : (79.085, 79.524)    (79.524, 79.634)    (79.634, 79.945)    (79.945, 80.164)    (80.164, 80.435)    (80.435, 80.594)    (80.594, 80.87)     (80.852, 81.073)    (81.492, 81.842)    (81.842, 81.984)    (81.984, 82.164)    (82.164, 82.395)    (82.395, 82.835)    (82.835, 83.218)    (83.324, 83.854)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (79.085, 79.524)    (79.524, 79.634)    (79.634, 79.945)    (79.945, 80.164)    (80.164, 80.435)    (80.435, 80.594)    (80.63, 80.852)     (80.852, 81.073)    (-1.0, -1.0)        (81.842, 81.984)    (81.984, 82.164)    (82.164, 82.395)    (82.395, 82.835)    (82.835, 83.218)    (83.324, 83.854)   
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   84013318406145      84013318406145      84013318406145      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġeach               Ġand                Ġevery              Ġone                Ġof                 Ġthose              Ġblows              Ġapparently         Ġand                Ġyou                Ġknow               Ġthe                Ġother              Ġtwo                Ġguys              
Timings          : (83.854, 84.115)    (84.115, 84.215)    (84.215, 84.424)    (84.424, 84.604)    (84.604, 84.685)    (84.685, 84.884)    (84.884, 85.405)    (85.405, 85.969)    (86.809, 87.239)    (87.239, 87.371)    (87.371, 87.611)    (87.611, 87.711)    (87.711, 87.971)    (87.971, 88.191)    (88.191, 88.501)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               that                's                  Ġthat               <eint>              <emp>               <emp>               <emp>              
Timings          : (83.854, 84.115)    (84.115, 84.215)    (84.215, 84.424)    (84.424, 84.604)    (84.604, 84.685)    (84.685, 84.884)    (84.884, 85.405)    (85.405, 85.969)    (87.016, 87.187)    (87.187, 87.359)    (87.47, 87.673)     (-1.0, -1.0)        (87.711, 87.971)    (87.971, 88.191)    (88.191, 88.501)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   5                   5                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   84015465889794      84015465889794      84015465889794      84015465889794      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   0                   0                   0                  


A                : Ġsat                Ġin                 Ġthe                Ġcar                <emp>               Ġand                Ġthey               Ġdidn               't                  Ġget                Ġbeat               Ġup                 <eot>               Ġyou                Ġknow              
Timings          : (88.501, 88.681)    (88.681, 88.821)    (88.821, 88.891)    (88.891, 89.401)    (89.932, 90.104)    (90.169, 90.223)    (90.223, 90.311)    (90.311, 90.415)    (90.415, 90.521)    (90.521, 90.69)     (90.69, 90.891)     (90.891, 91.085)    (-1.0, -1.0)        (92.008, 92.118)    (92.118, 92.299)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   1                   1                  
turn_ids         : 84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84013855277058      84010634051588      84010634051588     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġno                 <eot>               <emp>              
Timings          : (88.501, 88.681)    (88.681, 88.821)    (88.821, 88.891)    (88.891, 89.401)    (89.932, 90.104)    (90.104, 90.276)    (-1.0, -1.0)        (90.311, 90.415)    (90.415, 90.521)    (90.521, 90.69)     (90.69, 90.891)     (90.891, 91.085)    (91.405, 91.721)    (-1.0, -1.0)        (92.118, 92.299)   
Token Types      : 0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   1                   1                   0                  
turn_ids         : 0                   0                   0                   0                   84013318406146      84013318406146      84013318406146      0                   0                   0                   0                   0                   84011170922499      84011170922499      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   2                   2                   0                  


A                : Ġrod                ney                 Ġgot                Ġbeat               Ġup                 Ġbecause            Ġhe                 Ġhe                 Ġyou                Ġknow               Ġhe                 Ġpurposes           Ġyou                Ġknow               Ġhe                
Timings          : (92.299, 92.474)    (92.474, 92.649)    (92.649, 92.909)    (92.909, 93.159)    (93.159, 93.359)    (93.359, 93.749)    (93.749, 94.012)    (94.513, 94.679)    (94.679, 94.849)    (94.849, 95.047)    (95.555, 95.759)    (95.759, 96.036)    (96.074, 96.419)    (96.419, 96.509)    (96.509, 96.689)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (92.299, 92.474)    (92.474, 92.649)    (92.649, 92.909)    (92.909, 93.159)    (93.159, 93.359)    (93.359, 93.749)    (93.749, 94.012)    (94.513, 94.679)    (94.679, 94.849)    (94.849, 95.047)    (95.555, 95.759)    (95.759, 96.036)    (96.074, 96.419)    (96.419, 96.509)    (96.509, 96.689)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġinvolved           Ġhimself            Ġin                 Ġsome               Ġsub                Ġself               destruct            ive                 Ġbehavior           <emp>               <emp>               Ġand                Ġuh                 Ġum                 Ġjust              
Timings          : (96.689, 97.069)    (97.069, 97.529)    (97.529, 97.659)    (97.659, 97.929)    (97.929, 98.249)    (98.249, 98.549)    (98.549, 98.849)    (98.849, 99.149)    (99.149, 99.689)    (99.89, 100.078)    (100.078, 100.267)  (100.465, 100.775)  (100.775, 100.962)  (101.638, 102.003)  (103.042, 103.265) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>              
Timings          : (96.689, 97.069)    (97.069, 97.529)    (97.529, 97.659)    (97.659, 97.929)    (97.929, 98.249)    (98.249, 98.549)    (98.549, 98.849)    (98.849, 99.149)    (99.149, 99.689)    (99.89, 100.078)    (100.078, 100.267)  (-1.0, -1.0)        (100.775, 100.962)  (101.638, 102.003)  (103.042, 103.265) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   84013318406148      84013318406148      84013318406148      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                  


A                : Ġlike               Ġthe                Ġburning            Ġand                Ġlooting            <emp>               Ġis                 <emp>               Ġself               destruct            Ġeverybody          Ġsays               Ġwell               Ġthis               Ġis                
Timings          : (103.265, 103.476)  (103.476, 103.546)  (103.546, 103.896)  (103.896, 103.996)  (103.996, 104.332)  (104.652, 104.786)  (104.739, 105.006)  (104.921, 105.055)  (105.006, 105.391)  (105.391, 105.776)  (105.776, 106.166)  (106.166, 106.356)  (106.356, 106.606)  (106.606, 106.786)  (106.786, 106.916) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <eint>              <emp>               Ġoh                 Ġyes                <eint>              <emp>               <emp>              
Timings          : (103.265, 103.476)  (103.476, 103.546)  (103.546, 103.896)  (103.896, 103.996)  (103.996, 104.332)  (104.652, 104.786)  (104.786, 104.921)  (104.921, 105.055)  (-1.0, -1.0)        (105.391, 105.776)  (105.981, 106.072)  (106.072, 106.318)  (-1.0, -1.0)        (106.606, 106.786)  (106.786, 106.916) 
Token Types      : 0                   0                   0                   0                   0                   5                   5                   5                   5                   0                   5                   5                   5                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   84015465889798      84015465889798      84015465889798      84015465889798      0                   84015465889799      84015465889799      84015465889799      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   0                   2                   2                   2                   0                   0                  


A                : Ġthe                Ġnin                eties               Ġand                Ġthey               're                 Ġgonna              Ġrebuild            Ġand                Ġit                 'll                 Ġbe                 Ġeven               Ġbetter             Ġhey               
Timings          : (106.916, 107.006)  (107.006, 107.236)  (107.236, 107.466)  (107.466, 107.566)  (107.566, 107.626)  (107.626, 107.686)  (107.686, 107.866)  (107.866, 108.376)  (108.376, 108.476)  (108.476, 108.551)  (108.551, 108.626)  (108.626, 108.726)  (108.726, 108.936)  (108.936, 109.283)  (109.842, 110.159) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (106.916, 107.006)  (107.006, 107.236)  (107.236, 107.466)  (107.466, 107.566)  (107.566, 107.626)  (107.626, 107.686)  (107.686, 107.866)  (107.866, 108.376)  (108.376, 108.476)  (108.476, 108.551)  (108.551, 108.626)  (108.626, 108.726)  (108.726, 108.936)  (108.936, 109.283)  (109.842, 110.159) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwhat               Ġdo                 Ġyou                Ġthink              Ġyou                Ġknow               Ġsome               Ġsome               Ġblack              Ġguy                Ġwith               Ġcapital            Ġis                 Ġgonna              Ġcome              
Timings          : (110.637, 110.838)  (110.838, 110.897)  (110.897, 111.007)  (111.007, 111.283)  (111.41, 111.518)   (111.518, 111.627)  (111.627, 111.951)  (111.951, 112.268)  (112.268, 112.537)  (112.537, 112.717)  (112.717, 112.857)  (112.857, 113.287)  (113.287, 113.397)  (113.397, 113.567)  (113.567, 113.747) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               Ġuh                 <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (110.637, 110.838)  (110.838, 110.897)  (110.874, 110.954)  (-1.0, -1.0)        (111.41, 111.518)   (111.518, 111.627)  (111.627, 111.951)  (111.951, 112.268)  (112.268, 112.537)  (112.537, 112.717)  (112.717, 112.857)  (112.857, 113.287)  (113.287, 113.397)  (113.397, 113.567)  (113.567, 113.747) 
Token Types      : 0                   0                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   84015465889800      84015465889800      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġin                 Ġand                Ġinvest             Ġin                 Ġthat               Ġarea               <eot>               <emp>               Ġwith               Ġeverybody          Ġwith               Ġthat               Ġmindset            <emp>               <emp>              
Timings          : (113.747, 113.868)  (113.868, 114.018)  (114.018, 114.397)  (114.397, 114.488)  (114.488, 114.677)  (114.677, 115.028)  (-1.0, -1.0)        (115.212, 115.367)  (115.597, 115.717)  (115.717, 116.171)  (116.171, 116.301)  (116.301, 116.471)  (116.471, 116.908)  (117.215, 117.291)  (117.291, 117.367) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      84010634051588      0                   84010634051590      84010634051590      84010634051590      84010634051590      84010634051590      84010634051590      84010634051590     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġthat               's                  Ġright              <eot>               <emp>               <emp>               <emp>               Ġthey               're                
Timings          : (113.747, 113.868)  (113.868, 114.018)  (114.018, 114.397)  (114.397, 114.488)  (114.488, 114.677)  (114.677, 115.028)  (115.057, 115.212)  (115.212, 115.367)  (115.367, 115.693)  (-1.0, -1.0)        (116.171, 116.301)  (116.301, 116.471)  (116.471, 116.908)  (117.215, 117.291)  (117.291, 117.367) 
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   5                   5                  
turn_ids         : 0                   0                   0                   0                   0                   0                   84011170922501      84011170922501      84011170922501      84011170922501      0                   0                   0                   84015465889802      84015465889802     
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   0                   0                   0                   2                   2                  


A                : Ġthey               Ġthey               're                 Ġthey               're                 Ġgonna              Ġthat               Ġwhole              Ġarea               Ġis                 Ġgonna              Ġbe                 Ġturned             Ġinto               Ġresidential       
Timings          : (117.416, 117.581)  (117.581, 117.766)  (117.766, 117.951)  (117.951, 118.011)  (118.011, 118.071)  (118.071, 118.299)  (118.676, 118.841)  (118.841, 119.211)  (119.211, 119.511)  (119.511, 119.611)  (119.611, 119.811)  (119.811, 119.941)  (119.941, 120.341)  (120.341, 120.749)  (121.125, 121.971) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051590      84010634051590      84010634051590      84010634051590      84010634051590      84010634051590      84010634051590      84010634051590      84010634051590      84010634051590      84010634051590      84010634051590      84010634051590      84010634051590      84010634051590     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġonly               Ġgonna              Ġsuffer             <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (117.367, 117.579)  (117.579, 117.779)  (117.779, 118.19)   (-1.0, -1.0)        (118.011, 118.071)  (118.071, 118.299)  (118.676, 118.841)  (118.841, 119.211)  (119.211, 119.511)  (119.511, 119.611)  (119.611, 119.811)  (119.811, 119.941)  (119.941, 120.341)  (120.341, 120.749)  (121.125, 121.971) 
Token Types      : 5                   5                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 84015465889802      84015465889802      84015465889802      84015465889802      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
