A                : ok                  ay                  Ġwell               Ġi                  'll                 Ġjust               Ġbriefly            Ġum                 Ġi                  Ġworked             Ġin                 Ġa                  Ġnursing            Ġhome               Ġso                
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (69.539, 69.809)    (69.809, 69.879)    (69.879, 70.519)    (70.519, 70.889)    (70.889, 70.949)    (70.949, 71.019)    (71.019, 71.339)    (71.339, 71.988)    (72.476, 72.544)    (72.544, 72.959)    (72.959, 73.629)    (73.629, 73.799)    (73.799, 74.459)    (74.669, 75.479)    (75.929, 76.279)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġto                 Ġhelp               <emp>               Ġand                <emp>               Ġi                  Ġcan                Ġremember           Ġlifting            Ġa                  Ġpatient            Ġall                Ġby                 Ġmyself             Ġsimply            
Timings          : (76.279, 76.439)    (76.439, 76.802)    (77.2, 77.333)      (77.303, 77.493)    (77.466, 77.6)      (78.229, 78.31)     (78.31, 78.49)      (78.49, 78.87)      (78.87, 79.27)      (79.27, 79.33)      (79.33, 79.91)      (80.01, 80.18)      (80.18, 80.33)      (80.33, 80.96)      (80.96, 81.31)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (76.279, 76.439)    (76.439, 76.802)    (77.2, 77.333)      (77.333, 77.466)    (77.466, 77.6)      (-1.0, -1.0)        (78.31, 78.49)      (78.49, 78.87)      (78.87, 79.27)      (79.27, 79.33)      (79.33, 79.91)      (80.01, 80.18)      (80.18, 80.33)      (80.33, 80.96)      (80.96, 81.31)     
Token Types      : 0                   0                   3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   79976049147906      79976049147906      79976049147906      79976049147906      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbecause            Ġthere              Ġwas                Ġnot                Ġanother            Ġperson             Ġto                 Ġhelp               Ġit                 's                  Ġeither             Ġlet                Ġleave              Ġthe                Ġpatient           
Timings          : (81.31, 81.66)      (81.66, 81.75)      (81.75, 81.89)      (81.89, 82.21)      (82.21, 82.5)       (82.5, 82.88)       (82.88, 83.02)      (83.02, 83.34)      (83.34, 83.421)     (83.421, 83.501)    (83.501, 83.73)     (83.73, 83.96)      (84.19, 84.39)      (84.39, 84.45)      (84.45, 84.97)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (81.31, 81.66)      (81.66, 81.75)      (81.75, 81.89)      (81.89, 82.21)      (82.21, 82.5)       (82.5, 82.88)       (82.88, 83.02)      (83.02, 83.34)      (83.34, 83.421)     (83.421, 83.501)    (83.501, 83.73)     (83.73, 83.96)      (84.19, 84.39)      (84.39, 84.45)      (84.45, 84.97)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġin                 Ġbed                Ġall                Ġday                Ġlong               Ġor                 Ġget                Ġthem               Ġup                 Ġand                Ġi                  Ġwould              Ġhave               Ġpreferred          Ġto                
Timings          : (84.97, 85.13)      (85.13, 85.39)      (85.39, 85.63)      (85.63, 85.81)      (85.81, 86.236)     (86.922, 87.072)    (87.072, 87.322)    (87.372, 87.582)    (87.582, 87.932)    (88.152, 88.522)    (88.522, 88.602)    (88.602, 88.782)    (88.782, 88.872)    (88.872, 89.322)    (89.322, 89.392)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (84.97, 85.13)      (85.13, 85.39)      (85.39, 85.63)      (85.63, 85.81)      (85.81, 86.236)     (86.922, 87.072)    (87.072, 87.322)    (87.372, 87.582)    (87.582, 87.932)    (88.152, 88.522)    (88.522, 88.602)    (88.602, 88.782)    (88.782, 88.872)    (88.872, 89.322)    (89.322, 89.392)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġget                Ġthem               Ġup                 Ġthan               Ġthan               Ġto                 Ġleave              Ġthem               Ġin                 Ġbed                Ġall                Ġday                Ġbut                Ġuh                 Ġum                
Timings          : (89.392, 89.662)    (89.662, 89.822)    (89.822, 89.962)    (90.062, 90.256)    (90.794, 90.972)    (90.972, 91.102)    (91.102, 91.322)    (91.322, 91.472)    (91.472, 91.652)    (91.652, 91.872)    (91.872, 92.112)    (92.112, 92.442)    (92.442, 92.872)    (92.872, 93.042)    (93.717, 94.087)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (89.392, 89.662)    (89.662, 89.822)    (89.822, 89.962)    (90.062, 90.256)    (90.794, 90.972)    (90.972, 91.102)    (91.102, 91.322)    (91.322, 91.472)    (91.472, 91.652)    (91.652, 91.872)    (91.872, 92.112)    (92.112, 92.442)    (92.442, 92.872)    (92.872, 93.042)    (93.717, 94.087)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġso                 Ġi                  Ġthink              Ġnursing            Ġhomes              Ġare                Ġhave               Ġchanged            Ġi                  'm                  Ġnot                Ġquite              Ġsure               Ġbut                Ġhopefully         
Timings          : (94.087, 94.509)    (95.368, 95.457)    (95.457, 95.717)    (95.717, 96.027)    (96.027, 96.347)    (96.347, 96.547)    (96.757, 96.967)    (97.031, 97.587)    (97.587, 97.637)    (97.637, 97.687)    (97.687, 97.857)    (97.857, 98.127)    (98.127, 98.427)    (98.427, 98.587)    (98.587, 99.047)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344      79973364793344     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (94.087, 94.509)    (95.368, 95.457)    (95.457, 95.717)    (95.717, 96.027)    (96.027, 96.347)    (96.347, 96.547)    (96.757, 96.967)    (97.031, 97.587)    (97.587, 97.637)    (97.637, 97.687)    (97.687, 97.857)    (97.857, 98.127)    (98.127, 98.427)    (98.427, 98.587)    (98.587, 99.047)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthey               Ġhave               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (99.047, 99.237)    (99.237, 99.617)    (-1.0, -1.0)        (100.514, 100.744)  (100.831, 101.029)  (101.661, 101.754)  (101.754, 101.974)  (101.974, 102.084)  (102.084, 102.219)  (102.219, 102.354)  (102.354, 102.744)  (102.744, 102.924)  (102.924, 103.124)  (103.124, 103.594)  (103.594, 103.654) 
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79973364793344      79973364793344      79973364793344      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               yeah                Ġwell               Ġthe                Ġi                  Ġguess              Ġi                  Ġhaven              't                  Ġhad                Ġthat               Ġmuch               Ġexperience         Ġi                 
Timings          : (99.047, 99.237)    (99.237, 99.617)    (100.277, 100.514)  (100.514, 100.744)  (100.831, 101.029)  (101.661, 101.754)  (101.754, 101.974)  (101.974, 102.084)  (102.084, 102.219)  (102.219, 102.354)  (102.354, 102.744)  (102.744, 102.924)  (102.924, 103.124)  (103.124, 103.594)  (103.594, 103.654) 
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257     
turn_end_types   : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               Ġyeah              
Timings          : (103.654, 103.714)  (103.714, 103.934)  (103.934, 104.254)  (104.254, 104.494)  (104.494, 104.674)  (104.674, 105.004)  (105.004, 105.693)  (105.693, 105.874)  (105.876, 106.026)  (106.026, 106.176)  (-1.0, -1.0)        (106.644, 107.024)  (107.024, 107.278)  (107.392, 107.596)  (107.742, 108.082) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   79975512276993      79975512276993      79975512276993      0                   0                   0                   79975512276994     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   1                  

B                : 've                 Ġonly               Ġseen               Ġlike               Ġmy                 Ġgreat              Ġgrandparents       Ġin                 <emp>               <emp>               Ġa                  Ġnursing            Ġhome               Ġbut                <emp>              
Timings          : (103.654, 103.714)  (103.714, 103.934)  (103.934, 104.254)  (104.254, 104.494)  (104.494, 104.674)  (104.674, 105.004)  (105.004, 105.693)  (105.693, 105.874)  (105.876, 106.026)  (106.026, 106.176)  (106.563, 106.644)  (106.644, 107.024)  (107.024, 107.278)  (107.392, 107.596)  (107.742, 108.082) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (108.3, 108.491)    (108.491, 108.648)  (108.648, 109.06)   (109.06, 109.24)    (109.24, 109.57)    (109.57, 109.67)    (109.67, 109.86)    (109.86, 110.04)    (110.04, 110.29)    (110.29, 110.53)    (110.53, 110.77)    (110.77, 110.95)    (110.95, 111.06)    (111.06, 111.18)   
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79975512276994      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġhave               Ġan                 Ġaunt               Ġwho                Ġlived              Ġon                 Ġher                Ġown                Ġuntil              Ġshe                Ġwas                Ġwell               Ġin                 Ġher               
Timings          : (108.22, 108.3)     (108.3, 108.491)    (108.491, 108.648)  (108.648, 109.06)   (109.06, 109.24)    (109.24, 109.57)    (109.57, 109.67)    (109.67, 109.86)    (109.86, 110.04)    (110.04, 110.29)    (110.29, 110.53)    (110.53, 110.77)    (110.77, 110.95)    (110.95, 111.06)    (111.06, 111.18)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               sure                <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (111.18, 111.506)   (111.506, 111.831)  (111.887, 112.226)  (-1.0, -1.0)        (112.62, 112.8)     (112.8, 113.123)    (113.236, 113.41)   (113.41, 113.58)    (113.58, 113.9)     (113.9, 114.04)     (114.04, 114.18)    (114.18, 114.36)    (114.36, 114.5)     (114.5, 114.58)     (114.58, 114.62)   
Token Types      : 0                   0                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   79977659760643      79977659760643      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġnin                eties               <emp>               Ġand                Ġthen               Ġshe                Ġshe                Ġgot                Ġsick               Ġand                Ġshe                Ġended              Ġup                 Ġin                 Ġa                 
Timings          : (111.18, 111.506)   (111.506, 111.831)  (111.887, 112.226)  (112.456, 112.62)   (112.62, 112.8)     (112.8, 113.123)    (113.236, 113.41)   (113.41, 113.58)    (113.58, 113.9)     (113.9, 114.04)     (114.04, 114.18)    (114.18, 114.36)    (114.36, 114.5)     (114.5, 114.58)     (114.58, 114.62)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (114.62, 114.96)    (114.96, 115.187)   (115.182, 115.311)  (115.311, 115.44)   (-1.0, -1.0)        (116.293, 116.402)  (116.402, 116.783)  (116.783, 116.902)  (116.902, 116.982)  (116.982, 117.272)  (117.272, 117.59)   (118.231, 118.652)  (119.097, 119.192)  (119.192, 119.393)  (119.393, 119.463) 
Token Types      : 0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   79975512276995      79975512276995      79975512276995      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġnursing            Ġhome               <emp>               <emp>               Ġand                Ġmy                 Ġparents            Ġwent               Ġto                 Ġvisit              Ġher                Ġand                Ġit                 Ġgot                Ġto                
Timings          : (114.62, 114.96)    (114.96, 115.187)   (115.182, 115.311)  (115.311, 115.44)   (116.098, 116.293)  (116.293, 116.402)  (116.402, 116.783)  (116.783, 116.902)  (116.902, 116.982)  (116.982, 117.272)  (117.272, 117.59)   (118.231, 118.652)  (119.097, 119.192)  (119.192, 119.393)  (119.393, 119.463) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (119.463, 119.552)  (119.552, 119.893)  (119.893, 120.092)  (120.092, 120.162)  (120.162, 120.474)  (120.474, 120.614)  (120.614, 120.832)  (120.832, 121.022)  (121.022, 121.082)  (121.082, 121.452)  (121.452, 121.713)  (121.713, 121.842)  (121.842, 121.973)  (121.973, 122.143)  (122.143, 122.213) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthe                Ġpoint              Ġwhere              Ġthe                Ġnursing            Ġit                 Ġseemed             Ġlike               Ġthe                Ġnursing            Ġhome               Ġdidn               't                  Ġwant               Ġto                
Timings          : (119.463, 119.552)  (119.552, 119.893)  (119.893, 120.092)  (120.092, 120.162)  (120.162, 120.474)  (120.474, 120.614)  (120.614, 120.832)  (120.832, 121.022)  (121.022, 121.082)  (121.082, 121.452)  (121.452, 121.713)  (121.713, 121.842)  (121.842, 121.973)  (121.973, 122.143)  (122.143, 122.213) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257      79973901664257     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
