A                : my                  Ġfeelings           Ġon                 Ġcrime              Ġbeing              Ġup                 Ġhere               Ġin                 Ġro                 chester             Ġwe                 're                 Ġin                 Ġwestern            Ġnew               
Timings          : (74.544, 74.874)    (74.874, 75.204)    (75.204, 75.644)    (75.644, 75.724)    (75.724, 75.864)    (75.864, 76.004)    (76.004, 76.154)    (76.154, 76.294)    (76.294, 76.384)    (76.384, 76.694)    (76.718, 77.246)    (-1.0, -1.0)        (77.455, 77.574)    (77.574, 78.184)    (78.184, 78.284)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81334869426182      81334869426182      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                  

B                : Ġguy                Ġhit                Ġsomething          Ġhe                 Ġcouldn             't                  Ġsee                Ġwhat               Ġit                 Ġwas                Ġand                Ġso                 Ġhe                 Ġdragged            Ġit                
Timings          : (74.544, 74.874)    (74.874, 75.204)    (75.204, 75.644)    (75.644, 75.724)    (75.724, 75.864)    (75.864, 76.004)    (76.004, 76.154)    (76.154, 76.294)    (76.294, 76.384)    (76.384, 76.694)    (76.694, 76.804)    (76.804, 77.06)     (77.455, 77.574)    (77.574, 78.184)    (78.184, 78.284)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (78.284, 78.534)    (78.534, 78.794)    (78.794, 78.984)    (78.984, 79.464)    (79.464, 79.674)    (79.674, 79.774)    (79.774, 79.854)    (79.854, 80.004)    (80.004, 80.074)    (80.074, 80.594)    (80.594, 80.884)    (80.884, 80.994)    (80.994, 81.344)    (81.344, 81.404)    (81.404, 81.854)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġup                 Ġinto               Ġthe                Ġshallow            Ġend                Ġand                Ġit                 Ġwas                Ġa                  Ġgarbage            Ġcan                Ġand                Ġinside             Ġthe                Ġgarbage           
Timings          : (78.284, 78.534)    (78.534, 78.794)    (78.794, 78.984)    (78.984, 79.464)    (79.464, 79.674)    (79.674, 79.774)    (79.774, 79.854)    (79.854, 80.004)    (80.004, 80.074)    (80.074, 80.594)    (80.594, 80.884)    (80.884, 80.994)    (80.994, 81.344)    (81.344, 81.404)    (81.404, 81.854)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġuh                 Ġgod                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (81.854, 82.144)    (82.144, 82.284)    (82.284, 82.364)    (82.364, 82.837)    (82.867, 83.455)    (84.776, 85.516)    (-1.0, -1.0)        (86.325, 86.786)    (87.053, 87.155)    (87.155, 87.546)    (87.797, 87.905)    (87.905, 88.145)    (88.145, 88.305)    (88.305, 88.545)    (88.545, 88.915)   
Token Types      : 0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   81330574458888      81330574458888      81330574458888      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġcan                Ġwas                Ġa                  Ġbody               <eot>               <emp>               Ġand                Ġuh                 Ġyou                Ġknow               Ġi                  Ġthink              Ġthat               Ġstuff              Ġhappens           
Timings          : (81.854, 82.144)    (82.144, 82.284)    (82.284, 82.364)    (82.364, 82.837)    (-1.0, -1.0)        (84.776, 85.516)    (85.825, 86.325)    (86.325, 86.786)    (87.053, 87.155)    (87.155, 87.546)    (87.797, 87.905)    (87.905, 88.145)    (88.145, 88.305)    (88.305, 88.545)    (88.545, 88.915)   
Token Types      : 1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      0                   81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801     
turn_end_types   : 1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (88.915, 89.445)    (89.445, 89.565)    (89.565, 89.705)    (89.705, 89.955)    (89.955, 90.245)    (90.245, 90.556)    (91.042, 91.175)    (91.175, 91.285)    (91.285, 91.525)    (91.525, 91.615)    (91.615, 91.877)    (91.877, 92.138)    (92.469, 92.555)    (92.555, 92.805)    (92.805, 93.175)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġeverywhere         Ġbut                Ġit                 Ġjust               Ġseems              Ġlike               Ġwhen               Ġi                  Ġlived              Ġin                 Ġill                inois               Ġi                  Ġnever              Ġsaw               
Timings          : (88.915, 89.445)    (89.445, 89.565)    (89.565, 89.705)    (89.705, 89.955)    (89.955, 90.245)    (90.245, 90.556)    (91.042, 91.175)    (91.175, 91.285)    (91.285, 91.525)    (91.525, 91.615)    (91.615, 91.877)    (91.877, 92.138)    (92.469, 92.555)    (92.555, 92.805)    (92.805, 93.175)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (93.175, 93.275)    (93.275, 93.515)    (93.515, 93.575)    (93.575, 93.745)    (93.745, 93.885)    (93.885, 93.985)    (93.985, 94.205)    (94.205, 94.315)    (94.315, 94.415)    (94.415, 94.645)    (94.645, 94.855)    (94.855, 95.045)    (95.045, 95.145)    (95.145, 95.289)    (95.289, 95.432)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġas                 Ġmuch               Ġof                 Ġthat               Ġkind               Ġof                 Ġthing              Ġas                 Ġi                  Ġsee                Ġdown               Ġhere               Ġin                 Ġfl                 or                 
Timings          : (93.175, 93.275)    (93.275, 93.515)    (93.515, 93.575)    (93.575, 93.745)    (93.745, 93.885)    (93.885, 93.985)    (93.985, 94.205)    (94.205, 94.315)    (94.315, 94.415)    (94.415, 94.645)    (94.645, 94.855)    (94.855, 95.045)    (95.045, 95.145)    (95.145, 95.289)    (95.289, 95.432)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (95.432, 95.575)    (95.575, 95.775)    (95.775, 95.805)    (95.805, 95.9)      (95.9, 95.995)      (95.995, 96.105)    (96.105, 96.355)    (96.355, 96.515)    (96.515, 96.851)    (97.962, 98.197)    (98.197, 98.257)    (98.257, 98.437)    (98.437, 98.532)    (98.532, 98.627)    (98.627, 99.097)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : ida                 Ġand                Ġi                  Ġdon                't                  Ġknow               Ġwhy                Ġit                 Ġis                 Ġmaybe              Ġi                  Ġjust               Ġdon                't                  Ġremember          
Timings          : (95.432, 95.575)    (95.575, 95.775)    (95.775, 95.805)    (95.805, 95.9)      (95.9, 95.995)      (95.995, 96.105)    (96.105, 96.355)    (96.355, 96.515)    (96.515, 96.851)    (97.962, 98.197)    (98.197, 98.257)    (98.257, 98.437)    (98.437, 98.532)    (98.532, 98.627)    (98.627, 99.097)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (99.097, 99.202)    (99.421, 99.537)    (99.537, 99.714)    (99.714, 99.847)    (99.847, 100.097)   (100.097, 100.217)  (100.217, 100.842)  (101.226, 101.357)  (101.357, 101.607)  (101.607, 101.857)  (101.857, 102.147)  (102.147, 102.437)  (102.437, 102.722)  (103.502, 104.097)  (104.097, 104.267) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 Ġor                 Ġmaybe              Ġor                 Ġmaybe              Ġthe                Ġmedia              Ġin                 Ġill                inois               Ġdidn               't                  Ġuh                 Ġexpose             Ġit                
Timings          : (99.097, 99.202)    (99.421, 99.537)    (99.537, 99.714)    (99.714, 99.847)    (99.847, 100.097)   (100.097, 100.217)  (100.217, 100.842)  (101.226, 101.357)  (101.357, 101.607)  (101.607, 101.857)  (101.857, 102.147)  (102.147, 102.437)  (102.437, 102.722)  (103.502, 104.097)  (104.097, 104.267) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġwe                 Ġhad                Ġup                 Ġhere               Ġum                 Ġa                  Ġserial            
Timings          : (104.267, 104.337)  (104.337, 104.467)  (104.467, 104.567)  (104.567, 104.957)  (104.957, 105.197)  (105.197, 105.437)  (105.437, 105.797)  (106.101, 106.251)  (106.251, 106.451)  (106.451, 106.841)  (106.841, 107.021)  (107.021, 107.414)  (107.594, 108.072)  (108.272, 108.331)  (108.331, 108.861) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġthe                Ġway                Ġthe                Ġmedia              Ġdoes               Ġdown               Ġhere               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (104.267, 104.337)  (104.337, 104.467)  (104.467, 104.567)  (104.567, 104.957)  (104.957, 105.197)  (105.197, 105.437)  (105.437, 105.797)  (-1.0, -1.0)        (106.251, 106.451)  (106.451, 106.841)  (106.841, 107.021)  (107.021, 107.414)  (107.594, 108.072)  (108.272, 108.331)  (108.331, 108.861) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      81331111329801      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġkiller             Ġnamed              Ġart                Ġsh                 aw                  cross               Ġwho                Ġum                 Ġuh                 Ġdid                Ġin                 Ġi                  Ġthink              Ġtwenty             Ġone               
Timings          : (108.861, 109.315)  (109.616, 109.871)  (109.871, 110.131)  (110.131, 110.412)  (110.412, 110.693)  (110.693, 110.974)  (111.645, 111.857)  (111.857, 112.313)  (112.814, 113.121)  (113.121, 113.341)  (113.341, 113.551)  (113.551, 113.705)  (113.705, 113.971)  (113.971, 114.301)  (114.301, 114.572) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (108.861, 109.315)  (109.616, 109.871)  (109.871, 110.131)  (110.131, 110.412)  (110.412, 110.693)  (110.693, 110.974)  (111.645, 111.857)  (111.857, 112.313)  (112.814, 113.121)  (113.121, 113.341)  (113.341, 113.551)  (113.551, 113.705)  (113.705, 113.971)  (113.971, 114.301)  (114.301, 114.572) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġprostitutes        Ġover               Ġuh                 Ġi                  Ġthink              Ġa                  Ġone                Ġand                Ġa                  Ġhalf               Ġyear               Ġone                Ġyear               Ġand                Ġa                 
Timings          : (114.572, 115.563)  (116.301, 116.724)  (116.724, 116.994)  (117.446, 117.618)  (117.618, 117.814)  (117.814, 118.004)  (118.004, 118.204)  (118.204, 118.314)  (118.314, 118.364)  (118.364, 118.684)  (118.684, 118.994)  (118.994, 119.284)  (119.284, 119.514)  (119.514, 119.614)  (119.614, 119.664) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (114.572, 115.563)  (116.301, 116.724)  (116.724, 116.994)  (117.446, 117.618)  (117.618, 117.814)  (117.814, 118.004)  (118.004, 118.204)  (118.204, 118.314)  (118.314, 118.364)  (118.364, 118.684)  (118.684, 118.994)  (118.994, 119.284)  (119.284, 119.514)  (119.514, 119.614)  (119.614, 119.664) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhalf               Ġperiod             Ġand                Ġuh                 Ġthe                Ġname               Ġhis                Ġname               Ġwent               Ġkind               Ġof                 Ġnational           Ġbecause            Ġwhen               Ġeveryone          
Timings          : (119.664, 119.934)  (119.934, 120.684)  (120.684, 121.184)  (121.184, 121.37)   (122.007, 122.097)  (122.097, 122.518)  (122.518, 122.798)  (122.798, 123.098)  (123.098, 123.268)  (123.268, 123.498)  (123.498, 123.588)  (123.588, 124.148)  (124.148, 124.768)  (124.768, 125.088)  (125.088, 125.528) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (119.664, 119.934)  (119.934, 120.684)  (120.684, 121.184)  (121.184, 121.37)   (122.007, 122.097)  (122.097, 122.518)  (122.518, 122.798)  (122.798, 123.098)  (123.098, 123.268)  (123.268, 123.498)  (123.498, 123.588)  (123.588, 124.148)  (124.148, 124.768)  (124.768, 125.088)  (125.088, 125.528) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwas                Ġsitting            Ġaround             Ġwondering          Ġwhether            Ġmar                io                  Ġwas                Ġgonna              Ġrun                Ġis                 Ġhe                 Ġgonna              Ġrun                Ġis                
Timings          : (125.528, 125.628)  (125.628, 125.908)  (125.908, 126.178)  (126.178, 126.558)  (126.558, 126.788)  (126.788, 127.048)  (127.048, 127.308)  (127.308, 127.508)  (127.508, 127.768)  (127.768, 128.068)  (128.068, 128.208)  (128.208, 128.338)  (128.338, 128.588)  (128.588, 128.858)  (128.858, 128.988) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890      81330574458890     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (125.528, 125.628)  (125.628, 125.908)  (125.908, 126.178)  (126.178, 126.558)  (126.558, 126.788)  (126.788, 127.048)  (127.048, 127.308)  (127.308, 127.508)  (127.508, 127.768)  (127.768, 128.068)  (128.068, 128.208)  (128.208, 128.338)  (128.338, 128.588)  (128.588, 128.858)  (128.858, 128.988) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
