A                : um                  Ġa                  Ġlot                Ġof                 Ġcompanies          Ġnow                Ġare                Ġare                Ġusing              Ġuh                 Ġdrug               Ġtesting            Ġuh                 Ġparap              hern               
turn_ids         : 81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (63.02, 63.472)     (63.745, 64.198)    (64.334, 64.416)    (64.416, 64.487)    (64.487, 64.826)    (64.826, 65.14)     (66.044, 66.416)    (66.416, 66.536)    (66.536, 66.727)    (66.727, 66.907)    (66.907, 66.956)    (66.956, 67.267)    (67.267, 67.837)    (67.837, 67.966)    (67.966, 68.216)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġdrug               Ġproblem            <emp>               <emp>               <emp>               Ġand                Ġuh                 Ġand                Ġputting            Ġthat               Ġguy                Ġinto               Ġinto               Ġtherapy           
Timings          : (68.216, 68.276)    (68.276, 68.566)    (68.566, 69.057)    (69.255, 69.342)    (69.342, 69.428)    (69.428, 69.515)    (69.668, 70.098)    (70.098, 70.288)    (70.555, 70.748)    (70.748, 71.008)    (71.008, 71.198)    (71.198, 71.408)    (71.408, 71.688)    (71.688, 72.018)    (72.018, 72.478)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (68.216, 68.276)    (68.276, 68.566)    (68.566, 69.057)    (69.255, 69.342)    (69.342, 69.428)    (69.428, 69.515)    (-1.0, -1.0)        (70.098, 70.288)    (70.555, 70.748)    (70.748, 71.008)    (71.008, 71.198)    (71.198, 71.408)    (71.408, 71.688)    (71.688, 72.018)    (72.018, 72.478)   
Token Types      : 0                   0                   0                   3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   81865834758147      81865834758147      81865834758147      81865834758147      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġto                 Ġor                 Ġwhatever           Ġit                 Ġis                 Ġto                 Ġto                 Ġyou                Ġknow               Ġbreak              Ġthis               Ġuh                 Ġuh                 Ġactivity           Ġof                
Timings          : (72.478, 72.849)    (73.431, 73.541)    (73.541, 73.971)    (73.971, 74.051)    (74.051, 74.231)    (74.231, 74.606)    (74.606, 75.028)    (75.028, 75.121)    (75.121, 75.201)    (75.201, 75.521)    (75.521, 75.871)    (75.871, 76.162)    (76.57, 76.796)     (76.796, 77.301)    (77.301, 77.361)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (72.478, 72.849)    (73.431, 73.541)    (73.541, 73.971)    (73.971, 74.051)    (74.051, 74.231)    (74.231, 74.606)    (74.606, 75.028)    (75.028, 75.121)    (75.121, 75.201)    (75.201, 75.521)    (75.521, 75.871)    (75.871, 76.162)    (76.57, 76.796)     (76.796, 77.301)    (77.301, 77.361)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġcourse             Ġif                 Ġhe                 's                  Ġfallen             Ġin                 Ġlove               Ġwith               Ġdrugs              Ġand                Ġthere              Ġisn                't                  Ġanything           Ġbut               
Timings          : (77.361, 77.611)    (77.611, 77.691)    (77.691, 77.831)    (77.831, 77.971)    (77.971, 78.311)    (78.311, 78.391)    (78.391, 78.581)    (78.581, 78.731)    (78.731, 79.278)    (79.736, 79.896)    (79.896, 79.996)    (79.996, 80.111)    (80.111, 80.226)    (80.226, 80.786)    (80.786, 80.946)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (77.361, 77.611)    (77.611, 77.691)    (77.691, 77.831)    (77.831, 77.971)    (77.971, 78.311)    (78.311, 78.391)    (78.391, 78.581)    (78.581, 78.731)    (78.731, 79.278)    (79.736, 79.896)    (79.896, 79.996)    (79.996, 80.111)    (80.111, 80.226)    (80.226, 80.786)    (80.786, 80.946)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġgetting            Ġst                 oned                Ġor                 Ġhigh               Ġis                 Ġis                 Ġthe                Ġonly               Ġthing              Ġin                 Ġlife               Ġthat               Ġseems              Ġbe                
Timings          : (81.166, 81.426)    (81.426, 81.641)    (81.641, 81.856)    (81.856, 81.966)    (81.966, 82.206)    (82.206, 82.606)    (82.606, 82.796)    (82.796, 82.876)    (82.876, 83.166)    (83.166, 83.436)    (83.436, 83.526)    (83.526, 83.916)    (83.916, 84.046)    (84.166, 84.436)    (84.436, 84.576)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (81.166, 81.426)    (81.426, 81.641)    (81.641, 81.856)    (81.856, 81.966)    (81.966, 82.206)    (82.206, 82.606)    (82.606, 82.796)    (82.796, 82.876)    (82.876, 83.166)    (83.166, 83.436)    (83.436, 83.526)    (83.526, 83.916)    (83.916, 84.046)    (84.166, 84.436)    (84.436, 84.576)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmeaningful         Ġthen               Ġmaybe              Ġthere              Ġis                 Ġno                 Ġhope               <emp>               Ġwhat               's                  Ġyour               Ġuh                 Ġfeeling            <eot>               <emp>              
Timings          : (84.576, 85.136)    (85.625, 85.765)    (85.765, 86.025)    (86.025, 86.145)    (86.145, 86.242)    (86.242, 86.444)    (86.444, 86.773)    (87.153, 87.703)    (88.06, 88.185)     (88.185, 88.31)     (88.31, 88.63)      (88.63, 88.66)      (88.66, 89.12)      (-1.0, -1.0)        (89.973, 90.191)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      81863150403586      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               Ġum                 Ġwell              
Timings          : (84.576, 85.136)    (85.625, 85.765)    (85.765, 86.025)    (86.025, 86.145)    (86.145, 86.242)    (86.242, 86.444)    (86.444, 86.773)    (87.153, 87.703)    (-1.0, -1.0)        (88.185, 88.31)     (88.31, 88.63)      (88.63, 88.66)      (88.66, 89.12)      (89.517, 89.848)    (89.973, 90.191)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   81865834758148      81865834758148      0                   0                   0                   0                   81863687274499      81863687274499     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (90.191, 90.285)    (90.285, 90.667)    (91.307, 91.588)    (91.84, 91.999)     (91.999, 92.177)    (92.177, 92.222)    (92.222, 92.267)    (92.267, 92.527)    (92.527, 92.557)    (92.557, 92.727)    (92.727, 92.887)    (92.887, 93.105)    (93.105, 93.317)    (93.317, 93.407)    (93.407, 93.517)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġguess              Ġi                  Ġi                  Ġguess              Ġi                  'm                  Ġprobably           Ġa                  Ġlittle             Ġmore               Ġtoward             Ġtoward             Ġthe                Ġother             
Timings          : (90.191, 90.285)    (90.285, 90.667)    (91.307, 91.588)    (91.84, 91.999)     (91.999, 92.177)    (92.177, 92.222)    (92.222, 92.267)    (92.267, 92.527)    (92.527, 92.557)    (92.557, 92.727)    (92.727, 92.887)    (92.887, 93.105)    (93.105, 93.317)    (93.317, 93.407)    (93.407, 93.517)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (93.517, 93.958)    (94.192, 94.599)    (95.446, 95.686)    (95.889, 96.024)    (96.024, 96.256)    (96.346, 96.674)    (96.674, 97.325)    (97.325, 97.796)    (98.978, 99.219)    (99.219, 99.46)     (99.931, 100.161)   (100.526, 100.708)  (100.708, 100.858)  (100.858, 100.943)  (100.943, 101.028) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġdirection          Ġum                 Ġwell               Ġi                  Ġguess              Ġmainly             Ġbecause            Ġum                 Ġit                 's                  Ġi                  Ġwell               Ġlike               Ġthere              's                 
Timings          : (93.517, 93.958)    (94.192, 94.599)    (95.446, 95.686)    (95.889, 96.024)    (96.024, 96.256)    (96.346, 96.674)    (96.674, 97.325)    (97.325, 97.796)    (98.978, 99.219)    (99.219, 99.46)     (99.931, 100.161)   (100.526, 100.708)  (100.708, 100.858)  (100.858, 100.943)  (100.943, 101.028) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (101.028, 101.181)  (101.181, 101.407)  (101.407, 101.528)  (101.528, 101.628)  (101.628, 101.738)  (101.738, 102.118)  (102.118, 102.368)  (102.368, 102.518)  (102.518, 102.628)  (102.628, 102.832)  (102.927, 103.268)  (103.418, 103.518)  (103.518, 103.643)  (103.643, 103.768)  (103.768, 104.058) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġtwo                Ġsides              Ġto                 Ġit                 Ġi                  Ġguess              Ġum                 Ġone                Ġis                 Ġthat               Ġum                 Ġif                 Ġyou                're                 Ġcoming            
Timings          : (101.028, 101.181)  (101.181, 101.407)  (101.407, 101.528)  (101.528, 101.628)  (101.628, 101.738)  (101.738, 102.118)  (102.118, 102.368)  (102.368, 102.518)  (102.518, 102.628)  (102.628, 102.832)  (102.927, 103.268)  (103.418, 103.518)  (103.518, 103.643)  (103.643, 103.768)  (103.768, 104.058) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (104.058, 104.128)  (104.128, 104.438)  (104.668, 104.808)  (104.808, 104.878)  (104.878, 105.278)  (105.278, 105.368)  (105.368, 105.518)  (105.518, 105.698)  (105.698, 105.768)  (105.768, 106.228)  (106.228, 106.688)  (106.688, 107.148)  (107.651, 107.882)  (107.882, 107.962)  (107.962, 108.021) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġto                 Ġwork               Ġunder              Ġthe                Ġinfluence          Ġof                 Ġany                Ġsort               Ġof                 Ġdrug               Ġalcohol            Ġwhatever           Ġor                 Ġyou                Ġknow              
Timings          : (104.058, 104.128)  (104.128, 104.438)  (104.668, 104.808)  (104.808, 104.878)  (104.878, 105.278)  (105.278, 105.368)  (105.368, 105.518)  (105.518, 105.698)  (105.698, 105.768)  (105.768, 106.228)  (106.228, 106.688)  (106.688, 107.148)  (107.651, 107.882)  (107.882, 107.962)  (107.962, 108.021) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (108.021, 108.191)  (108.191, 108.282)  (108.441, 108.526)  (108.526, 108.612)  (108.612, 109.072)  (109.072, 109.572)  (109.572, 109.661)  (109.661, 109.752)  (109.752, 109.882)  (109.882, 110.142)  (110.142, 110.201)  (110.201, 110.632)  (111.011, 111.451)  (112.087, 112.217)  (112.217, 112.396) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġeven               Ġif                 Ġit                 's                  Ġsmoking            Ġinhibits           Ġyou                Ġknow               Ġyour               Ġability            Ġto                 Ġfunction           Ġthen               Ġi                  Ġi                 
Timings          : (108.021, 108.191)  (108.191, 108.282)  (108.441, 108.526)  (108.526, 108.612)  (108.612, 109.072)  (109.072, 109.572)  (109.572, 109.661)  (109.661, 109.752)  (109.752, 109.882)  (109.882, 110.142)  (110.142, 110.201)  (110.201, 110.632)  (111.011, 111.451)  (112.087, 112.217)  (112.217, 112.396) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (112.396, 112.537)  (112.537, 112.687)  (112.687, 112.877)  (112.877, 112.957)  (112.957, 113.176)  (113.421, 113.496)  (113.496, 113.521)  (113.521, 113.547)  (113.547, 113.617)  (113.617, 113.707)  (113.707, 113.947)  (113.947, 114.027)  (114.027, 114.247)  (114.247, 114.347)  (114.787, 115.097) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthink              Ġthat               Ġthat               Ġyou                Ġknow               Ġi                  Ġdon                't                  Ġhave               Ġany                Ġproblem            Ġat                 Ġall                Ġwith               Ġtesting           
Timings          : (112.396, 112.537)  (112.537, 112.687)  (112.687, 112.877)  (112.877, 112.957)  (112.957, 113.176)  (113.421, 113.496)  (113.496, 113.521)  (113.521, 113.547)  (113.547, 113.617)  (113.617, 113.707)  (113.707, 113.947)  (113.947, 114.027)  (114.027, 114.247)  (114.247, 114.347)  (114.787, 115.097) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499      81863687274499     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
