A                : ok                  ay                  Ġi                  'm                  Ġhere               Ġhow                Ġdo                 Ġyou                Ġfeel               Ġabout              Ġthe                Ġpublic             Ġschools            <eot>               <emp>              
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               ok                  ay                  <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (68.39, 68.49)      (68.49, 69.233)     (69.534, 69.938)    (69.938, 70.342)    (-1.0, -1.0)        (71.244, 71.38)     (71.38, 71.55)      (71.55, 71.62)      (71.62, 71.865)     (71.865, 72.11)     (72.11, 72.271)     (72.271, 72.432)    (72.432, 72.592)    (72.592, 73.11)     (73.767, 74.191)   
Token Types      : 0                   0                   5                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   82915954262021      82915954262021      82915954262021      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġschools            Ġdown               Ġthere              Ġfrom               Ġwhat               Ġi                  Ġknow               Ġare                Ġnot                Ġbad                Ġthey               're                 Ġpretty             Ġgood              
Timings          : (74.191, 74.261)    (74.261, 74.741)    (74.741, 75.001)    (75.001, 75.513)    (75.905, 76.201)    (76.201, 76.391)    (76.391, 76.523)    (76.523, 77.034)    (77.701, 77.911)    (77.911, 78.191)    (78.191, 78.609)    (78.609, 78.685)    (78.685, 78.761)    (78.761, 79.036)    (79.036, 79.344)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (74.191, 74.261)    (74.261, 74.741)    (74.741, 75.001)    (75.001, 75.513)    (75.905, 76.201)    (76.201, 76.391)    (76.391, 76.523)    (76.523, 77.034)    (77.701, 77.911)    (77.911, 78.191)    (78.191, 78.609)    (78.609, 78.685)    (78.685, 78.761)    (78.761, 79.036)    (79.036, 79.344)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : <eot>               <emp>               <emp>               Ġbut                Ġi                  Ġknow               Ġthat               Ġin                 Ġsome               Ġi                  Ġknow               Ġin                 Ġa                  Ġlot                Ġof                
Timings          : (-1.0, -1.0)        (79.977, 80.102)    (80.102, 80.227)    (80.445, 80.852)    (80.852, 80.962)    (80.962, 81.272)    (81.272, 81.422)    (81.422, 81.572)    (81.572, 81.975)    (82.525, 82.622)    (82.622, 82.832)    (82.832, 82.902)    (82.902, 82.972)    (82.972, 83.142)    (83.142, 83.282)   
Token Types      : 1                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82911122423816      0                   0                   82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290     
turn_end_types   : 1                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġwell               Ġthat               's                  Ġgreat              <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (79.878, 79.977)    (79.977, 80.102)    (80.102, 80.227)    (80.227, 80.782)    (-1.0, -1.0)        (80.962, 81.272)    (81.272, 81.422)    (81.422, 81.572)    (81.572, 81.975)    (82.525, 82.622)    (82.622, 82.832)    (82.832, 82.902)    (82.902, 82.972)    (82.972, 83.142)    (83.142, 83.282)   
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82911659294729      82911659294729      82911659294729      82911659294729      82911659294729      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġrural              Ġareas              Ġthey               're                 Ġnot                Ġthat               Ġgood               <emp>               <emp>               Ġfor                Ġexample            Ġi                  Ġhave               Ġa                  Ġbrother           
Timings          : (83.282, 83.652)    (83.652, 84.022)    (84.022, 84.087)    (84.087, 84.152)    (84.152, 84.392)    (84.392, 84.632)    (84.632, 85.06)     (85.433, 85.605)    (85.605, 85.778)    (85.748, 85.894)    (85.894, 86.394)    (86.394, 86.424)    (86.424, 86.524)    (86.524, 86.614)    (86.614, 86.954)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (83.282, 83.652)    (83.652, 84.022)    (84.022, 84.087)    (84.087, 84.152)    (84.152, 84.392)    (84.392, 84.632)    (84.632, 85.06)     (85.433, 85.605)    (85.605, 85.778)    (-1.0, -1.0)        (85.894, 86.394)    (86.394, 86.424)    (86.424, 86.524)    (86.524, 86.614)    (86.614, 86.954)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   82913806778374      82913806778374      82913806778374      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġin                 Ġnorth              Ġcar                olina               Ġand                Ġhe                 Ġsays               Ġthe                Ġschools            Ġthere              Ġare                Ġare                Ġincredibly         Ġbad                Ġum                
Timings          : (86.954, 87.024)    (87.024, 87.224)    (87.224, 87.552)    (87.552, 87.88)     (88.399, 88.554)    (88.554, 88.674)    (88.674, 88.944)    (88.944, 89.014)    (89.014, 89.424)    (89.424, 89.684)    (89.684, 89.884)    (89.884, 90.034)    (90.034, 90.554)    (90.554, 90.873)    (91.084, 91.573)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290      82914343649290     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (86.954, 87.024)    (87.024, 87.224)    (87.224, 87.552)    (87.552, 87.88)     (88.399, 88.554)    (88.554, 88.674)    (88.674, 88.944)    (88.944, 89.014)    (89.014, 89.424)    (89.424, 89.684)    (89.684, 89.884)    (89.884, 90.034)    (90.034, 90.554)    (90.554, 90.873)    (91.084, 91.573)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġjust               Ġterrible           <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (91.701, 91.924)    (91.924, 92.341)    (-1.0, -1.0)        (92.98, 93.193)     (93.193, 93.407)    (93.407, 93.577)    (93.577, 93.706)    (93.706, 93.834)    (93.834, 94.427)    (94.427, 95.347)    (95.347, 95.714)    (96.371, 96.527)    (96.527, 96.732)    (96.732, 96.815)    (96.815, 97.087)   
Token Types      : 4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82914343649290      82914343649290      82914343649290      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               Ġwell               Ġi                  Ġfeel               Ġthat               Ġwe                 're                 Ġway                Ġbehind             Ġuh                 Ġi                  Ġhave               Ġa                  Ġson               
Timings          : (91.701, 91.924)    (91.924, 92.341)    (92.577, 92.98)     (92.98, 93.193)     (93.193, 93.407)    (93.407, 93.577)    (93.577, 93.706)    (93.706, 93.834)    (93.834, 94.427)    (94.427, 95.347)    (95.347, 95.714)    (96.371, 96.527)    (96.527, 96.732)    (96.732, 96.815)    (96.815, 97.087)   
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731     
turn_end_types   : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               hm                  <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (97.087, 97.207)    (97.207, 97.387)    (97.387, 97.497)    (97.497, 97.607)    (97.607, 97.937)    (97.937, 98.443)    (98.695, 98.78)     (-1.0, -1.0)        (99.477, 99.747)    (99.747, 100.017)   (100.017, 100.207)  (100.207, 100.527)  (100.527, 100.907)  (100.907, 101.267)  (101.267, 101.457) 
Token Types      : 0                   0                   0                   0                   0                   0                   5                   5                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82915417391116      82915417391116      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthat               Ġis                 Ġin                 Ġthe                Ġfourth             Ġgrade              <emp>               Ġand                Ġuh                 Ġthey               Ġhave               Ġjust               Ġnow                Ġtaken              Ġup                
Timings          : (97.087, 97.207)    (97.207, 97.387)    (97.387, 97.497)    (97.497, 97.607)    (97.607, 97.937)    (97.937, 98.443)    (98.695, 98.78)     (99.012, 99.477)    (99.477, 99.747)    (99.747, 100.017)   (100.017, 100.207)  (100.207, 100.527)  (100.527, 100.907)  (100.907, 101.267)  (101.267, 101.457) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731      82911659294731     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġwow                <eot>               <emp>               Ġthat               Ġis                 Ġslow               <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (101.457, 102.112)  (102.476, 102.959)  (-1.0, -1.0)        (103.32, 103.756)   (103.914, 104.039)  (104.039, 104.186)  (104.186, 104.574)  (-1.0, -1.0)        (104.405, 104.548)  (104.863, 105.176)  (106.316, 106.481)  (106.481, 106.881)  (106.881, 107.011)  (107.011, 107.131)  (107.131, 107.381) 
Token Types      : 0                   1                   1                   0                   5                   5                   5                   5                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   82911122423820      82911122423820      0                   82915417391118      82915417391118      82915417391118      82915417391118      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġdivision           <eot>               Ġuh                 Ġyeah               Ġand                <emp>               Ġand                Ġyou                Ġknow               Ġi                  Ġmy                 Ġhusband            Ġand                Ġi                  Ġgo                
Timings          : (101.457, 102.112)  (-1.0, -1.0)        (103.181, 103.32)   (103.32, 103.756)   (103.756, 104.131)  (104.039, 104.186)  (104.131, 104.301)  (104.301, 104.405)  (104.405, 104.548)  (104.863, 105.176)  (106.316, 106.481)  (106.481, 106.881)  (106.881, 107.011)  (107.011, 107.131)  (107.131, 107.381) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911659294731      82911659294731      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733     
turn_end_types   : 1                   1                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (107.381, 107.551)  (107.551, 107.621)  (107.621, 107.931)  (107.931, 108.021)  (108.021, 108.151)  (108.151, 108.412)  (108.412, 108.793)  (108.793, 109.161)  (109.161, 109.501)  (109.501, 109.735)  (109.882, 110.101)  (110.101, 110.721)  (110.721, 111.034)  (111.286, 111.981)  (111.981, 112.421) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġto                 Ġthe                Ġstore              Ġand                Ġwe                 Ġbuy                Ġthese              Ġmath               Ġbooks              Ġand                Ġand                Ġfractions          Ġand                Ġmultiplication     Ġdivision          
Timings          : (107.381, 107.551)  (107.551, 107.621)  (107.621, 107.931)  (107.931, 108.021)  (108.021, 108.151)  (108.151, 108.412)  (108.412, 108.793)  (108.793, 109.161)  (109.161, 109.501)  (109.501, 109.735)  (109.882, 110.101)  (110.101, 110.721)  (110.721, 111.034)  (111.286, 111.981)  (111.981, 112.421) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (112.421, 112.72)   (113.179, 113.601)  (114.632, 114.792)  (114.792, 115.102)  (115.102, 115.462)  (115.462, 115.628)  (116.849, 116.961)  (116.961, 117.131)  (117.131, 117.508)  (117.508, 117.903)  (118.083, 118.301)  (118.301, 118.351)  (118.351, 118.401)  (118.401, 118.698)  (118.852, 119.235) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthings             Ġand                Ġi                  Ġfeel               Ġlike               Ġuh                 Ġthere              Ġare                Ġseveral            Ġareas              Ġthat               Ġwe                 're                 Ġjust               Ġreally            
Timings          : (112.421, 112.72)   (113.179, 113.601)  (114.632, 114.792)  (114.792, 115.102)  (115.102, 115.462)  (115.462, 115.628)  (116.849, 116.961)  (116.961, 117.131)  (117.131, 117.508)  (117.508, 117.903)  (118.083, 118.301)  (118.301, 118.351)  (118.351, 118.401)  (118.401, 118.698)  (118.852, 119.235) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (119.766, 120.131)  (120.131, 120.591)  (120.591, 120.858)  (120.994, 121.15)   (121.15, 121.307)   (-1.0, -1.0)        (121.751, 121.895)  (122.96, 123.177)   (123.177, 123.33)   (123.33, 123.483)   (123.648, 124.014)  (124.014, 124.104)  (124.104, 124.88)   (124.88, 125.16)    (125.16, 125.454)  
Token Types      : 0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   82913269907469      82913269907469      82913269907469      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġreally             Ġslow               Ġin                 <emp>               <emp>               Ġand                Ġuh                 Ġi                  Ġdon                't                  Ġblame              Ġthe                Ġteachers           Ġas                 Ġmuch              
Timings          : (119.766, 120.131)  (120.131, 120.591)  (120.591, 120.858)  (120.994, 121.15)   (121.15, 121.307)   (121.308, 121.751)  (121.751, 121.895)  (122.96, 123.177)   (123.177, 123.33)   (123.33, 123.483)   (123.648, 124.014)  (124.014, 124.104)  (124.104, 124.88)   (124.88, 125.16)    (125.16, 125.454)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġwhat               Ġdo                 Ġyou                Ġthink              's                  Ġwrong              Ġto                 Ġcause              Ġthat               <yield>            
Timings          : (125.454, 125.594)  (125.594, 125.694)  (125.694, 126.134)  (126.134, 126.313)  (126.313, 126.855)  (127.148, 127.235)  (127.235, 127.296)  (127.296, 127.376)  (127.376, 127.516)  (127.516, 127.656)  (127.656, 128.03)   (128.285, 128.397)  (128.397, 128.724)  (128.724, 128.9)    (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   82914343649294      82914343649294      82914343649294      82914343649294      82914343649294      82914343649294      82914343649294      82914343649294      82914343649294      82914343649294     
turn_end_types   : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġas                 Ġi                  Ġblame              Ġthe                Ġsystem             <emp>               <emp>               Ġit                 Ġis                 <yield>             <emp>               <emp>               <emp>               Ġwell               Ġwell              
Timings          : (125.454, 125.594)  (125.594, 125.694)  (125.694, 126.134)  (126.134, 126.313)  (126.313, 126.855)  (127.148, 127.235)  (127.235, 127.296)  (127.326, 127.431)  (127.431, 127.539)  (-1.0, -1.0)        (127.656, 128.03)   (128.285, 128.397)  (128.397, 128.724)  (128.643, 128.997)  (129.505, 129.713) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   4                   4                  
turn_ids         : 82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      82911659294733      0                   0                   0                   82914880520207      82914880520207     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   1                   1                  
