A                : been                Ġon                 Ġthe                Ġline               Ġfor                Ġawhile             Ġi                  Ġalmost             Ġforgot             Ġwhat               Ġthe                Ġtopic              Ġwas                <eot>               <emp>              
Timings          : (65.157, 65.818)    (65.818, 66.442)    (66.442, 66.599)    (66.599, 66.66)     (66.66, 66.722)     (66.722, 66.795)    (66.795, 66.885)    (66.885, 67.115)    (67.115, 67.265)    (67.265, 67.325)    (67.325, 67.755)    (67.755, 68.075)    (68.075, 68.592)    (69.108, 69.285)    (69.285, 69.405)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (69.405, 69.685)    (69.685, 69.936)    (70.549, 70.831)    (71.327, 71.446)    (71.446, 71.565)    (71.565, 71.635)    (71.635, 71.985)    (71.985, 72.165)    (72.165, 72.195)    (72.195, 72.535)    (72.535, 72.675)    (72.675, 72.845)    (72.845, 72.94)     (72.94, 73.035)     (73.035, 73.165)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsort               Ġof                 Ġuh                 Ġit                 's                  Ġa                  Ġpro                Ġand                Ġa                  Ġcon                Ġtype               Ġi                  Ġdon                't                  Ġknow              
Timings          : (69.405, 69.685)    (69.685, 69.936)    (70.549, 70.831)    (71.327, 71.446)    (71.446, 71.565)    (71.565, 71.635)    (71.635, 71.985)    (71.985, 72.165)    (72.165, 72.195)    (72.195, 72.535)    (72.535, 72.675)    (72.675, 72.845)    (72.845, 72.94)     (72.94, 73.035)     (73.035, 73.165)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (73.165, 73.405)    (73.405, 73.505)    (73.505, 74.085)    (74.085, 74.355)    (74.42, 75.103)     (-1.0, -1.0)        (75.326, 75.418)    (75.418, 75.638)    (75.638, 75.698)    (75.698, 76.28)     (76.28, 76.605)     (76.605, 76.846)    (76.846, 77.058)    (77.058, 77.208)    (77.208, 77.258)   
Token Types      : 0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   82019916709894      82019916709894      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwhere              Ġto                 Ġstand              Ġon                 Ġit                 Ġi                  'm                  Ġmore               Ġor                 Ġless               Ġif                 Ġthey               Ġtold               Ġme                 Ġi                 
Timings          : (73.165, 73.405)    (73.405, 73.505)    (73.505, 74.085)    (74.085, 74.355)    (74.355, 74.532)    (75.234, 75.326)    (75.326, 75.418)    (75.418, 75.638)    (75.638, 75.698)    (75.698, 76.28)     (76.28, 76.605)     (76.605, 76.846)    (76.846, 77.058)    (77.058, 77.208)    (77.208, 77.258)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (77.258, 77.618)    (77.618, 77.818)    (77.818, 77.988)    (77.988, 78.208)    (78.208, 78.778)    (78.82, 79.39)      (-1.0, -1.0)        (79.517, 79.758)    (79.758, 79.948)    (79.948, 80.108)    (80.108, 80.288)    (80.288, 80.748)    (80.748, 80.968)    (80.968, 81.138)    (81.138, 81.208)   
Token Types      : 0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   82019916709895      82019916709895      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġhad                Ġto                 Ġwell               Ġthen               Ġfine               Ġbut                Ġif                 Ġyou                Ġknow               Ġif                 Ġthey               Ġmade               Ġme                 Ġthen               Ġi                 
Timings          : (77.258, 77.618)    (77.618, 77.818)    (77.818, 77.988)    (77.988, 78.208)    (78.208, 78.778)    (78.778, 78.988)    (78.988, 79.208)    (79.517, 79.758)    (79.758, 79.948)    (79.948, 80.108)    (80.108, 80.288)    (80.288, 80.748)    (80.748, 80.968)    (80.968, 81.138)    (81.138, 81.208)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (81.208, 81.278)    (81.278, 81.919)    (82.16, 82.298)     (82.298, 82.378)    (82.378, 82.518)    (82.518, 82.658)    (82.658, 82.811)    (82.811, 82.965)    (82.965, 83.118)    (83.118, 83.168)    (83.168, 83.218)    (83.218, 83.548)    (83.548, 83.708)    (83.708, 83.868)    (83.868, 84.238)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 'd                  Ġprobably           Ġif                 Ġi                  Ġhad                Ġmy                 Ġdr                 ut                  hers                Ġi                  'd                  Ġprobably           Ġsay                Ġwell               Ġno                
Timings          : (81.208, 81.278)    (81.278, 81.919)    (82.16, 82.298)     (82.298, 82.378)    (82.378, 82.518)    (82.518, 82.658)    (82.658, 82.811)    (82.811, 82.965)    (82.965, 83.118)    (83.118, 83.168)    (83.168, 83.218)    (83.218, 83.548)    (83.548, 83.708)    (83.708, 83.868)    (83.868, 84.238)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġyeah               Ġyou                Ġkind               <emp>               Ġof                 Ġgoes               Ġinto               Ġyour               Ġprivacy            Ġand                <emp>               Ġyou                Ġknow               Ġbut                Ġi                 
Timings          : (85.003, 85.597)    (85.838, 85.992)    (85.992, 86.422)    (86.138, 86.418)    (86.422, 86.612)    (86.612, 86.812)    (86.812, 87.042)    (87.042, 87.182)    (87.182, 88.082)    (88.082, 88.365)    (88.666, 89.242)    (89.63, 89.793)     (89.793, 90.084)    (90.084, 90.365)    (90.662, 90.841)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               Ġyou                Ġknow               Ġjust               Ġthis               <yield>             <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>              
Timings          : (85.003, 85.597)    (85.858, 85.998)    (85.998, 86.138)    (86.138, 86.418)    (86.418, 86.68)     (-1.0, -1.0)        (86.812, 87.042)    (87.042, 87.182)    (87.182, 88.082)    (88.082, 88.365)    (88.666, 89.242)    (-1.0, -1.0)        (89.793, 90.084)    (90.084, 90.365)    (90.662, 90.841)   
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   3                   3                   0                   0                   0                  
turn_ids         : 82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      82018306097157      0                   0                   0                   0                   82020453580805      82020453580805      0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   2                   2                   0                   0                   0                  


A                : Ġguess              Ġif                 Ġthey               Ġyou                Ġknow               Ġyou                Ġknow               Ġthere              's                  Ġuh                 Ġi                  Ġi                  Ġguess              Ġthere              's                 
Timings          : (91.045, 91.314)    (91.314, 91.434)    (91.434, 91.56)     (91.876, 91.934)    (91.934, 92.074)    (92.074, 92.244)    (92.244, 92.434)    (92.434, 92.568)    (92.568, 92.703)    (92.703, 92.942)    (93.132, 93.26)     (93.26, 93.41)      (93.41, 93.614)     (93.614, 93.674)    (93.674, 93.734)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (91.045, 91.314)    (91.314, 91.434)    (91.434, 91.56)     (91.876, 91.934)    (91.934, 92.074)    (92.074, 92.244)    (92.244, 92.434)    (92.434, 92.568)    (92.568, 92.703)    (92.703, 92.942)    (93.132, 93.26)     (93.26, 93.41)      (93.41, 93.614)     (93.614, 93.674)    (93.674, 93.734)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġsome               Ġcompanies          Ġthat               Ġaren               't                  Ġthat               Ġare                Ġdoing              Ġit                 <emp>               <emp>               <emp>               Ġand                Ġit                 Ġit                
Timings          : (93.734, 93.944)    (93.944, 94.384)    (94.384, 94.494)    (94.494, 94.551)    (94.551, 94.609)    (94.726, 94.894)    (94.894, 95.074)    (95.074, 95.404)    (95.404, 95.685)    (95.899, 96.058)    (96.058, 96.216)    (96.216, 96.374)    (96.337, 96.634)    (96.634, 96.754)    (96.754, 96.954)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>               <emp>              
Timings          : (93.734, 93.944)    (93.944, 94.384)    (94.384, 94.494)    (94.494, 94.551)    (94.551, 94.609)    (94.726, 94.894)    (94.894, 95.074)    (95.074, 95.404)    (95.404, 95.685)    (95.899, 96.058)    (96.058, 96.216)    (96.216, 96.374)    (-1.0, -1.0)        (96.634, 96.754)    (96.754, 96.954)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82020453580806      82020453580806      82020453580806      82020453580806      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   0                   0                  


A                : Ġseems              Ġto                 Ġbe                 Ġworking            Ġout                Ġso                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (96.954, 97.334)    (97.334, 97.504)    (97.504, 97.614)    (97.614, 98.194)    (98.194, 98.614)    (98.614, 99.197)    (-1.0, -1.0)        (99.48, 99.57)      (99.57, 99.8)       (99.8, 99.921)      (99.921, 100.042)   (100.309, 100.516)  (100.516, 100.723)  (100.723, 101.0)    (101.0, 101.055)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      82020990451718      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġthink              Ġit                 's                  Ġit                 's                  Ġwhat               Ġthey              
Timings          : (96.954, 97.334)    (97.334, 97.504)    (97.504, 97.614)    (97.614, 98.194)    (98.194, 98.614)    (98.614, 99.197)    (99.295, 99.48)     (99.48, 99.57)      (99.57, 99.8)       (99.8, 99.921)      (99.921, 100.042)   (100.309, 100.516)  (100.516, 100.723)  (100.723, 101.0)    (101.0, 101.055)   
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159     
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (101.055, 101.11)   (101.11, 101.67)    (101.67, 102.04)    (102.04, 102.13)    (102.13, 102.33)    (102.33, 102.45)    (102.45, 102.52)    (102.52, 102.59)    (102.59, 102.68)    (102.68, 102.82)    (102.82, 102.93)    (102.93, 102.99)    (102.99, 103.345)   (103.345, 103.7)    (103.7, 103.88)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 're                 Ġbasically          Ġtrying             Ġto                 Ġdo                 Ġi                  Ġdon                't                  Ġknow               Ġup                 Ġhere               Ġin                 Ġmass               achusetts           Ġany               
Timings          : (101.055, 101.11)   (101.11, 101.67)    (101.67, 102.04)    (102.04, 102.13)    (102.13, 102.33)    (102.33, 102.45)    (102.45, 102.52)    (102.52, 102.59)    (102.59, 102.68)    (102.68, 102.82)    (102.82, 102.93)    (102.93, 102.99)    (102.99, 103.345)   (103.345, 103.7)    (103.7, 103.88)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (103.88, 104.06)    (104.06, 104.26)    (104.26, 104.31)    (104.31, 104.36)    (104.36, 104.83)    (104.83, 105.09)    (105.09, 105.16)    (105.16, 105.44)    (105.44, 105.77)    (105.77, 106.284)   (107.72, 108.026)   (108.026, 108.343)  (108.343, 108.661)  (108.661, 109.185)  (109.686, 109.911) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : how                 Ġwhat               Ġthey               're                 Ġbasically          Ġtrying             Ġto                 Ġdo                 Ġis                 Ġuh                 Ġoh                 Ġg                  osh                 Ġuh                 Ġany               
Timings          : (103.88, 104.06)    (104.06, 104.26)    (104.26, 104.31)    (104.31, 104.36)    (104.36, 104.83)    (104.83, 105.09)    (105.09, 105.16)    (105.16, 105.44)    (105.44, 105.77)    (105.77, 106.284)   (107.72, 108.026)   (108.026, 108.343)  (108.343, 108.661)  (108.661, 109.185)  (109.686, 109.911) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>              
Timings          : (109.911, 110.321)  (110.321, 110.461)  (110.461, 110.711)  (110.711, 110.949)  (111.419, 111.831)  (111.831, 112.631)  (112.631, 113.001)  (113.001, 113.151)  (113.151, 113.421)  (113.421, 113.471)  (113.471, 113.751)  (113.751, 114.317)  (114.526, 114.897)  (-1.0, -1.0)        (115.141, 115.521) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82019916709897      82019916709897      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                  

B                : Ġpeople             Ġwho                Ġhad                Ġdrug               Ġtested             Ġpositively         Ġgetting            Ġthem               Ġinto               Ġa                  Ġdrug               Ġprogram            <emp>               Ġor                 Ġrehab             
Timings          : (109.911, 110.321)  (110.321, 110.461)  (110.461, 110.711)  (110.711, 110.949)  (111.419, 111.831)  (111.831, 112.631)  (112.631, 113.001)  (113.001, 113.151)  (113.151, 113.421)  (113.421, 113.471)  (113.471, 113.751)  (113.751, 114.317)  (114.526, 114.897)  (114.916, 115.141)  (115.141, 115.521) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159      82018306097159     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (115.521, 116.134)  (116.271, 116.678)  (-1.0, -1.0)        (117.382, 117.992)  (117.992, 118.532)  (118.532, 119.002)  (119.002, 119.821)  (120.209, 120.502)  (120.502, 120.794)  (121.453, 122.083)  (122.083, 122.212)  (122.212, 122.525)  (123.237, 123.442)  (123.442, 123.606)  (123.606, 123.77)  
Token Types      : 0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   82019916709898      82019916709898      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
