A                : uh                  Ġi                  Ġdon                't                  Ġknow               Ġdo                 Ġyou                Ġwant               Ġto                 Ġstart              <eot>               <emp>               <emp>               <emp>               <emp>              

B                : Ġinvolved           Ġit                 's                  Ġjust               Ġa                  Ġprivate            Ġform               Ġof                 Ġit                 Ġbut                Ġthe                Ġsame               Ġkinds              Ġof                 Ġof                
Timings          : (72.914, 73.184)    (73.184, 73.234)    (73.234, 73.284)    (73.284, 73.434)    (73.434, 73.474)    (73.474, 73.864)    (73.864, 74.174)    (74.174, 74.299)    (74.299, 74.416)    (74.544, 74.657)    (74.657, 74.734)    (74.734, 75.064)    (75.064, 75.424)    (75.424, 75.619)    (76.297, 76.604)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (76.604, 77.154)    (77.154, 77.234)    (77.234, 77.564)    (77.564, 77.75)     (78.049, 78.395)    (-1.0, -1.0)        (78.504, 78.744)    (78.744, 78.924)    (78.924, 79.117)    (79.554, 79.644)    (79.644, 79.734)    (79.734, 79.844)    (79.844, 80.364)    (80.364, 80.454)    (80.454, 80.624)   
Token Types      : 0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   83016349122564      83016349122564      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġdrawbacks          Ġi                  Ġthink              Ġuh                 Ġuh                 Ġwhat               Ġabout              Ġyou                Ġwhat               Ġwhat               's                  Ġyour               Ġsituation          Ġas                 Ġfar               
Timings          : (76.604, 77.154)    (77.154, 77.234)    (77.234, 77.564)    (77.564, 77.75)     (78.093, 78.354)    (78.354, 78.504)    (78.504, 78.744)    (78.744, 78.924)    (78.924, 79.117)    (79.554, 79.644)    (79.644, 79.734)    (79.734, 79.844)    (79.844, 80.364)    (80.364, 80.454)    (80.454, 80.624)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825      83014738509825     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġwell               Ġum                 Ġi                  'm                  Ġa                  Ġgraduate           Ġstudent            Ġand                <emp>               Ġso                 Ġi                  Ġget                Ġhealth             Ġcare              
Timings          : (80.624, 80.819)    (81.169, 81.659)    (81.659, 82.122)    (82.351, 82.526)    (82.526, 82.702)    (82.702, 82.999)    (82.999, 83.549)    (83.549, 84.029)    (84.029, 84.593)    (84.358, 84.676)    (84.829, 85.309)    (85.309, 85.449)    (85.449, 85.699)    (85.699, 85.939)    (85.939, 86.249)   
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914     
turn_end_types   : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġas                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               ok                  ay                  <eint>              <emp>               <emp>               <emp>               <emp>              
Timings          : (80.624, 80.819)    (-1.0, -1.0)        (81.659, 82.122)    (82.351, 82.526)    (82.526, 82.702)    (82.702, 82.999)    (82.999, 83.549)    (83.549, 84.029)    (84.04, 84.358)     (84.358, 84.676)    (-1.0, -1.0)        (85.309, 85.449)    (85.449, 85.699)    (85.699, 85.939)    (85.939, 86.249)   
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   5                   5                   5                   0                   0                   0                   0                  
turn_ids         : 83014738509825      83014738509825      0                   0                   0                   0                   0                   0                   83019033477121      83019033477121      83019033477121      0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                  


A                : Ġthrough            Ġthe                Ġschool             <emp>               Ġum                 Ġso                 Ġi                  'm                  Ġfor                Ġhealth             Ġcare               Ġpurposes           Ġi                  'm                  Ġa                 
Timings          : (86.249, 86.509)    (86.509, 86.809)    (86.809, 87.591)    (87.491, 87.893)    (87.847, 88.336)    (88.464, 88.599)    (88.599, 88.788)    (88.788, 88.978)    (89.532, 89.799)    (89.799, 90.019)    (90.019, 90.377)    (90.527, 91.059)    (91.059, 91.174)    (91.174, 91.289)    (91.289, 91.617)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (86.249, 86.509)    (86.509, 86.809)    (86.809, 87.591)    (87.491, 87.893)    (87.893, 88.294)    (-1.0, -1.0)        (88.599, 88.788)    (88.788, 88.978)    (89.532, 89.799)    (89.799, 90.019)    (90.019, 90.377)    (90.527, 91.059)    (91.059, 91.174)    (91.174, 91.289)    (91.289, 91.617)   
Token Types      : 0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   83016885993473      83016885993473      83016885993473      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġstate              Ġemployee           Ġso                 Ġwe                 Ġhave               Ġthe                Ġstate              Ġemployees          Ġunion              Ġum                 Ġand                Ġwe                 Ġhave               Ġour               
Timings          : (91.677, 91.759)    (91.759, 92.049)    (92.049, 92.589)    (92.589, 92.899)    (92.899, 93.019)    (93.019, 93.179)    (93.179, 93.249)    (93.249, 93.449)    (93.449, 93.969)    (93.969, 94.415)    (94.915, 95.428)    (95.989, 96.405)    (96.405, 96.535)    (96.535, 96.745)    (96.745, 96.885)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (91.677, 91.759)    (91.759, 92.049)    (92.049, 92.589)    (92.589, 92.899)    (92.899, 93.019)    (93.019, 93.179)    (93.179, 93.249)    (93.249, 93.449)    (93.449, 93.969)    (93.969, 94.415)    (94.915, 95.428)    (95.989, 96.405)    (96.405, 96.535)    (96.535, 96.745)    (96.745, 96.885)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġchoice             Ġof                 Ġlike               Ġtwenty             Ġdifferent          Ġplans              Ġwith               Ġyou                Ġknow               Ġtwenty             Ġdifferent          Ġcompanies          Ġthat               Ġoperate            Ġin                
Timings          : (96.885, 97.285)    (97.285, 97.375)    (97.375, 97.595)    (97.595, 97.925)    (97.925, 98.245)    (98.245, 98.625)    (98.625, 98.764)    (98.903, 99.009)    (99.009, 99.13)     (99.13, 99.365)     (99.365, 99.635)    (99.635, 100.065)   (100.065, 100.165)  (100.165, 100.575)  (100.575, 100.665) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (96.885, 97.285)    (97.285, 97.375)    (97.375, 97.595)    (97.595, 97.925)    (97.925, 98.245)    (98.245, 98.625)    (98.625, 98.764)    (98.903, 99.009)    (99.009, 99.13)     (99.13, 99.365)     (99.365, 99.635)    (99.635, 100.065)   (100.065, 100.165)  (100.165, 100.575)  (100.575, 100.665) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġstate              Ġum                 Ġand                Ġyou                Ġknow               Ġi                  'm                  Ġon                 Ġblue               Ġcross              Ġblue               Ġshield             Ġuh                 Ġi                 
Timings          : (100.665, 100.735)  (100.735, 101.07)   (101.567, 102.091)  (102.351, 102.898)  (102.898, 102.995)  (102.995, 103.075)  (103.075, 103.135)  (103.135, 103.195)  (103.195, 103.46)   (103.743, 103.886)  (103.886, 104.178)  (104.231, 104.385)  (104.385, 104.955)  (104.955, 105.624)  (105.857, 105.978) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (100.665, 100.735)  (100.735, 101.07)   (101.567, 102.091)  (102.351, 102.898)  (102.898, 102.995)  (102.995, 103.075)  (103.075, 103.135)  (103.135, 103.195)  (103.195, 103.46)   (103.743, 103.886)  (103.886, 104.178)  (104.231, 104.385)  (104.385, 104.955)  (104.955, 105.624)  (105.857, 105.978) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġguess              Ġit                 's                  Ġuh                 Ġcomprehensive      Ġum                 Ġand                Ġyou                Ġknow               Ġi                  Ġend                Ġup                 Ġi                  'm                  Ġpaying            
Timings          : (105.978, 106.079)  (106.079, 106.217)  (106.217, 106.355)  (106.355, 106.545)  (106.545, 107.323)  (107.936, 108.524)  (108.933, 109.567)  (109.823, 109.985)  (109.985, 110.077)  (110.077, 110.187)  (110.187, 110.298)  (110.298, 110.426)  (110.657, 110.722)  (110.722, 110.787)  (110.787, 111.335) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (105.978, 106.079)  (106.079, 106.217)  (106.217, 106.355)  (106.355, 106.545)  (106.545, 107.323)  (107.936, 108.524)  (108.933, 109.567)  (109.823, 109.985)  (109.985, 110.077)  (110.077, 110.187)  (110.187, 110.298)  (110.298, 110.426)  (110.657, 110.722)  (110.722, 110.787)  (110.787, 111.335) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġlike               Ġfive               Ġdollars            Ġa                  Ġmonth              Ġfor                Ġhealth             Ġcare               Ġcoverage           Ġyou                Ġknow               Ġum                 Ġand                Ġthen               Ġi                 
Timings          : (112.096, 112.297)  (112.297, 112.567)  (112.567, 112.917)  (112.917, 112.987)  (112.987, 113.424)  (113.725, 113.867)  (113.867, 114.087)  (114.087, 114.317)  (114.317, 114.859)  (115.051, 115.199)  (115.199, 115.445)  (116.01, 116.327)   (116.327, 116.508)  (116.753, 116.93)   (116.93, 117.043)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġh                  m                   Ġum                 hum                 <eint>              <emp>               <emp>               <emp>               <emp>              
Timings          : (112.096, 112.297)  (112.297, 112.567)  (112.567, 112.917)  (112.917, 112.987)  (112.987, 113.424)  (113.725, 113.867)  (113.8, 114.182)    (114.182, 114.564)  (114.564, 114.977)  (114.977, 115.391)  (-1.0, -1.0)        (116.01, 116.327)   (116.327, 116.508)  (116.753, 116.93)   (116.93, 117.043)  
Token Types      : 0                   0                   0                   0                   0                   0                   5                   5                   5                   5                   5                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83019033477123      83019033477123      83019033477123      83019033477123      83019033477123      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   0                   0                   0                   0                  


A                : Ġpay                Ġanother            Ġfive               Ġdollars            Ġfor                Ġdental             Ġum                 Ġso                 Ġyou                Ġknow               Ġfor                Ġsomeone            Ġwho                's                  Ġin                
Timings          : (117.043, 117.177)  (117.177, 117.437)  (117.437, 117.747)  (117.747, 118.07)   (118.07, 118.319)   (118.319, 118.647)  (119.28, 119.848)   (120.4, 120.502)    (120.502, 120.651)  (120.651, 120.812)  (120.812, 121.182)  (121.257, 121.591)  (121.591, 121.676)  (121.676, 121.761)  (121.761, 121.892) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (117.043, 117.177)  (117.177, 117.437)  (117.437, 117.747)  (117.747, 118.07)   (118.07, 118.319)   (118.319, 118.647)  (119.28, 119.848)   (120.4, 120.502)    (120.502, 120.651)  (120.651, 120.812)  (120.812, 121.182)  (121.257, 121.591)  (121.591, 121.676)  (121.676, 121.761)  (121.761, 121.892) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġhuge               Ġunion              Ġlike               Ġuh                 Ġthe                Ġyou                Ġknow               Ġall                Ġstate              Ġemployees          Ġit                 Ġit                 Ġyou                Ġknow              
Timings          : (121.892, 121.962)  (121.962, 122.312)  (122.312, 122.682)  (122.682, 122.892)  (122.892, 123.051)  (123.051, 123.231)  (123.231, 123.371)  (123.371, 123.532)  (123.532, 123.748)  (123.925, 124.212)  (124.212, 124.941)  (124.941, 125.161)  (125.161, 125.297)  (125.415, 125.532)  (125.532, 125.73)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>              
Timings          : (121.892, 121.962)  (121.962, 122.312)  (122.312, 122.682)  (122.682, 122.892)  (122.892, 123.051)  (123.051, 123.231)  (123.231, 123.371)  (123.371, 123.532)  (123.532, 123.748)  (124.033, 124.279)  (-1.0, -1.0)        (124.941, 125.161)  (125.161, 125.297)  (125.415, 125.532)  (125.532, 125.73)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   83016885993474      83016885993474      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                  


A                : <emp>               Ġkind               Ġof                 Ġthe                Ġissue              Ġis                 Ġkind               Ġof                 Ġmoot               Ġbut                Ġi                  Ġlook               Ġat                 Ġmy                 Ġparents           
Timings          : (126.145, 126.395)  (126.457, 126.612)  (126.612, 126.692)  (126.692, 126.822)  (126.822, 127.082)  (127.082, 127.152)  (127.152, 127.342)  (127.342, 127.422)  (127.422, 127.772)  (127.772, 127.952)  (127.952, 128.012)  (128.012, 128.192)  (128.192, 128.252)  (128.252, 128.362)  (128.362, 128.772) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914      83014201638914     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (126.145, 126.395)  (-1.0, -1.0)        (126.612, 126.692)  (126.692, 126.822)  (126.822, 127.082)  (127.082, 127.152)  (127.152, 127.342)  (127.342, 127.422)  (127.422, 127.772)  (127.772, 127.952)  (127.952, 128.012)  (128.012, 128.192)  (128.192, 128.252)  (128.252, 128.362)  (128.362, 128.772) 
Token Types      : 3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83016885993475      83016885993475      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmy                 Ġfather             's                  Ġum                 Ġself               Ġemployed           Ġhe                 's                  Ġan                 Ġattorney           Ġum                 Ġand                <emp>               Ġright              Ġnow               
Timings          : (128.772, 128.892)  (128.892, 129.162)  (129.162, 129.432)  (129.432, 129.78)   (129.912, 130.219)  (130.219, 130.619)  (130.619, 130.701)  (130.701, 130.782)  (130.782, 130.912)  (130.912, 131.398)  (131.876, 132.38)   (132.584, 133.262)  (133.068, 133.518)  (133.507, 133.962)  (133.962, 134.358) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
