A                : ok                  ay                  Ġuh                 Ġso                 Ġyour               Ġyou                Ġyou                Ġi                  Ġguess              Ġuh                 Ġyou                're                 Ġprobably           Ġin                 Ġthe               
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (72.16, 72.33)      (72.33, 72.381)     (72.381, 72.811)    (72.811, 73.09)     (73.09, 73.301)     (73.301, 73.512)    (74.037, 74.429)    (-1.0, -1.0)        (75.107, 75.292)    (75.292, 75.392)    (75.392, 75.732)    (75.732, 75.932)    (75.932, 76.602)    (76.602, 76.642)    (76.642, 76.732)   
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83789443235849      83789443235849      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġhas                Ġa                  Ġprivate            Ġbaby               Ġsit                ter                 <emp>               Ġand                Ġuh                 Ġthe                Ġbaby               Ġjust               Ġscreams            Ġi                  Ġmean              
Timings          : (72.16, 72.33)      (72.33, 72.381)     (72.381, 72.811)    (72.811, 73.09)     (73.09, 73.301)     (73.301, 73.512)    (74.037, 74.429)    (74.64, 75.107)     (75.107, 75.292)    (75.292, 75.392)    (75.392, 75.732)    (75.732, 75.932)    (75.932, 76.602)    (76.602, 76.642)    (76.642, 76.732)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>              
Timings          : (76.732, 76.792)    (76.792, 77.062)    (77.062, 77.162)    (77.162, 77.332)    (77.332, 77.852)    (77.852, 78.182)    (78.182, 78.292)    (78.292, 78.402)    (78.402, 78.612)    (78.612, 79.093)    (79.311, 79.495)    (79.495, 79.678)    (-1.0, -1.0)        (79.982, 80.132)    (80.132, 80.562)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83789443235850      83789443235850      83789443235850      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                  

B                : Ġthe                Ġbaby               Ġis                 Ġlike               Ġseventeen          Ġmonths             Ġand                Ġshe                Ġjust               Ġscreams            <emp>               Ġwe                 Ġeven               Ġshe                Ġknows             
Timings          : (76.732, 76.792)    (76.792, 77.062)    (77.062, 77.162)    (77.162, 77.332)    (77.332, 77.852)    (77.852, 78.182)    (78.182, 78.292)    (78.292, 78.402)    (78.402, 78.612)    (78.612, 79.093)    (79.311, 79.495)    (79.575, 79.702)    (79.702, 79.982)    (79.982, 80.132)    (80.132, 80.562)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (80.562, 80.692)    (80.692, 80.757)    (80.757, 80.822)    (80.822, 81.272)    (81.272, 81.342)    (81.342, 81.561)    (81.561, 81.896)    (81.896, 82.052)    (82.052, 82.252)    (82.252, 82.522)    (82.522, 82.752)    (82.752, 82.817)    (82.817, 82.882)    (82.882, 83.072)    (83.072, 83.322)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthat               Ġthey               're                 Ġfixing             Ġto                 Ġget                Ġready              Ġto                 Ġgo                 Ġover               Ġthere              Ġthey               're                 Ġnot                Ġeven              
Timings          : (80.562, 80.692)    (80.692, 80.757)    (80.757, 80.822)    (80.822, 81.272)    (81.272, 81.342)    (81.342, 81.561)    (81.561, 81.896)    (81.896, 82.052)    (82.052, 82.252)    (82.252, 82.522)    (82.522, 82.752)    (82.752, 82.817)    (82.817, 82.882)    (82.882, 83.072)    (83.072, 83.322)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               Ġyeah               Ġthat               's                  Ġhard               Ġwe                 've                 <yield>             <emp>               <emp>              
Timings          : (83.322, 83.601)    (83.601, 83.96)     (84.055, 84.234)    (84.234, 84.414)    (-1.0, -1.0)        (84.908, 85.137)    (85.574, 85.877)    (86.23, 86.315)     (86.315, 86.4)      (86.4, 86.71)       (86.71, 86.903)     (86.903, 87.095)    (-1.0, -1.0)        (87.084, 87.194)    (87.194, 87.427)   
Token Types      : 0                   0                   3                   3                   3                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 0                   0                   83789443235851      83789443235851      83789443235851      0                   83787295752200      83787295752200      83787295752200      83787295752200      83787295752200      83787295752200      83787295752200      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                  

B                : Ġthere              Ġyet                <emp>               <emp>               Ġyou                Ġknow               <eot>               <emp>               <emp>               Ġand                <emp>               Ġand                Ġthen               Ġi                  Ġhave              
Timings          : (83.322, 83.601)    (83.601, 83.96)     (84.055, 84.234)    (84.234, 84.414)    (84.819, 84.908)    (84.908, 85.137)    (-1.0, -1.0)        (86.23, 86.315)     (86.315, 86.4)      (86.465, 86.626)    (86.71, 86.903)     (86.864, 86.974)    (86.974, 87.084)    (87.084, 87.194)    (87.194, 87.427)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      83787832623111      0                   0                   83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (87.427, 87.784)    (87.784, 88.019)    (88.671, 89.074)    (89.337, 89.412)    (89.412, 89.514)    (89.514, 89.584)    (89.584, 89.904)    (89.904, 90.134)    (90.134, 90.284)    (90.284, 90.814)    (90.814, 91.214)    (91.214, 91.334)    (91.924, 92.004)    (92.004, 92.244)    (92.244, 92.574)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġmy                 Ġum                 Ġum                 Ġi                  Ġhave               Ġa                  Ġseven              Ġmonth              Ġold                Ġgranddaughter      Ġand                Ġuh                 Ġher                Ġmother             Ġstays             
Timings          : (87.427, 87.784)    (87.784, 88.019)    (88.671, 89.074)    (89.337, 89.412)    (89.412, 89.514)    (89.514, 89.584)    (89.584, 89.904)    (89.904, 90.134)    (90.134, 90.284)    (90.284, 90.814)    (90.814, 91.214)    (91.214, 91.334)    (91.924, 92.004)    (92.004, 92.244)    (92.244, 92.574)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (92.574, 92.804)    (92.804, 92.894)    (92.894, 93.144)    (93.144, 93.304)    (93.304, 93.436)    (93.436, 93.552)    (93.552, 93.693)    (93.693, 93.843)    (93.843, 93.974)    (93.974, 94.144)    (94.144, 94.594)    (94.594, 94.714)    (94.714, 94.814)    (94.814, 94.934)    (94.934, 95.044)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġhome               Ġand                Ġshe                Ġthey               Ġlive               Ġwith               Ġthat               Ġthey               Ġlive               Ġwith               Ġus                 Ġyou                Ġknow               Ġas                 Ġin                
Timings          : (92.574, 92.804)    (92.804, 92.894)    (92.894, 93.144)    (93.144, 93.304)    (93.304, 93.436)    (93.436, 93.552)    (93.552, 93.693)    (93.693, 93.843)    (93.843, 93.974)    (93.974, 94.144)    (94.144, 94.594)    (94.594, 94.714)    (94.714, 94.814)    (94.814, 94.934)    (94.934, 95.044)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġum                 hum                 <ebc>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (95.044, 95.234)    (95.234, 95.766)    (96.041, 96.188)    (96.188, 96.334)    (-1.0, -1.0)        (97.452, 97.596)    (97.596, 97.74)     (-1.0, -1.0)        (97.826, 97.964)    (97.964, 98.144)    (98.144, 98.364)    (98.364, 98.474)    (98.474, 98.554)    (98.554, 98.614)    (98.614, 98.844)   
Token Types      : 0                   0                   3                   3                   3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   83789443235853      83789443235853      83789443235853      83789443235854      83789443235854      83789443235854      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġorange             Ġcounty             Ġis                 Ġreally             Ġexpensive          <emp>               <emp>               Ġthey               Ġlive               Ġwith               Ġus                 Ġand                Ġso                 Ġof                 Ġcourse            
Timings          : (95.044, 95.234)    (95.234, 95.766)    (96.022, 96.214)    (96.214, 96.524)    (96.524, 97.174)    (97.452, 97.596)    (97.596, 97.74)     (97.725, 97.826)    (97.826, 97.964)    (97.964, 98.144)    (98.144, 98.364)    (98.364, 98.474)    (98.474, 98.554)    (98.554, 98.614)    (98.614, 98.844)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (98.844, 98.984)    (98.984, 99.234)    (99.234, 99.36)     (99.612, 99.794)    (99.794, 99.854)    (99.854, 99.964)    (99.964, 100.024)   (100.024, 100.194)  (100.194, 100.374)  (100.374, 100.594)  (100.594, 100.754)  (100.754, 101.114)  (101.114, 101.204)  (101.204, 101.314)  (101.314, 101.561) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwe                 Ġlove               Ġit                 Ġbecause            Ġwe                 Ġget                Ġto                 Ġsee                Ġthis               Ġcute               Ġlittle             Ġbaby               Ġall                Ġthe                Ġtime              
Timings          : (98.844, 98.984)    (98.984, 99.234)    (99.234, 99.36)     (99.612, 99.794)    (99.794, 99.854)    (99.854, 99.964)    (99.964, 100.024)   (100.024, 100.194)  (100.194, 100.374)  (100.374, 100.594)  (100.594, 100.754)  (100.754, 101.114)  (101.114, 101.204)  (101.204, 101.314)  (101.314, 101.561) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (102.065, 102.344)  (102.344, 102.666)  (103.219, 103.534)  (103.644, 103.914)  (103.914, 104.061)  (104.294, 104.605)  (104.861, 105.034)  (105.034, 105.194)  (105.194, 105.274)  (105.274, 105.464)  (105.464, 105.62)   (105.62, 105.899)   (105.899, 106.104)  (106.104, 106.203)  (106.203, 106.768) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbut                Ġum                 Ġuh                 Ġshe                Ġjust               Ġum                 Ġshe                Ġused               Ġto                 Ġwork               Ġin                 Ġpreschool          Ġin                 Ġthe                Ġpreschool         
Timings          : (102.065, 102.344)  (102.344, 102.666)  (103.219, 103.534)  (103.644, 103.914)  (103.914, 104.061)  (104.294, 104.605)  (104.861, 105.034)  (105.034, 105.194)  (105.194, 105.274)  (105.274, 105.464)  (105.464, 105.62)   (105.62, 105.899)   (105.899, 106.104)  (106.104, 106.203)  (106.203, 106.768) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (107.386, 107.567)  (107.683, 108.039)  (108.039, 108.349)  (108.349, 108.619)  (108.619, 108.869)  (108.869, 108.999)  (108.999, 109.139)  (109.139, 109.319)  (109.319, 109.649)  (109.649, 110.009)  (110.009, 110.129)  (110.129, 110.482)  (110.965, 111.174)  (111.37, 111.519)   (111.519, 111.579) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġand                Ġand                Ġchild              Ġcare               Ġand                Ġshe                Ġsays               Ġafter              Ġworking            Ġin                 Ġthere              Ġand                Ġand                Ġyou               
Timings          : (107.386, 107.567)  (107.683, 108.039)  (108.039, 108.349)  (108.349, 108.619)  (108.619, 108.869)  (108.869, 108.999)  (108.999, 109.139)  (109.139, 109.319)  (109.319, 109.649)  (109.649, 110.009)  (110.009, 110.129)  (110.129, 110.482)  (110.965, 111.174)  (111.37, 111.519)   (111.519, 111.579) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (111.579, 111.659)  (111.659, 111.899)  (111.899, 112.049)  (112.049, 112.279)  (112.279, 112.379)  (112.379, 113.136)  (113.683, 113.784)  (113.784, 113.854)  (113.854, 113.914)  (113.914, 113.994)  (113.994, 114.074)  (114.074, 114.294)  (114.294, 114.384)  (114.384, 114.614)  (114.614, 114.764) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġknow               Ġhere               Ġshe                Ġwas                Ġa                  Ġprovider           Ġbut                Ġyou                Ġknow               Ġthere              's                  Ġonly               Ġso                 Ġmuch               Ġone               
Timings          : (111.579, 111.659)  (111.659, 111.899)  (111.899, 112.049)  (112.049, 112.279)  (112.279, 112.379)  (112.379, 113.136)  (113.683, 113.784)  (113.784, 113.854)  (113.854, 113.914)  (113.914, 113.994)  (113.994, 114.074)  (114.074, 114.294)  (114.294, 114.384)  (114.384, 114.614)  (114.614, 114.764) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585      83791053848585     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (114.764, 115.114)  (115.114, 115.325)  (115.325, 115.693)  (116.089, 116.403)  (-1.0, -1.0)        (116.577, 116.702)  (116.702, 116.827)  (116.827, 117.047)  (117.047, 117.545)  (117.545, 117.697)  (117.697, 117.907)  (117.907, 117.977)  (117.977, 118.047)  (118.047, 118.33)   (118.33, 118.491)  
Token Types      : 0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   83789443235855      83789443235855      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġperson             Ġcan                Ġdo                 Ġshe                Ġsays               Ġit                 's                  Ġso                 Ġawful              Ġshe                Ġsaid               Ġshe                'll                 Ġnever              Ġput               
