A                : all                 Ġright              Ġhave               Ġyou                Ġever               Ġbeen               Ġto                 Ġa                  Ġfamily             Ġreunion            <eot>               <emp>               <emp>               <emp>               <emp>              
turn_ids         : 0                   0                   0                   0                   80630494789637      80630494789637      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġf                  ift                 ies                 Ġnow                <emp>               Ġand                Ġmy                 Ġmother             Ġcame               Ġfrom               Ġa                  Ġgeneration         Ġwhere              Ġthe                Ġonly              
Timings          : (67.063, 67.236)    (67.236, 67.409)    (67.409, 67.583)    (67.583, 67.952)    (68.27, 68.666)     (68.675, 68.803)    (68.803, 68.913)    (68.913, 69.143)    (69.143, 69.363)    (69.363, 69.533)    (69.533, 69.583)    (69.583, 70.283)    (70.283, 70.453)    (70.453, 70.573)    (70.573, 70.903)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               uh                  h                   uh                  <ebc>               <emp>               <emp>               <emp>               <emp>              
Timings          : (70.903, 71.303)    (71.303, 71.543)    (71.543, 71.861)    (72.911, 73.275)    (73.275, 73.64)     (73.64, 74.009)     (74.009, 74.446)    (74.846, 74.924)    (74.924, 75.002)    (75.002, 75.081)    (-1.0, -1.0)        (75.507, 75.717)    (75.717, 75.857)    (75.857, 75.997)    (75.997, 76.067)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   3                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   80628347305988      80628347305988      80628347305988      80628347305988      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : Ġoption             Ġwas                Ġwriting            Ġpost               cards               Ġletters            Ġwhatever           <emp>               <emp>               <emp>               Ġuh                 Ġand                Ġshe                Ġused               Ġto                
Timings          : (70.903, 71.303)    (71.303, 71.543)    (71.543, 71.861)    (72.911, 73.275)    (73.275, 73.64)     (73.64, 74.009)     (74.009, 74.446)    (74.846, 74.924)    (74.924, 75.002)    (75.002, 75.081)    (75.355, 75.507)    (75.507, 75.717)    (75.717, 75.857)    (75.857, 75.997)    (75.997, 76.067)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (76.067, 76.597)    (76.597, 76.757)    (76.757, 76.837)    (76.837, 77.327)    (77.327, 77.607)    (77.607, 78.19)     (78.837, 78.993)    (78.993, 79.113)    (79.113, 79.373)    (79.373, 79.627)    (79.928, 80.183)    (80.183, 80.548)    (80.902, 80.983)    (80.983, 81.294)    (81.561, 81.723)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġcorrespond         Ġwith               Ġher                Ġsisters            Ġquite              Ġreligiously        Ġand                Ġthey               Ġwith               Ġher                Ġso                 Ġand                Ġof                 Ġcourse             Ġthat              
Timings          : (76.067, 76.597)    (76.597, 76.757)    (76.757, 76.837)    (76.837, 77.327)    (77.327, 77.607)    (77.607, 78.19)     (78.837, 78.993)    (78.993, 79.113)    (79.113, 79.373)    (79.373, 79.627)    (79.928, 80.183)    (80.183, 80.548)    (80.902, 80.983)    (80.983, 81.294)    (81.561, 81.723)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <eint>              <emp>              
Timings          : (81.723, 81.983)    (81.983, 82.533)    (82.533, 82.823)    (82.823, 83.153)    (83.153, 83.443)    (83.443, 83.653)    (83.653, 83.713)    (83.713, 83.843)    (83.843, 84.073)    (84.073, 84.303)    (84.303, 84.733)    (84.733, 84.837)    (84.808, 86.147)    (-1.0, -1.0)        (84.965, 85.573)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80630494789639      80630494789639      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                  

B                : Ġolder              Ġgeneration         Ġstill              Ġalways             Ġsends              Ġall                Ġof                 Ġus                 Ġchrist             mas                 Ġcards              Ġand                Ġit                 's                  Ġwonderful         
Timings          : (81.723, 81.983)    (81.983, 82.533)    (82.533, 82.823)    (82.823, 83.153)    (83.153, 83.443)    (83.443, 83.653)    (83.653, 83.713)    (83.713, 83.843)    (83.843, 84.073)    (84.073, 84.303)    (84.303, 84.733)    (84.733, 84.837)    (84.837, 84.901)    (84.901, 84.965)    (84.965, 85.573)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġyeah               Ġthat               's                  <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (85.573, 85.762)    (87.003, 87.292)    (87.292, 87.606)    (87.606, 87.921)    (-1.0, -1.0)        (89.146, 89.309)    (89.309, 89.539)    (89.539, 89.759)    (89.759, 89.979)    (89.979, 90.099)    (90.099, 90.169)    (90.169, 90.459)    (90.459, 90.519)    (90.519, 91.099)    (91.099, 91.299)   
Token Types      : 0                   5                   5                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   80630494789640      80630494789640      80630494789640      80630494789640      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġyou                Ġknow               <emp>               Ġso                 Ġuh                 Ġbut                Ġit                 Ġit                 Ġours               Ġis                 Ġthe                Ġtype               Ġof                 Ġfamily             Ġif                
Timings          : (85.573, 85.762)    (85.762, 87.506)    (87.292, 87.606)    (87.644, 88.079)    (88.079, 88.336)    (89.146, 89.309)    (89.309, 89.539)    (89.539, 89.759)    (89.759, 89.979)    (89.979, 90.099)    (90.099, 90.169)    (90.169, 90.459)    (90.459, 90.519)    (90.519, 91.099)    (91.099, 91.299)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (91.299, 91.449)    (91.449, 91.679)    (91.679, 91.849)    (91.849, 92.169)    (92.169, 92.299)    (92.299, 92.552)    (92.665, 92.85)     (92.85, 92.989)     (92.989, 93.259)    (93.259, 93.639)    (93.639, 93.739)    (93.739, 93.869)    (93.869, 94.029)    (94.029, 94.189)    (94.189, 94.249)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġhad                Ġno                 Ġplace              Ġto                 Ġbe                 Ġi                  Ġcould              Ġcall               Ġanyone             Ġof                 Ġmy                 Ġa                  unts                Ġor                
Timings          : (91.299, 91.449)    (91.449, 91.679)    (91.679, 91.849)    (91.849, 92.169)    (92.169, 92.299)    (92.299, 92.552)    (92.665, 92.85)     (92.85, 92.989)     (92.989, 93.259)    (93.259, 93.639)    (93.639, 93.739)    (93.739, 93.869)    (93.869, 94.029)    (94.029, 94.189)    (94.189, 94.249)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (94.249, 94.359)    (94.359, 94.839)    (94.839, 94.979)    (94.979, 95.089)    (95.089, 95.239)    (95.239, 95.349)    (95.349, 95.599)    (95.599, 95.709)    (95.709, 95.889)    (95.889, 96.039)    (96.039, 96.199)    (96.199, 96.339)    (96.339, 96.369)    (96.369, 96.559)    (96.559, 96.93)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġmy                 Ġcousins            Ġand                Ġthey               Ġwould              Ġsay                Ġcome               Ġand                Ġstay               Ġwith               Ġme                 Ġfor                Ġa                  Ġfew                Ġweeks             
Timings          : (94.249, 94.359)    (94.359, 94.839)    (94.839, 94.979)    (94.979, 95.089)    (95.089, 95.239)    (95.239, 95.349)    (95.349, 95.599)    (95.599, 95.709)    (95.709, 95.889)    (95.889, 96.039)    (96.039, 96.199)    (96.199, 96.339)    (96.339, 96.369)    (96.369, 96.559)    (96.559, 96.93)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255      80626736693255     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġoh                 Ġwow                Ġthat               Ġis                 Ġgood               <emp>               <emp>               Ġso                 Ġwhen               Ġso                 Ġwhen               Ġyou                Ġguys               Ġhave               Ġyour              
Timings          : (97.206, 97.336)    (97.336, 97.535)    (97.535, 97.675)    (97.675, 97.855)    (97.855, 98.008)    (98.15, 98.283)     (98.283, 98.416)    (98.505, 98.656)    (98.656, 98.83)     (99.075, 99.315)    (99.315, 99.446)    (99.446, 99.565)    (99.565, 99.805)    (99.805, 99.976)    (99.976, 100.256)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <eot>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 Ġit                 's                  <eint>              <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (97.336, 97.535)    (97.535, 97.675)    (97.675, 97.855)    (97.855, 98.008)    (98.15, 98.283)     (98.283, 98.416)    (98.416, 98.619)    (98.619, 98.822)    (-1.0, -1.0)        (99.315, 99.446)    (99.446, 99.565)    (99.565, 99.805)    (99.805, 99.976)    (99.976, 100.256)  
Token Types      : 1                   0                   0                   0                   0                   5                   5                   5                   5                   5                   0                   0                   0                   0                   0                  
turn_ids         : 80626736693255      0                   0                   0                   0                   80631031660550      80631031660550      80631031660550      80631031660550      80631031660550      0                   0                   0                   0                   0                  
turn_end_types   : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġreunion            Ġuh                 Ġnow                Ġi                  'm                  Ġsure               Ġthat               Ġsounds             Ġlike               Ġyou                Ġguys               Ġare                Ġpretty             Ġsatisfied          Ġwhat              
Timings          : (100.256, 101.01)   (101.227, 101.615)  (103.97, 104.038)   (104.038, 104.113)  (104.113, 104.188)  (104.188, 104.408)  (104.408, 104.576)  (104.576, 104.938)  (104.938, 105.098)  (105.098, 105.218)  (105.218, 105.478)  (105.478, 105.598)  (105.828, 105.998)  (105.998, 106.558)  (106.558, 106.668) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (100.256, 101.01)   (101.227, 101.615)  (103.97, 104.038)   (104.038, 104.113)  (104.113, 104.188)  (104.188, 104.408)  (104.408, 104.576)  (104.576, 104.938)  (104.938, 105.098)  (105.098, 105.218)  (105.218, 105.478)  (105.478, 105.598)  (105.828, 105.998)  (105.998, 106.558)  (106.558, 106.668) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġabout              Ġyour               Ġyour               Ġuh                 Ġhow                Ġhow                Ġwhat               Ġdo                 Ġyou                Ġdo                 Ġfor                Ġthe                Ġkids               <eot>               <emp>              
Timings          : (106.668, 106.908)  (106.908, 107.474)  (108.547, 108.811)  (108.811, 109.128)  (109.392, 109.568)  (109.568, 109.696)  (109.696, 109.836)  (109.836, 109.986)  (109.986, 110.086)  (110.086, 110.236)  (110.236, 110.366)  (110.366, 110.486)  (110.486, 110.911)  (-1.0, -1.0)        (111.829, 112.201) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      80626199822344      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġwell              
Timings          : (106.668, 106.908)  (106.908, 107.474)  (108.547, 108.811)  (108.811, 109.128)  (109.392, 109.568)  (109.568, 109.696)  (109.696, 109.836)  (109.836, 109.986)  (109.986, 110.086)  (110.086, 110.236)  (110.236, 110.366)  (110.366, 110.486)  (110.486, 110.911)  (111.534, 111.829)  (111.829, 112.201) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80626736693257      80626736693257     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (113.148, 113.598)  (113.933, 114.186)  (114.186, 114.656)  (114.656, 114.736)  (114.736, 115.446)  (115.446, 115.676)  (115.676, 115.846)  (115.846, 115.916)  (115.916, 116.354)  (117.311, 117.501)  (117.501, 117.681)  (117.681, 117.801)  (117.801, 117.861)  (117.861, 118.191)  (118.191, 118.281) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 Ġthese              Ġattitudes          Ġare                Ġprojected          Ġdown               Ġto                 Ġthe                Ġkids               Ġthat               Ġthis               Ġis                 Ġthe                Ġplace              Ġwhere             
Timings          : (113.148, 113.598)  (113.933, 114.186)  (114.186, 114.656)  (114.656, 114.736)  (114.736, 115.446)  (115.446, 115.676)  (115.676, 115.846)  (115.846, 115.916)  (115.916, 116.354)  (117.311, 117.501)  (117.501, 117.681)  (117.681, 117.801)  (117.801, 117.861)  (117.861, 118.191)  (118.191, 118.281) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (118.281, 118.371)  (118.471, 118.671)  (118.671, 118.941)  (118.941, 119.031)  (119.031, 119.211)  (119.211, 119.561)  (119.561, 119.891)  (119.891, 120.011)  (120.011, 120.291)  (120.291, 120.431)  (120.431, 120.501)  (120.501, 120.681)  (120.681, 120.951)  (120.951, 121.031)  (121.031, 121.111) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwe                 Ġreally             Ġwant               Ġto                 Ġgo                 Ġand                Ġand                Ġwe                 Ġcan                Ġhave               Ġa                  Ġgood               Ġtime               Ġit                 's                 
Timings          : (118.281, 118.371)  (118.471, 118.671)  (118.671, 118.941)  (118.941, 119.031)  (119.031, 119.211)  (119.211, 119.561)  (119.561, 119.891)  (119.891, 120.011)  (120.011, 120.291)  (120.291, 120.431)  (120.431, 120.501)  (120.501, 120.681)  (120.681, 120.951)  (120.951, 121.031)  (121.031, 121.111) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257      80626736693257     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
