A                : well                Ġuh                 Ġmy                 Ġopinion            Ġon                 Ġtaxation           Ġwell               Ġcould              Ġbeing              Ġin                 Ġnew                Ġy                  ork                 Ġstate              Ġwhere             


A                : Ġbush               Ġadministration     Ġwith               Ġuser               Ġfees               Ġit                 's                  Ġmore               Ġdirect             Ġtaxation           <emp>               Ġi                  Ġdon                't                  Ġknow              
Timings          : (72.956, 73.186)    (73.186, 73.966)    (73.966, 74.096)    (74.096, 74.556)    (74.556, 75.146)    (75.146, 75.311)    (75.311, 75.476)    (75.586, 75.984)    (76.101, 76.536)    (76.536, 77.396)    (77.552, 77.817)    (78.67, 78.751)     (78.751, 78.804)    (78.804, 78.858)    (78.858, 78.918)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>              
Timings          : (72.956, 73.186)    (73.186, 73.966)    (73.966, 74.096)    (74.096, 74.556)    (74.556, 75.146)    (75.146, 75.311)    (75.311, 75.476)    (75.586, 75.984)    (76.101, 76.536)    (76.536, 77.396)    (77.552, 77.817)    (-1.0, -1.0)        (78.751, 78.804)    (78.804, 78.858)    (78.858, 78.918)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80525804961797      80525804961797      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                  


A                : Ġwhat               Ġthe                Ġtaxes              Ġare                Ġlike               Ġdown               Ġin                 Ġge                 org                 ia                  <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (78.918, 79.088)    (79.088, 79.168)    (79.168, 79.668)    (79.668, 79.778)    (79.778, 79.982)    (80.065, 80.238)    (80.238, 80.388)    (80.388, 80.578)    (80.578, 80.768)    (80.768, 80.958)    (-1.0, -1.0)        (82.727, 82.782)    (82.782, 82.837)    (82.837, 82.897)    (82.897, 82.977)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġit                 's                  Ġum                 Ġit                
Timings          : (78.918, 79.088)    (79.088, 79.168)    (79.168, 79.668)    (79.668, 79.778)    (79.778, 79.982)    (80.065, 80.238)    (80.238, 80.388)    (80.388, 80.578)    (80.578, 80.768)    (80.768, 80.958)    (81.133, 81.457)    (82.727, 82.782)    (82.782, 82.837)    (82.837, 82.897)    (82.897, 82.977)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80523657478149      80523657478149      80523657478149      80523657478149      80523657478149     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (82.977, 83.057)    (83.057, 83.257)    (83.257, 83.317)    (83.317, 83.547)    (83.547, 83.649)    (83.705, 83.957)    (83.957, 84.027)    (84.027, 84.147)    (84.147, 84.267)    (84.267, 84.467)    (84.467, 84.677)    (84.677, 84.797)    (84.797, 85.027)    (85.027, 85.417)    (85.417, 85.677)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 's                  Ġkind               Ġof                 Ġtough              Ġto                 Ġtell               Ġi                  Ġhaven              't                  Ġreally             Ġgot                Ġno                 Ġgood               Ġfeel               Ġfor               
Timings          : (82.977, 83.057)    (83.057, 83.257)    (83.257, 83.317)    (83.317, 83.547)    (83.547, 83.649)    (83.705, 83.957)    (83.957, 84.027)    (84.027, 84.147)    (84.147, 84.267)    (84.267, 84.467)    (84.467, 84.677)    (84.677, 84.797)    (84.797, 85.027)    (85.027, 85.417)    (85.417, 85.677)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (85.677, 85.757)    (85.757, 85.982)    (86.095, 86.282)    (86.282, 86.501)    (87.187, 87.272)    (87.272, 87.357)    (87.357, 87.487)    (87.487, 87.677)    (87.677, 87.847)    (87.847, 87.987)    (87.987, 88.167)    (88.167, 88.347)    (88.347, 88.627)    (88.627, 89.08)     (89.583, 89.974)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 Ġyet                Ġthe                Ġum                 Ġi                  've                 Ġbeen               Ġdown               Ġhere               Ġfor                Ġonly               Ġlike               Ġsix                Ġmonths             Ġso                
Timings          : (85.677, 85.757)    (85.757, 85.982)    (86.095, 86.282)    (86.282, 86.501)    (87.187, 87.272)    (87.272, 87.357)    (87.357, 87.487)    (87.487, 87.677)    (87.677, 87.847)    (87.847, 87.987)    (87.987, 88.167)    (88.167, 88.347)    (88.347, 88.627)    (88.627, 89.08)     (89.583, 89.974)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (90.091, 90.302)    (90.302, 90.715)    (90.911, 90.971)    (90.971, 91.032)    (91.032, 91.272)    (92.172, 92.242)    (92.242, 92.352)    (92.352, 92.462)    (92.462, 92.662)    (92.662, 92.722)    (92.722, 92.782)    (92.782, 93.122)    (93.122, 93.289)    (93.383, 93.692)    (93.692, 93.862)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 Ġum                 Ġthey               're                 Ġnot                Ġi                  Ġdon                't                  Ġthink              Ġthey               're                 Ġquite              Ġas                 Ġbad                Ġas                
Timings          : (90.091, 90.302)    (90.302, 90.715)    (90.911, 90.971)    (90.971, 91.032)    (91.032, 91.272)    (92.172, 92.242)    (92.242, 92.352)    (92.352, 92.462)    (92.462, 92.662)    (92.662, 92.722)    (92.722, 92.782)    (92.782, 93.122)    (93.122, 93.289)    (93.383, 93.692)    (93.692, 93.862)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (93.862, 94.022)    (94.022, 94.142)    (94.142, 94.232)    (94.232, 94.332)    (94.332, 94.427)    (94.427, 94.522)    (94.522, 94.922)    (94.922, 94.982)    (94.982, 95.222)    (95.222, 95.352)    (95.352, 95.492)    (95.492, 95.952)    (95.952, 96.142)    (96.142, 96.487)    (96.864, 97.24)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthey               Ġare                Ġin                 Ġnew                Ġy                  ork                 Ġstate              Ġi                  Ġguess              Ġis                 Ġmy                 Ġopinion            Ġright              Ġnow                Ġum                
Timings          : (93.862, 94.022)    (94.022, 94.142)    (94.142, 94.232)    (94.232, 94.332)    (94.332, 94.427)    (94.427, 94.522)    (94.522, 94.922)    (94.922, 94.982)    (94.982, 95.222)    (95.222, 95.352)    (95.352, 95.492)    (95.492, 95.952)    (95.952, 96.142)    (96.142, 96.487)    (96.864, 97.24)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (97.289, 97.412)    (97.412, 97.562)    (97.562, 97.882)    (97.882, 98.092)    (98.092, 98.241)    (98.399, 98.501)    (98.501, 98.602)    (98.602, 98.662)    (98.662, 99.032)    (99.032, 99.192)    (99.192, 99.522)    (99.522, 99.845)    (100.358, 100.492)  (100.492, 100.751)  (100.834, 100.882) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthere              Ġis                 Ġlike               Ġthere              Ġare                Ġthere              's                  Ġa                  Ġtax                Ġon                 Ġfood               Ġhere               Ġwhich              Ġis                 Ġyou               
Timings          : (97.289, 97.412)    (97.412, 97.562)    (97.562, 97.882)    (97.882, 98.092)    (98.092, 98.241)    (98.399, 98.501)    (98.501, 98.602)    (98.602, 98.662)    (98.662, 99.032)    (99.032, 99.192)    (99.192, 99.522)    (99.522, 99.845)    (100.358, 100.492)  (100.492, 100.751)  (100.834, 100.882) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (100.882, 100.952)  (100.952, 100.982)  (100.982, 101.132)  (101.132, 101.231)  (101.333, 101.732)  (101.732, 101.852)  (101.852, 101.912)  (101.912, 101.977)  (101.977, 102.042)  (102.042, 102.192)  (102.192, 102.292)  (102.292, 102.472)  (102.472, 102.778)  (103.661, 103.846)  (103.846, 104.343) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġknow               Ġa                  Ġlittle             Ġbit                Ġdifferent          Ġbecause            Ġthey               Ġdon                't                  Ġhave               Ġthat               Ġup                 Ġthere              Ġand                Ġand               
Timings          : (100.882, 100.952)  (100.952, 100.982)  (100.982, 101.132)  (101.132, 101.231)  (101.333, 101.732)  (101.732, 101.852)  (101.852, 101.912)  (101.912, 101.977)  (101.977, 102.042)  (102.042, 102.192)  (102.192, 102.292)  (102.292, 102.472)  (102.472, 102.778)  (103.661, 103.846)  (103.846, 104.343) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (105.008, 105.161)  (105.161, 105.301)  (105.301, 105.589)  (106.06, 106.301)   (106.301, 106.551)  (106.551, 106.611)  (106.611, 106.671)  (106.671, 106.951)  (106.951, 107.021)  (107.021, 107.391)  (107.391, 107.511)  (107.511, 107.659)  (107.659, 108.036)  (108.036, 108.151)  (108.151, 108.461) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġother              Ġthan               Ġthat               Ġright              Ġnow                Ġthey               're                 Ġstarting           Ġto                 Ġrealize            Ġthat               Ġtheir              Ġtaxes              Ġare                Ġlow               
Timings          : (105.008, 105.161)  (105.161, 105.301)  (105.301, 105.589)  (106.06, 106.301)   (106.301, 106.551)  (106.551, 106.611)  (106.611, 106.671)  (106.671, 106.951)  (106.951, 107.021)  (107.021, 107.391)  (107.391, 107.511)  (107.511, 107.659)  (107.659, 108.036)  (108.036, 108.151)  (108.151, 108.461) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (108.944, 109.03)   (109.03, 109.12)    (109.12, 109.33)    (109.33, 109.61)    (109.61, 109.74)    (109.74, 109.84)    (109.84, 110.05)    (110.05, 110.2)     (110.2, 110.485)    (110.72, 110.85)    (110.85, 111.0)     (111.0, 111.12)     (111.12, 111.38)    (111.38, 111.46)    (111.46, 111.83)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbut                Ġthey               Ġalso               Ġrealize            Ġthat               Ġthey               Ġstill              Ġhave               Ġto                 Ġmake               Ġsure               Ġtheir              Ġroads              Ġare                Ġpaved             
Timings          : (108.944, 109.03)   (109.03, 109.12)    (109.12, 109.33)    (109.33, 109.61)    (109.61, 109.74)    (109.74, 109.84)    (109.84, 110.05)    (110.05, 110.2)     (110.2, 110.485)    (110.72, 110.85)    (110.85, 111.0)     (111.0, 111.12)     (111.12, 111.38)    (111.38, 111.46)    (111.46, 111.83)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (111.83, 111.96)    (111.96, 112.09)    (112.09, 112.268)   (112.328, 112.5)    (112.87, 112.935)   (112.935, 113.0)    (113.0, 113.28)     (113.28, 113.36)    (113.36, 113.53)    (113.53, 113.832)   (114.258, 114.575)  (114.65, 115.07)    (115.68, 115.81)    (115.81, 116.06)    (116.06, 116.15)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġso                 Ġon                 Ġso                 Ġthey               're                 Ġstarting           Ġto                 Ġtalk               Ġabout              Ġum                 Ġraising            Ġlike               Ġinstead            Ġof                
Timings          : (111.83, 111.96)    (111.96, 112.09)    (112.09, 112.268)   (112.328, 112.5)    (112.87, 112.935)   (112.935, 113.0)    (113.0, 113.28)     (113.28, 113.36)    (113.36, 113.53)    (113.53, 113.832)   (114.258, 114.575)  (114.65, 115.07)    (115.68, 115.81)    (115.81, 116.06)    (116.06, 116.15)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149      80523657478149     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (116.15, 116.72)    (116.72, 116.91)    (116.91, 117.04)    (117.04, 117.35)    (117.35, 117.51)    (117.51, 117.91)    (117.91, 118.04)    (118.04, 118.43)    (118.43, 118.77)    (118.77, 119.26)    (119.26, 119.44)    (119.44, 119.56)    (119.56, 119.86)    (119.86, 119.97)    (119.97, 120.09)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġregistering        Ġor                 Ġuh                 Ġgetting            Ġyour               Ġlicense            Ġwhich              Ġcosts              Ġfive               Ġdollars            Ġnow                Ġthey               Ġdecide             Ġto                 Ġwell              
Timings          : (116.15, 116.72)    (116.72, 116.91)    (116.91, 117.04)    (117.04, 117.35)    (117.35, 117.51)    (117.51, 117.91)    (117.91, 118.04)    (118.04, 118.43)    (118.43, 118.77)    (118.77, 119.26)    (119.26, 119.44)    (119.44, 119.56)    (119.56, 119.86)    (119.86, 119.97)    (119.97, 120.09)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
