A                : what                Ġwhat               Ġwhat               Ġsort               Ġof                 Ġcompany            Ġdo                 Ġyou                Ġwork               Ġfor                Ġdo                 Ġyou                Ġwork               Ġfor                Ġa                 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79509508325382      79509508325382      79509508325382      79509508325382      79509508325382      79509508325382      79509508325382      79509508325382      79509508325382      79509508325382      79509508325382      79509508325382      79509508325382      79509508325382      79509508325382     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (60.834, 60.884)    (60.884, 60.934)    (60.934, 61.154)    (61.154, 61.354)    (61.354, 61.434)    (61.434, 62.014)    (62.014, 62.174)    (62.174, 62.429)    (62.429, 62.684)    (62.684, 62.874)    (62.874, 63.084)    (63.114, 63.194)    (63.214, 63.434)    (63.434, 63.654)    (63.654, 63.714)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġplace              Ġand                <emp>               Ġa                  Ġtechnical          Ġinstitution        <yield>             <emp>               Ġuh                 Ġwhile              Ġi                  Ġwas                Ġsitting            Ġhere               Ġwaiting           
Timings          : (63.724, 64.164)    (64.164, 64.394)    (64.459, 65.069)    (65.244, 65.564)    (65.604, 66.104)    (66.104, 66.794)    (-1.0, -1.0)        (-1.0, -1.0)        (69.033, 69.093)    (69.093, 69.193)    (69.193, 69.223)    (69.223, 69.323)    (69.323, 69.583)    (69.583, 69.773)    (69.773, 70.093)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79509508325382      79509508325382      79509508325382      79509508325382      79509508325382      79509508325382      79509508325382      0                   79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               oh                  Ġokay               <eint>              <emp>               <emp>               right               <ebc>               Ġuh                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (63.724, 64.164)    (64.269, 64.459)    (64.459, 65.069)    (-1.0, -1.0)        (65.604, 66.104)    (66.104, 66.794)    (67.302, 67.922)    (-1.0, -1.0)        (68.945, 69.145)    (-1.0, -1.0)        (69.193, 69.223)    (69.223, 69.323)    (69.323, 69.583)    (69.583, 69.773)    (69.773, 70.093)   
Token Types      : 0                   5                   5                   5                   0                   0                   3                   3                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 0                   79514340163587      79514340163587      79514340163587      0                   0                   79512192679939      79512192679939      79510045196295      79510045196295      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   2                   2                   2                   0                   0                   2                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġwhile              Ġthey               Ġtried              Ġto                 Ġfind               Ġsomebody           Ġfor                Ġme                 Ġto                 Ġtalk               Ġto                 Ġtrying             Ġto                 Ġthink              Ġof                
Timings          : (70.093, 70.233)    (70.233, 70.363)    (70.363, 70.653)    (70.653, 70.723)    (70.723, 71.023)    (71.023, 71.373)    (71.433, 71.533)    (71.533, 71.693)    (71.693, 71.783)    (71.783, 72.083)    (72.083, 72.303)    (72.303, 72.653)    (72.653, 72.813)    (72.813, 73.023)    (73.023, 73.163)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (70.093, 70.233)    (70.233, 70.363)    (70.363, 70.653)    (70.653, 70.723)    (70.723, 71.023)    (71.023, 71.373)    (71.433, 71.533)    (71.533, 71.693)    (71.693, 71.783)    (71.783, 72.083)    (72.083, 72.303)    (72.303, 72.653)    (72.653, 72.813)    (72.813, 73.023)    (73.023, 73.163)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwhat               Ġuh                 Ġuh                 Ġwhat               Ġthings             Ġwere               Ġimportant          Ġuh                 Ġbesides            Ġsalary             Ġand                Ġa                  Ġand                Ġa                  Ġjob               
Timings          : (73.163, 73.293)    (73.513, 73.643)    (74.373, 74.953)    (74.953, 75.253)    (75.253, 75.533)    (75.533, 75.673)    (75.673, 76.323)    (76.393, 76.793)    (77.023, 77.533)    (77.533, 78.093)    (78.093, 78.213)    (78.213, 78.333)    (78.513, 78.643)    (78.643, 78.693)    (78.713, 79.113)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (73.163, 73.293)    (73.513, 73.643)    (74.373, 74.953)    (74.953, 75.253)    (75.253, 75.533)    (75.533, 75.673)    (75.673, 76.323)    (76.393, 76.793)    (77.023, 77.533)    (77.533, 78.093)    (78.093, 78.213)    (78.213, 78.333)    (78.513, 78.643)    (78.643, 78.693)    (78.713, 79.113)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġguess              Ġuh                 Ġsome               Ġof                 Ġthe                Ġlist               Ġi                  Ġhad                Ġscrib              bled                Ġdown               Ġwas                Ġthe                Ġpeople            
Timings          : (79.143, 79.293)    (79.293, 79.683)    (79.683, 79.813)    (80.831, 80.971)    (80.971, 81.061)    (81.061, 81.121)    (81.121, 81.481)    (81.481, 81.561)    (81.561, 81.701)    (81.701, 81.911)    (81.911, 82.121)    (82.121, 82.431)    (82.431, 82.631)    (82.631, 82.741)    (82.941, 83.261)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (79.143, 79.293)    (79.293, 79.683)    (79.683, 79.813)    (80.831, 80.971)    (80.971, 81.061)    (81.061, 81.121)    (81.121, 81.481)    (81.481, 81.561)    (81.561, 81.701)    (81.701, 81.911)    (81.911, 82.121)    (82.121, 82.431)    (82.431, 82.631)    (82.631, 82.741)    (82.941, 83.261)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyou                Ġwork               Ġwith               Ġand                Ġmaybe              Ġthe                Ġuh                 Ġthe                Ġchallenge          Ġof                 Ġthe                Ġwork               Ġand                Ġuh                 Ġthe               
Timings          : (83.261, 83.371)    (83.371, 83.631)    (83.691, 84.011)    (84.231, 84.651)    (84.891, 85.321)    (85.441, 85.791)    (85.791, 85.901)    (85.901, 85.981)    (86.401, 86.851)    (86.851, 86.951)    (86.951, 87.011)    (87.011, 87.411)    (87.871, 88.151)    (88.241, 88.401)    (89.001, 89.061)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>              
Timings          : (83.261, 83.371)    (83.371, 83.631)    (83.691, 84.011)    (84.231, 84.651)    (84.891, 85.321)    (85.441, 85.791)    (85.791, 85.901)    (85.901, 85.981)    (86.401, 86.851)    (86.851, 86.951)    (86.951, 87.011)    (87.011, 87.411)    (88.018, 88.268)    (88.268, 88.518)    (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79512192679941      79512192679941      79512192679941     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : Ġworking            Ġconditions         Ġthings             Ġlike               Ġthat               <emp>               Ġi                  Ġdon                't                  Ġknow               Ġwhat               Ġare                Ġyour               Ġuh                 Ġwhat              
Timings          : (89.061, 89.401)    (89.401, 90.131)    (90.151, 90.451)    (90.451, 90.641)    (90.691, 90.951)    (91.221, 91.782)    (92.158, 92.268)    (92.268, 92.328)    (92.328, 92.388)    (92.388, 92.488)    (92.488, 92.618)    (92.618, 92.678)    (92.678, 93.008)    (93.038, 93.328)    (94.338, 94.498)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (89.061, 89.401)    (89.401, 90.131)    (90.151, 90.451)    (90.451, 90.641)    (90.691, 90.951)    (91.221, 91.782)    (-1.0, -1.0)        (92.268, 92.328)    (92.328, 92.388)    (92.388, 92.488)    (92.488, 92.618)    (92.618, 92.678)    (92.678, 93.008)    (93.038, 93.328)    (94.338, 94.498)   
Token Types      : 0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   79512192679942      79512192679942      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġsorts              Ġof                 Ġthings             Ġwould              Ġyou                Ġconsider           Ġimportant          <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (94.498, 94.718)    (94.718, 94.778)    (94.808, 95.008)    (95.008, 95.138)    (95.138, 95.238)    (95.238, 95.608)    (95.608, 96.108)    (-1.0, -1.0)        (96.958, 97.328)    (97.328, 97.558)    (97.558, 98.428)    (98.428, 98.578)    (98.578, 99.668)    (99.678, 100.438)   (100.478, 100.728) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      79509508325384      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġthose              Ġand                Ġprobably           Ġthe                Ġsecurity           Ġaspect             Ġof                
Timings          : (94.498, 94.718)    (94.718, 94.778)    (94.808, 95.008)    (95.008, 95.138)    (95.138, 95.238)    (95.238, 95.608)    (95.608, 96.108)    (96.718, 96.958)    (96.958, 97.328)    (97.328, 97.558)    (97.558, 98.428)    (98.428, 98.578)    (98.578, 99.668)    (99.678, 100.438)   (100.478, 100.728) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (100.728, 101.048)  (101.21, 101.38)    (101.38, 101.55)    (-1.0, -1.0)        (101.858, 102.218)  (102.218, 102.308)  (102.948, 103.288)  (103.288, 103.938)  (103.938, 104.198)  (104.198, 104.368)  (104.368, 104.488)  (104.488, 104.608)  (104.608, 105.258)  (105.438, 105.938)  (106.398, 106.508) 
Token Types      : 0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   79511655809033      79511655809033      79511655809033      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 Ġbecause            <emp>               Ġa                  Ġlot                Ġof                 Ġtime               Ġnowadays           Ġeven               Ġthough             Ġyou                're                 Ġworking            Ġuh                 Ġyou               
Timings          : (100.728, 101.048)  (101.198, 101.808)  (101.38, 101.55)    (101.808, 101.858)  (101.858, 102.218)  (102.218, 102.308)  (102.948, 103.288)  (103.288, 103.938)  (103.938, 104.198)  (104.198, 104.368)  (104.368, 104.488)  (104.488, 104.608)  (104.608, 105.258)  (105.438, 105.938)  (106.398, 106.508) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (106.508, 106.618)  (106.618, 107.198)  (108.084, 108.324)  (108.324, 108.414)  (108.414, 108.534)  (108.534, 108.734)  (108.734, 108.824)  (108.824, 109.044)  (109.044, 109.174)  (109.174, 109.404)  (109.404, 109.794)  (109.794, 109.854)  (109.854, 109.904)  (109.904, 110.114)  (110.114, 110.184) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 're                 Ġtreated            Ġand                Ġit                 Ġmay                Ġnot                Ġbe                 Ġtrue               Ġin                 Ġevery              Ġplace              Ġin                 Ġa                  Ġlot                Ġof                
Timings          : (106.508, 106.618)  (106.618, 107.198)  (108.084, 108.324)  (108.324, 108.414)  (108.414, 108.534)  (108.534, 108.734)  (108.734, 108.824)  (108.824, 109.044)  (109.044, 109.174)  (109.174, 109.404)  (109.404, 109.794)  (109.794, 109.854)  (109.854, 109.904)  (109.904, 110.114)  (110.114, 110.184) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (110.184, 110.574)  (110.574, 110.644)  (110.644, 110.864)  (110.864, 110.914)  (110.914, 110.964)  (110.964, 111.304)  (111.304, 111.754)  (111.754, 112.054)  (112.054, 112.164)  (112.164, 112.664)  (112.664, 113.084)  (113.084, 113.314)  (113.314, 113.494)  (113.654, 113.784)  (113.854, 114.504) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġcases              Ġi                  Ġthink              Ġyou                're                 Ġtreated            Ġmore               Ġlike               Ġa                  Ġnumber             Ġinstead            Ġof                 Ġa                  Ġa                  Ġperson            
Timings          : (110.184, 110.574)  (110.574, 110.644)  (110.644, 110.864)  (110.864, 110.914)  (110.914, 110.964)  (110.964, 111.304)  (111.304, 111.754)  (111.754, 112.054)  (112.054, 112.164)  (112.164, 112.664)  (112.664, 113.084)  (113.084, 113.314)  (113.314, 113.494)  (113.654, 113.784)  (113.854, 114.504) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (114.693, 114.853)  (114.853, 115.013)  (-1.0, -1.0)        (115.785, 115.945)  (115.945, 116.035)  (116.035, 116.265)  (116.265, 116.515)  (116.515, 116.705)  (116.705, 116.96)   (116.96, 117.215)   (117.215, 117.315)  (117.315, 117.46)   (117.46, 117.605)   (117.605, 117.845)  (117.845, 118.315) 
Token Types      : 3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79511655809034      79511655809034      79511655809034      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               Ġbecause            Ġwhen               Ġit                 Ġcome               Ġdown               Ġto                 Ġlay                off                 Ġthey               Ġdon                't                  Ġreally             Ġconsider          
Timings          : (114.693, 114.853)  (114.853, 115.013)  (115.235, 115.785)  (115.785, 115.945)  (115.945, 116.035)  (116.035, 116.265)  (116.265, 116.515)  (116.515, 116.705)  (116.705, 116.96)   (116.96, 117.215)   (117.215, 117.315)  (117.315, 117.46)   (117.46, 117.605)   (117.605, 117.845)  (117.845, 118.315) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297      79510045196297     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
