A                : you                 Ġwanna              Ġgo                 Ġfirst              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (72.557, 72.642)    (72.642, 72.922)    (72.922, 73.212)    (73.212, 73.442)    (73.442, 73.632)    (73.632, 73.742)    (73.742, 74.112)    (74.112, 74.172)    (74.172, 74.552)    (74.552, 74.632)    (74.632, 74.712)    (74.712, 74.922)    (74.922, 75.533)    (76.093, 76.253)    (76.253, 76.338)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 'm                  Ġreally             Ġinto               Ġthat               Ġi                  Ġreally             Ġlike               Ġthat               Ġa                  Ġlot                Ġand                Ġit                 <eot>               <emp>               <emp>              
Timings          : (76.338, 76.423)    (76.423, 76.783)    (76.783, 77.073)    (77.073, 77.424)    (77.424, 77.543)    (77.543, 77.853)    (77.853, 78.113)    (78.113, 78.263)    (78.263, 78.374)    (78.374, 78.673)    (79.233, 79.383)    (79.383, 79.463)    (-1.0, -1.0)        (79.628, 79.743)    (79.743, 79.821)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġnow                Ġthat               's                  Ġthat              
Timings          : (76.338, 76.423)    (76.423, 76.783)    (76.783, 77.073)    (77.073, 77.424)    (77.424, 77.543)    (77.543, 77.853)    (77.853, 78.113)    (78.113, 78.263)    (78.263, 78.374)    (78.374, 78.673)    (79.293, 79.402)    (79.402, 79.512)    (79.512, 79.628)    (79.628, 79.743)    (79.743, 79.821)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81107773030405      81107773030405      81107773030405      81107773030405      81107773030405     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġit                 Ġis                 Ġit                 's                 
Timings          : (79.821, 79.899)    (80.016, 80.444)    (80.444, 80.677)    (80.801, 81.052)    (81.052, 81.302)    (81.302, 81.772)    (81.772, 81.872)    (81.872, 82.224)    (82.401, 82.582)    (82.582, 83.143)    (83.143, 83.525)    (83.626, 83.752)    (83.752, 84.034)    (84.034, 84.106)    (84.106, 84.177)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81110457384966      81110457384966      81110457384966      81110457384966     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  

B                : 's                  Ġit                 Ġit                 Ġthat               's                  Ġrelated            Ġto                 Ġthe                Ġthe                Ġaerobic            Ġuh                 <emp>               Ġsociety            <yield>             <emp>              
Timings          : (79.821, 79.899)    (80.016, 80.444)    (80.444, 80.677)    (80.801, 81.052)    (81.052, 81.302)    (81.302, 81.772)    (81.772, 81.872)    (81.872, 82.224)    (82.401, 82.582)    (82.582, 83.143)    (83.143, 83.525)    (83.626, 83.752)    (83.83, 84.426)     (-1.0, -1.0)        (84.106, 84.177)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 81107773030405      81107773030405      81107773030405      81107773030405      81107773030405      81107773030405      81107773030405      81107773030405      81107773030405      81107773030405      81107773030405      81107773030405      81107773030405      81107773030405      0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  


A                : Ġaer                ob                  ics                 Ġbut                Ġit                 's                  Ġwith               Ġdance              Ġsteps              <emp>               Ġit                 's                  Ġan                 Ġaerobic            Ġexercise          
Timings          : (84.177, 84.425)    (84.425, 84.674)    (84.674, 84.922)    (84.922, 85.082)    (85.082, 85.157)    (85.157, 85.232)    (85.232, 85.442)    (85.442, 85.792)    (85.792, 86.442)    (86.442, 86.696)    (86.802, 86.907)    (86.907, 87.012)    (87.012, 87.102)    (87.102, 87.612)    (87.612, 88.332)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               ok                  ay                  <eint>              <emp>               <emp>               <emp>              
Timings          : (84.177, 84.425)    (84.425, 84.674)    (84.674, 84.922)    (84.922, 85.082)    (85.082, 85.157)    (85.157, 85.232)    (85.232, 85.442)    (85.442, 85.792)    (85.792, 86.442)    (86.442, 86.696)    (86.696, 86.95)     (-1.0, -1.0)        (87.012, 87.102)    (87.102, 87.612)    (87.612, 88.332)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   5                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   81112067997702      81112067997702      81112067997702      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                  


A                : Ġand                Ġit                 's                  Ġan                 Ġhour               Ġstraight           Ġand                Ġit                 's                  Ġjust               Ġum                 Ġit                 's                  Ġa                  Ġlot               
Timings          : (88.332, 88.492)    (88.492, 88.582)    (88.582, 88.672)    (88.672, 88.812)    (88.812, 89.092)    (89.092, 89.546)    (90.325, 90.672)    (90.672, 90.787)    (90.787, 90.902)    (90.902, 91.372)    (91.372, 91.739)    (91.739, 91.84)     (91.84, 91.942)     (91.942, 92.012)    (92.012, 92.232)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (88.332, 88.492)    (88.492, 88.582)    (88.582, 88.672)    (88.672, 88.812)    (88.812, 89.092)    (89.092, 89.546)    (90.325, 90.672)    (90.672, 90.787)    (90.787, 90.902)    (90.902, 91.372)    (91.372, 91.739)    (91.739, 91.84)     (91.84, 91.942)     (91.942, 92.012)    (92.012, 92.232)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġof                 Ġfun                Ġi                  Ġfeel               Ġlike               Ġi                  'm                  Ġnot                Ġjust               Ġexercising         <eot>               Ġbecause            Ġi                  'm                  Ġdancing           
Timings          : (92.232, 92.292)    (92.292, 92.502)    (92.502, 92.562)    (92.562, 92.792)    (92.792, 92.962)    (92.962, 93.042)    (93.042, 93.122)    (93.122, 93.492)    (93.492, 93.922)    (93.922, 94.758)    (-1.0, -1.0)        (95.333, 95.74)     (95.74, 95.835)     (95.835, 95.93)     (95.93, 96.62)     
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384966      81110457384968      81110457384968      81110457384968      81110457384968     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġyeah               <yield>             <emp>               <emp>              
Timings          : (92.232, 92.292)    (92.292, 92.502)    (92.502, 92.562)    (92.562, 92.792)    (92.792, 92.962)    (92.962, 93.042)    (93.042, 93.122)    (93.122, 93.492)    (93.492, 93.922)    (93.922, 94.758)    (94.879, 95.294)    (95.548, 95.886)    (-1.0, -1.0)        (95.835, 95.93)     (95.93, 96.62)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81107773030407      81107773030407      81107773030407      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                  


A                : Ġand                Ġi                  'm                  Ġi                  'm                  Ġgetting            Ġmuch               Ġbetter             Ġmy                 Ġstamina            's                  Ġgetting            Ġgreat              Ġfor                Ġthe               
Timings          : (96.62, 96.75)      (96.75, 96.995)     (96.995, 97.24)     (97.6, 97.735)      (97.735, 97.87)     (97.87, 98.14)      (98.14, 98.39)      (98.39, 98.73)      (98.73, 98.87)      (98.87, 99.19)      (99.19, 99.51)      (99.51, 99.8)       (99.8, 100.12)      (100.12, 100.27)    (100.27, 100.37)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (96.62, 96.75)      (96.75, 96.995)     (96.995, 97.24)     (97.6, 97.735)      (97.735, 97.87)     (97.87, 98.14)      (98.14, 98.39)      (98.39, 98.73)      (98.73, 98.87)      (98.87, 99.19)      (99.19, 99.51)      (99.51, 99.8)       (99.8, 100.12)      (100.12, 100.27)    (100.27, 100.37)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġdance              Ġfloor              Ġso                 Ġi                  Ġmean               Ġit                 's                  Ġjust               Ġthere              's                  Ġa                  Ġlot                Ġof                 Ġpositive           Ġthings            
Timings          : (100.37, 100.71)    (100.71, 101.03)    (101.54, 101.88)    (102.283, 102.438)  (102.438, 102.56)   (102.56, 102.645)   (102.645, 102.73)   (102.73, 103.26)    (103.26, 103.39)    (103.39, 103.52)    (103.52, 103.58)    (103.58, 103.83)    (103.83, 103.89)    (103.89, 104.55)    (104.55, 104.87)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968      81110457384968     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (100.37, 100.71)    (100.71, 101.03)    (101.413, 101.863)  (-1.0, -1.0)        (102.438, 102.56)   (102.56, 102.645)   (102.645, 102.73)   (102.73, 103.26)    (103.26, 103.39)    (103.39, 103.52)    (103.52, 103.58)    (103.58, 103.83)    (103.83, 103.89)    (103.89, 104.55)    (104.55, 104.87)   
Token Types      : 0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   81109920514055      81109920514055      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwith               Ġit                 Ġso                 <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġit                 Ġis                 Ġinside             Ġand                Ġi                 
Timings          : (104.87, 105.08)    (105.08, 105.21)    (105.32, 105.756)   (-1.0, -1.0)        (106.617, 106.918)  (106.918, 107.068)  (107.068, 107.183)  (107.183, 107.298)  (107.298, 107.648)  (107.648, 107.893)  (108.142, 108.352)  (108.352, 108.542)  (108.542, 109.192)  (109.192, 109.382)  (109.382, 109.427) 
Token Types      : 4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 81110457384968      81110457384968      81110457384968      81110457384968      0                   0                   0                   0                   0                   0                   81107236159498      81107236159498      81107236159498      81107236159498      81107236159498     
turn_end_types   : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               Ġwell               Ġuh                 Ġokay               Ġnow                Ġthat               's                  Ġinside             Ġagain              Ġright              <eot>               <emp>               Ġbut                Ġit                
Timings          : (104.87, 105.08)    (105.08, 105.21)    (105.462, 105.748)  (105.748, 106.056)  (106.617, 106.918)  (106.918, 107.068)  (107.068, 107.183)  (107.183, 107.298)  (107.298, 107.648)  (107.648, 107.893)  (107.893, 108.277)  (-1.0, -1.0)        (108.542, 109.192)  (109.251, 109.391)  (109.391, 109.66)  
Token Types      : 0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   5                   5                  
turn_ids         : 0                   0                   81110994255881      81110994255881      81110994255881      81110994255881      81110994255881      81110994255881      81110994255881      81110994255881      81110994255881      81110994255881      0                   81112067997706      81112067997706     
turn_end_types   : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   2                   2                  


A                : 've                 Ġbeen               Ġdoing              Ġa                  Ġlot                Ġof                 Ġbike               Ġriding             Ġoutside            Ġwith               Ġthe                Ġnice               Ġweather            Ġwe                 've                
Timings          : (109.427, 109.472)  (109.472, 109.692)  (109.692, 109.902)  (109.902, 109.952)  (109.952, 110.102)  (110.102, 110.192)  (110.192, 110.452)  (110.452, 110.812)  (110.812, 111.262)  (111.262, 111.402)  (111.402, 111.482)  (111.482, 111.842)  (111.842, 112.152)  (112.152, 112.272)  (112.272, 112.392) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      81107236159498     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (109.472, 109.692)  (109.692, 109.902)  (109.902, 109.952)  (109.952, 110.102)  (110.102, 110.192)  (110.192, 110.452)  (110.452, 110.812)  (110.812, 111.262)  (111.262, 111.402)  (111.402, 111.482)  (111.482, 111.842)  (111.842, 112.152)  (112.152, 112.272)  (112.272, 112.392) 
Token Types      : 5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81112067997706      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbeen               Ġhaving             Ġand                Ġi                  Ġenjoy              Ġthat               Ġmuch               Ġmore               Ġtoo                Ġthan               Ġinside             <yield>             <emp>               <emp>               <emp>              
Timings          : (112.392, 112.562)  (112.562, 112.972)  (112.972, 113.112)  (113.112, 113.222)  (113.222, 113.562)  (113.562, 113.772)  (113.772, 114.092)  (114.092, 114.302)  (114.302, 114.679)  (115.169, 115.292)  (115.292, 115.872)  (-1.0, -1.0)        (115.669, 115.839)  (115.839, 115.919)  (115.919, 116.049) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      81107236159498      0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġdo                 Ġdo                 Ġyou                Ġlike               Ġto                 Ġdo                
Timings          : (112.392, 112.562)  (112.562, 112.972)  (112.972, 113.112)  (113.112, 113.222)  (113.222, 113.562)  (113.562, 113.772)  (113.772, 114.092)  (114.092, 114.302)  (114.302, 114.679)  (115.199, 115.449)  (115.449, 115.578)  (115.578, 115.669)  (115.669, 115.839)  (115.839, 115.919)  (115.919, 116.049) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   81110994255883      81110994255883      81110994255883      81110994255883      81110994255883      81110994255883     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġhave               Ġa                  Ġthirteen          
Timings          : (116.049, 116.229)  (116.229, 116.514)  (116.514, 116.758)  (116.758, 116.919)  (116.919, 117.199)  (117.199, 117.229)  (117.229, 117.379)  (117.379, 117.538)  (117.538, 117.729)  (117.729, 117.818)  (117.818, 118.144)  (118.39, 118.496)   (118.496, 118.676)  (118.676, 118.836)  (118.836, 119.296) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81110457384972      81110457384972      81110457384972      81110457384972     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  

B                : Ġit                 Ġwith               Ġwith               Ġother              Ġpeople             Ġi                  Ġmean               Ġlike               Ġthe                Ġthe                Ġjazz               ercise              Ġwould              Ġbe                 <yield>            
Timings          : (116.049, 116.229)  (116.229, 116.514)  (116.514, 116.758)  (116.758, 116.919)  (116.919, 117.199)  (117.199, 117.229)  (117.229, 117.379)  (117.379, 117.538)  (117.538, 117.729)  (117.729, 117.818)  (117.818, 118.144)  (118.144, 118.468)  (118.468, 118.659)  (118.659, 118.868)  (-1.0, -1.0)       
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81110994255883      81110994255883      81110994255883      81110994255883      81110994255883      81110994255883      81110994255883      81110994255883      81110994255883      81110994255883      81110994255883      81110994255883      81110994255883      81110994255883      81110994255883     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
