A                : i                   Ġthink              Ġthat               Ġthe                Ġmiddle             Ġeast               Ġis                 Ġof                 Ġall                Ġthe                Ġuh                 Ġregions            Ġof                 Ġthe                Ġworld             
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwhile              Ġbasically          Ġsucc               umbing              Ġto                 Ġa                  Ġvery               Ġpowerful           Ġis                 rael                i                   Ġlobby              Ġin                 Ġthis               Ġcountry           
Timings          : (78.757, 79.05)     (79.05, 79.819)     (80.003, 80.353)    (80.353, 80.703)    (80.703, 81.278)    (81.717, 81.912)    (81.912, 82.14)     (82.14, 82.76)      (82.76, 82.906)     (82.906, 83.053)    (83.053, 83.2)      (83.2, 83.56)       (83.56, 83.72)      (83.72, 83.9)       (83.9, 84.45)      
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (78.757, 79.05)     (79.05, 79.819)     (80.003, 80.353)    (80.353, 80.703)    (80.703, 81.278)    (81.717, 81.912)    (81.912, 82.14)     (82.14, 82.76)      (82.76, 82.906)     (82.906, 83.053)    (83.053, 83.2)      (83.2, 83.56)       (83.56, 83.72)      (83.72, 83.9)       (83.9, 84.45)      
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : <emp>               Ġand                Ġi                  Ġi                  Ġthink              Ġthat               Ġthe                Ġpal                est                 inian               Ġquestion           Ġis                 Ġa                  Ġkey                Ġto                
Timings          : (84.721, 85.032)    (85.342, 85.778)    (85.778, 86.008)    (86.008, 86.301)    (86.301, 86.576)    (86.576, 86.752)    (87.088, 87.189)    (87.189, 87.462)    (87.462, 87.735)    (87.735, 88.008)    (88.008, 88.661)    (88.661, 89.075)    (89.075, 89.289)    (89.289, 89.588)    (89.588, 89.648)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : yeah                <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (84.721, 85.032)    (-1.0, -1.0)        (85.778, 86.008)    (86.008, 86.301)    (86.301, 86.576)    (86.576, 86.752)    (87.088, 87.189)    (87.189, 87.462)    (87.462, 87.735)    (87.735, 88.008)    (88.008, 88.661)    (88.661, 89.075)    (89.075, 89.289)    (89.289, 89.588)    (89.588, 89.648)   
Token Types      : 3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82862267170818      82862267170818      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġlot                Ġof                 Ġproblems           Ġin                 Ġthe                Ġregion             Ġand                Ġi                  Ġdon                't                  Ġthink              Ġthat               Ġthis               Ġcountry           
Timings          : (89.648, 89.678)    (89.678, 90.088)    (90.088, 90.178)    (90.178, 90.858)    (90.858, 91.008)    (91.008, 91.088)    (91.088, 91.626)    (92.666, 93.171)    (93.171, 93.333)    (93.333, 93.422)    (93.422, 93.511)    (93.511, 93.721)    (93.721, 93.841)    (93.841, 94.011)    (94.011, 94.241)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (89.648, 89.678)    (89.678, 90.088)    (90.088, 90.178)    (90.178, 90.858)    (90.858, 91.008)    (91.008, 91.088)    (91.088, 91.626)    (92.666, 93.171)    (93.171, 93.333)    (93.333, 93.422)    (93.422, 93.511)    (93.511, 93.721)    (93.721, 93.841)    (93.841, 94.011)    (94.011, 94.241)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 's                  Ġhandled            Ġthat               Ġwell               Ġat                 Ġall                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (94.241, 94.471)    (94.471, 94.871)    (94.871, 95.121)    (95.121, 95.387)    (95.387, 95.521)    (95.521, 95.944)    (-1.0, -1.0)        (97.001, 97.191)    (97.706, 97.946)    (97.946, 98.136)    (98.136, 98.296)    (98.296, 98.396)    (98.396, 98.487)    (98.696, 99.029)    (100.178, 100.475) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġwell               Ġprobably           Ġfrom               Ġthere              Ġis                 Ġthat               Ġthe                Ġsame              
Timings          : (94.241, 94.471)    (94.471, 94.871)    (94.871, 95.121)    (95.121, 95.387)    (95.387, 95.521)    (95.521, 95.944)    (96.704, 97.001)    (97.001, 97.191)    (97.706, 97.946)    (97.946, 98.136)    (98.136, 98.296)    (98.296, 98.396)    (98.396, 98.487)    (98.696, 99.029)    (100.178, 100.475) 
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173     
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (100.475, 100.668)  (100.668, 100.736)  (100.736, 101.038)  (101.038, 101.248)  (101.248, 101.478)  (101.478, 101.64)   (101.742, 101.978)  (101.978, 102.178)  (102.178, 102.348)  (102.348, 102.488)  (102.488, 102.798)  (102.798, 102.918)  (102.918, 103.038)  (103.038, 103.108)  (103.108, 103.168) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġproblem            Ġas                 Ġanywhere           Ġelse               Ġanytime            Ġyou                Ġtake               Ġsomething          Ġaway               Ġfrom               Ġsomebody           Ġand                Ġgive               Ġit                 Ġto                
Timings          : (100.475, 100.668)  (100.668, 100.736)  (100.736, 101.038)  (101.038, 101.248)  (101.248, 101.478)  (101.478, 101.64)   (101.742, 101.978)  (101.978, 102.178)  (102.178, 102.348)  (102.348, 102.488)  (102.488, 102.798)  (102.798, 102.918)  (102.918, 103.038)  (103.038, 103.108)  (103.108, 103.168) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (103.168, 103.528)  (103.528, 103.938)  (104.226, 104.393)  (104.393, 104.56)   (-1.0, -1.0)        (104.652, 104.763)  (104.935, 105.045)  (105.045, 105.156)  (105.156, 105.315)  (105.315, 105.396)  (105.396, 105.455)  (105.455, 105.745)  (105.745, 106.206)  (106.692, 106.809)  (106.809, 106.925) 
Token Types      : 0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   82861730299907      82861730299907      82861730299907      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsomebody           Ġelse               <emp>               <emp>               Ġthat               Ġyou                Ġdidn               't                  Ġown                Ġin                 Ġthe                Ġfirst              Ġplace              Ġthere              's                 
Timings          : (103.168, 103.528)  (103.528, 103.938)  (104.226, 104.393)  (104.393, 104.56)   (104.538, 104.652)  (104.652, 104.763)  (104.935, 105.045)  (105.045, 105.156)  (105.156, 105.315)  (105.315, 105.396)  (105.396, 105.455)  (105.455, 105.745)  (105.745, 106.206)  (106.692, 106.809)  (106.809, 106.925) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (106.925, 106.995)  (106.995, 107.116)  (107.116, 107.266)  (107.266, 107.326)  (107.326, 107.415)  (107.415, 108.015)  (108.153, 108.236)  (108.236, 108.326)  (108.295, 108.581)  (-1.0, -1.0)        (108.713, 109.095)  (109.095, 109.186)  (109.186, 109.275)  (109.275, 109.565)  (109.565, 109.595) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   82861730299908      82861730299908      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                  

B                : Ġyou                Ġknow               Ġgoing              Ġto                 Ġbe                 Ġproblems           Ġi                  Ġmean               Ġthat               's                  Ġbasically          Ġwhat               's                  Ġhappened           Ġi                 
Timings          : (106.925, 106.995)  (106.995, 107.116)  (107.116, 107.266)  (107.266, 107.326)  (107.326, 107.415)  (107.415, 108.015)  (108.153, 108.236)  (108.236, 108.326)  (108.326, 108.453)  (108.453, 108.581)  (108.713, 109.095)  (109.095, 109.186)  (109.186, 109.275)  (109.275, 109.565)  (109.565, 109.595) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (109.595, 109.836)  (110.513, 110.89)   (110.89, 111.002)   (111.002, 111.218)  (111.218, 111.279)  (111.279, 111.638)  (111.638, 111.858)  (111.858, 112.239)  (112.239, 112.419)  (112.419, 112.586)  (112.586, 112.754)  (112.754, 112.921)  (112.921, 113.089)  (113.089, 113.229)  (113.229, 113.339) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġmean               Ġbasically          Ġa                  Ġhandful            Ġof                 Ġnations            Ġtook               Ġaway               Ġfrom               Ġpal                est                 in                  ians                Ġwhat               Ġwas               
Timings          : (109.595, 109.836)  (110.513, 110.89)   (110.89, 111.002)   (111.002, 111.218)  (111.218, 111.279)  (111.279, 111.638)  (111.638, 111.858)  (111.858, 112.239)  (112.239, 112.419)  (112.419, 112.586)  (112.586, 112.754)  (112.754, 112.921)  (112.921, 113.089)  (113.089, 113.229)  (113.229, 113.339) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (113.339, 113.479)  (113.479, 113.849)  (113.849, 113.938)  (113.938, 114.108)  (114.108, 114.169)  (114.169, 114.269)  (114.269, 114.339)  (114.339, 114.418)  (114.418, 114.498)  (114.498, 114.577)  (114.815, 114.909)  (114.909, 114.968)  (114.968, 115.099)  (115.099, 115.159)  (115.159, 115.328) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġtheir              Ġhomeland           Ġand                Ġgave               Ġit                 Ġto                 Ġthe                Ġis                 rael                is                  Ġyou                Ġknow               Ġto                 Ġthe                Ġis                
Timings          : (113.339, 113.479)  (113.479, 113.849)  (113.849, 113.938)  (113.938, 114.108)  (114.108, 114.169)  (114.169, 114.269)  (114.269, 114.339)  (114.339, 114.418)  (114.418, 114.498)  (114.498, 114.577)  (114.815, 114.909)  (114.909, 114.968)  (114.968, 115.099)  (115.099, 115.159)  (115.159, 115.328) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (115.328, 115.498)  (115.498, 115.669)  (116.388, 116.785)  (116.785, 116.881)  (116.881, 116.991)  (116.991, 117.087)  (117.087, 117.182)  (117.691, 117.881)  (117.881, 117.941)  (117.941, 118.041)  (118.041, 118.111)  (118.111, 118.201)  (118.201, 118.461)  (118.461, 118.627)  (118.627, 118.789) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : rael                is                  Ġand                Ġyou                Ġknow               Ġit                 's                  Ġnot                Ġthe                Ġway                Ġto                 Ġgo                 Ġabout              Ġany                Ġkind              
Timings          : (115.328, 115.498)  (115.498, 115.669)  (116.388, 116.785)  (116.785, 116.881)  (116.881, 116.991)  (116.991, 117.087)  (117.087, 117.182)  (117.691, 117.881)  (117.881, 117.941)  (117.941, 118.041)  (118.041, 118.111)  (118.111, 118.201)  (118.201, 118.461)  (118.461, 118.627)  (118.627, 118.789) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (118.789, 118.923)  (118.923, 119.26)   (120.13, 120.526)   (120.526, 120.608)  (120.608, 120.689)  (120.689, 120.859)  (120.859, 120.979)  (120.979, 121.039)  (121.039, 121.119)  (121.119, 121.354)  (121.354, 121.589)  (121.825, 121.93)   (121.93, 122.057)   (122.057, 122.123)  (122.123, 122.406) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġof                 Ġuh                 Ġsolution           Ġthat               's                  Ġever               Ġgoing              Ġto                 Ġbe                 Ġwork               able                Ġyou                Ġknow               Ġi                  Ġmean              
Timings          : (118.789, 118.923)  (118.923, 119.26)   (120.13, 120.526)   (120.526, 120.608)  (120.608, 120.689)  (120.689, 120.859)  (120.859, 120.979)  (120.979, 121.039)  (121.039, 121.119)  (121.119, 121.354)  (121.354, 121.589)  (121.825, 121.93)   (121.93, 122.057)   (122.057, 122.123)  (122.123, 122.406) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173      82860119687173     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġkind               Ġof                 Ġanticipate         Ġthat               Ġbecause            Ġyou               
Timings          : (122.406, 122.581)  (122.718, 122.991)  (-1.0, -1.0)        (123.229, 123.379)  (123.379, 124.107)  (124.107, 124.639)  (124.639, 125.096)  (125.633, 125.761)  (125.761, 125.945)  (125.945, 126.166)  (126.166, 126.297)  (126.297, 127.177)  (127.177, 127.433)  (128.197, 128.788)  (129.18, 129.257)  
Token Types      : 0                   3                   3                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   82861730299909      82861730299909      0                   0                   0                   0                   82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262      82859582816262     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
