A                : um                  Ġi                  've                 Ġhad                Ġuh                 Ġthree              Ġboys               Ġthrough            Ġi                  Ġguess              Ġuh                 Ġsome               Ġchild              Ġcare               Ġeach              
turn_ids         : 0                   0                   0                   0                   0                   79875117416452      79875117416452      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġget                Ġyour               Ġpermission         Ġbut                Ġyeah               Ġi                  Ġsuppose            Ġum                 Ġif                 Ġyou                're                 Ġif                 Ġthere              's                  Ġa                 
Timings          : (76.576, 76.726)    (76.726, 76.826)    (76.826, 77.296)    (77.296, 77.433)    (77.93, 78.126)     (78.126, 78.255)    (78.255, 78.796)    (78.796, 79.137)    (80.274, 80.465)    (80.465, 80.654)    (80.654, 80.844)    (81.168, 81.374)    (81.374, 81.49)     (81.49, 81.604)     (81.604, 81.715)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (76.576, 76.726)    (76.726, 76.826)    (76.826, 77.296)    (77.296, 77.433)    (77.93, 78.126)     (78.126, 78.255)    (78.255, 78.796)    (78.796, 79.137)    (80.274, 80.465)    (80.465, 80.654)    (80.654, 80.844)    (81.168, 81.374)    (81.374, 81.49)     (81.49, 81.604)     (81.604, 81.715)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġpsychology         Ġdepartment         Ġor                 Ġan                 Ġeducation          Ġdepartment         Ġaround             Ġyou                Ġmight              Ġfind               Ġthat               Ġthey               're                 Ġpushing            Ġone               
Timings          : (81.715, 82.244)    (82.244, 82.664)    (82.664, 82.725)    (82.725, 82.785)    (82.785, 83.265)    (83.265, 83.604)    (83.604, 83.785)    (83.785, 83.854)    (83.854, 84.054)    (84.054, 84.295)    (84.295, 84.414)    (84.414, 84.564)    (84.564, 84.714)    (85.223, 85.545)    (85.545, 85.704)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (81.715, 82.244)    (82.244, 82.664)    (82.664, 82.725)    (82.725, 82.785)    (82.785, 83.265)    (83.265, 83.604)    (83.604, 83.785)    (83.785, 83.854)    (83.854, 84.054)    (84.054, 84.295)    (84.295, 84.414)    (84.414, 84.564)    (84.564, 84.714)    (85.223, 85.545)    (85.545, 85.704)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġform               Ġof                 Ġeducation          Ġor                 Ġanother            Ġi                  Ġguess              Ġthat               's                  Ġtrue               Ġbut                Ġuh                 Ġi                  Ġnever              Ġhad               
Timings          : (85.704, 85.994)    (85.994, 86.188)    (86.523, 87.054)    (87.054, 87.115)    (87.115, 87.374)    (87.374, 87.445)    (87.445, 87.655)    (87.655, 87.755)    (87.755, 87.854)    (87.854, 88.138)    (88.872, 89.003)    (89.121, 89.371)    (90.407, 90.596)    (90.596, 90.746)    (90.746, 90.877)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (85.704, 85.994)    (85.994, 86.188)    (86.523, 87.054)    (87.054, 87.115)    (87.115, 87.374)    (87.374, 87.445)    (87.445, 87.655)    (87.655, 87.755)    (87.755, 87.854)    (87.854, 88.138)    (88.872, 89.003)    (89.121, 89.371)    (90.407, 90.596)    (90.596, 90.746)    (90.746, 90.877)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġbad                Ġexperience         Ġin                 Ġthat               Ġrespect            Ġof                 Ġcourse             Ġyou                Ġalso               Ġtend               Ġto                 Ġget                Ġpeople             Ġthat              
Timings          : (90.877, 90.937)    (90.937, 91.137)    (91.137, 91.587)    (91.587, 91.657)    (91.657, 91.787)    (91.787, 92.196)    (93.043, 93.097)    (93.097, 93.457)    (93.457, 93.596)    (94.694, 95.006)    (95.006, 95.266)    (95.266, 95.356)    (95.356, 95.52)     (96.013, 96.266)    (96.266, 96.376)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (90.877, 90.937)    (90.937, 91.137)    (91.137, 91.587)    (91.587, 91.657)    (91.657, 91.787)    (91.787, 92.196)    (93.043, 93.097)    (93.097, 93.457)    (93.457, 93.596)    (94.694, 95.006)    (95.006, 95.266)    (95.266, 95.356)    (95.356, 95.52)     (96.013, 96.266)    (96.266, 96.376)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġare                Ġassociated         Ġwith               Ġthe                Ġuniversity         Ġand                Ġthe                Ġhospital           Ġas                 Ġthe                Ġparents            Ġand                Ġthey               're                 Ġyou               
Timings          : (96.376, 96.436)    (96.436, 96.966)    (96.966, 97.086)    (97.086, 97.146)    (97.146, 97.636)    (97.636, 97.796)    (97.796, 97.856)    (97.856, 98.286)    (98.286, 98.436)    (98.436, 98.496)    (98.496, 98.946)    (98.946, 99.056)    (99.056, 99.146)    (99.146, 99.236)    (99.632, 99.666)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      79870285578248     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (96.376, 96.436)    (96.436, 96.966)    (96.966, 97.086)    (97.086, 97.146)    (97.146, 97.636)    (97.636, 97.796)    (97.796, 97.856)    (97.856, 98.286)    (98.286, 98.436)    (98.436, 98.496)    (98.496, 98.946)    (98.946, 99.056)    (99.056, 99.146)    (99.146, 99.236)    (99.632, 99.666)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġknow               Ġpretty             Ġgood               Ġpeople             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (99.666, 99.782)    (99.883, 100.006)   (100.006, 100.126)  (100.126, 100.496)  (-1.0, -1.0)        (101.842, 101.982)  (101.982, 102.082)  (102.082, 102.272)  (102.272, 102.302)  (102.302, 102.692)  (102.692, 103.012)  (103.012, 103.427)  (103.427, 103.775)  (103.775, 104.247)  (104.695, 104.772) 
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79870285578248      79870285578248      79870285578248      79870285578248      79870285578248      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               Ġum                 Ġwell               Ġthe                Ġthing              Ġi                  Ġreally             Ġworry              Ġabout              Ġis                 Ġum                 Ġthe               
Timings          : (99.666, 99.782)    (99.883, 100.006)   (100.006, 100.126)  (100.126, 100.496)  (101.462, 101.842)  (101.842, 101.982)  (101.982, 102.082)  (102.082, 102.272)  (102.272, 102.302)  (102.302, 102.692)  (102.692, 103.012)  (103.012, 103.427)  (103.427, 103.775)  (103.775, 104.247)  (104.695, 104.772) 
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   79870822449161      79870822449161      79870822449161      79870822449161      79870822449161      79870822449161      79870822449161      79870822449161      79870822449161      79870822449161      79870822449161     
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <eot>               Ġi                  <eint>              <emp>               <emp>               <emp>               <emp>              
Timings          : (104.772, 105.242)  (105.242, 105.602)  (105.602, 106.012)  (106.012, 106.082)  (106.082, 106.312)  (106.312, 106.762)  (107.078, 107.221)  (107.221, 107.365)  (-1.0, -1.0)        (108.33, 108.501)   (-1.0, -1.0)        (108.916, 109.066)  (109.066, 109.175)  (109.175, 109.405)  (109.405, 109.605) 
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   5                   5                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   79870285578250      79870285578250      79870285578250      79874580545543      79874580545543      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : Ġsexual             Ġabuse              Ġcases              Ġyou                Ġread               Ġabout              <eot>               <emp>               <emp>               Ġand                Ġi                  Ġmean               Ġyou                Ġjust               Ġfeel              
Timings          : (104.772, 105.242)  (105.242, 105.602)  (105.602, 106.012)  (106.012, 106.082)  (106.082, 106.312)  (106.312, 106.762)  (-1.0, -1.0)        (107.221, 107.365)  (-1.0, -1.0)        (108.198, 108.835)  (108.835, 108.916)  (108.916, 109.066)  (109.066, 109.175)  (109.175, 109.405)  (109.405, 109.605) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870822449161      79870822449161      79870822449161      79870822449161      79870822449161      79870822449161      79870822449161      0                   0                   79870822449163      79870822449163      79870822449163      79870822449163      79870822449163      79870822449163     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġnever              Ġreally             Ġworry              Ġvery               Ġmuch               Ġabout              Ġit                
Timings          : (109.605, 109.915)  (109.915, 109.975)  (109.975, 110.275)  (110.275, 110.445)  (110.445, 110.635)  (110.635, 111.174)  (111.305, 111.61)   (111.998, 112.072)  (112.072, 112.282)  (112.282, 112.442)  (112.442, 112.692)  (112.692, 112.842)  (112.842, 113.022)  (113.022, 113.272)  (113.272, 113.382) 
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252     
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġawful              Ġif                 Ġsomething          Ġlike               Ġthat               Ġhappened           <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (109.605, 109.915)  (109.915, 109.975)  (109.975, 110.275)  (110.275, 110.445)  (110.445, 110.635)  (110.635, 111.174)  (-1.0, -1.0)        (111.998, 112.072)  (112.072, 112.282)  (112.282, 112.442)  (112.442, 112.692)  (112.692, 112.842)  (112.842, 113.022)  (113.022, 113.272)  (113.272, 113.382) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79870822449163      79870822449163      79870822449163      79870822449163      79870822449163      79870822449163      79870822449163      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġtend               Ġto                 Ġthink              Ġthose              Ġare                Ġvery               Ġrare               Ġbut                Ġquickly            Ġexploited          Ġand                Ġmade               Ġpublic             Ġso                
Timings          : (113.382, 113.422)  (113.422, 113.662)  (113.662, 113.732)  (113.732, 113.952)  (113.952, 114.152)  (114.152, 114.334)  (115.608, 115.918)  (115.918, 116.168)  (116.168, 116.388)  (116.388, 116.728)  (116.728, 117.268)  (117.268, 117.398)  (117.398, 117.708)  (117.708, 118.133)  (118.133, 118.428) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (113.382, 113.422)  (113.422, 113.662)  (113.662, 113.732)  (113.732, 113.952)  (113.952, 114.152)  (114.152, 114.334)  (115.608, 115.918)  (115.918, 116.168)  (116.168, 116.388)  (116.388, 116.728)  (116.728, 117.268)  (117.268, 117.398)  (117.398, 117.708)  (117.708, 118.133)  (118.133, 118.428) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġnever              Ġreally             Ġworried            Ġtoo                Ġmuch               Ġabout              Ġthat               Ġbeing              Ġuh                 Ġuh                 Ġthe                Ġcase               Ġwith               Ġmy                
Timings          : (118.748, 119.016)  (119.144, 119.588)  (119.588, 119.768)  (119.768, 119.998)  (119.998, 120.088)  (120.088, 120.298)  (120.298, 120.538)  (120.538, 120.708)  (120.708, 120.978)  (120.978, 121.167)  (122.034, 122.339)  (122.558, 122.613)  (122.613, 122.81)   (122.81, 122.92)    (122.92, 123.05)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (118.815, 119.098)  (119.098, 119.381)  (-1.0, -1.0)        (119.768, 119.998)  (119.998, 120.088)  (120.088, 120.298)  (120.298, 120.538)  (120.538, 120.708)  (120.708, 120.978)  (120.978, 121.167)  (122.034, 122.339)  (122.558, 122.613)  (122.613, 122.81)   (122.81, 122.92)    (122.92, 123.05)   
Token Types      : 3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79872969932806      79872969932806      79872969932806      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġboys               Ġum                 Ġi                  Ġyou                Ġknow               Ġi                  Ġthink              Ġthose              Ġthings             Ġget                Ġinto               Ġthe                Ġheadlines          Ġimmediately        Ġwhen              
Timings          : (123.05, 123.488)   (124.399, 124.616)  (125.629, 125.872)  (126.025, 126.07)   (126.07, 126.178)   (126.178, 126.248)  (126.248, 126.438)  (126.438, 126.618)  (126.618, 126.909)  (126.909, 127.044)  (127.91, 128.122)   (128.122, 128.202)  (128.202, 128.592)  (128.592, 129.053)  (129.053, 129.182) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               Ġoh                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (123.05, 123.488)   (124.203, 124.528)  (-1.0, -1.0)        (126.025, 126.07)   (126.07, 126.178)   (126.178, 126.248)  (126.248, 126.438)  (126.438, 126.618)  (126.618, 126.909)  (126.909, 127.044)  (127.91, 128.122)   (128.122, 128.202)  (128.202, 128.592)  (128.592, 129.053)  (129.053, 129.182) 
Token Types      : 0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   79872969932807      79872969932807      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġsomebody           Ġfinds              Ġout                Ġabout              Ġthem               Ġbut                <emp>               Ġi                  Ġdon                't                  Ġthink              Ġit                 's                  Ġas                 Ġcommon            
Timings          : (129.182, 129.462)  (129.462, 129.742)  (129.742, 129.902)  (129.902, 130.113)  (130.113, 130.232)  (130.232, 130.344)  (130.788, 131.008)  (131.007, 131.062)  (131.062, 131.137)  (131.137, 131.212)  (131.212, 131.363)  (131.363, 131.443)  (131.443, 131.523)  (131.523, 131.583)  (131.583, 131.943) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252      79870285578252     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
