A                : so                  Ġuh                 Ġwhat               Ġuh                 Ġkind               Ġof                 Ġclothing           Ġdo                 Ġyou                Ġhave               Ġto                 Ġwear               Ġfor                Ġwork               <eot>              
turn_ids         : 0                   0                   0                   0                   0                   0                   83753472884749      83753472884749      83753472884749      83753472884749      83753472884749      83753472884749      83753472884749      83753472884749      83753472884749     
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : oh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 Ġsome               Ġanyway             Ġyeah               <eot>               <emp>               <emp>              
Timings          : (96.023, 96.389)    (-1.0, -1.0)        (99.884, 100.036)   (100.036, 100.158)  (100.158, 100.28)   (100.28, 100.638)   (100.638, 100.934)  (103.671, 104.31)   (104.843, 105.473)  (105.933, 106.211)  (106.211, 106.693)  (106.693, 106.937)  (-1.0, -1.0)        (111.635, 111.762)  (111.762, 112.13)  
Token Types      : 3                   3                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 83755083497479      83755083497479      0                   0                   0                   0                   0                   0                   83752936013838      83752936013838      83752936013838      83752936013838      83752936013838      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                  

B                : <emp>               Ġi                  Ġguess              Ġyou                'd                  Ġsay                Ġuh                 Ġsupervisor         <eot>               <emp>               <emp>               <emp>               Ġnot                Ġa                  Ġtopic             
Timings          : (96.023, 96.389)    (99.709, 99.884)    (99.884, 100.036)   (100.036, 100.158)  (100.158, 100.28)   (100.28, 100.638)   (100.638, 100.934)  (103.671, 104.31)   (-1.0, -1.0)        (105.933, 106.211)  (106.211, 106.693)  (106.693, 106.937)  (111.493, 111.635)  (111.635, 111.762)  (111.762, 112.13)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                  
turn_ids         : 83753472884749      83753472884749      83753472884749      83753472884749      83753472884749      83753472884749      83753472884749      83753472884749      83753472884749      0                   0                   0                   83753472884751      83753472884751      83753472884751     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               Ġso                 Ġlet                's                  Ġsee                Ġwhere             
Timings          : (112.13, 112.25)    (112.25, 112.35)    (112.35, 112.49)    (112.49, 112.85)    (112.85, 113.16)    (113.16, 113.47)    (113.47, 113.626)   (113.626, 113.807)  (116.918, 117.594)  (-1.0, -1.0)        (119.161, 119.408)  (119.408, 119.512)  (119.512, 119.615)  (119.615, 119.898)  (119.898, 120.103) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   83755083497481      83755083497481      83752936013840      83752936013840      83752936013840      83752936013840      83752936013840     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġyou                Ġcan                Ġget                Ġinto               Ġvery               Ġdeep               Ġis                 Ġit                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (112.13, 112.25)    (112.25, 112.35)    (112.35, 112.49)    (112.49, 112.85)    (112.85, 113.16)    (113.16, 113.47)    (113.47, 113.626)   (113.626, 113.807)  (-1.0, -1.0)        (-1.0, -1.0)        (119.161, 119.408)  (119.408, 119.512)  (119.512, 119.615)  (119.615, 119.898)  (119.898, 120.103) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83753472884751      83753472884751      83753472884751      83753472884751      83753472884751      83753472884751      83753472884751      83753472884751      83753472884751      0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġwhere              Ġdid                Ġyou                Ġyou                Ġsaid               Ġyou                're                 Ġin                 Ġh                  ouston              <emp>               Ġso                 Ġyou                Ġdon                't                 
Timings          : (120.42, 120.615)   (120.615, 120.748)  (120.748, 120.993)  (120.993, 121.145)  (121.145, 121.345)  (121.345, 121.41)   (121.41, 121.475)   (121.475, 121.565)  (121.565, 121.787)  (121.787, 122.009)  (122.321, 122.58)   (124.008, 124.882)  (124.882, 125.039)  (125.039, 125.114)  (125.114, 125.189) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83752936013840      83752936013840      83752936013840      83752936013840      83752936013840      83752936013840      83752936013840      83752936013840      83752936013840      83752936013840      83752936013840      83752936013840      83752936013840      83752936013840      83752936013840     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>              
Timings          : (120.42, 120.615)   (120.615, 120.748)  (120.748, 120.993)  (120.993, 121.145)  (121.145, 121.345)  (121.345, 121.41)   (121.41, 121.475)   (121.475, 121.565)  (121.565, 121.787)  (121.787, 122.009)  (122.321, 122.58)   (-1.0, -1.0)        (124.882, 125.039)  (125.039, 125.114)  (125.114, 125.189) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83755620368394      83755620368394      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                  


A                : Ġhave               Ġto                 Ġdress              Ġvery               Ġwarm               ly                  Ġi                  Ġsuppose            <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (125.189, 125.319)  (125.319, 125.449)  (125.449, 125.769)  (125.769, 125.969)  (125.969, 126.179)  (126.179, 126.389)  (126.389, 126.567)  (126.567, 127.059)  (-1.0, -1.0)        (128.573, 128.823)  (128.823, 129.193)  (129.193, 129.553)  (129.553, 129.817)  (129.983, 130.183)  (130.183, 130.475) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83752936013840      83752936013840      83752936013840      83752936013840      83752936013840      83752936013840      83752936013840      83752936013840      83752936013840      0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġno                 Ġwe                 Ġuh                 Ġeven               Ġthis               Ġthis               Ġyear              
Timings          : (125.189, 125.319)  (125.319, 125.449)  (125.449, 125.769)  (125.769, 125.969)  (125.969, 126.179)  (126.179, 126.389)  (126.389, 126.567)  (126.567, 127.059)  (127.722, 128.269)  (128.573, 128.823)  (128.823, 129.193)  (129.193, 129.553)  (129.553, 129.817)  (129.983, 130.183)  (130.183, 130.475) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   83753472884753      83753472884753      83753472884753      83753472884753      83753472884753      83753472884753      83753472884753     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (130.663, 131.043)  (131.043, 131.203)  (131.866, 132.163)  (132.163, 132.553)  (132.553, 132.593)  (132.593, 132.673)  (132.673, 132.853)  (132.853, 133.033)  (133.033, 133.333)  (133.333, 133.523)  (133.523, 134.133)  (135.689, 135.9)    (135.9, 135.988)    (135.988, 136.178)  (136.178, 136.279) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġparticular         Ġwas                Ġreal               Ġwarm               Ġuh                 Ġit                 Ġdidn               't                  Ġhardly             Ġget                Ġcold               Ġnot                Ġto                 Ġwear               Ġa                 
Timings          : (130.663, 131.043)  (131.043, 131.203)  (131.866, 132.163)  (132.163, 132.553)  (132.553, 132.593)  (132.593, 132.673)  (132.673, 132.853)  (132.853, 133.033)  (133.033, 133.333)  (133.333, 133.523)  (133.523, 134.133)  (135.689, 135.9)    (135.9, 135.988)    (135.988, 136.178)  (136.178, 136.279) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83753472884753      83753472884753      83753472884753      83753472884753      83753472884753      83753472884753      83753472884753      83753472884753      83753472884753      83753472884753      83753472884753      83753472884753      83753472884753      83753472884753      83753472884753     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġreally             Ġhow                Ġhow                Ġcold               Ġdid                Ġit                 Ġget                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (136.279, 136.598)  (136.598, 137.073)  (137.857, 138.426)  (138.96, 139.306)   (139.882, 140.029)  (140.029, 140.297)  (140.297, 140.407)  (140.407, 140.507)  (140.507, 140.715)  (-1.0, -1.0)        (143.191, 143.348)  (143.348, 143.449)  (143.449, 143.55)   (143.55, 143.63)    (143.63, 143.72)   
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   83752936013842      83752936013842      83752936013842      83752936013842      83752936013842      83752936013842      83752936013842      83752936013842      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : Ġcoat               Ġalmost             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġuh                 Ġi                  Ġdon                't                  Ġwe                 Ġdidn              
Timings          : (136.279, 136.598)  (136.598, 137.073)  (-1.0, -1.0)        (138.96, 139.306)   (139.882, 140.029)  (140.029, 140.297)  (140.297, 140.407)  (140.407, 140.507)  (140.507, 140.715)  (142.53, 143.191)   (143.191, 143.348)  (143.348, 143.449)  (143.449, 143.55)   (143.55, 143.63)    (143.63, 143.72)   
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83753472884753      83753472884753      83753472884753      0                   0                   0                   0                   0                   0                   83753472884755      83753472884755      83753472884755      83753472884755      83753472884755      83753472884755     
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġuh                 <eot>              
Timings          : (143.72, 143.811)   (143.811, 143.99)   (143.99, 144.16)    (144.16, 144.252)   (144.414, 144.82)   (144.82, 144.86)    (144.86, 144.975)   (144.975, 145.09)   (145.09, 145.46)    (145.46, 145.66)    (145.66, 145.929)   (147.05, 147.206)   (147.304, 147.642)  (148.932, 149.261)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83752936013844      83752936013844     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : 't                  Ġeven               Ġhave               Ġa                  Ġfreeze             Ġi                  Ġdon                't                  Ġbelieve            Ġgot                Ġdown               Ġabout              Ġthirty             <eot>               Ġbelow             
Timings          : (143.72, 143.811)   (143.811, 143.99)   (143.99, 144.16)    (144.16, 144.252)   (144.414, 144.82)   (144.82, 144.86)    (144.86, 144.975)   (144.975, 145.09)   (145.09, 145.46)    (145.46, 145.66)    (145.66, 145.929)   (147.05, 147.206)   (147.304, 147.642)  (-1.0, -1.0)        (149.158, 149.717) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83753472884755      83753472884755      83753472884755      83753472884755      83753472884755      83753472884755      83753472884755      83753472884755      83753472884755      83753472884755      83753472884755      83753472884755      83753472884755      83753472884755      83753472884757     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (149.717, 149.855)  (149.855, 149.992)  (149.992, 150.129)  (150.129, 150.289)  (150.289, 150.599)  (150.7, 150.839)    (150.839, 151.279)  (151.279, 151.342)  (151.429, 151.639)  (151.639, 151.789)  (151.789, 151.859)  (151.859, 151.989)  (151.989, 152.355)  (153.359, 153.527)  (153.527, 153.769) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġth                 irt                 ies                 Ġis                 Ġabout              Ġthe                Ġworst              Ġit                 Ġdid                Ġthat               Ġi                  Ġcan                Ġremember           Ġnot                Ġvery              
Timings          : (149.717, 149.855)  (149.855, 149.992)  (149.992, 150.129)  (150.129, 150.289)  (150.289, 150.599)  (150.7, 150.839)    (150.839, 151.279)  (151.279, 151.342)  (151.429, 151.639)  (151.639, 151.789)  (151.789, 151.859)  (151.859, 151.989)  (151.989, 152.355)  (153.359, 153.527)  (153.527, 153.769) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83753472884757      83753472884757      83753472884757      83753472884757      83753472884757      83753472884757      83753472884757      83753472884757      83753472884757      83753472884757      83753472884757      83753472884757      83753472884757      83753472884757      83753472884757     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġyou                Ġsay                Ġyou                Ġhave               Ġto                 Ġwear               Ġa                  Ġtie                Ġor                 Ġno                 <eot>               <emp>              
Timings          : (153.769, 154.113)  (154.113, 154.182)  (154.295, 154.559)  (158.89, 159.042)   (159.042, 159.266)  (159.266, 159.406)  (159.406, 159.596)  (159.596, 159.736)  (159.736, 159.896)  (159.896, 159.946)  (159.946, 160.336)  (160.336, 160.608)  (160.705, 160.924)  (-1.0, -1.0)        (161.044, 161.134) 
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 0                   0                   0                   83752936013846      83752936013846      83752936013846      83752936013846      83752936013846      83752936013846      83752936013846      83752936013846      83752936013846      83752936013846      83752936013846      0                  
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : Ġoften              Ġat                 Ġthat               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġno                 Ġi                 
Timings          : (153.769, 154.113)  (154.113, 154.182)  (154.295, 154.559)  (-1.0, -1.0)        (159.042, 159.266)  (159.266, 159.406)  (159.406, 159.596)  (159.596, 159.736)  (159.736, 159.896)  (159.896, 159.946)  (159.946, 160.336)  (160.336, 160.608)  (160.705, 160.924)  (160.852, 161.044)  (161.044, 161.134) 
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 83753472884757      83753472884757      83753472884757      83753472884757      0                   0                   0                   0                   0                   0                   0                   0                   0                   83753472884759      83753472884759     
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġah                 Ġthat               's                  Ġgood               <eot>               Ġyeah               <ebc>               Ġguess              Ġthat               Ġcan                Ġbe                 Ġpretty            
Timings          : (161.134, 161.327)  (161.327, 161.52)   (161.52, 161.777)   (161.79, 161.958)   (161.958, 162.07)   (162.07, 162.182)   (162.182, 162.567)  (-1.0, -1.0)        (164.124, 164.558)  (-1.0, -1.0)        (167.833, 167.949)  (167.949, 168.1)    (168.1, 168.23)     (168.23, 168.309)   (168.309, 168.579) 
Token Types      : 0                   0                   0                   4                   4                   4                   4                   4                   3                   3                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   83756157239320      83756157239320      83756157239320      83756157239320      83756157239320      83755083497487      83755083497487      83752936013850      83752936013850      83752936013850      83752936013850      83752936013850     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġdon                't                  Ġhuh                uh                  <yield>             <emp>               <emp>               Ġfortunately        <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (161.134, 161.327)  (161.327, 161.52)   (161.52, 161.777)   (161.777, 162.034)  (-1.0, -1.0)        (162.07, 162.182)   (162.182, 162.567)  (163.027, 163.58)   (-1.0, -1.0)        (-1.0, -1.0)        (167.833, 167.949)  (167.949, 168.1)    (168.1, 168.23)     (168.23, 168.309)   (168.309, 168.579) 
Token Types      : 1                   1                   1                   1                   1                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83753472884759      83753472884759      83753472884759      83753472884759      83753472884759      0                   0                   83753472884761      83753472884761      0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġhot                Ġtoo                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwhich              Ġthing              Ġthey              
Timings          : (168.579, 168.859)  (168.949, 169.383)  (-1.0, -1.0)        (171.369, 171.454)  (171.454, 171.514)  (171.514, 171.724)  (171.724, 172.034)  (172.034, 172.296)  (173.305, 173.514)  (173.514, 173.674)  (173.674, 173.754)  (173.754, 174.262)  (177.892, 178.304)  (178.304, 178.623)  (179.854, 179.937) 
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 83752936013850      83752936013850      83752936013850      0                   0                   0                   0                   0                   0                   0                   0                   0                   83752936013852      83752936013852      83752936013852     
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : <emp>               <emp>               Ġwhat               'd                  Ġyou                Ġthink              Ġabout              Ġthat               Ġthing              Ġout                Ġin                 Ġla                 <eot>               <emp>               <emp>              
Timings          : (168.579, 168.859)  (168.949, 169.383)  (171.284, 171.369)  (171.369, 171.454)  (171.454, 171.514)  (171.514, 171.724)  (171.724, 172.034)  (172.034, 172.296)  (173.305, 173.514)  (173.514, 173.674)  (173.674, 173.754)  (173.754, 174.262)  (-1.0, -1.0)        (178.304, 178.623)  (179.854, 179.937) 
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 0                   0                   83753472884763      83753472884763      83753472884763      83753472884763      83753472884763      83753472884763      83753472884763      83753472884763      83753472884763      83753472884763      83753472884763      0                   0                  
turn_end_types   : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  


A                : 've                 Ġgot                Ġmore               Ġthan               Ġone                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 <ebc>               <emp>               <emp>              
Timings          : (179.937, 180.02)   (180.02, 180.21)    (180.21, 180.46)    (180.46, 180.62)    (180.62, 180.795)   (-1.0, -1.0)        (182.072, 182.552)  (182.552, 182.672)  (182.672, 182.962)  (182.962, 183.172)  (183.172, 183.44)   (184.186, 184.786)  (-1.0, -1.0)        (186.6, 186.815)    (186.946, 187.257) 
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   3                   3                   0                   0                  
turn_ids         : 83752936013852      83752936013852      83752936013852      83752936013852      83752936013852      83752936013852      0                   0                   0                   0                   0                   83755083497490      83755083497490      0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   1                   1                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġthat               Ġverdict            Ġthey               Ġcame               Ġup                 Ġwith               <emp>               Ġeverybody          's                  Ġtalking           
Timings          : (179.937, 180.02)   (180.02, 180.21)    (180.21, 180.46)    (180.46, 180.62)    (180.62, 180.795)   (181.817, 182.072)  (182.072, 182.552)  (182.552, 182.672)  (182.672, 182.962)  (182.962, 183.172)  (183.172, 183.44)   (184.186, 184.786)  (186.384, 186.6)    (186.6, 186.815)    (186.946, 187.257) 
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   83753472884765      83753472884765      83753472884765      83753472884765      83753472884765      83753472884765      83753472884765      83753472884765      83753472884765      83753472884765     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġreally             Ġyeah               Ġi                  Ġguess              Ġit                 's                  Ġuh                 Ġcreated            Ġquite              Ġa                  Ġstir               <eot>              
Timings          : (187.257, 187.547)  (187.547, 187.787)  (187.787, 188.076)  (188.887, 189.461)  (189.925, 190.295)  (190.295, 190.405)  (190.405, 190.685)  (190.685, 190.82)   (190.82, 190.955)   (190.955, 191.346)  (192.265, 192.595)  (192.595, 192.801)  (192.801, 192.851)  (192.851, 193.541)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   83752936013854      83752936013854      83752936013854      83752936013854      83752936013854      83752936013854      83752936013854      83752936013854      83752936013854      83752936013854      83752936013854      83752936013854     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġabout              Ġthat               Ġhere               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġy                 
Timings          : (187.257, 187.547)  (187.547, 187.787)  (187.787, 188.076)  (-1.0, -1.0)        (189.925, 190.295)  (190.295, 190.405)  (190.405, 190.685)  (190.685, 190.82)   (190.82, 190.955)   (190.955, 191.346)  (192.265, 192.595)  (192.595, 192.801)  (192.801, 192.851)  (192.851, 193.541)  (195.173, 195.335) 
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
turn_ids         : 83753472884765      83753472884765      83753472884765      83753472884765      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83753472884767     
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : <emp>               Ġriot               ing                 Ġand                Ġstuff              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (195.335, 195.496)  (196.122, 196.448)  (196.448, 196.774)  (196.774, 196.936)  (196.936, 197.449)  (-1.0, -1.0)        (199.001, 199.088)  (199.088, 199.237)  (199.237, 199.342)  (199.342, 199.447)  (199.447, 199.837)  (199.837, 200.09)   (201.23, 201.673)   (201.673, 201.97)   (201.97, 202.21)   
Token Types      : 0                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   83752936013856      83752936013856      83752936013856      83752936013856      83752936013856      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : ep                  <eot>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġhear               Ġthere              's                  Ġsome               Ġuh                 Ġsmaller            Ġamount             Ġgoing             
