A                : so                  <eot>               <emp>               <emp>               <emp>               Ġuh                 Ġi                  Ġcan                Ġstart              Ġthe                Ġnotion             Ġof                 Ġa                  Ġum                 Ġof                
Timings          : (80.108, 80.92)     (81.294, 82.226)    (82.226, 82.431)    (82.431, 82.988)    (82.988, 83.271)    (83.73, 83.911)     (83.911, 84.108)    (84.108, 84.358)    (84.358, 84.903)    (85.235, 85.418)    (85.418, 85.858)    (85.858, 86.038)    (86.038, 86.884)    (87.373, 87.748)    (87.748, 87.878)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġincentive          Ġwhatsoever         Ġand                Ġreally             Ġyou                Ġin                 Ġin                 Ġany                Ġgroup              Ġthat               Ġdepends            Ġon                 Ġvolunteers         Ġsay                Ġuh                
Timings          : (80.108, 80.92)     (81.294, 82.226)    (82.226, 82.431)    (82.431, 82.988)    (82.988, 83.271)    (83.73, 83.911)     (83.911, 84.108)    (84.108, 84.358)    (84.358, 84.903)    (85.235, 85.418)    (85.418, 85.858)    (85.858, 86.038)    (86.038, 86.884)    (87.373, 87.748)    (87.748, 87.878)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (87.878, 87.938)    (87.938, 88.153)    (88.153, 88.368)    (88.368, 88.558)    (88.558, 88.898)    (88.898, 88.998)    (88.998, 89.456)    (89.896, 90.168)    (90.327, 90.57)     (90.57, 90.81)      (90.81, 90.96)      (90.96, 91.35)      (91.35, 91.61)      (91.61, 91.76)      (91.76, 92.446)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthe                Ġameric             an                  Ġred                Ġcross              Ġand                Ġsomething          Ġuh                 Ġthose              Ġkind               Ġof                 Ġgroups             Ġyou                Ġcan                Ġactually          
Timings          : (87.878, 87.938)    (87.938, 88.153)    (88.153, 88.368)    (88.368, 88.558)    (88.558, 88.898)    (88.898, 88.998)    (88.998, 89.456)    (89.896, 90.168)    (90.327, 90.57)     (90.57, 90.81)      (90.81, 90.96)      (90.96, 91.35)      (91.35, 91.61)      (91.61, 91.76)      (91.76, 92.446)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (92.584, 92.68)     (92.68, 92.8)       (92.8, 93.18)       (93.18, 93.61)      (93.61, 93.703)     (93.703, 94.104)    (94.104, 94.505)    (94.765, 95.023)    (95.023, 95.32)     (95.32, 95.752)     (96.186, 96.37)     (96.37, 96.58)      (96.58, 96.705)     (96.705, 96.83)     (96.83, 97.08)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġyou                Ġcould              Ġactually           Ġbecome             Ġa                  Ġhind               rance               Ġto                 Ġthe                Ġgroup              Ġif                 Ġyou                Ġaren               't                  Ġreally            
Timings          : (92.584, 92.68)     (92.68, 92.8)       (92.8, 93.18)       (93.18, 93.61)      (93.61, 93.703)     (93.703, 94.104)    (94.104, 94.505)    (94.765, 95.023)    (95.023, 95.32)     (95.32, 95.752)     (96.186, 96.37)     (96.37, 96.58)      (96.58, 96.705)     (96.705, 96.83)     (96.83, 97.08)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               in                  Ġwhat               Ġyou                're                 Ġdoing              <eint>              <emp>               <emp>               Ġyeah               Ġyeah               Ġit                
Timings          : (97.08, 97.63)      (97.63, 97.78)      (97.78, 97.86)      (97.86, 97.94)      (98.16, 98.303)     (98.303, 98.493)    (98.493, 98.563)    (98.563, 98.633)    (98.633, 98.999)    (-1.0, -1.0)        (99.49, 99.78)      (99.78, 100.062)    (100.753, 101.252)  (101.522, 101.895)  (101.895, 102.055) 
Token Types      : 0                   0                   0                   0                   5                   5                   5                   5                   5                   5                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   80785113612290      80785113612290      80785113612290      80785113612290      80785113612290      80785113612290      0                   0                   80780818644996      80780818644996      80780818644996     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                   1                  

B                : Ġinterested         Ġand                Ġyou                're                 Ġjust               Ġthere              <emp>               <emp>               Ġbecause            Ġyou                Ġhave               Ġto                 <yield>             <emp>               <emp>              
Timings          : (97.08, 97.63)      (97.63, 97.78)      (97.78, 97.86)      (97.86, 97.94)      (97.94, 98.25)      (98.25, 98.611)     (98.493, 98.563)    (98.563, 98.633)    (98.611, 99.39)     (99.39, 99.49)      (99.49, 99.78)      (99.78, 100.062)    (-1.0, -1.0)        (101.522, 101.895)  (101.895, 102.055) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  


A                : Ġit                 Ġi                  Ġdon                't                  Ġknow               Ġon                 Ġthe                Ġother              Ġhand               Ġthere              Ġare                Ġother              Ġcountries          Ġlike               Ġsw                
Timings          : (102.564, 102.829)  (104.349, 104.505)  (104.505, 104.577)  (104.577, 104.649)  (104.649, 104.758)  (104.758, 104.878)  (104.878, 104.958)  (104.958, 105.088)  (105.088, 105.498)  (105.498, 105.628)  (105.628, 105.688)  (105.688, 105.858)  (105.858, 106.578)  (106.578, 106.788)  (106.788, 107.308) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (102.564, 102.829)  (104.349, 104.505)  (104.505, 104.577)  (104.577, 104.649)  (104.649, 104.758)  (104.758, 104.878)  (104.878, 104.958)  (104.958, 105.088)  (105.088, 105.498)  (105.498, 105.628)  (105.628, 105.688)  (105.688, 105.858)  (105.858, 106.578)  (106.578, 106.788)  (106.788, 107.308) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : itzerland           Ġand                Ġis                 rael                Ġand                Ġfr                 ance                Ġthat               Ġhave               Ġuniversal          Ġservice            <emp>               <emp>               Ġuh                 Ġyou               
Timings          : (107.308, 107.828)  (107.828, 108.018)  (108.018, 108.502)  (108.502, 108.986)  (108.986, 109.911)  (110.718, 111.244)  (111.244, 111.77)   (112.145, 112.348)  (112.348, 112.668)  (112.668, 113.248)  (113.248, 113.891)  (114.048, 114.234)  (114.234, 114.421)  (115.077, 116.179)  (116.528, 116.651) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>              
Timings          : (107.308, 107.828)  (107.828, 108.018)  (108.018, 108.502)  (108.502, 108.986)  (108.986, 109.911)  (110.718, 111.244)  (111.244, 111.77)   (112.145, 112.348)  (112.348, 112.668)  (112.668, 113.248)  (113.248, 113.891)  (114.048, 114.234)  (114.234, 114.421)  (-1.0, -1.0)        (116.528, 116.651) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80783502999554      80783502999554      80783502999554      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                  


A                : Ġknow               Ġwhich              Ġare                Ġdemocracies        Ġuh                 Ġi                  Ġdon                't                  Ġknow               Ġabout              Ġfr                 ance                Ġi                  Ġknow               Ġthat              
Timings          : (116.651, 116.831)  (116.831, 117.041)  (117.041, 117.251)  (117.251, 118.221)  (119.217, 120.167)  (121.056, 121.23)   (121.23, 121.31)    (121.31, 121.39)    (121.39, 121.57)    (121.57, 121.88)    (121.88, 122.255)   (122.255, 122.63)   (122.63, 122.72)    (122.72, 122.92)    (122.92, 123.07)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (116.651, 116.831)  (116.831, 117.041)  (117.041, 117.251)  (117.251, 118.221)  (119.217, 120.167)  (121.056, 121.23)   (121.23, 121.31)    (121.31, 121.39)    (121.39, 121.57)    (121.57, 121.88)    (121.88, 122.255)   (122.255, 122.63)   (122.63, 122.72)    (122.72, 122.92)    (122.92, 123.07)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġsw                 itzerland           Ġand                Ġis                 rael                Ġthough             Ġare                Ġsomewhat           Ġmore               Ġhom                ogeneous            Ġhom                ogeneous            <eot>               <emp>              
Timings          : (123.07, 123.39)    (123.39, 123.71)    (123.71, 124.0)     (124.0, 124.18)     (124.18, 124.36)    (124.36, 124.91)    (124.91, 125.06)    (125.06, 125.38)    (125.38, 125.62)    (125.62, 125.738)   (125.738, 125.856)  (125.856, 126.409)  (126.409, 126.961)  (-1.0, -1.0)        (127.392, 127.681) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      80780818644996      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġyeah              
Timings          : (123.07, 123.39)    (123.39, 123.71)    (123.71, 124.0)     (124.0, 124.18)     (124.18, 124.36)    (124.36, 124.91)    (124.91, 125.06)    (125.06, 125.38)    (125.38, 125.62)    (125.62, 125.738)   (125.738, 125.856)  (125.856, 126.409)  (126.409, 126.961)  (127.174, 127.392)  (127.392, 127.681) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80781355515909      80781355515909     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (127.681, 128.191)  (128.191, 128.291)  (128.291, 128.491)  (128.491, 128.691)  (128.691, 128.891)  (128.891, 129.133)  (129.133, 129.721)  (129.721, 129.821)  (129.821, 130.071)  (130.071, 130.321)  (130.321, 130.441)  (130.441, 130.561)  (130.561, 130.621)  (130.621, 131.305)  (131.418, 131.491) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġcertainly          Ġi                  Ġmean               Ġthere              's                  Ġespecially         Ġespecially         Ġin                 Ġis                 rael                Ġthere              's                  Ġa                  Ġparticular         Ġthe               
Timings          : (127.681, 128.191)  (128.191, 128.291)  (128.291, 128.491)  (128.491, 128.691)  (128.691, 128.891)  (128.891, 129.133)  (129.133, 129.721)  (129.721, 129.821)  (129.821, 130.071)  (130.071, 130.321)  (130.321, 130.441)  (130.441, 130.561)  (130.561, 130.621)  (130.621, 131.305)  (131.418, 131.491) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (131.491, 131.961)  (131.961, 132.131)  (132.131, 132.293)  (132.293, 132.441)  (132.441, 132.521)  (132.521, 132.601)  (132.601, 133.091)  (133.091, 133.661)  (133.661, 133.851)  (133.851, 134.002)  (134.002, 134.154)  (134.154, 134.381)  (134.381, 134.491)  (134.491, 135.194)  (135.815, 135.938) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġcause              Ġfor                Ġthe                Ġgood               Ġof                 Ġthe                Ġnation             Ġespecially         Ġwhen               Ġit                 's                  Ġon                 Ġthe                Ġdefensive          Ġand               
Timings          : (131.491, 131.961)  (131.961, 132.131)  (132.131, 132.293)  (132.293, 132.441)  (132.441, 132.521)  (132.521, 132.601)  (132.601, 133.091)  (133.091, 133.661)  (133.661, 133.851)  (133.851, 134.002)  (134.002, 134.154)  (134.154, 134.381)  (134.381, 134.491)  (134.491, 135.194)  (135.815, 135.938) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               yeah                <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (135.938, 136.038)  (136.038, 136.692)  (137.049, 137.432)  (-1.0, -1.0)        (138.298, 138.698)  (138.698, 138.818)  (138.818, 139.108)  (139.108, 139.288)  (139.288, 139.418)  (139.418, 139.488)  (139.488, 139.678)  (139.678, 139.748)  (139.748, 139.808)  (139.808, 140.33)   (140.919, 141.068) 
Token Types      : 0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   80782966128643      80782966128643      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthe                Ġregion             Ġreally             Ġinspires           Ġpeople             Ġto                 Ġhelp               Ġout                Ġfor                Ġthe                Ġgood               Ġof                 Ġthe                Ġcountry            Ġbut               
Timings          : (135.938, 136.038)  (136.038, 136.692)  (136.88, 137.488)   (137.488, 138.298)  (138.298, 138.698)  (138.698, 138.818)  (138.818, 139.108)  (139.108, 139.288)  (139.288, 139.418)  (139.418, 139.488)  (139.488, 139.678)  (139.678, 139.748)  (139.748, 139.808)  (139.808, 140.33)   (140.919, 141.068) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909      80781355515909     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġwell               Ġbut                Ġthey               Ġstill              Ġhave               Ġa                  Ġuniversal          Ġwell               Ġuh                 Ġclose              Ġto                 Ġuniversal          Ġdraft              <emp>               <emp>              
Timings          : (141.122, 141.361)  (141.361, 141.52)   (141.52, 141.671)   (141.671, 142.01)   (142.01, 142.581)   (142.581, 142.671)  (142.671, 143.4)    (143.4, 143.661)    (143.661, 143.73)   (143.73, 144.1)     (144.1, 144.201)    (144.201, 144.77)   (144.77, 145.233)   (145.288, 145.435)  (145.435, 145.583) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470      80784039870470     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġwe                 Ġhave               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                
Timings          : (141.068, 141.219)  (141.219, 141.461)  (-1.0, -1.0)        (141.671, 142.01)   (142.01, 142.581)   (142.581, 142.671)  (142.671, 143.4)    (143.4, 143.661)    (143.661, 143.73)   (143.73, 144.1)     (144.1, 144.201)    (144.201, 144.77)   (144.77, 145.233)   (145.288, 145.435)  (145.435, 145.583) 
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 80781355515909      80781355515909      80781355515909      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80783502999556      80783502999556     
