A                : well                Ġthe                Ġso                 v                   iet                 Ġunion              Ġuh                 Ġnow                Ġreally             Ġcalled             Ġthe                Ġcommon             wealth              Ġof                 Ġindependent       
Timings          : (67.876, 68.006)    (68.006, 68.066)    (68.066, 68.456)    (68.456, 68.576)    (68.576, 68.706)    (68.706, 69.076)    (69.076, 69.86)     (69.86, 70.067)     (70.067, 70.466)    (70.466, 70.686)    (70.686, 70.866)    (70.866, 71.056)    (71.056, 71.572)    (71.749, 71.906)    (71.906, 72.256)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġweapons            Ġum                 Ġbut                Ġi                  Ġguess              Ġthat               Ġthat               's                  Ġwouldn             't                  Ġnecessarily        Ġhold               Ġuh                 Ġfor                Ġsome              
Timings          : (72.256, 72.741)    (73.124, 73.449)    (73.449, 73.571)    (73.571, 73.661)    (73.661, 73.941)    (73.941, 74.091)    (74.091, 74.296)    (74.296, 74.501)    (75.326, 75.408)    (75.408, 75.491)    (75.491, 75.931)    (75.931, 76.531)    (76.531, 76.751)    (76.751, 76.971)    (76.971, 77.141)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83735756144642      83735756144642      83735756144642      83735756144642      83735756144642      83735756144642      83735756144642      83735756144642      83735756144642      83735756144642      83735756144642      83735756144642      83735756144642      83735756144642      83735756144642     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (72.256, 72.741)    (73.124, 73.449)    (73.449, 73.571)    (73.571, 73.661)    (73.661, 73.941)    (73.941, 74.091)    (74.091, 74.296)    (74.296, 74.501)    (75.326, 75.408)    (75.408, 75.491)    (75.491, 75.931)    (75.931, 76.531)    (76.531, 76.751)    (76.751, 76.971)    (76.971, 77.141)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġradical            Ġgovernment         Ġor                 Ġtemporary          Ġtake               Ġover               Ġeven               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (77.141, 77.693)    (78.066, 78.751)    (78.751, 79.26)     (79.629, 80.289)    (80.511, 80.691)    (80.691, 81.046)    (81.046, 81.269)    (-1.0, -1.0)        (82.155, 82.241)    (82.241, 82.521)    (82.521, 82.641)    (82.641, 83.391)    (83.391, 83.951)    (83.951, 84.449)    (85.018, 85.411)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83735756144642      83735756144642      83735756144642      83735756144642      83735756144642      83735756144642      83735756144642      83735756144642      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġi                  Ġwork               Ġin                 Ġinternational      Ġradio              Ġum                 Ġand               
Timings          : (77.141, 77.693)    (78.066, 78.751)    (78.751, 79.26)     (79.629, 80.289)    (80.511, 80.691)    (80.691, 81.046)    (81.046, 81.269)    (82.057, 82.155)    (82.155, 82.241)    (82.241, 82.521)    (82.521, 82.641)    (82.641, 83.391)    (83.391, 83.951)    (83.951, 84.449)    (85.018, 85.411)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (85.411, 85.471)    (85.471, 85.671)    (85.671, 85.741)    (85.741, 85.801)    (85.801, 86.151)    (86.151, 86.261)    (86.261, 86.336)    (86.336, 86.411)    (86.411, 86.921)    (86.921, 87.131)    (87.496, 87.661)    (87.661, 87.851)    (87.851, 88.131)    (88.131, 88.491)    (88.491, 88.851)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 Ġone                Ġof                 Ġthe                Ġgroups             Ġthat               Ġwe                 're                 Ġworking            Ġwith               Ġhas                Ġbeen               Ġradio              Ġeuro               van                
Timings          : (85.411, 85.471)    (85.471, 85.671)    (85.671, 85.741)    (85.741, 85.801)    (85.801, 86.151)    (86.151, 86.261)    (86.261, 86.336)    (86.336, 86.411)    (86.411, 86.921)    (86.921, 87.131)    (87.496, 87.661)    (87.661, 87.851)    (87.851, 88.131)    (88.131, 88.491)    (88.491, 88.851)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (88.851, 89.061)    (89.061, 89.191)    (89.191, 89.301)    (89.301, 89.525)    (89.525, 89.749)    (89.749, 89.974)    (90.953, 91.412)    (92.027, 92.13)     (92.13, 92.328)     (92.328, 92.547)    (92.547, 92.77)     (92.77, 92.85)      (92.85, 93.39)      (93.39, 93.495)     (93.495, 93.6)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwhich              Ġis                 Ġin                 Ġarm                en                  ia                  Ġand                Ġi                  Ġyou                Ġknow               Ġin                 Ġa                  Ġsense              Ġyou                'd                 
Timings          : (88.851, 89.061)    (89.061, 89.191)    (89.191, 89.301)    (89.301, 89.525)    (89.525, 89.749)    (89.749, 89.974)    (90.953, 91.412)    (92.027, 92.13)     (92.13, 92.328)     (92.328, 92.547)    (92.547, 92.77)     (92.77, 92.85)      (92.85, 93.39)      (93.39, 93.495)     (93.495, 93.6)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (93.6, 94.01)       (94.01, 94.266)     (94.266, 94.496)    (94.496, 94.64)     (94.64, 94.86)      (94.86, 94.92)      (94.92, 95.19)      (95.19, 95.46)      (95.46, 95.52)      (95.52, 95.59)      (95.59, 95.945)     (95.945, 96.3)      (96.3, 96.44)       (96.44, 96.6)       (96.6, 96.84)      
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthink              Ġbeing              Ġa                  Ġyou                Ġknow               Ġan                 Ġameric             an                  Ġor                 Ġa                  Ġwestern            er                  Ġit                 Ġwould              Ġmake              
Timings          : (93.6, 94.01)       (94.01, 94.266)     (94.266, 94.496)    (94.496, 94.64)     (94.64, 94.86)      (94.86, 94.92)      (94.92, 95.19)      (95.19, 95.46)      (95.46, 95.52)      (95.52, 95.59)      (95.59, 95.945)     (95.945, 96.3)      (96.3, 96.44)       (96.44, 96.6)       (96.6, 96.84)      
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (96.84, 97.32)      (97.32, 97.549)     (97.549, 97.77)     (97.77, 97.95)      (97.95, 98.13)      (98.13, 98.41)      (98.41, 98.75)      (98.75, 99.23)      (99.23, 99.571)     (100.011, 100.13)   (100.13, 100.3)     (100.3, 100.65)     (100.65, 100.781)   (100.781, 100.911)  (100.911, 101.408) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsense              Ġthat               Ġwe                 Ġthere              Ġis                 Ġno                 Ġreal               Ġgreat              Ġthreat             Ġthat               Ġthese              Ġpeople             Ġaren               't                  Ġnuts              
Timings          : (96.84, 97.32)      (97.32, 97.549)     (97.549, 97.77)     (97.77, 97.95)      (97.95, 98.13)      (98.13, 98.41)      (98.41, 98.75)      (98.75, 99.23)      (99.23, 99.571)     (100.011, 100.13)   (100.13, 100.3)     (100.3, 100.65)     (100.65, 100.781)   (100.781, 100.911)  (100.911, 101.408) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (101.831, 101.943)  (101.943, 102.131)  (102.131, 102.641)  (102.641, 102.721)  (102.721, 102.8)    (102.8, 102.947)    (102.947, 103.096)  (103.096, 103.29)   (103.29, 103.485)   (103.485, 103.679)  (103.679, 103.871)  (103.871, 103.981)  (103.981, 104.191)  (104.191, 104.461)  (104.461, 104.631) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbut                Ġyou                Ġlisten             Ġto                 Ġthe                Ġwhat               Ġthe                Ġarm                en                  ians                Ġhave               Ġto                 Ġsay                Ġabout              Ġtheir             
Timings          : (101.831, 101.943)  (101.943, 102.131)  (102.131, 102.641)  (102.641, 102.721)  (102.721, 102.8)    (102.8, 102.947)    (102.947, 103.096)  (103.096, 103.29)   (103.29, 103.485)   (103.485, 103.679)  (103.679, 103.871)  (103.871, 103.981)  (103.981, 104.191)  (104.191, 104.461)  (104.461, 104.631) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (104.631, 105.125)  (105.125, 105.28)   (105.28, 105.472)   (105.472, 105.665)  (105.665, 105.858)  (105.858, 106.05)   (106.05, 106.243)   (106.243, 106.436)  (106.367, 106.742)  (-1.0, -1.0)        (106.881, 107.062)  (107.062, 107.601)  (107.601, 107.701)  (107.701, 107.781)  (107.781, 108.461) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   83737903628291      83737903628291      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                  

B                : Ġneighbors          Ġthe                Ġa                  zer                 b                   ai                  jan                 is                  <emp>               Ġand                Ġthey               Ġlaunch             Ġin                 Ġa                  Ġsecond            
Timings          : (104.631, 105.125)  (105.125, 105.28)   (105.28, 105.472)   (105.472, 105.665)  (105.665, 105.858)  (105.858, 106.05)   (106.05, 106.243)   (106.243, 106.436)  (106.367, 106.742)  (106.688, 106.881)  (106.881, 107.062)  (107.062, 107.601)  (107.601, 107.701)  (107.701, 107.781)  (107.781, 108.461) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (108.461, 108.601)  (108.601, 108.771)  (108.771, 108.951)  (108.951, 109.011)  (109.011, 109.381)  (109.381, 109.511)  (109.511, 109.771)  (109.771, 110.371)  (111.279, 111.451)  (111.451, 111.709)  (111.709, 111.838)  (111.838, 112.318)  (112.318, 112.688)  (112.688, 112.928)  (112.928, 113.518) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġif                 Ġthey               Ġhad                Ġan                 Ġaccess             Ġto                 Ġthose              Ġweapons            Ġthere              Ġis                 Ġa                  Ġgreat              Ġdeal               Ġof                 Ġreligious         
Timings          : (108.461, 108.601)  (108.601, 108.771)  (108.771, 108.951)  (108.951, 109.011)  (109.011, 109.381)  (109.381, 109.511)  (109.511, 109.771)  (109.771, 110.371)  (111.279, 111.451)  (111.451, 111.709)  (111.709, 111.838)  (111.838, 112.318)  (112.318, 112.688)  (112.688, 112.928)  (112.928, 113.518) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (113.518, 113.958)  (113.958, 114.108)  (114.108, 114.296)  (114.767, 115.028)  (115.028, 115.088)  (115.088, 115.148)  (115.148, 115.438)  (115.438, 115.598)  (115.598, 115.778)  (115.778, 115.878)  (115.878, 116.208)  (116.208, 116.338)  (116.338, 116.578)  (116.578, 116.918)  (116.918, 117.078) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġhatred             Ġin                 Ġthat               Ġpart               Ġof                 Ġthe                Ġworld              Ġand                Ġthis               Ġis                 Ġstuff              Ġthat               Ġgoes               Ġback               Ġto                
Timings          : (113.518, 113.958)  (113.958, 114.108)  (114.108, 114.296)  (114.767, 115.028)  (115.028, 115.088)  (115.088, 115.148)  (115.148, 115.438)  (115.438, 115.598)  (115.598, 115.778)  (115.778, 115.878)  (115.878, 116.208)  (116.208, 116.338)  (116.338, 116.578)  (116.578, 116.918)  (116.918, 117.078) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (117.078, 117.188)  (117.188, 117.538)  (117.538, 117.658)  (117.658, 118.288)  (118.288, 118.52)   (118.536, 118.807)  (119.178, 119.379)  (-1.0, -1.0)        (119.548, 119.703)  (119.703, 119.993)  (119.993, 120.033)  (120.033, 120.253)  (120.253, 120.533)  (120.533, 120.853)  (120.853, 121.205) 
Token Types      : 0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   83737903628292      83737903628292      83737903628292      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthe                Ġdays               Ġof                 Ġchrist             Ġi                  Ġmean               <emp>               Ġthis               Ġis                 Ġnot                Ġa                  Ġtwo                Ġhundred            Ġyear               Ġor                
Timings          : (117.078, 117.188)  (117.188, 117.538)  (117.538, 117.658)  (117.658, 118.288)  (118.288, 118.52)   (118.52, 118.831)   (119.178, 119.379)  (119.404, 119.548)  (119.548, 119.703)  (119.703, 119.993)  (119.993, 120.033)  (120.033, 120.253)  (120.253, 120.533)  (120.533, 120.853)  (120.853, 121.205) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555      83736293015555     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (121.593, 121.753)  (121.753, 121.813)  (121.813, 122.243)  (122.243, 122.713)  (122.713, 122.953)  (122.953, 123.903)  (123.903, 124.103)  (124.103, 124.393)  (124.393, 124.703)  (124.703, 125.653)  (125.653, 126.016)  (126.177, 126.268)  (126.268, 126.493)  (126.493, 126.583)  (126.723, 127.307) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
