A                : budget              ing                 Ġactivity           Ġin                 Ġour                Ġhousehold          Ġi                  Ġhas                Ġis                 Ġuh                 Ġuh                 Ġkind               Ġof                 Ġan                 Ġinformal          
Timings          : (69.945, 70.03)     (70.03, 70.136)     (70.136, 70.243)    (70.243, 70.443)    (70.443, 70.533)    (70.533, 70.713)    (70.713, 70.763)    (70.763, 70.898)    (70.898, 71.033)    (71.033, 71.243)    (71.243, 71.313)    (71.313, 71.613)    (71.613, 71.903)    (71.903, 72.01)     (72.01, 72.154)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (72.154, 72.373)    (72.373, 72.493)    (72.493, 72.778)    (73.653, 73.921)    (73.921, 74.041)    (74.041, 74.181)    (74.181, 74.451)    (74.451, 74.551)    (74.551, 74.611)    (74.611, 74.802)    (74.802, 75.156)    (75.156, 75.481)    (75.481, 75.611)    (75.611, 75.861)    (75.861, 76.011)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġput                Ġthem               Ġaway               Ġbecause            Ġthere              Ġwas                Ġone                Ġthat               Ġit                 Ġwas                Ġreally             Ġhandy              Ġto                 Ġhave               Ġif                
Timings          : (72.154, 72.373)    (72.373, 72.493)    (72.493, 72.778)    (73.653, 73.921)    (73.921, 74.041)    (74.041, 74.181)    (74.181, 74.451)    (74.451, 74.551)    (74.551, 74.611)    (74.611, 74.802)    (74.802, 75.156)    (75.156, 75.481)    (75.481, 75.611)    (75.611, 75.861)    (75.861, 76.011)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>              
Timings          : (76.011, 76.162)    (76.162, 76.754)    (76.754, 76.981)    (76.981, 77.061)    (77.061, 77.201)    (77.201, 77.531)    (77.531, 77.591)    (77.591, 77.761)    (77.761, 77.941)    (77.941, 78.191)    (78.191, 78.358)    (78.621, 78.773)    (78.773, 78.925)    (-1.0, -1.0)        (79.235, 79.465)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83634824413186      83634824413186      83634824413186      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                  

B                : Ġi                  Ġabsolutely         Ġhad                Ġto                 Ġhave               Ġsomething          Ġi                  Ġcould              Ġgo                 Ġuse                Ġit                 <emp>               <emp>               Ġbut                Ġuh                
Timings          : (76.011, 76.162)    (76.162, 76.754)    (76.754, 76.981)    (76.981, 77.061)    (77.061, 77.201)    (77.201, 77.531)    (77.531, 77.591)    (77.591, 77.761)    (77.761, 77.941)    (77.941, 78.191)    (78.191, 78.358)    (78.621, 78.773)    (78.773, 78.925)    (78.955, 79.235)    (79.235, 79.465)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (79.465, 79.905)    (79.905, 80.085)    (80.085, 80.255)    (80.255, 80.604)    (80.604, 81.108)    (81.877, 82.135)    (82.135, 82.303)    (82.303, 82.554)    (83.116, 83.182)    (83.182, 83.265)    (83.265, 83.355)    (83.355, 83.48)     (83.48, 83.605)     (83.605, 83.775)    (83.775, 83.875)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġmostly             Ġwe                 Ġjust               Ġspent              Ġcash               Ġwhatever           Ġwe                 Ġhad                Ġand                Ġif                 Ġwe                 Ġdidn               't                  Ġhave               Ġit                
Timings          : (79.465, 79.905)    (79.905, 80.085)    (80.085, 80.255)    (80.255, 80.604)    (80.604, 81.108)    (81.877, 82.135)    (82.135, 82.303)    (82.303, 82.554)    (83.116, 83.182)    (83.182, 83.265)    (83.265, 83.355)    (83.355, 83.48)     (83.48, 83.605)     (83.605, 83.775)    (83.775, 83.875)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (83.875, 83.975)    (83.975, 84.385)    (84.385, 84.515)    (84.515, 84.645)    (84.645, 84.955)    (84.955, 85.042)    (85.784, 85.865)    (85.865, 86.104)    (86.104, 86.365)    (86.365, 86.715)    (86.715, 87.155)    (87.155, 87.235)    (87.235, 87.345)    (87.345, 87.75)     (87.75, 88.075)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwe                 Ġabsolutely         Ġdidn               't                  Ġspend              Ġit                 Ġbut                Ġthen               Ġas                 Ġthings             Ġimproved           Ġyou                Ġknow               Ġonce               Ġonce              
Timings          : (83.875, 83.975)    (83.975, 84.385)    (84.385, 84.515)    (84.515, 84.645)    (84.645, 84.955)    (84.955, 85.042)    (85.784, 85.865)    (85.865, 86.104)    (86.104, 86.365)    (86.365, 86.715)    (86.715, 87.155)    (87.155, 87.235)    (87.235, 87.345)    (87.345, 87.75)     (87.75, 88.075)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (88.075, 88.155)    (88.155, 88.335)    (88.335, 88.455)    (88.455, 88.575)    (88.575, 88.735)    (88.735, 89.279)    (90.279, 90.619)    (91.122, 91.194)    (91.194, 91.393)    (91.393, 91.473)    (91.473, 91.533)    (91.533, 91.993)    (91.993, 92.35)     (92.35, 92.659)     (93.83, 93.953)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġgot                Ġthem               Ġall                Ġthrough            Ġcollege            Ġuh                 Ġit                 Ġcame               Ġto                 Ġthe                Ġpoint              Ġwhere              Ġum                 Ġmy                
Timings          : (88.075, 88.155)    (88.155, 88.335)    (88.335, 88.455)    (88.455, 88.575)    (88.575, 88.735)    (88.735, 89.279)    (90.279, 90.619)    (91.122, 91.194)    (91.194, 91.393)    (91.393, 91.473)    (91.473, 91.533)    (91.533, 91.993)    (91.993, 92.35)     (92.35, 92.659)     (93.83, 93.953)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġmy                
Timings          : (93.953, 94.283)    (94.283, 94.463)    (94.463, 94.623)    (94.623, 94.723)    (94.723, 95.203)    (95.203, 95.243)    (95.243, 95.283)    (95.283, 95.443)    (95.443, 95.623)    (95.623, 95.733)    (95.733, 96.043)    (96.043, 96.203)    (96.203, 96.414)    (96.648, 96.951)    (96.951, 97.306)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83632676929540      83632676929540     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġparents            Ġcame               Ġthrough            Ġthe                Ġdepression         Ġi                  'm                  Ġnot                Ġsure               Ġhow                Ġold                Ġyou                Ġare                <eot>               <emp>              
Timings          : (93.953, 94.283)    (94.283, 94.463)    (94.463, 94.623)    (94.623, 94.723)    (94.723, 95.203)    (95.203, 95.243)    (95.243, 95.283)    (95.283, 95.443)    (95.443, 95.623)    (95.623, 95.733)    (95.733, 96.043)    (96.043, 96.203)    (96.203, 96.414)    (-1.0, -1.0)        (96.951, 97.306)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      83633213800451      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  


A                : Ġyou                Ġknow               Ġmy                 Ġmy                 Ġparents            Ġtoo                <emp>               Ġyou                Ġyou                Ġyou                Ġyou                Ġwere               Ġborn               Ġin                 Ġthe               
Timings          : (97.306, 97.421)    (97.421, 97.713)    (97.713, 98.141)    (98.141, 98.291)    (98.291, 98.741)    (98.741, 99.012)    (99.288, 99.398)    (99.382, 99.541)    (99.541, 99.754)    (99.754, 99.941)    (99.941, 100.081)   (100.081, 100.191)  (100.191, 100.451)  (100.451, 100.561)  (100.561, 100.621) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               but                 Ġmy                 <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (97.306, 97.421)    (97.421, 97.713)    (97.713, 98.141)    (98.141, 98.291)    (98.291, 98.741)    (98.741, 99.012)    (99.288, 99.398)    (99.398, 99.608)    (-1.0, -1.0)        (99.754, 99.941)    (99.941, 100.081)   (100.081, 100.191)  (100.191, 100.451)  (100.451, 100.561)  (100.561, 100.621) 
Token Types      : 0                   0                   0                   0                   0                   0                   5                   5                   5                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83637508767746      83637508767746      83637508767746      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġin                 Ġin                 Ġthe                Ġlate               Ġth                 irt                 ies                 Ġor                 Ġearly              Ġfor                ties                <emp>               <emp>               <emp>               <emp>              
Timings          : (100.621, 100.83)   (100.985, 101.774)  (101.774, 101.899)  (101.899, 102.091)  (102.091, 102.205)  (102.205, 102.318)  (102.318, 102.431)  (102.431, 102.521)  (102.521, 102.808)  (102.808, 103.005)  (103.005, 103.202)  (103.086, 103.2)    (103.2, 103.32)     (103.32, 103.416)   (103.416, 103.512) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540      83632676929540     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġlate               Ġth                 irt                 ies                 Ġyeah               Ġu                  hh                 
Timings          : (100.621, 100.83)   (100.985, 101.774)  (101.774, 101.899)  (101.899, 102.091)  (102.091, 102.205)  (102.205, 102.318)  (102.318, 102.431)  (102.431, 102.521)  (102.665, 102.859)  (102.859, 102.973)  (102.973, 103.086)  (103.086, 103.2)    (103.2, 103.32)     (103.32, 103.416)   (103.416, 103.512) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġyeah               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (103.512, 103.609)  (103.576, 103.745)  (-1.0, -1.0)        (104.49, 104.6)     (104.6, 104.84)     (104.84, 105.119)   (105.119, 105.466)  (105.466, 105.719)  (105.719, 106.009)  (106.009, 106.38)   (106.38, 106.56)    (106.56, 107.09)    (107.09, 107.189)   (107.189, 107.299)  (107.299, 107.38)  
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83632676929540      83632676929540      83632676929540      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : uh                  <emp>               Ġand                Ġuh                 Ġmy                 Ġmother             Ġhardly             Ġever               Ġspent              Ġanything           Ġon                 Ġherself            Ġor                 Ġon                 Ġthe               
Timings          : (103.512, 103.609)  (103.576, 103.745)  (104.144, 104.49)   (104.49, 104.6)     (104.6, 104.84)     (104.84, 105.119)   (105.119, 105.466)  (105.466, 105.719)  (105.719, 106.009)  (106.009, 106.38)   (106.38, 106.56)    (106.56, 107.09)    (107.09, 107.189)   (107.189, 107.299)  (107.299, 107.38)  
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (107.38, 107.821)   (108.789, 108.889)  (108.889, 108.974)  (108.974, 109.059)  (109.059, 109.269)  (109.269, 109.329)  (109.329, 109.389)  (109.389, 109.519)  (109.519, 109.579)  (109.579, 109.759)  (109.759, 110.139)  (110.139, 110.249)  (110.249, 110.379)  (110.379, 110.444)  (110.444, 110.509) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġhouse              Ġand                Ġthat               's                  Ġkind               Ġof                 Ġthe                Ġway                Ġi                  Ġwas                Ġraised             Ġand                Ġso                 Ġi                  'm                 
Timings          : (107.38, 107.821)   (108.789, 108.889)  (108.889, 108.974)  (108.974, 109.059)  (109.059, 109.269)  (109.269, 109.329)  (109.329, 109.389)  (109.389, 109.519)  (109.519, 109.579)  (109.579, 109.759)  (109.759, 110.139)  (110.139, 110.249)  (110.249, 110.379)  (110.379, 110.444)  (110.444, 110.509) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (110.509, 110.679)  (110.679, 110.729)  (110.729, 110.899)  (110.899, 111.359)  (111.359, 111.819)  (111.819, 111.959)  (111.959, 112.109)  (112.109, 112.319)  (112.559, 112.977)  (113.792, 113.919)  (113.919, 114.049)  (114.049, 114.309)  (114.309, 114.349)  (114.349, 114.669)  (114.669, 114.739) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġnot                Ġa                  Ġvery               Ġdemanding          Ġperson             Ġin                 Ġin                 Ġthat               Ġaspect             Ġso                 Ġfor                Ġquite              Ġa                  Ġperiod             Ġof                
Timings          : (110.509, 110.679)  (110.679, 110.729)  (110.729, 110.899)  (110.899, 111.359)  (111.359, 111.819)  (111.819, 111.959)  (111.959, 112.109)  (112.109, 112.319)  (112.559, 112.977)  (113.792, 113.919)  (113.919, 114.049)  (114.049, 114.309)  (114.309, 114.349)  (114.349, 114.669)  (114.669, 114.739) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925      83636435025925     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               hm                  <eint>              <emp>               <emp>               <emp>               <emp>              
Timings          : (114.739, 115.213)  (116.045, 116.149)  (116.149, 116.399)  (116.399, 116.639)  (116.639, 116.734)  (116.734, 116.829)  (116.829, 117.099)  (117.099, 117.229)  (117.229, 117.499)  (117.785, 118.001)  (-1.0, -1.0)        (118.402, 119.032)  (119.032, 119.189)  (119.189, 119.339)  (119.339, 119.601) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   83636971896836      83636971896836      0                   0                   0                   0                  
