A                : have                Ġyou                Ġever               Ġdone               Ġthis               <eot>               <emp>               <emp>               <emp>               Ġwhat               Ġdid                Ġyou                Ġdo                 <yield>             Ġunfortunately     

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>              
Timings          : (63.487, 63.607)    (63.607, 63.917)    (64.928, 65.548)    (65.548, 65.682)    (65.682, 65.821)    (65.821, 66.268)    (66.268, 66.408)    (66.408, 66.718)    (66.878, 66.978)    (66.978, 67.048)    (67.048, 67.368)    (67.368, 67.887)    (67.783, 68.043)    (68.043, 68.303)    (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82243791880198      82243791880198      82243791880198     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : 's                  Ġthe                Ġhard               Ġpart               Ġis                 Ġwas                Ġmy                 Ġson                Ġwas                Ġmissing            Ġlast               Ġweek               Ġbecause            Ġhe                 's                 
Timings          : (68.44, 68.585)     (68.585, 68.705)    (68.705, 68.955)    (68.955, 69.295)    (69.295, 69.545)    (69.545, 69.771)    (69.771, 69.973)    (69.973, 70.215)    (70.215, 70.415)    (70.415, 70.745)    (70.745, 71.125)    (71.125, 71.355)    (71.355, 71.855)    (72.736, 72.831)    (72.831, 72.926)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (68.44, 68.585)     (68.585, 68.705)    (68.705, 68.955)    (68.955, 69.295)    (69.295, 69.545)    (69.545, 69.771)    (69.771, 69.973)    (69.973, 70.215)    (70.215, 70.415)    (70.415, 70.745)    (70.745, 71.125)    (71.125, 71.355)    (71.355, 71.855)    (72.736, 72.831)    (72.831, 72.926)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġteacher            Ġand                Ġhe                 Ġhad                Ġthings             Ġhe                 Ġhad                Ġto                 Ġdo                 Ġand                Ġhe                 Ġcouldn             't                  Ġjust              
Timings          : (72.926, 72.996)    (72.996, 73.446)    (73.446, 73.646)    (73.646, 73.756)    (73.756, 74.036)    (74.036, 74.266)    (74.266, 74.406)    (74.406, 74.596)    (74.596, 74.676)    (74.676, 74.986)    (74.986, 75.146)    (75.146, 75.226)    (75.226, 75.396)    (75.396, 75.566)    (75.566, 75.926)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (72.926, 72.996)    (72.996, 73.446)    (73.446, 73.646)    (73.646, 73.756)    (73.756, 74.036)    (74.036, 74.266)    (74.266, 74.406)    (74.406, 74.596)    (74.596, 74.676)    (74.676, 74.986)    (74.986, 75.146)    (75.146, 75.226)    (75.226, 75.396)    (75.396, 75.566)    (75.566, 75.926)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġleave              Ġbut                Ġuh                 Ġit                 's                  Ġreally             Ġhard               Ġto                 Ġget                Ġeveryone           Ġtogether           Ġbut                Ġwe                 Ġdon                't                 
Timings          : (75.926, 76.246)    (76.366, 76.636)    (77.3, 77.52)       (77.6, 77.73)       (77.73, 77.86)      (77.86, 78.13)      (78.13, 78.36)      (78.36, 78.46)      (78.46, 78.63)      (78.74, 79.2)       (79.2, 79.71)       (80.205, 80.376)    (80.376, 80.506)    (80.506, 80.656)    (80.656, 80.805)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (75.926, 76.246)    (76.366, 76.636)    (77.3, 77.52)       (77.6, 77.73)       (77.73, 77.86)      (77.86, 78.13)      (78.13, 78.36)      (78.36, 78.46)      (78.46, 78.63)      (78.74, 79.2)       (79.2, 79.71)       (80.205, 80.376)    (80.376, 80.506)    (80.506, 80.656)    (80.656, 80.805)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhave               Ġlots               Ġof                 Ġa                  unts                Ġand                Ġun                 cles                Ġand                Ġthings             Ġlike               Ġthat               Ġto                 Ġconsider           <eot>              
Timings          : (80.805, 81.116)    (81.116, 81.535)    (81.535, 81.906)    (83.029, 83.264)    (83.264, 83.499)    (83.499, 83.679)    (83.679, 83.904)    (83.904, 84.129)    (84.129, 84.299)    (84.299, 84.559)    (84.559, 84.769)    (84.829, 85.169)    (86.022, 86.172)    (86.172, 86.782)    (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah              
Timings          : (80.805, 81.116)    (81.116, 81.535)    (81.535, 81.906)    (83.029, 83.264)    (83.264, 83.499)    (83.499, 83.679)    (83.679, 83.904)    (83.904, 84.129)    (84.129, 84.299)    (84.299, 84.559)    (84.559, 84.769)    (84.829, 85.169)    (86.022, 86.172)    (86.172, 86.782)    (87.356, 87.666)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82241644396551     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (87.666, 87.943)    (88.124, 88.446)    (88.856, 88.936)    (88.936, 88.996)    (88.996, 89.226)    (89.226, 89.326)    (89.326, 89.516)    (89.516, 89.896)    (89.896, 90.016)    (90.016, 90.186)    (90.186, 90.386)    (90.386, 90.526)    (90.526, 90.686)    (90.686, 90.846)    (90.846, 91.356)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġour                Ġum                 Ġuh                 Ġthe                Ġones               Ġi                  Ġwas                Ġinvolved           Ġin                 Ġwas                Ġwith               Ġmy                 Ġwife               's                  Ġfamily            
Timings          : (87.666, 87.943)    (88.124, 88.446)    (88.856, 88.936)    (88.936, 88.996)    (88.996, 89.226)    (89.226, 89.326)    (89.326, 89.516)    (89.516, 89.896)    (89.896, 90.016)    (90.016, 90.186)    (90.186, 90.386)    (90.386, 90.526)    (90.526, 90.686)    (90.686, 90.846)    (90.846, 91.356)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (92.036, 92.316)    (92.316, 92.492)    (92.492, 92.668)    (92.958, 93.306)    (93.306, 94.063)    (94.439, 94.729)    (94.729, 95.061)    (95.678, 95.864)    (95.864, 96.049)    (96.049, 96.249)    (96.249, 96.619)    (96.619, 96.989)    (96.989, 97.531)    (98.002, 98.549)    (98.549, 98.889)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġit                 's                  Ġvery               Ġextended           Ġthere              Ġare                Ġa                  unts                Ġand                Ġgreat              aunts               Ġand                Ġcousins            Ġand               
Timings          : (92.036, 92.316)    (92.316, 92.492)    (92.492, 92.668)    (92.958, 93.306)    (93.306, 94.063)    (94.439, 94.729)    (94.729, 95.061)    (95.678, 95.864)    (95.864, 96.049)    (96.049, 96.249)    (96.249, 96.619)    (96.619, 96.989)    (96.989, 97.531)    (98.002, 98.549)    (98.549, 98.889)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551      82241644396551     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġyeah               Ġthat               Ġwould              Ġbe                 Ġso                 Ġmuch               Ġharder             <yield>             <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (98.889, 99.129)    (99.129, 99.369)    (99.843, 100.263)   (100.503, 100.713)  (100.713, 100.863)  (100.863, 101.003)  (101.003, 101.233)  (101.233, 101.473)  (101.473, 101.823)  (-1.0, -1.0)        (102.455, 102.798)  (104.774, 105.237)  (105.644, 105.904)  (105.904, 105.994)  (105.994, 106.324) 
Token Types      : 0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   82244328751112      82244328751112      82244328751112      82244328751112      82244328751112      82244328751112      82244328751112      82244328751112      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : Ġcousin             's                  Ġchildren           <yield>             <emp>               <emp>               <emp>               Ġand                <emp>               Ġthere              's                  Ġoh                 Ġover               Ġthe                Ġlast              
Timings          : (98.889, 99.129)    (99.129, 99.369)    (99.769, 100.344)   (-1.0, -1.0)        (100.713, 100.863)  (100.863, 101.003)  (101.003, 101.233)  (101.132, 101.592)  (101.473, 101.823)  (102.113, 102.455)  (102.455, 102.798)  (104.774, 105.237)  (105.644, 105.904)  (105.904, 105.994)  (105.994, 106.324) 
Token Types      : 1                   1                   1                   1                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82241644396551      82241644396551      82241644396551      82241644396551      0                   0                   0                   82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025     
turn_end_types   : 2                   2                   2                   2                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (106.324, 106.774)  (106.774, 107.074)  (107.074, 107.444)  (107.444, 107.644)  (108.224, 108.404)  (108.404, 108.524)  (108.524, 108.844)  (108.844, 109.054)  (109.184, 109.354)  (109.354, 109.464)  (109.464, 109.724)  (109.724, 109.814)  (109.814, 109.904)  (109.904, 110.284)  (110.284, 110.664) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġfourteen           Ġyears              Ġdepending          Ġon                 Ġwhere              Ġwe                 Ġwent               Ġand                Ġwhat               Ġwe                 Ġdid                Ġthere              's                  Ġanywhere           Ġfrom              
Timings          : (106.324, 106.774)  (106.774, 107.074)  (107.074, 107.444)  (107.444, 107.644)  (108.224, 108.404)  (108.404, 108.524)  (108.524, 108.844)  (108.844, 109.054)  (109.184, 109.354)  (109.354, 109.464)  (109.464, 109.724)  (109.724, 109.814)  (109.814, 109.904)  (109.904, 110.284)  (110.284, 110.664) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               uh                 
Timings          : (111.836, 112.286)  (112.286, 112.546)  (112.546, 112.626)  (112.626, 113.096)  (113.096, 113.476)  (114.484, 114.824)  (114.824, 115.374)  (115.374, 115.514)  (115.514, 116.124)  (117.191, 117.431)  (117.431, 117.621)  (117.621, 118.071)  (118.411, 118.531)  (118.531, 118.701)  (119.157, 119.663) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82245402492933     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġand                Ġthirty             Ġor                 Ġforty              Ġto                 Ġfifty              Ġsixty              Ġand                Ġsometimes          Ġmore               Ġthan               Ġthat               Ġyou                Ġknow               Ġduring            
Timings          : (111.836, 112.286)  (112.286, 112.546)  (112.546, 112.626)  (112.626, 113.096)  (113.096, 113.476)  (114.484, 114.824)  (114.824, 115.374)  (115.374, 115.514)  (115.514, 116.124)  (117.191, 117.431)  (117.431, 117.621)  (117.621, 118.071)  (118.411, 118.531)  (118.531, 118.701)  (119.041, 119.321) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġso                 Ġhow                Ġoften              Ġdo                 Ġyou                Ġtry               
Timings          : (-1.0, -1.0)        (119.641, 120.091)  (120.091, 120.231)  (120.231, 120.391)  (120.391, 120.441)  (120.441, 120.491)  (120.491, 120.771)  (120.771, 120.851)  (120.851, 121.131)  (121.343, 121.543)  (121.543, 121.713)  (121.713, 122.043)  (122.043, 122.143)  (122.143, 122.233)  (122.233, 122.513) 
Token Types      : 5                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82245402492933      0                   0                   0                   0                   0                   0                   0                   0                   82241107525642      82241107525642      82241107525642      82241107525642      82241107525642      82241107525642     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  

B                : Ġdifferent          Ġphases             Ġof                 Ġwhat               Ġwe                 're                 Ġtrying             Ġto                 Ġdo                 <yield>             <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (119.321, 119.641)  (119.641, 120.091)  (120.091, 120.231)  (120.231, 120.391)  (120.391, 120.441)  (120.441, 120.491)  (120.491, 120.771)  (120.771, 120.851)  (120.851, 121.131)  (-1.0, -1.0)        (121.543, 121.713)  (121.713, 122.043)  (122.043, 122.143)  (122.143, 122.233)  (122.233, 122.513) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                  
turn_ids         : 82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      82244865622025      0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġto                 Ġall                Ġget                Ġtogether           <eot>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġno                 Ġare                Ġyou                Ġall                Ġfrom              
Timings          : (122.513, 122.653)  (122.653, 122.853)  (122.853, 123.053)  (123.053, 123.593)  (-1.0, -1.0)        (123.771, 123.901)  (123.901, 124.131)  (124.131, 124.391)  (124.391, 124.799)  (124.979, 125.16)   (125.16, 125.59)    (125.59, 125.719)   (125.719, 125.85)   (125.85, 126.079)   (126.079, 126.24)  
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241107525642      82241107525642      82241107525642      82241107525642      82241107525642      0                   0                   0                   0                   82241107525644      82241107525644      82241107525644      82241107525644      82241107525644      82241107525644     
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               Ġum                 Ġthey               Ġtry                Ġevery              Ġyear               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (122.513, 122.653)  (122.653, 122.853)  (122.853, 123.053)  (123.053, 123.593)  (123.421, 123.771)  (123.771, 123.901)  (123.901, 124.131)  (124.131, 124.391)  (124.391, 124.799)  (-1.0, -1.0)        (125.16, 125.59)    (125.59, 125.719)   (125.719, 125.85)   (125.85, 126.079)   (126.079, 126.24)  
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   82241644396555      82241644396555      82241644396555      82241644396555      82241644396555      82241644396555      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġsame               Ġplace              Ġpretty             Ġmuch               Ġor                 <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (126.24, 126.299)   (126.299, 126.619)  (126.619, 127.06)   (127.06, 127.35)    (127.35, 127.719)   (127.719, 128.01)   (-1.0, -1.0)        (128.347, 128.427)  (128.427, 128.539)  (128.539, 128.625)  (128.625, 129.047)  (129.047, 129.407)  (129.407, 129.737)  (129.737, 130.157)  (130.157, 130.237) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
