A                : ok                  ay                  Ġuh                 Ġokay               Ġso                 Ġour                Ġsubject            Ġis                 Ġnursing            Ġhomes              Ġum                 Ġdo                 Ġyou                Ġhave               Ġany               
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (79.209, 79.349)    (79.349, 79.559)    (79.559, 79.639)    (79.639, 80.173)    (81.105, 81.418)    (82.45, 83.317)     (83.521, 83.868)    (83.868, 83.979)    (83.979, 84.239)    (84.239, 84.409)    (84.409, 84.589)    (84.589, 84.949)    (85.529, 85.688)    (85.688, 85.809)    (85.809, 85.909)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġshe                Ġneeds              Ġconstant           Ġcare               Ġis                 Ġnot                Ġgoing              Ġto                 Ġbe                 Ġan                 Ġoption             Ġand                Ġwhat               Ġdo                 Ġyou               
Timings          : (85.909, 86.019)    (86.019, 86.218)    (86.218, 86.638)    (86.638, 86.849)    (86.849, 86.938)    (86.938, 87.108)    (87.108, 87.269)    (87.269, 87.328)    (87.328, 87.438)    (87.438, 87.538)    (87.538, 88.021)    (88.849, 89.378)    (89.378, 89.529)    (89.529, 89.589)    (89.589, 89.678)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722143862788      82722143862788      82722143862788      82722143862788      82722143862788      82722143862788      82722143862788      82722143862788      82722143862788      82722143862788      82722143862788      82722143862788      82722143862788      82722143862788      82722143862788     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (85.909, 86.019)    (86.019, 86.218)    (86.218, 86.638)    (86.638, 86.849)    (86.849, 86.938)    (86.938, 87.108)    (87.108, 87.269)    (87.269, 87.328)    (87.328, 87.438)    (87.438, 87.538)    (87.538, 88.021)    (88.849, 89.378)    (89.378, 89.529)    (89.529, 89.589)    (89.589, 89.678)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġdo                 Ġyou                Ġknow               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (89.678, 89.79)     (89.79, 90.124)     (90.124, 90.517)    (-1.0, -1.0)        (91.145, 91.262)    (91.262, 91.38)     (91.38, 91.464)     (91.464, 91.548)    (91.548, 91.628)    (91.628, 91.758)    (91.758, 92.358)    (92.358, 92.667)    (93.405, 93.568)    (93.568, 93.748)    (93.748, 93.828)   
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82722143862788      82722143862788      82722143862788      82722143862788      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               Ġyeah               Ġit                 's                  Ġit                 's                  Ġa                  Ġreal               Ġproblem            Ġum                 Ġit                 Ġis                 Ġa                 
Timings          : (89.678, 89.79)     (89.79, 90.124)     (90.124, 90.517)    (90.928, 91.145)    (91.145, 91.262)    (91.262, 91.38)     (91.38, 91.464)     (91.464, 91.548)    (91.548, 91.628)    (91.628, 91.758)    (91.758, 92.358)    (92.358, 92.667)    (93.405, 93.568)    (93.568, 93.748)    (93.748, 93.828)   
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (93.828, 93.978)    (93.978, 94.458)    (94.458, 94.782)    (95.305, 95.358)    (95.358, 95.628)    (95.628, 95.781)    (95.992, 96.398)    (96.398, 96.658)    (96.658, 96.738)    (96.738, 96.988)    (96.988, 97.098)    (97.098, 97.378)    (97.378, 97.488)    (97.488, 97.598)    (97.598, 97.688)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġreal               Ġproblem            Ġand                Ġi                  Ġknow               Ġthat               Ġeverybody          Ġhates              Ġthe                Ġidea               Ġof                 Ġgoing              Ġto                 Ġone                Ġof                
Timings          : (93.828, 93.978)    (93.978, 94.458)    (94.458, 94.782)    (95.305, 95.358)    (95.358, 95.628)    (95.628, 95.781)    (95.992, 96.398)    (96.398, 96.658)    (96.658, 96.738)    (96.738, 96.988)    (96.988, 97.098)    (97.098, 97.378)    (97.378, 97.488)    (97.488, 97.598)    (97.598, 97.688)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (97.688, 97.928)    (97.928, 98.258)    (98.661, 98.778)    (98.778, 99.228)    (99.228, 99.568)    (99.568, 99.972)    (101.453, 101.662)  (101.662, 101.842)  (101.842, 101.912)  (101.912, 102.552)  (102.552, 102.671)  (102.784, 102.902)  (102.902, 103.082)  (103.082, 103.272)  (103.272, 103.532) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthese              Ġbut                Ġi                  Ġalso               Ġthink              Ġthat               Ġit                 Ġis                 Ġa                  Ġchoice             Ġthat               Ġwe                 Ġhave               Ġall                Ġmade              
Timings          : (97.688, 97.928)    (97.928, 98.258)    (98.661, 98.778)    (98.778, 99.228)    (99.228, 99.568)    (99.568, 99.972)    (101.453, 101.662)  (101.662, 101.842)  (101.842, 101.912)  (101.912, 102.552)  (102.552, 102.671)  (102.784, 102.902)  (102.902, 103.082)  (103.082, 103.272)  (103.272, 103.532) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>              
Timings          : (103.532, 103.652)  (103.652, 103.772)  (103.772, 104.252)  (104.252, 104.462)  (104.462, 104.592)  (104.592, 104.772)  (104.772, 105.112)  (105.112, 105.554)  (106.307, 106.647)  (106.771, 107.152)  (107.152, 107.532)  (107.532, 108.331)  (108.542, 108.775)  (108.775, 109.008)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82724291346439      82724291346439      82724291346439     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġin                 Ġour                Ġlives              Ġas                 Ġwe                 Ġhave               Ġdrawn              Ġback               Ġand                Ġinternal           ized                Ġourselves          <emp>               <emp>               Ġas                
Timings          : (103.532, 103.652)  (103.652, 103.772)  (103.772, 104.252)  (104.252, 104.462)  (104.462, 104.592)  (104.592, 104.772)  (104.772, 105.112)  (105.112, 105.554)  (106.307, 106.647)  (106.771, 107.152)  (107.152, 107.532)  (107.532, 108.331)  (108.542, 108.775)  (108.775, 109.008)  (108.951, 109.102) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (109.102, 109.482)  (109.482, 109.582)  (109.582, 109.812)  (109.812, 109.862)  (109.862, 110.092)  (110.092, 110.152)  (110.152, 110.212)  (110.212, 110.737)  (112.229, 112.412)  (112.412, 112.518)  (112.518, 112.65)   (112.65, 112.727)   (112.727, 112.847)  (112.847, 112.957)  (112.957, 113.287) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġopposed            Ġto                 Ġbeing              Ġa                  Ġpart               Ġof                 Ġthe                Ġcommunity          Ġuh                 Ġit                 Ġused               Ġto                 Ġbe                 Ġthat               Ġneighbors         
Timings          : (109.102, 109.482)  (109.482, 109.582)  (109.582, 109.812)  (109.812, 109.862)  (109.862, 110.092)  (110.092, 110.152)  (110.152, 110.212)  (110.212, 110.737)  (112.229, 112.412)  (112.412, 112.518)  (112.518, 112.65)   (112.65, 112.727)   (112.727, 112.847)  (112.847, 112.957)  (112.957, 113.287) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (113.287, 113.547)  (113.547, 113.737)  (113.737, 113.977)  (113.977, 114.127)  (114.127, 114.247)  (114.247, 114.677)  (114.677, 114.907)  (114.907, 115.027)  (115.027, 115.167)  (115.167, 115.267)  (115.267, 115.397)  (115.397, 115.657)  (115.657, 115.737)  (115.737, 115.847)  (115.847, 115.952) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġlooked             Ġout                Ġfor                Ġyou                Ġthe                Ġchurches           Ġlooked             Ġout                Ġfor                Ġyou                Ġbut                Ġmany               Ġof                 Ġus                 Ġdon               
Timings          : (113.287, 113.547)  (113.547, 113.737)  (113.737, 113.977)  (113.977, 114.127)  (114.127, 114.247)  (114.247, 114.677)  (114.677, 114.907)  (114.907, 115.027)  (115.027, 115.167)  (115.167, 115.267)  (115.267, 115.397)  (115.397, 115.657)  (115.657, 115.737)  (115.737, 115.847)  (115.847, 115.952) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (115.952, 116.057)  (116.057, 116.317)  (116.317, 116.397)  (116.397, 116.797)  (116.797, 116.957)  (116.957, 117.193)  (117.359, 117.597)  (117.597, 117.835)  (-1.0, -1.0)        (118.497, 118.607)  (118.607, 118.967)  (118.967, 119.107)  (119.107, 119.222)  (119.222, 119.337)  (119.337, 119.587) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82724291346440      82724291346440      82724291346440      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : 't                  Ġbelong             Ġto                 Ġchurches           Ġany                Ġmore               <emp>               <emp>               Ġand                Ġso                 Ġtherefore          Ġwe                 Ġdon                't                  Ġhave              
Timings          : (115.952, 116.057)  (116.057, 116.317)  (116.317, 116.397)  (116.397, 116.797)  (116.797, 116.957)  (116.957, 117.193)  (117.359, 117.597)  (117.597, 117.835)  (118.397, 118.497)  (118.497, 118.607)  (118.607, 118.967)  (118.967, 119.107)  (119.107, 119.222)  (119.222, 119.337)  (119.337, 119.587) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġand                Ġwe                 Ġdon                't                  Ġhave               Ġthe                Ġnuclear            Ġfamily            
Timings          : (119.587, 119.757)  (119.757, 120.002)  (120.002, 120.246)  (120.378, 120.947)  (120.947, 121.017)  (121.017, 121.397)  (121.397, 121.779)  (122.482, 122.685)  (122.685, 122.762)  (122.762, 122.867)  (122.867, 122.972)  (122.972, 123.112)  (123.112, 123.172)  (123.172, 123.592)  (123.592, 124.032) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   82722143862790      82722143862790      82722143862790      82722143862790      82722143862790      82722143862790      82722143862790      82722143862790     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġthis               Ġbroad              ened                Ġcommunity          Ġof                 Ġcaring             Ġpeople             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (119.587, 119.757)  (119.757, 120.002)  (120.002, 120.246)  (120.378, 120.947)  (120.947, 121.017)  (121.017, 121.397)  (121.397, 121.779)  (-1.0, -1.0)        (122.685, 122.762)  (122.762, 122.867)  (122.867, 122.972)  (122.972, 123.112)  (123.112, 123.172)  (123.172, 123.592)  (123.592, 124.032) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      82722680733701      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthat               Ġwe                 Ġused               Ġto                 Ġhave               Ġmany               Ġmany               Ġyears              Ġago                Ġeither             <yield>             <emp>               <emp>               <emp>               <emp>              
Timings          : (124.032, 124.172)  (124.172, 124.262)  (124.262, 124.492)  (124.492, 124.592)  (124.592, 124.802)  (124.802, 125.012)  (125.012, 125.232)  (125.232, 125.512)  (125.512, 125.792)  (125.792, 126.022)  (-1.0, -1.0)        (126.199, 126.683)  (126.683, 127.111)  (127.111, 127.265)  (127.265, 127.366) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 82722143862790      82722143862790      82722143862790      82722143862790      82722143862790      82722143862790      82722143862790      82722143862790      82722143862790      82722143862790      82722143862790      0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               no                  <eint>              <emp>               <emp>               Ġno                 Ġabsolutely         Ġnot                Ġyou                Ġknow              
Timings          : (124.032, 124.172)  (124.172, 124.262)  (124.262, 124.492)  (124.492, 124.592)  (124.592, 124.802)  (124.802, 125.012)  (124.943, 125.205)  (-1.0, -1.0)        (125.512, 125.792)  (125.792, 126.022)  (126.026, 126.199)  (126.199, 126.683)  (126.683, 127.111)  (127.111, 127.265)  (127.265, 127.366) 
Token Types      : 0                   0                   0                   0                   0                   0                   5                   5                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82726975700995      82726975700995      0                   0                   82722680733703      82722680733703      82722680733703      82722680733703      82722680733703     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (127.366, 127.486)  (127.486, 127.956)  (127.956, 128.166)  (128.166, 128.296)  (128.296, 128.366)  (128.366, 128.656)  (128.656, 128.906)  (128.906, 129.076)  (129.076, 129.496)  (129.496, 129.586)  (129.586, 129.886)  (129.886, 129.956)  (129.956, 130.186)  (130.186, 130.346)  (130.346, 130.456) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġpresume            Ġwhen               Ġwhen               Ġthe                Ġtime               Ġcomes              Ġfor                Ġsomething          Ġto                 Ġhappen             Ġto                 Ġme                 Ġthat               Ġi                 
Timings          : (127.366, 127.486)  (127.486, 127.956)  (127.956, 128.166)  (128.166, 128.296)  (128.296, 128.366)  (128.366, 128.656)  (128.656, 128.906)  (128.906, 129.076)  (129.076, 129.496)  (129.496, 129.586)  (129.586, 129.886)  (129.886, 129.956)  (129.956, 130.186)  (130.186, 130.346)  (130.346, 130.456) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733703      82722680733703      82722680733703      82722680733703      82722680733703      82722680733703      82722680733703      82722680733703      82722680733703      82722680733703      82722680733703      82722680733703      82722680733703      82722680733703      82722680733703     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               <emp>               Ġit                
