A                : um                  Ġwell               Ġyou                Ġknow               Ġi                  Ġi                  Ġthink              Ġit                 Ġit                 Ġreally             Ġdepends            Ġyou                Ġknow               Ġi                  Ġthink             
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (56.334, 56.464)    (56.464, 56.594)    (56.594, 56.904)    (57.611, 57.721)    (57.721, 57.961)    (57.961, 58.091)    (58.091, 58.281)    (58.281, 58.351)    (58.351, 58.521)    (58.521, 59.091)    (59.091, 59.231)    (59.231, 59.491)    (59.491, 59.631)    (59.631, 59.851)    (59.851, 60.081)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbe                 Ġthe                Ġpresident          's                  Ġbest               Ġfriend             Ġor                 Ġyou                Ġknow               Ġpay                Ġme                 Ġa                  Ġlot                Ġof                 Ġmoney             
Timings          : (60.081, 60.181)    (60.181, 60.251)    (60.251, 60.496)    (60.496, 60.741)    (60.741, 61.001)    (61.001, 61.381)    (61.381, 61.591)    (62.281, 62.341)    (62.341, 62.421)    (62.421, 62.611)    (62.611, 62.721)    (62.721, 62.781)    (62.781, 62.931)    (62.931, 62.991)    (62.991, 63.425)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (60.081, 60.181)    (60.181, 60.251)    (60.251, 60.496)    (60.496, 60.741)    (60.741, 61.001)    (61.001, 61.381)    (61.381, 61.591)    (62.281, 62.341)    (62.341, 62.421)    (62.421, 62.611)    (62.611, 62.721)    (62.721, 62.781)    (62.781, 62.931)    (62.931, 62.991)    (62.991, 63.425)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (63.91, 64.109)     (64.109, 64.35)     (64.35, 64.59)      (64.59, 64.7)       (64.7, 64.81)       (64.81, 65.02)      (65.02, 65.09)      (65.09, 65.249)     (65.249, 65.359)    (65.359, 65.967)    (66.517, 66.89)     (66.89, 67.189)     (67.189, 67.49)     (67.49, 67.59)     
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79715666755586      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġyeah               Ġwell               Ġthat               's                  Ġthat               's                  Ġpart               Ġof                 Ġit                 Ġthe                Ġtradition          Ġcertainly          Ġmod                ifies               Ġit                
Timings          : (63.7, 63.91)       (63.91, 64.109)     (64.109, 64.35)     (64.35, 64.59)      (64.59, 64.7)       (64.7, 64.81)       (64.81, 65.02)      (65.02, 65.09)      (65.09, 65.249)     (65.249, 65.359)    (65.359, 65.967)    (66.517, 66.89)     (66.89, 67.189)     (67.189, 67.49)     (67.49, 67.59)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79716203626499      79716203626499      79716203626499      79716203626499      79716203626499      79716203626499      79716203626499      79716203626499      79716203626499      79716203626499      79716203626499      79716203626499      79716203626499      79716203626499      79716203626499     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġb                  aks                 he                  esh                 Ġor                 Ġwhatever           Ġthey              
Timings          : (67.59, 67.74)      (67.74, 67.85)      (67.85, 68.136)     (68.302, 68.729)    (68.729, 69.24)     (69.24, 69.477)     (70.302, 70.66)     (70.66, 71.021)     (71.337, 71.508)    (71.508, 71.68)     (71.68, 71.851)     (71.851, 72.022)    (72.022, 72.289)    (72.289, 72.559)    (72.559, 72.649)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   79718887981060      79718887981060      79718887981060      79718887981060      79718887981060      79718887981060      79718887981060     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġif                 Ġyou                Ġhave               Ġuh                 Ġtradition          Ġof                 Ġof                 Ġum                 <emp>               Ġlike               <yield>             <emp>               <emp>               <emp>               <emp>              
Timings          : (67.59, 67.74)      (67.74, 67.85)      (67.85, 68.136)     (68.302, 68.729)    (68.729, 69.24)     (69.24, 69.477)     (70.302, 70.66)     (70.66, 71.021)     (71.337, 71.508)    (71.531, 71.689)    (-1.0, -1.0)        (71.851, 72.022)    (72.022, 72.289)    (72.289, 72.559)    (72.559, 72.649)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 79716203626499      79716203626499      79716203626499      79716203626499      79716203626499      79716203626499      79716203626499      79716203626499      79716203626499      79716203626499      79716203626499      0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                  


A                : Ġcall               Ġit                 <yield>             <emp>               <emp>               <emp>               <emp>               Ġright              <emp>               Ġor                 Ġbucks              Ġmake               Ġright              <eot>               <emp>              
Timings          : (72.649, 72.959)    (72.959, 73.049)    (-1.0, -1.0)        (73.258, 73.538)    (73.538, 73.783)    (73.896, 74.068)    (74.068, 74.4)      (74.758, 75.098)    (75.008, 75.138)    (75.098, 75.308)    (75.308, 75.598)    (75.598, 75.788)    (75.788, 76.048)    (-1.0, -1.0)        (77.14, 77.4)      
Token Types      : 4                   4                   4                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   0                  
turn_ids         : 79718887981060      79718887981060      79718887981060      0                   0                   0                   0                   79718887981062      79718887981062      79718887981062      79718887981062      79718887981062      79718887981062      79718887981062      0                  
turn_end_types   : 2                   2                   2                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : Ġyeah               Ġor                 Ġmight              Ġmakes              Ġright              Ġor                 Ġmoney              Ġand                Ġwhich              Ġis                 Ġmight              <yield>             <emp>               Ġso                 Ġuh                
Timings          : (72.712, 72.798)    (72.798, 73.016)    (73.016, 73.258)    (73.258, 73.538)    (73.538, 73.783)    (73.896, 74.068)    (74.068, 74.4)      (74.649, 74.868)    (75.008, 75.138)    (75.138, 75.268)    (75.268, 75.737)    (-1.0, -1.0)        (75.788, 76.048)    (76.77, 77.14)      (77.14, 77.4)      
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   1                   1                  
turn_ids         : 79719424851973      79719424851973      79719424851973      79719424851973      79719424851973      79719424851973      79719424851973      79719424851973      79719424851973      79719424851973      79719424851973      79719424851973      0                   79716203626503      79716203626503     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (77.4, 77.592)      (78.07, 78.43)      (78.43, 78.475)     (78.475, 78.52)     (78.52, 78.69)      (78.69, 78.84)      (78.84, 78.9)       (78.9, 79.09)       (79.09, 79.16)      (79.16, 79.42)      (79.42, 79.6)       (79.6, 79.68)       (79.68, 80.19)      (80.19, 80.321)     (80.321, 80.415)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġin                 Ġcertainly          Ġyou                're                 Ġnot                Ġgoing              Ġto                 Ġhave               Ġthe                Ġsame               Ġkind               Ġof                 Ġhonesty            Ġon                 Ġthe               
Timings          : (77.4, 77.592)      (78.07, 78.43)      (78.43, 78.475)     (78.475, 78.52)     (78.52, 78.69)      (78.69, 78.84)      (78.84, 78.9)       (78.9, 79.09)       (79.09, 79.16)      (79.16, 79.42)      (79.42, 79.6)       (79.6, 79.68)       (79.68, 80.19)      (80.19, 80.321)     (80.321, 80.415)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (80.415, 80.59)     (80.59, 81.01)      (81.01, 81.142)     (82.55, 82.716)     (82.834, 82.89)     (82.89, 83.025)     (83.025, 83.34)     (83.34, 83.47)      (83.47, 83.75)      (83.75, 83.84)      (83.84, 84.0)       (84.0, 84.11)       (84.11, 84.24)      (84.24, 84.3)       (84.3, 84.51)      
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġother              Ġhand               Ġuh                 Ġi                  Ġi                  Ġi                  Ġthink              Ġit                 Ġseems              Ġto                 Ġme                 Ġthat               Ġall                Ġthe                Ġbig               
Timings          : (80.415, 80.59)     (80.59, 81.01)      (81.01, 81.142)     (82.55, 82.716)     (82.834, 82.89)     (82.89, 83.025)     (83.025, 83.34)     (83.34, 83.47)      (83.47, 83.75)      (83.75, 83.84)      (83.84, 84.0)       (84.0, 84.11)       (84.11, 84.24)      (84.24, 84.3)       (84.3, 84.51)      
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (84.51, 85.299)     (85.615, 85.75)     (85.75, 86.12)      (86.12, 86.477)     (86.713, 87.19)     (87.942, 88.472)    (88.472, 89.126)    (89.337, 89.702)    (89.702, 89.932)    (89.932, 90.312)    (90.312, 90.606)    (90.791, 91.342)    (91.342, 91.552)    (92.365, 92.738)    (92.738, 93.077)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġscandals           Ġare                Ġbased              Ġon                 Ġeither             Ġindividual         Ġhonesty            Ġuh                 Ġgoing              Ġcorrupt            Ġor                 Ġfrankly            Ġuh                 Ġuh                 Ġelect             
Timings          : (84.51, 85.299)     (85.615, 85.75)     (85.75, 86.12)      (86.12, 86.477)     (86.713, 87.19)     (87.942, 88.472)    (88.472, 89.126)    (89.337, 89.702)    (89.702, 89.932)    (89.932, 90.312)    (90.312, 90.606)    (90.791, 91.342)    (91.342, 91.552)    (92.365, 92.738)    (92.738, 93.077)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġyou                Ġknow               Ġi                  Ġi                  Ġthink              Ġyou                Ġknow               Ġto                
Timings          : (93.077, 93.417)    (93.718, 94.238)    (94.238, 94.528)    (94.528, 94.818)    (94.818, 94.958)    (94.958, 95.168)    (95.972, 96.168)    (96.168, 96.318)    (96.318, 96.448)    (96.448, 96.588)    (96.588, 96.718)    (96.718, 97.008)    (97.008, 97.248)    (97.248, 97.408)    (97.408, 97.548)   
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592     
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : ive                 Ġhonesty            Ġgoing              Ġbad                Ġon                 Ġus                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (93.077, 93.417)    (93.718, 94.238)    (94.238, 94.528)    (94.528, 94.818)    (94.818, 94.958)    (94.958, 95.168)    (-1.0, -1.0)        (96.168, 96.318)    (96.318, 96.448)    (96.448, 96.588)    (96.588, 96.718)    (96.718, 97.008)    (97.008, 97.248)    (97.248, 97.408)    (97.408, 97.548)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      79716203626503      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġsome               Ġextent             Ġyou                Ġknow               Ġpeople             Ġget                Ġthe                Ġgovernment         Ġthey               Ġdeserve            Ġis                 Ġa                  Ġcl                 iche                <emp>              
Timings          : (97.548, 97.778)    (97.778, 98.188)    (98.188, 98.308)    (98.308, 98.438)    (98.438, 98.798)    (98.798, 98.978)    (98.978, 99.048)    (99.048, 99.458)    (99.458, 99.558)    (99.558, 99.978)    (99.978, 100.088)   (100.088, 100.128)  (100.128, 100.458)  (100.458, 100.788)  (101.073, 101.337) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               yeah               
Timings          : (97.548, 97.778)    (97.778, 98.188)    (98.188, 98.308)    (98.308, 98.438)    (98.438, 98.798)    (98.798, 98.978)    (98.978, 99.048)    (99.048, 99.458)    (99.458, 99.558)    (99.558, 99.978)    (99.978, 100.088)   (100.088, 100.128)  (100.128, 100.458)  (100.458, 100.788)  (101.073, 101.337) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79718351110148     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : Ġbut                Ġit                 Ġit                 's                  Ġreally             Ġtrue               Ġi                  Ġmean               Ġif                 Ġyou                Ġknow               Ġyou                Ġhear               Ġthese              Ġguy               
Timings          : (101.462, 101.737)  (101.737, 101.877)  (101.877, 101.967)  (101.967, 102.057)  (102.057, 102.227)  (102.227, 102.537)  (102.537, 102.637)  (102.637, 102.947)  (102.947, 103.201)  (103.72, 103.805)   (103.805, 103.935)  (103.935, 104.135)  (104.135, 104.315)  (104.315, 104.515)  (104.515, 104.775) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (101.737, 101.877)  (101.877, 101.967)  (101.967, 102.057)  (102.057, 102.227)  (102.227, 102.537)  (102.537, 102.637)  (102.637, 102.947)  (102.947, 103.201)  (103.72, 103.805)   (103.805, 103.935)  (103.935, 104.135)  (104.135, 104.315)  (104.315, 104.515)  (104.515, 104.775) 
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79718351110148      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġthink              Ġthat               Ġthis               Ġis                 Ġthe                Ġfirst              Ġelection           Ġi                  've                 Ġheard              Ġabout              Ġwhere              Ġa                  Ġlot               
Timings          : (104.775, 104.915)  (104.915, 105.095)  (105.095, 105.325)  (105.325, 105.485)  (105.485, 105.545)  (105.545, 105.605)  (105.605, 106.035)  (106.035, 106.495)  (106.495, 106.55)   (106.55, 106.605)   (106.605, 106.785)  (106.785, 107.015)  (107.015, 107.212)  (107.509, 107.565)  (107.565, 107.845) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592      79715666755592     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (104.775, 104.915)  (104.915, 105.095)  (105.095, 105.325)  (105.325, 105.485)  (105.485, 105.545)  (105.545, 105.605)  (105.605, 106.035)  (106.035, 106.495)  (106.495, 106.55)   (106.55, 106.605)   (106.605, 106.785)  (106.785, 107.015)  (107.015, 107.212)  (107.509, 107.565)  (107.565, 107.845) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġof                 Ġthe                Ġincumb             ents                Ġare                Ġreally             Ġfinding            Ġsaying             Ġokay               Ġwe                 're                 Ġgetting            Ġout                Ġbecause            Ġit                
