A                : i                   Ġguess              Ġi                  Ġguess              Ġby                 Ġwhat               Ġyou                Ġsaid               Ġyou                're                 Ġyou                Ġyou                Ġdon                't                  Ġfeel              
Timings          : (67.649, 67.759)    (67.759, 67.92)     (67.92, 68.13)      (68.13, 68.289)     (68.289, 68.759)    (68.759, 68.91)     (68.985, 69.085)    (69.195, 69.6)      (69.6, 69.71)       (69.71, 70.249)     (70.249, 70.683)    (71.718, 71.84)     (71.84, 72.024)     (72.107, 72.29)     (72.29, 72.37)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (67.649, 67.759)    (67.759, 67.92)     (67.92, 68.13)      (68.13, 68.289)     (68.289, 68.759)    (68.759, 68.91)     (68.985, 69.085)    (69.195, 69.6)      (69.6, 69.71)       (69.71, 70.249)     (70.249, 70.683)    (71.718, 71.84)     (71.84, 72.024)     (72.107, 72.29)     (72.29, 72.37)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġdon                't                  Ġwant               Ġthat               Ġto                 Ġhappen             Ġall                Ġwe                 Ġhave               Ġto                 Ġdo                 Ġis                 Ġjust               Ġcall               Ġthe               
Timings          : (72.37, 72.465)     (72.465, 72.56)     (72.56, 72.75)      (72.75, 72.94)      (72.94, 73.02)      (73.02, 73.441)     (73.573, 73.68)     (73.68, 73.77)      (73.77, 73.91)      (73.91, 74.02)      (74.02, 74.19)      (74.19, 74.28)      (74.28, 74.48)      (74.48, 74.67)      (74.67, 74.73)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (72.37, 72.465)     (72.465, 72.56)     (72.56, 72.75)      (72.75, 72.94)      (72.94, 73.02)      (73.02, 73.441)     (73.573, 73.68)     (73.68, 73.77)      (73.77, 73.91)      (73.91, 74.02)      (74.02, 74.19)      (74.19, 74.28)      (74.28, 74.48)      (74.48, 74.67)      (74.67, 74.73)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġphone              Ġcompany            Ġand                Ġsay                Ġlook               Ġyou                Ġknow               Ġi                  Ġwant               Ġmy                 Ġname               Ġun                 listed              Ġor                 Ġi                 
Timings          : (74.73, 74.96)      (74.96, 75.33)      (75.33, 75.48)      (75.48, 75.779)     (75.896, 76.031)    (76.453, 76.56)     (76.56, 76.65)      (76.65, 76.69)      (76.69, 76.9)       (76.9, 76.98)       (76.98, 77.29)      (77.29, 77.57)      (77.57, 77.85)      (77.85, 78.112)     (78.62, 78.733)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (74.73, 74.96)      (74.96, 75.33)      (75.33, 75.48)      (75.48, 75.779)     (75.896, 76.031)    (76.453, 76.56)     (76.56, 76.65)      (76.65, 76.69)      (76.69, 76.9)       (76.9, 76.98)       (76.98, 77.29)      (77.29, 77.57)      (77.57, 77.85)      (77.85, 78.112)     (78.62, 78.733)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwant               Ġmy                 Ġyou                Ġknow               <yield>             <emp>               <emp>               <emp>               <emp>               Ġit                 Ġdoesn              't                  <eot>               <emp>               <emp>              
Timings          : (78.733, 78.878)    (78.878, 79.096)    (79.312, 79.43)     (79.43, 79.66)      (-1.0, -1.0)        (79.924, 80.134)    (80.134, 80.359)    (80.359, 80.584)    (80.584, 81.009)    (81.233, 81.315)    (81.315, 81.477)    (81.477, 81.638)    (-1.0, -1.0)        (82.707, 83.026)    (83.026, 83.331)   
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                  
turn_ids         : 83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      0                   0                   0                   0                   83048561377284      83048561377284      83048561377284      83048561377284      0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                  

B                : <emp>               <emp>               <emp>               Ġbut                Ġbut                Ġthat               Ġdoesn              't                  Ġwork               <eot>               <emp>               <emp>               Ġuh                 Ġno                 Ġbecause           
Timings          : (78.733, 78.878)    (78.878, 79.096)    (79.312, 79.43)     (79.409, 79.666)    (79.783, 79.924)    (79.924, 80.134)    (80.134, 80.359)    (80.359, 80.584)    (80.584, 81.009)    (-1.0, -1.0)        (81.315, 81.477)    (81.477, 81.638)    (81.795, 82.259)    (82.707, 83.026)    (83.026, 83.331)   
Token Types      : 0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   83052319473667      83052319473667      83052319473667      83052319473667      83052319473667      83052319473667      83052319473667      0                   0                   83049098248197      83049098248197      83049098248197     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   0                   0                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (83.331, 83.493)    (83.493, 83.696)    (83.696, 83.896)    (83.896, 83.966)    (83.966, 84.356)    (84.356, 84.603)    (84.681, 85.125)    (85.125, 85.62)     (85.62, 86.116)     (86.116, 86.337)    (86.337, 86.597)    (86.597, 86.686)    (86.686, 87.096)    (87.096, 87.525)    (88.102, 88.437)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthey               Ġa                  Ġlot                Ġof                 Ġtimes              Ġthey               Ġdial               Ġsequ               entially            Ġthey               Ġget                Ġyour               Ġname               Ġfrom               Ġuh                
Timings          : (83.331, 83.493)    (83.493, 83.696)    (83.696, 83.896)    (83.896, 83.966)    (83.966, 84.356)    (84.356, 84.603)    (84.681, 85.125)    (85.125, 85.62)     (85.62, 86.116)     (86.116, 86.337)    (86.337, 86.597)    (86.597, 86.686)    (86.686, 87.096)    (87.096, 87.525)    (88.102, 88.437)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>              
Timings          : (88.437, 88.664)    (88.664, 88.776)    (88.776, 88.996)    (88.996, 89.206)    (89.206, 89.516)    (89.516, 89.696)    (89.696, 90.616)    (90.616, 90.706)    (90.706, 91.416)    (91.497, 91.661)    (91.661, 91.824)    (-1.0, -1.0)        (92.641, 92.739)    (92.739, 92.951)    (93.068, 93.279)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   83050708860933      83050708860933      83050708860933      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                  

B                : Ġif                 Ġyou                Ġenter              Ġany                Ġtype               Ġof                 Ġcontest            Ġor                 Ġanything           <emp>               <emp>               Ġum                 Ġyou                Ġknow               Ġyou               
Timings          : (88.437, 88.664)    (88.664, 88.776)    (88.776, 88.996)    (88.996, 89.206)    (89.206, 89.516)    (89.516, 89.696)    (89.696, 90.616)    (90.616, 90.706)    (90.706, 91.416)    (91.497, 91.661)    (91.661, 91.824)    (91.882, 92.283)    (92.641, 92.739)    (92.739, 92.951)    (93.068, 93.279)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (93.279, 93.499)    (93.499, 93.579)    (93.579, 93.846)    (93.846, 94.112)    (94.112, 94.379)    (94.379, 94.479)    (94.479, 94.579)    (94.579, 94.933)    (94.933, 95.554)    (95.554, 95.859)    (95.859, 96.029)    (96.029, 96.079)    (96.079, 96.539)    (96.539, 96.949)    (96.949, 97.049)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġenter              Ġa                  Ġsweep              st                  ake                 Ġin                 Ġthe                Ġlocal              Ġdepartment         Ġstore              Ġfor                Ġa                  Ġshopping           Ġspree              Ġor                
Timings          : (93.279, 93.499)    (93.499, 93.579)    (93.579, 93.846)    (93.846, 94.112)    (94.112, 94.379)    (94.379, 94.479)    (94.479, 94.579)    (94.579, 94.933)    (94.933, 95.554)    (95.554, 95.859)    (95.859, 96.029)    (96.029, 96.079)    (96.079, 96.539)    (96.539, 96.949)    (96.949, 97.049)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (97.049, 97.637)    (98.059, 98.109)    (98.109, 98.309)    (98.309, 98.429)    (98.429, 98.759)    (98.759, 99.099)    (99.099, 99.209)    (99.209, 99.389)    (99.389, 99.519)    (99.519, 99.899)    (99.899, 99.999)    (99.999, 100.329)   (100.329, 100.699)  (100.699, 100.899)  (100.899, 101.059) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsomething          Ġyou                Ġput                Ġyour               Ġphone              Ġnumber             Ġon                 Ġthere              Ġthey               Ġpass               Ġyour               Ġphone              Ġnumber             Ġon                 Ġto                
Timings          : (97.049, 97.637)    (98.059, 98.109)    (98.109, 98.309)    (98.309, 98.429)    (98.429, 98.759)    (98.759, 99.099)    (99.099, 99.209)    (99.209, 99.389)    (99.389, 99.519)    (99.519, 99.899)    (99.899, 99.999)    (99.999, 100.329)   (100.329, 100.699)  (100.699, 100.899)  (100.899, 101.059) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġoh                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (101.059, 101.409)  (101.409, 102.069)  (102.379, 102.929)  (-1.0, -1.0)        (103.946, 104.243)  (104.243, 104.897)  (105.044, 105.482)  (107.935, 108.338)  (108.552, 108.736)  (108.736, 109.076)  (109.076, 109.176)  (109.176, 110.496)  (110.496, 110.745)  (110.873, 111.406)  (111.406, 111.826) 
Token Types      : 0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   83050708860934      83050708860934      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġanother            Ġcompany            <emp>               Ġum                 Ġor                 Ġyou                Ġum                 Ġor                 Ġor                 Ġlike               Ġthe                Ġnewspapers         Ġthey               Ġjust               Ġdial              
Timings          : (101.059, 101.409)  (101.409, 102.069)  (102.379, 102.929)  (103.209, 103.756)  (103.946, 104.243)  (104.243, 104.897)  (105.044, 105.482)  (107.935, 108.338)  (108.552, 108.736)  (108.736, 109.076)  (109.076, 109.176)  (109.176, 110.496)  (110.496, 110.745)  (110.873, 111.406)  (111.406, 111.826) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (111.826, 112.656)  (112.656, 112.766)  (112.766, 113.011)  (113.133, 113.296)  (113.296, 113.836)  (113.836, 113.966)  (113.966, 114.246)  (114.246, 114.698)  (114.848, 114.936)  (114.936, 115.746)  (115.746, 116.257)  (116.358, 116.616)  (116.616, 116.886)  (116.886, 117.286)  (117.286, 117.389) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġrandomly           Ġor                 Ġselect             Ġand                Ġstuff              Ġthey               Ġeven               Ġcall               Ġthe                Ġnewspapers         Ġhere               Ġeven               Ġcall               Ġpeople             Ġwho               
Timings          : (111.826, 112.656)  (112.656, 112.766)  (112.766, 113.011)  (113.133, 113.296)  (113.296, 113.836)  (113.836, 113.966)  (113.966, 114.246)  (114.246, 114.698)  (114.848, 114.936)  (114.936, 115.746)  (115.746, 116.257)  (116.358, 116.616)  (116.616, 116.886)  (116.886, 117.286)  (117.286, 117.389) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (117.389, 117.957)  (117.957, 118.799)  (119.588, 119.986)  (119.986, 120.196)  (120.444, 120.604)  (120.604, 120.674)  (120.674, 120.814)  (120.814, 121.427)  (121.427, 121.529)  (121.529, 121.6)    (121.6, 122.016)    (122.016, 122.203)  (122.203, 122.425)  (122.425, 122.64)   (122.64, 123.144)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġalready            Ġsubscribe          Ġand                Ġuh                 Ġwhile              Ġi                  Ġwas                Ġsubscribing        Ġto                 Ġthe                Ġpaper              Ġi                  Ġgot                Ġso                 Ġupset             
Timings          : (117.389, 117.957)  (117.957, 118.799)  (119.588, 119.986)  (119.986, 120.196)  (120.444, 120.604)  (120.604, 120.674)  (120.674, 120.814)  (120.814, 121.427)  (121.427, 121.529)  (121.529, 121.6)    (121.6, 122.016)    (122.016, 122.203)  (122.203, 122.425)  (122.425, 122.64)   (122.64, 123.144)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (123.144, 123.314)  (123.412, 123.706)  (124.037, 124.153)  (124.153, 124.269)  (124.269, 124.385)  (-1.0, -1.0)        (124.806, 125.014)  (125.014, 125.104)  (125.104, 125.324)  (125.324, 125.454)  (125.454, 125.769)  (125.769, 125.843)  (125.843, 125.916)  (125.916, 126.114)  (126.114, 126.184) 
Token Types      : 0                   0                   3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   83050708860935      83050708860935      83050708860935      83050708860935      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġat                 Ġthem               <emp>               Ġthat               Ġthey               Ġyou                Ġcall               Ġme                 Ġone                Ġmore               Ġtime               Ġi                  'm                  Ġgoing              Ġto                
Timings          : (123.144, 123.314)  (123.412, 123.706)  (124.037, 124.153)  (124.101, 124.304)  (124.304, 124.49)   (124.637, 124.806)  (124.806, 125.014)  (125.014, 125.104)  (125.104, 125.324)  (125.324, 125.454)  (125.454, 125.769)  (125.769, 125.843)  (125.843, 125.916)  (125.916, 126.114)  (126.114, 126.184) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197      83049098248197     
