A                : ok                  ay                  Ġhow                Ġdo                 Ġyou                Ġget                Ġyour               Ġnews               Ġmostly             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġno                 Ġhuh                uh                  Ġjust               Ġi                  Ġjust               Ġhave              
Timings          : (72.073, 72.203)    (72.203, 72.303)    (72.303, 72.373)    (72.373, 72.563)    (72.563, 73.203)    (73.203, 73.263)    (73.263, 73.513)    (73.513, 74.141)    (74.312, 74.782)    (74.782, 74.962)    (74.962, 75.142)    (75.142, 75.402)    (75.402, 75.512)    (75.512, 75.742)    (75.742, 75.892)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġone                Ġof                 Ġthe                Ġtalk               Ġstations           Ġthe                Ġnews               Ġstations           <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (72.073, 72.203)    (72.203, 72.303)    (72.303, 72.373)    (72.373, 72.563)    (72.563, 73.203)    (73.203, 73.263)    (73.263, 73.513)    (73.513, 74.141)    (-1.0, -1.0)        (74.782, 74.962)    (74.962, 75.142)    (75.142, 75.402)    (75.402, 75.512)    (75.512, 75.742)    (75.742, 75.892)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80063022235655      80063022235655      80063022235655      80063022235655      80063022235655      80063022235655      80063022235655      80063022235655      80063022235655      0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġchannel            Ġthat               Ġhas                Ġmusic              Ġexcept             Ġfor                Ġlike               Ġevery              Ġhour               Ġyou                Ġknow               Ġsay                Ġeight              Ġo                 
Timings          : (75.892, 75.962)    (75.962, 76.302)    (76.302, 76.412)    (76.412, 76.612)    (76.612, 77.062)    (77.062, 77.452)    (77.452, 77.859)    (78.07, 78.312)     (78.312, 78.572)    (78.572, 79.029)    (79.609, 79.762)    (79.762, 79.832)    (79.832, 80.092)    (80.092, 80.222)    (80.222, 80.326)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (75.892, 75.962)    (75.962, 76.302)    (76.302, 76.412)    (76.412, 76.612)    (76.612, 77.062)    (77.062, 77.452)    (77.452, 77.859)    (78.07, 78.312)     (78.312, 78.572)    (78.572, 79.029)    (79.609, 79.762)    (79.762, 79.832)    (79.832, 80.092)    (80.092, 80.222)    (80.222, 80.326)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : '                   clock               Ġnine               Ġo                  '                   clock               Ġthey               Ġcome               Ġon                 Ġfor                Ġjust               Ġa                  Ġlittle             Ġbit                Ġof                
Timings          : (80.326, 80.429)    (80.429, 80.532)    (80.532, 80.692)    (80.692, 80.792)    (80.792, 80.892)    (80.892, 80.992)    (81.172, 81.282)    (81.282, 81.492)    (81.492, 81.632)    (81.632, 82.042)    (82.761, 82.972)    (82.972, 83.002)    (83.002, 83.212)    (83.212, 83.352)    (83.352, 83.452)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               Ġsure               <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (80.326, 80.429)    (80.429, 80.532)    (80.532, 80.692)    (80.638, 80.979)    (-1.0, -1.0)        (80.892, 80.992)    (81.172, 81.282)    (81.282, 81.492)    (81.492, 81.632)    (81.632, 82.042)    (82.761, 82.972)    (82.972, 83.002)    (83.002, 83.212)    (83.212, 83.352)    (83.352, 83.452)   
Token Types      : 0                   0                   0                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   80064095977479      80064095977479      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġnews               <emp>               Ġbut                Ġas                 Ġfar                Ġas                 Ġthe                Ġactual             Ġnews               Ġi                  Ġget                Ġthat               Ġfrom               Ġfrom              
Timings          : (83.452, 83.552)    (83.552, 84.019)    (84.173, 84.611)    (84.963, 85.143)    (85.143, 85.273)    (85.273, 85.533)    (85.533, 85.763)    (85.763, 86.075)    (86.075, 86.523)    (86.523, 86.863)    (86.863, 86.963)    (86.963, 87.143)    (87.143, 87.333)    (87.333, 87.713)    (89.609, 89.859)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (83.452, 83.552)    (83.552, 84.019)    (84.173, 84.611)    (-1.0, -1.0)        (85.143, 85.273)    (85.273, 85.533)    (85.533, 85.763)    (85.763, 86.075)    (86.075, 86.523)    (86.523, 86.863)    (86.863, 86.963)    (86.963, 87.143)    (87.143, 87.333)    (87.333, 87.713)    (89.609, 89.859)   
Token Types      : 0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   80061948493830      80061948493830      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġcan                Ġyou                Ġhold               Ġon                 Ġjust               Ġfor                Ġa                  Ġsecond             <emp>               Ġjust               Ġa                  Ġminute             Ġhello              Ġsir               
Timings          : (89.859, 90.092)    (90.868, 90.979)    (90.979, 91.039)    (91.039, 91.159)    (91.159, 91.289)    (91.289, 91.479)    (91.479, 91.559)    (91.559, 91.659)    (91.659, 91.969)    (92.228, 92.628)    (92.629, 92.799)    (92.799, 92.839)    (92.839, 92.989)    (131.51, 131.72)    (131.72, 131.932)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġsure               <eint>              <emp>               <emp>               <emp>               <emp>              
Timings          : (89.859, 90.092)    (90.868, 90.979)    (90.979, 91.039)    (91.039, 91.159)    (91.159, 91.289)    (91.289, 91.479)    (91.479, 91.559)    (91.559, 91.659)    (91.659, 91.969)    (92.228, 92.628)    (-1.0, -1.0)        (92.799, 92.839)    (92.839, 92.989)    (131.51, 131.72)    (131.72, 131.932)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   80064095977481      80064095977481      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                  


A                : <emp>               Ġyes                Ġi                  'm                  Ġsorry              Ġto                 Ġkeep               Ġyou                Ġwaiting            <emp>               Ġum                 Ġi                  Ġwas                Ġcalling            Ġfrom              
Timings          : (132.153, 132.383)  (132.51, 132.8)     (132.8, 132.862)    (132.862, 132.923)  (132.923, 133.2)    (133.2, 133.27)     (133.27, 133.43)    (133.43, 133.51)    (133.51, 133.98)    (133.794, 134.195)  (134.66, 135.176)   (136.137, 136.26)   (136.26, 136.4)     (136.4, 136.73)     (136.73, 136.97)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġyes                <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġokay               <eint>              <emp>               <emp>               <emp>               <emp>              
Timings          : (132.153, 132.383)  (-1.0, -1.0)        (132.8, 132.862)    (132.862, 132.923)  (132.923, 133.2)    (133.2, 133.27)     (133.27, 133.43)    (133.43, 133.51)    (133.51, 133.98)    (133.794, 134.195)  (-1.0, -1.0)        (136.137, 136.26)   (136.26, 136.4)     (136.4, 136.73)     (136.73, 136.97)   
Token Types      : 5                   5                   0                   0                   0                   0                   0                   0                   0                   5                   5                   0                   0                   0                   0                  
turn_ids         : 80064095977482      80064095977482      0                   0                   0                   0                   0                   0                   0                   80064095977483      80064095977483      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                  


A                : Ġwork               Ġso                 Ġand                Ġthat               Ġwas                Ġa                  Ġcall               Ġwaiting            <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (136.97, 137.27)    (137.27, 137.43)    (137.43, 137.54)    (137.54, 137.68)    (137.68, 137.87)    (137.87, 137.957)   (137.957, 138.25)   (138.25, 138.61)    (-1.0, -1.0)        (140.136, 140.35)   (140.35, 140.51)    (140.51, 140.88)    (140.88, 141.201)   (141.201, 141.281)  (141.281, 141.537) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      80059264139272      0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              Ġsounds             Ġit                 Ġsounds             Ġlike               Ġyou                Ġuh                
Timings          : (136.97, 137.27)    (137.27, 137.43)    (137.43, 137.54)    (137.54, 137.68)    (137.68, 137.87)    (137.87, 137.957)   (137.957, 138.25)   (138.25, 138.61)    (139.098, 139.475)  (140.136, 140.35)   (140.35, 140.51)    (140.51, 140.88)    (140.88, 141.201)   (141.201, 141.281)  (141.281, 141.537) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (141.615, 141.745)  (141.745, 141.955)  (141.955, 142.04)   (142.04, 142.281)   (142.281, 142.331)  (142.331, 142.57)   (142.57, 142.751)   (142.751, 142.951)  (142.951, 143.061)  (143.061, 143.39)   (143.993, 144.111)  (144.111, 144.18)   (144.18, 144.531)   (144.531, 144.6)    (144.6, 144.665)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġyou                Ġlike               Ġthe                Ġnews               Ġa                  Ġlot                Ġmore               Ġthan               Ġi                  Ġdo                 Ġme                 Ġi                  Ġfigure             Ġif                 Ġit                
Timings          : (141.615, 141.745)  (141.745, 141.955)  (141.955, 142.04)   (142.04, 142.281)   (142.281, 142.331)  (142.331, 142.57)   (142.57, 142.751)   (142.751, 142.951)  (142.951, 143.061)  (143.061, 143.39)   (143.993, 144.111)  (144.111, 144.18)   (144.18, 144.531)   (144.531, 144.6)    (144.6, 144.665)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (144.665, 144.73)   (144.73, 145.09)    (145.09, 145.361)   (145.361, 145.87)   (145.87, 146.171)   (146.171, 146.29)   (146.29, 146.52)    (146.52, 146.661)   (146.661, 146.99)   (146.99, 147.12)    (147.759, 148.049)  (148.049, 148.31)   (148.803, 148.909)  (148.909, 149.039)  (149.039, 149.157) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 's                  Ġsomething          Ġreally             Ġimportant          Ġsomebody           Ġwill               Ġtell               Ġme                 Ġabout              Ġit                 Ġbut                Ġuh                 Ġyou                Ġknow               Ġi                 
Timings          : (144.665, 144.73)   (144.73, 145.09)    (145.09, 145.361)   (145.361, 145.87)   (145.87, 146.171)   (146.171, 146.29)   (146.29, 146.52)    (146.52, 146.661)   (146.661, 146.99)   (146.99, 147.12)    (147.759, 148.049)  (148.049, 148.31)   (148.803, 148.909)  (148.909, 149.039)  (149.039, 149.157) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (149.869, 150.079)  (150.079, 150.249)  (150.249, 150.509)  (150.509, 150.649)  (150.649, 150.828)  (150.828, 151.089)  (151.089, 151.159)  (151.159, 151.509)  (151.509, 151.699)  (151.699, 151.779)  (151.779, 152.059)  (152.059, 152.129)  (152.129, 152.339)  (152.339, 152.579)  (152.579, 152.689) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthing              Ġis                 Ġif                 Ġif                 Ġi                  Ġcatch              Ġthe                Ġnews               Ġall                Ġthe                Ġtime               Ġit                 Ġjust               Ġmakes              Ġme                
Timings          : (149.869, 150.079)  (150.079, 150.249)  (150.249, 150.509)  (150.509, 150.649)  (150.649, 150.828)  (150.828, 151.089)  (151.089, 151.159)  (151.159, 151.509)  (151.509, 151.699)  (151.699, 151.779)  (151.779, 152.059)  (152.059, 152.129)  (152.129, 152.339)  (152.339, 152.579)  (152.579, 152.689) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <emp>               Ġi                  Ġget               
Timings          : (152.689, 153.229)  (153.229, 153.369)  (153.369, 153.479)  (153.479, 153.809)  (153.809, 153.879)  (153.879, 154.259)  (154.259, 154.329)  (154.329, 154.529)  (154.529, 154.669)  (154.669, 154.989)  (154.989, 155.549)  (155.517, 155.787)  (155.619, 155.734)  (155.787, 155.912)  (155.912, 156.097) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   5                   5                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80063559106567      80063559106567      80063559106567      80063559106567     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  

B                : Ġdepressed          Ġbecause            Ġthey               Ġtend               Ġto                 Ġproduce            Ġa                  Ġlot                Ġof                 Ġbad                Ġnews               Ġor                 Ġthat               's                  Ġwhat              
Timings          : (152.689, 153.229)  (153.229, 153.369)  (153.369, 153.479)  (153.479, 153.809)  (153.809, 153.879)  (153.879, 154.259)  (154.259, 154.329)  (154.329, 154.529)  (154.529, 154.669)  (154.669, 154.989)  (154.989, 155.549)  (155.549, 155.619)  (155.619, 155.734)  (155.734, 155.849)  (155.849, 155.979) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185      80059801010185     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <eint>              <emp>               <emp>               Ġum                 Ġthat               's                  Ġtrue               Ġtoo                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (156.259, 156.429)  (156.429, 157.029)  (156.968, 157.098)  (157.098, 157.233)  (157.233, 157.368)  (157.368, 157.69)   (157.69, 158.048)   (-1.0, -1.0)        (158.518, 158.728)  (159.178, 159.258)  (159.258, 159.421)  (159.421, 159.808)  (159.808, 160.188)  (160.188, 160.418) 
Token Types      : 5                   0                   0                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80063559106567      0                   0                   80059264139274      80059264139274      80059264139274      80059264139274      80059264139274      80059264139274      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġcomes              Ġon                 Ġfirst              <yield>             <emp>               <emp>               <emp>               <emp>               Ġand                Ġuh                 Ġyou                Ġknow               Ġit                 Ġalso               Ġlate              
Timings          : (155.979, 156.259)  (156.259, 156.429)  (156.429, 157.029)  (-1.0, -1.0)        (157.098, 157.233)  (157.233, 157.368)  (157.368, 157.69)   (157.69, 158.048)   (158.158, 158.518)  (158.518, 158.728)  (159.178, 159.258)  (159.258, 159.421)  (159.421, 159.808)  (159.808, 160.188)  (160.188, 160.418) 
