A                : what                Ġdo                 Ġyou                Ġthink              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (80.872, 80.952)    (80.952, 81.421)    (81.435, 81.92)     (-1.0, -1.0)        (82.299, 82.399)    (82.399, 82.559)    (82.559, 82.589)    (82.589, 82.899)    (82.899, 83.199)    (83.199, 83.319)    (83.319, 83.629)    (83.629, 83.759)    (83.759, 84.036)    (84.921, 85.159)    (85.159, 85.389)   
Token Types      : 0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   80044231753734      80044231753734      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġof                 Ġminutes            <emp>               Ġyou                Ġknow               Ġthrough            Ġa                  Ġfax                Ġmachine            Ġand                Ġbecause            Ġof                 Ġthat               Ġthese              Ġquote             
Timings          : (80.872, 80.952)    (80.952, 81.421)    (81.435, 81.92)     (82.159, 82.299)    (82.299, 82.399)    (82.399, 82.559)    (82.559, 82.589)    (82.589, 82.899)    (82.899, 83.199)    (83.199, 83.319)    (83.319, 83.629)    (83.629, 83.759)    (83.759, 84.036)    (84.921, 85.159)    (85.159, 85.389)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (85.389, 85.544)    (85.544, 85.699)    (85.699, 86.469)    (86.623, 87.014)    (87.375, 87.789)    (87.789, 87.909)    (87.909, 88.229)    (88.229, 88.529)    (88.529, 88.889)    (89.013, 89.189)    (89.189, 89.379)    (89.379, 89.549)    (89.549, 89.909)    (89.909, 89.999)    (89.999, 90.109)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġun                 quote               Ġconvenience        Ġtype               Ġitems              Ġhave               Ġactually           Ġmade               Ġwork               Ġthat               Ġmuch               Ġmore               Ġintense            Ġand                Ġthat              
Timings          : (85.389, 85.544)    (85.544, 85.699)    (85.699, 86.469)    (86.623, 87.014)    (87.375, 87.789)    (87.789, 87.909)    (87.909, 88.229)    (88.229, 88.529)    (88.529, 88.889)    (89.013, 89.189)    (89.189, 89.379)    (89.379, 89.549)    (89.549, 89.909)    (89.909, 89.999)    (89.999, 90.109)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyou                're                 Ġexpected           <emp>               <emp>              
Timings          : (90.109, 90.299)    (90.299, 90.649)    (91.039, 91.376)    (-1.0, -1.0)        (91.609, 91.661)    (91.661, 91.713)    (91.713, 92.263)    (92.263, 92.383)    (92.383, 92.613)    (92.613, 92.763)    (92.899, 93.046)    (93.046, 93.194)    (93.194, 93.769)    (93.373, 93.433)    (93.433, 93.803)   
Token Types      : 0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   80044231753735      80044231753735      0                   0                   0                   0                   0                   0                   80045305495558      80045305495558      80045305495558      80045305495558      80045305495558     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : Ġmuch               Ġharder             <emp>               Ġbecause            Ġyou                're                 Ġexpected           Ġto                 Ġwork               Ġon                 Ġstuff              Ġup                 Ġuntil              Ġthe                Ġlast              
Timings          : (90.109, 90.299)    (90.299, 90.649)    (91.039, 91.376)    (91.402, 91.609)    (91.609, 91.661)    (91.661, 91.713)    (91.713, 92.263)    (92.263, 92.383)    (92.383, 92.613)    (92.613, 92.763)    (92.763, 93.043)    (93.043, 93.213)    (93.213, 93.373)    (93.373, 93.433)    (93.433, 93.803)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997      80042621140997     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġto                 Ġexactly            Ġand                Ġi                  Ġrecently           Ġread               Ġan                 Ġarticle            Ġon                 Ġjust               Ġthis               Ġthat               Ġsaid               Ġstress             Ġtoday             
Timings          : (93.769, 93.969)    (93.969, 94.709)    (94.709, 94.829)    (94.829, 94.969)    (94.969, 95.489)    (95.489, 95.659)    (95.659, 95.799)    (95.799, 96.249)    (96.249, 96.459)    (96.459, 96.839)    (96.839, 97.057)    (97.159, 97.297)    (97.452, 97.682)    (98.088, 98.569)    (98.569, 99.109)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġminute             <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (93.803, 94.073)    (-1.0, -1.0)        (94.709, 94.829)    (94.829, 94.969)    (94.969, 95.489)    (95.489, 95.659)    (95.659, 95.799)    (95.799, 96.249)    (96.249, 96.459)    (96.459, 96.839)    (96.839, 97.057)    (97.159, 97.297)    (97.452, 97.682)    (98.088, 98.569)    (98.569, 99.109)   
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80042621140997      80042621140997      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġis                 Ġso                 Ġmuch               Ġworse              Ġit                 Ġshould             Ġbe                 Ġless               Ġbecause            Ġwe                 Ġhave               Ġa                  Ġmicrowave          Ġand                Ġour               
Timings          : (99.109, 99.219)    (99.219, 99.389)    (99.389, 99.659)    (99.659, 99.979)    (99.979, 100.109)   (100.109, 100.359)  (100.359, 100.499)  (100.499, 100.929)  (100.929, 101.419)  (101.939, 102.089)  (102.089, 102.289)  (102.289, 102.369)  (102.369, 103.069)  (103.069, 103.179)  (103.179, 103.269) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (99.109, 99.219)    (99.219, 99.389)    (99.389, 99.659)    (99.659, 99.979)    (99.979, 100.109)   (100.109, 100.359)  (100.359, 100.499)  (100.499, 100.929)  (100.929, 101.419)  (101.939, 102.089)  (102.089, 102.289)  (102.289, 102.369)  (102.369, 103.069)  (103.069, 103.179)  (103.179, 103.269) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġgrandmother        's                  Ġhad                Ġto                 Ġbake               Ġbrown              ies                 Ġand                Ġwe                 Ġcan                Ġthrow              Ġthem               Ġin                 Ġa                  Ġmicrowave         
Timings          : (103.269, 103.569)  (103.569, 103.869)  (103.869, 104.049)  (104.049, 104.119)  (104.119, 104.379)  (104.379, 104.676)  (104.676, 104.974)  (104.974, 105.183)  (105.717, 105.947)  (105.947, 106.147)  (106.147, 106.357)  (106.357, 106.457)  (106.457, 106.557)  (106.557, 106.607)  (106.607, 107.286) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (103.269, 103.569)  (103.569, 103.869)  (103.869, 104.049)  (104.049, 104.119)  (104.119, 104.379)  (104.379, 104.676)  (104.676, 104.974)  (104.974, 105.183)  (105.717, 105.947)  (105.947, 106.147)  (106.147, 106.357)  (106.357, 106.457)  (106.457, 106.557)  (106.557, 106.607)  (106.607, 107.286) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġfor                Ġtwo                Ġminutes            Ġbut                Ġthe                Ġmore               Ġconven             iences              Ġwe                 Ġhave               Ġthe                Ġmore               Ġthat               's                  Ġexpected          
Timings          : (107.286, 107.418)  (107.418, 107.617)  (107.617, 108.067)  (108.067, 108.347)  (108.597, 108.667)  (108.667, 108.857)  (108.857, 109.277)  (109.277, 109.697)  (109.697, 109.877)  (109.877, 110.327)  (110.697, 110.797)  (110.797, 111.253)  (111.373, 111.48)   (111.48, 111.587)   (111.587, 112.177) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (107.286, 107.418)  (107.418, 107.617)  (107.617, 108.067)  (108.067, 108.347)  (108.597, 108.667)  (108.667, 108.857)  (108.857, 109.277)  (109.277, 109.697)  (109.697, 109.877)  (109.877, 110.327)  (110.697, 110.797)  (110.797, 111.253)  (111.373, 111.48)   (111.48, 111.587)   (111.587, 112.177) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġof                 Ġus                 <emp>               <emp>               Ġand                Ġwe                 Ġhave               Ġno                 Ġdowntime           Ġlike               Ġwe                 Ġdon                't                  Ġstop               Ġand               
Timings          : (112.177, 112.327)  (112.327, 112.537)  (112.703, 112.897)  (112.897, 113.091)  (113.117, 113.317)  (113.317, 113.417)  (113.417, 113.737)  (113.737, 114.166)  (114.264, 115.036)  (115.767, 115.918)  (115.918, 116.075)  (116.075, 116.245)  (116.245, 116.415)  (116.415, 116.835)  (116.835, 117.065) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (112.177, 112.327)  (112.327, 112.537)  (112.703, 112.897)  (112.897, 113.091)  (-1.0, -1.0)        (113.317, 113.417)  (113.417, 113.737)  (113.737, 114.166)  (114.264, 115.036)  (115.767, 115.918)  (115.918, 116.075)  (116.075, 116.245)  (116.245, 116.415)  (116.415, 116.835)  (116.835, 117.065) 
Token Types      : 0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   80044768624644      80044768624644      80044768624644      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwait               Ġfor                Ġthings             Ġto                 Ġhappen             Ġbecause            Ġwe                 Ġdon                't                  Ġhave               Ġto                 <emp>               Ġso                 Ġwe                 Ġkeep              
Timings          : (117.065, 117.395)  (117.395, 117.495)  (117.495, 117.845)  (117.845, 117.995)  (117.995, 118.445)  (118.445, 118.845)  (118.845, 118.925)  (118.925, 119.045)  (119.045, 119.165)  (119.165, 119.426)  (119.521, 119.722)  (119.975, 120.275)  (120.375, 120.6)    (120.6, 120.701)    (120.701, 120.991) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>              
Timings          : (117.065, 117.395)  (117.395, 117.495)  (117.495, 117.845)  (117.845, 117.995)  (117.995, 118.445)  (118.445, 118.845)  (118.845, 118.925)  (118.925, 119.045)  (119.045, 119.165)  (119.165, 119.426)  (119.521, 119.722)  (119.975, 120.275)  (-1.0, -1.0)        (120.6, 120.701)    (120.701, 120.991) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80044768624645      80044768624645      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                  


A                : Ġmoving             Ġwe                 Ġdon                't                  Ġstop               Ġand                Ġwait               Ġfor                Ġthe                Ġthings             Ġto                 Ġbake               Ġand                Ġthis               Ġto                
Timings          : (120.991, 121.441)  (121.571, 121.671)  (121.671, 121.786)  (121.786, 121.901)  (121.901, 122.231)  (122.231, 122.391)  (122.391, 122.681)  (122.681, 122.801)  (122.801, 122.921)  (122.921, 123.591)  (123.591, 123.751)  (123.751, 124.161)  (124.161, 124.381)  (124.381, 124.561)  (124.561, 124.701) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (120.991, 121.441)  (121.571, 121.671)  (121.671, 121.786)  (121.786, 121.901)  (121.901, 122.231)  (122.231, 122.391)  (122.391, 122.681)  (122.681, 122.801)  (122.801, 122.921)  (122.921, 123.591)  (123.591, 123.751)  (123.751, 124.161)  (124.161, 124.381)  (124.381, 124.561)  (124.561, 124.701) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhappen             Ġand                Ġthat               Ġto                 Ġhappen             Ġwe                 Ġjust               Ġhit                Ġbuttons            Ġand                Ġkeep               Ġgoing              Ġto                 Ġthe                Ġnext              
Timings          : (124.701, 125.061)  (125.061, 125.201)  (125.201, 125.411)  (125.411, 125.501)  (125.501, 125.901)  (125.901, 126.081)  (126.081, 126.381)  (126.381, 126.551)  (126.551, 126.931)  (126.931, 127.121)  (127.121, 127.351)  (127.351, 127.591)  (127.591, 127.711)  (127.711, 127.801)  (127.801, 128.161) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (124.701, 125.061)  (125.061, 125.201)  (125.201, 125.411)  (125.411, 125.501)  (125.501, 125.901)  (125.901, 126.081)  (126.081, 126.381)  (126.381, 126.551)  (126.551, 126.931)  (126.931, 127.121)  (127.121, 127.351)  (127.351, 127.591)  (127.591, 127.711)  (127.711, 127.801)  (127.801, 128.161) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthing              Ġso                 Ġwe                 Ġhave               Ġno                 Ġrelaxation         Ġtime               Ġin                 Ġbetween            <emp>               <emp>               Ġso                 Ġthey               Ġsay                Ġthat              
Timings          : (128.161, 128.389)  (128.833, 129.071)  (129.071, 129.161)  (129.161, 129.421)  (129.421, 129.671)  (129.671, 130.431)  (130.431, 130.681)  (130.681, 130.821)  (130.821, 131.385)  (131.646, 131.837)  (131.837, 132.028)  (132.131, 132.337)  (132.337, 132.529)  (132.529, 132.709)  (132.709, 132.834) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558      80045305495558     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>              
