A                : the                 Ġbiggest            Ġsocial             Ġchange             Ġthat               Ġi                  've                 Ġseen               Ġin                 Ġthe                Ġlast               Ġten                Ġyears              Ġis                 Ġthat              
turn_ids         : 83035139604485      83035139604485      0                   0                   83036213346308      83036213346308      83036213346308      83036213346308      83036213346308      83036213346308      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015     
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (95.133, 95.233)    (95.233, 95.423)    (95.423, 95.693)    (95.693, 95.793)    (95.793, 95.963)    (95.963, 96.133)    (96.133, 96.193)    (96.193, 96.253)    (96.253, 96.493)    (96.493, 96.783)    (96.783, 97.233)    (97.504, 97.855)    (97.855, 97.953)    (97.953, 98.123)    (98.123, 98.513)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġart                Ġform               Ġto                 Ġsee                Ġsome               Ġof                 Ġthe                Ġyou                Ġknow               Ġolder              Ġor                 Ġor                 Ġmore               Ġexperienced       
Timings          : (95.133, 95.233)    (95.233, 95.423)    (95.423, 95.693)    (95.693, 95.793)    (95.793, 95.963)    (95.963, 96.133)    (96.133, 96.193)    (96.193, 96.253)    (96.253, 96.493)    (96.493, 96.783)    (96.783, 97.233)    (97.504, 97.855)    (97.855, 97.953)    (97.953, 98.123)    (98.123, 98.513)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (98.513, 98.803)    (98.803, 99.093)    (99.093, 99.353)    (99.353, 99.423)    (99.423, 99.533)    (99.533, 99.823)    (99.823, 100.023)   (100.023, 100.243)  (100.243, 100.443)  (100.443, 100.643)  (100.643, 100.813)  (100.813, 100.953)  (100.953, 101.093)  (101.093, 101.233)  (101.233, 101.393) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġcash               iers                Ġgo                 Ġyou                Ġknow               Ġfly                Ġthrough            Ġthat               Ġis                 Ġlike               Ġthose              Ġj                  apan                ese                 Ġhipp              
Timings          : (98.513, 98.803)    (98.803, 99.093)    (99.093, 99.353)    (99.353, 99.423)    (99.423, 99.533)    (99.533, 99.823)    (99.823, 100.023)   (100.023, 100.243)  (100.243, 100.443)  (100.443, 100.643)  (100.643, 100.813)  (100.813, 100.953)  (100.953, 101.093)  (101.093, 101.233)  (101.233, 101.393) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (101.393, 101.553)  (101.553, 101.663)  (101.663, 101.776)  (101.776, 101.883)  (101.883, 102.103)  (102.103, 102.323)  (102.323, 102.453)  (102.453, 102.857)  (102.913, 103.358)  (-1.0, -1.0)        (104.653, 105.289)  (105.289, 105.64)   (105.64, 105.96)    (105.96, 106.17)    (106.17, 106.38)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   83033528991750      83033528991750      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                  

B                : ies                 Ġsee                Ġwhat               Ġthe                Ġab                 acus                Ġis                 Ġstill              <emp>               Ġuh                 Ġso                 Ġuh                 Ġmaybe              Ġthat               's                 
Timings          : (101.393, 101.553)  (101.553, 101.663)  (101.663, 101.776)  (101.776, 101.883)  (101.883, 102.103)  (102.103, 102.323)  (102.323, 102.453)  (102.453, 102.857)  (102.913, 103.358)  (103.878, 104.265)  (104.653, 105.289)  (105.289, 105.64)   (105.64, 105.96)    (105.96, 106.17)    (106.17, 106.38)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (106.38, 106.579)   (106.579, 106.619)  (106.619, 106.95)   (106.95, 107.537)   (107.537, 107.99)   (107.99, 108.429)   (108.429, 108.77)   (108.77, 109.177)   (109.464, 109.718)  (110.109, 110.345)  (110.345, 110.843)  (111.152, 111.395)  (111.395, 111.565)  (111.565, 111.825)  (111.825, 111.885) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġjust               Ġa                  Ġdifferent          Ġviewpoint          Ġuh                 Ġbut                Ġuh                 Ġi                  Ġjust               Ġremember           Ġeverything         Ġwell               Ġjust               Ġwriting            Ġa                 
Timings          : (106.38, 106.579)   (106.579, 106.619)  (106.619, 106.95)   (106.95, 107.537)   (107.537, 107.99)   (107.99, 108.429)   (108.429, 108.77)   (108.77, 109.177)   (109.464, 109.718)  (110.109, 110.345)  (110.345, 110.843)  (111.152, 111.395)  (111.395, 111.565)  (111.565, 111.825)  (111.825, 111.885) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (111.885, 112.275)  (112.275, 112.555)  (112.555, 112.745)  (112.745, 113.105)  (113.105, 113.185)  (113.185, 113.475)  (113.475, 113.535)  (113.535, 113.782)  (113.782, 113.975)  (113.975, 114.385)  (114.385, 114.975)  (114.975, 115.045)  (115.045, 115.165)  (115.165, 115.235)  (115.235, 115.485) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġletter             Ġfor                Ġfor                Ġwork               Ġyou                Ġknow               Ġi                  Ġmean               Ġin                 Ġword               Ġprocessor          Ġyou                Ġknow               Ġwe                 Ġcan               
Timings          : (111.885, 112.275)  (112.275, 112.555)  (112.555, 112.745)  (112.745, 113.105)  (113.105, 113.185)  (113.185, 113.475)  (113.475, 113.535)  (113.535, 113.782)  (113.782, 113.975)  (113.975, 114.385)  (114.385, 114.975)  (114.975, 115.045)  (115.045, 115.165)  (115.165, 115.235)  (115.235, 115.485) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (116.346, 116.409)  (116.409, 116.559)  (116.559, 116.609)  (116.609, 116.704)  (116.704, 116.799)  (116.799, 116.929)  (116.929, 117.379)  (117.379, 117.699)  (117.699, 117.859)  (117.859, 117.969)  (117.969, 118.129)  (118.129, 118.589)  (118.589, 119.27)   (119.27, 119.559)   (119.559, 119.889) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġto                 Ġme                 Ġi                  Ġcan                't                  Ġeven               Ġimage              Ġnow                Ġhow                Ġthey               Ġeven               Ġproduced           Ġbooks              Ġor                 Ġletters           
Timings          : (116.346, 116.409)  (116.409, 116.559)  (116.559, 116.609)  (116.609, 116.704)  (116.704, 116.799)  (116.799, 116.929)  (116.929, 117.379)  (117.379, 117.699)  (117.699, 117.859)  (117.859, 117.969)  (117.969, 118.129)  (118.129, 118.589)  (118.589, 119.27)   (119.27, 119.559)   (119.559, 119.889) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (119.889, 120.169)  (120.169, 120.349)  (120.349, 121.029)  (121.029, 121.149)  (121.149, 121.325)  (121.325, 121.439)  (121.439, 121.484)  (121.484, 121.529)  (121.529, 121.629)  (121.629, 121.743)  (121.743, 122.059)  (122.059, 122.419)  (122.419, 122.919)  (122.919, 122.999)  (122.999, 123.149) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbefore             Ġword               Ġprocessors         Ġyou                Ġknow               Ġthen               Ġwe                 'd                  Ġhave               Ġto                 Ġthrough            Ġfifty              Ġiterations         Ġat                 Ġleast             
Timings          : (119.889, 120.169)  (120.169, 120.349)  (120.349, 121.029)  (121.029, 121.149)  (121.149, 121.325)  (121.325, 121.439)  (121.439, 121.484)  (121.484, 121.529)  (121.529, 121.629)  (121.629, 121.743)  (121.743, 122.059)  (122.059, 122.419)  (122.419, 122.919)  (122.919, 122.999)  (122.999, 123.149) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġi                  Ġfound              Ġall                Ġthrough            Ġschool             Ġyou               
Timings          : (123.149, 123.209)  (123.209, 123.349)  (123.349, 123.439)  (123.439, 123.709)  (123.709, 124.069)  (124.069, 124.179)  (124.179, 124.63)   (124.738, 124.986)  (124.986, 125.384)  (125.384, 125.585)  (125.585, 126.138)  (126.496, 126.799)  (126.799, 126.999)  (126.999, 127.419)  (127.419, 127.519) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġthe                Ġway                Ġi                  Ġwrite              Ġletters            Ġand                Ġthings             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (123.149, 123.209)  (123.209, 123.349)  (123.349, 123.439)  (123.439, 123.709)  (123.709, 124.069)  (124.069, 124.179)  (124.179, 124.63)   (-1.0, -1.0)        (124.986, 125.384)  (125.384, 125.585)  (125.585, 126.138)  (126.496, 126.799)  (126.799, 126.999)  (126.999, 127.419)  (127.419, 127.519) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      83031918379015      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġknow               Ġyou                Ġwrite              Ġyour               Ġhand               Ġto                 Ġdeath              Ġyou                Ġgo                 Ġthrough            Ġpens               Ġand                Ġuh                 Ġi                  'm                 
Timings          : (127.519, 127.639)  (127.639, 127.799)  (127.799, 128.069)  (128.069, 128.229)  (128.229, 128.529)  (128.529, 128.629)  (128.629, 128.929)  (128.929, 129.019)  (129.019, 129.179)  (129.179, 129.379)  (129.379, 129.779)  (129.779, 129.939)  (129.939, 130.103)  (130.529, 130.639)  (130.639, 130.749) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (127.519, 127.639)  (127.639, 127.799)  (127.799, 128.069)  (128.069, 128.229)  (128.229, 128.529)  (128.529, 128.629)  (128.629, 128.929)  (128.929, 129.019)  (129.019, 129.179)  (129.179, 129.379)  (129.379, 129.779)  (129.779, 129.939)  (129.939, 130.103)  (130.529, 130.639)  (130.639, 130.749) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġactually           Ġbecause            Ġi                  Ġhave               Ġtwo                Ġcomputers          Ġhere               Ġi                  'm                  Ġactually           Ġlo                 osing               Ġthe                Ġability            Ġto                
Timings          : (130.749, 131.229)  (131.229, 131.669)  (131.669, 131.947)  (131.947, 132.169)  (132.169, 132.319)  (132.319, 132.949)  (132.949, 133.182)  (133.652, 133.754)  (133.754, 133.856)  (133.856, 134.359)  (134.359, 134.664)  (134.664, 134.969)  (134.969, 135.029)  (135.029, 135.589)  (135.589, 135.799) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (130.749, 131.229)  (131.229, 131.669)  (131.669, 131.947)  (131.947, 132.169)  (132.169, 132.319)  (132.319, 132.949)  (132.949, 133.182)  (133.652, 133.754)  (133.754, 133.856)  (133.856, 134.359)  (134.359, 134.664)  (134.664, 134.969)  (134.969, 135.029)  (135.029, 135.589)  (135.589, 135.799) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwrite              Ġby                 Ġhand               Ġand                Ġfeel               Ġcomfortable        Ġdoing              Ġit                 Ġit                 's                  Ġtoo                Ġslow               Ġi                  Ġthink              Ġthe               
Timings          : (135.799, 136.209)  (136.209, 136.472)  (136.472, 136.879)  (136.879, 137.039)  (137.039, 137.309)  (137.309, 137.949)  (137.949, 138.419)  (138.419, 138.55)   (140.037, 140.158)  (140.158, 140.279)  (140.279, 140.559)  (140.559, 141.039)  (141.039, 141.293)  (141.293, 141.621)  (141.772, 141.859) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (135.799, 136.209)  (136.209, 136.472)  (136.472, 136.879)  (136.879, 137.039)  (137.039, 137.309)  (137.309, 137.949)  (137.949, 138.419)  (138.419, 138.55)   (140.037, 140.158)  (140.158, 140.279)  (140.279, 140.559)  (140.559, 141.039)  (141.039, 141.293)  (141.293, 141.621)  (141.772, 141.859) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġspeed              Ġof                 Ġthe                Ġcomputer           Ġi                  Ġthink              Ġmuch               Ġfaster             Ġbecause            Ġi                  Ġcan                Ġtype               Ġmuch               Ġfaster             Ġthan              
Timings          : (141.859, 142.229)  (142.229, 142.299)  (142.299, 142.369)  (142.369, 142.509)  (142.509, 142.639)  (142.639, 143.029)  (143.029, 143.319)  (143.319, 143.759)  (143.759, 144.049)  (144.049, 144.109)  (144.109, 144.289)  (144.289, 144.599)  (144.599, 144.839)  (144.839, 145.209)  (145.209, 145.369) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104      83031381508104     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
