A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               well                Ġi                  Ġhave               Ġfive               <eot>               <emp>               <emp>               right              
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>              
Timings          : (62.269, 62.333)    (62.333, 62.541)    (62.541, 62.631)    (62.631, 62.661)    (62.661, 62.851)    (62.851, 63.001)    (63.001, 63.371)    (63.371, 63.451)    (63.451, 63.571)    (63.571, 64.171)    (64.201, 64.358)    (64.358, 64.516)    (64.516, 64.674)    (-1.0, -1.0)        (64.901, 64.981)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   3                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79597555154950      79597555154950      79597555154950      79597555154950      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   0                  

B                : Ġi                  Ġsay                Ġand                Ġi                  Ġhave               Ġa                  Ġbrother            Ġin                 Ġhis                Ġtwenties           <emp>               <emp>               <emp>               Ġand                Ġi                 
Timings          : (62.269, 62.333)    (62.333, 62.541)    (62.541, 62.631)    (62.631, 62.661)    (62.661, 62.851)    (62.851, 63.001)    (63.001, 63.371)    (63.371, 63.451)    (63.451, 63.571)    (63.571, 64.171)    (64.201, 64.358)    (64.358, 64.516)    (64.516, 64.674)    (64.74, 64.901)     (64.901, 64.981)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (64.981, 65.233)    (65.291, 65.431)    (65.431, 65.851)    (65.851, 65.941)    (65.941, 66.551)    (66.583, 67.084)    (-1.0, -1.0)        (67.408, 67.518)    (67.518, 68.038)    (68.038, 68.148)    (68.148, 68.338)    (68.338, 68.478)    (68.478, 68.718)    (68.718, 68.818)    (68.818, 68.968)   
Token Types      : 0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   79597555154951      79597555154951      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwas                Ġi                  Ġwas                Ġthe                Ġyoungest           <emp>               Ġso                 Ġi                  Ġunderstand         Ġhow                Ġthat               Ġworked             Ġand                Ġhe                 Ġwas               
Timings          : (64.981, 65.233)    (65.291, 65.431)    (65.431, 65.851)    (65.851, 65.941)    (65.941, 66.551)    (66.583, 67.084)    (67.218, 67.408)    (67.408, 67.518)    (67.518, 68.038)    (68.038, 68.148)    (68.148, 68.338)    (68.338, 68.478)    (68.478, 68.718)    (68.718, 68.818)    (68.818, 68.968)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              Ġthat               's                  Ġexactly            Ġhow                Ġit                 Ġis                
Timings          : (68.968, 69.388)    (69.388, 69.598)    (69.598, 69.728)    (69.728, 69.918)    (69.998, 70.298)    (70.298, 70.748)    (70.748, 70.808)    (70.808, 71.274)    (71.134, 71.578)    (71.578, 71.698)    (71.698, 71.818)    (71.818, 72.557)    (72.606, 72.828)    (72.828, 72.938)    (72.938, 73.198)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġtreated            Ġlike               Ġhe                 Ġhad                Ġfive               Ġfathers            Ġor                 Ġsomething          <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (68.968, 69.388)    (69.388, 69.598)    (69.598, 69.728)    (69.728, 69.918)    (69.998, 70.298)    (70.298, 70.748)    (70.748, 70.808)    (70.808, 71.274)    (-1.0, -1.0)        (71.578, 71.698)    (71.698, 71.818)    (71.818, 72.557)    (72.606, 72.828)    (72.828, 72.938)    (72.938, 73.198)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      79599165767688      0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġyou                Ġknow               Ġshe                's                  Ġgot                Ġall                Ġthese              Ġsisters            Ġand                Ġher                Ġbrother            Ġto                 Ġtake               Ġcare               Ġof                
Timings          : (73.198, 73.298)    (73.298, 73.428)    (73.428, 73.572)    (73.572, 73.717)    (73.781, 73.938)    (73.938, 74.108)    (74.108, 74.431)    (74.645, 75.139)    (75.248, 75.418)    (75.418, 75.508)    (75.508, 75.818)    (75.818, 75.928)    (75.928, 76.188)    (76.188, 76.408)    (76.408, 76.478)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (73.198, 73.298)    (73.298, 73.428)    (73.428, 73.572)    (73.572, 73.717)    (73.781, 73.938)    (73.938, 74.108)    (74.108, 74.431)    (74.645, 75.139)    (75.248, 75.418)    (75.418, 75.508)    (75.508, 75.818)    (75.818, 75.928)    (75.928, 76.188)    (76.188, 76.408)    (76.408, 76.478)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġher                Ġwhen               Ġthings             Ġdon                't                  Ġgo                 Ġright              Ġshe                Ġjust               Ġcalls              Ġone                Ġof                 Ġthem               Ġyou                Ġknow              
Timings          : (76.558, 76.842)    (77.279, 77.418)    (77.418, 77.718)    (77.718, 77.858)    (77.858, 77.998)    (77.998, 78.238)    (78.238, 78.508)    (78.508, 78.658)    (78.658, 78.958)    (78.958, 79.268)    (79.268, 79.468)    (79.468, 79.558)    (79.558, 79.868)    (79.868, 80.018)    (80.018, 80.378)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (76.558, 76.842)    (77.279, 77.418)    (77.418, 77.718)    (77.718, 77.858)    (77.858, 77.998)    (77.998, 78.238)    (78.238, 78.508)    (78.508, 78.658)    (78.658, 78.958)    (78.958, 79.268)    (79.268, 79.468)    (79.468, 79.558)    (79.558, 79.868)    (79.868, 80.018)    (80.018, 80.378)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : <emp>               Ġbut                Ġum                 Ġyeah               Ġit                 's                  Ġit                 's                  Ġa                  Ġlittle             Ġbit                Ġdifficult          Ġthough             Ġi                  Ġthink             
Timings          : (80.309, 80.719)    (80.92, 81.248)     (81.248, 81.613)    (81.963, 82.139)    (82.139, 82.259)    (82.259, 82.379)    (82.509, 82.609)    (82.609, 82.709)    (82.709, 82.759)    (82.759, 82.939)    (82.939, 83.079)    (83.079, 83.647)    (83.703, 83.879)    (83.879, 83.989)    (83.989, 84.189)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (80.309, 80.719)    (-1.0, -1.0)        (81.248, 81.613)    (81.963, 82.139)    (82.139, 82.259)    (82.259, 82.379)    (82.509, 82.609)    (82.609, 82.709)    (82.709, 82.759)    (82.759, 82.939)    (82.939, 83.079)    (83.079, 83.647)    (83.703, 83.879)    (83.879, 83.989)    (83.989, 84.189)   
Token Types      : 3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79598092025862      79598092025862      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġit                 Ġwas                Ġeasier             Ġwhen               Ġthey               Ġall                Ġhad                Ġeach               Ġother              Ġand                Ġcould              Ġentertain          Ġeach               Ġother              Ġand               
Timings          : (84.189, 84.249)    (84.249, 84.409)    (84.409, 84.809)    (84.809, 84.979)    (84.979, 85.099)    (85.099, 85.259)    (85.259, 85.449)    (85.449, 85.669)    (85.669, 85.989)    (85.989, 86.129)    (86.129, 86.299)    (86.891, 87.379)    (87.379, 87.599)    (87.599, 87.918)    (87.949, 88.079)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (84.189, 84.249)    (84.249, 84.409)    (84.409, 84.809)    (84.809, 84.979)    (84.979, 85.099)    (85.099, 85.259)    (85.259, 85.449)    (85.449, 85.669)    (85.669, 85.989)    (85.989, 86.129)    (86.129, 86.299)    (86.891, 87.379)    (87.379, 87.599)    (87.599, 87.918)    (87.949, 88.079)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġwas                Ġhome               Ġmore               Ġand                <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (88.079, 88.189)    (88.189, 88.389)    (88.389, 88.609)    (88.609, 88.886)    (89.398, 89.657)    (-1.0, -1.0)        (89.648, 89.772)    (89.772, 89.896)    (90.07, 90.204)     (90.204, 90.234)    (90.234, 90.414)    (90.414, 90.494)    (90.494, 91.074)    (91.074, 91.354)    (91.354, 91.644)   
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      79595407671305      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               Ġdid                Ġy                  '                   all                 Ġdo                 Ġa                  Ġlot                Ġof                 Ġorganized          Ġthings             Ġlike              
Timings          : (88.079, 88.189)    (88.189, 88.389)    (88.389, 88.609)    (88.609, 88.886)    (89.361, 89.524)    (89.524, 89.648)    (89.648, 89.772)    (89.772, 89.896)    (90.07, 90.204)     (90.204, 90.234)    (90.234, 90.414)    (90.414, 90.494)    (90.494, 91.074)    (91.074, 91.354)    (91.354, 91.644)   
Token Types      : 0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   79599165767690      79599165767690      79599165767690      79599165767690      79599165767690      79599165767690      79599165767690      79599165767690      79599165767690      79599165767690      79599165767690     
turn_end_types   : 0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġwe                 <emp>               Ġwe                 Ġreally             Ġdid                Ġnot                Ġmy                 Ġnext               Ġoldest             Ġdaughter           Ġthat              
Timings          : (91.644, 91.925)    (92.114, 92.334)    (92.334, 92.884)    (92.884, 93.117)    (93.515, 93.678)    (93.854, 93.957)    (93.995, 94.271)    (94.271, 94.621)    (94.621, 94.871)    (94.871, 95.271)    (95.271, 95.646)    (95.741, 96.071)    (96.071, 96.451)    (96.451, 96.801)    (96.801, 96.931)   
Token Types      : 0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779     
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġuh                 Ġlittle             Ġleague             Ġuh                 Ġsoccer             Ġand                <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (91.644, 91.925)    (92.114, 92.334)    (92.334, 92.884)    (92.884, 93.117)    (93.304, 93.854)    (93.854, 93.957)    (-1.0, -1.0)        (94.271, 94.621)    (94.621, 94.871)    (94.871, 95.271)    (95.271, 95.646)    (95.741, 96.071)    (96.071, 96.451)    (96.451, 96.801)    (96.801, 96.931)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79599165767690      79599165767690      79599165767690      79599165767690      79599165767690      79599165767690      79599165767690      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 's                  Ġin                 Ġcollege            Ġin                 Ġcal                if                  ornia               Ġis                 Ġa                  Ġworld              Ġtw                 irling              Ġchampion           Ġshe                Ġtw                
Timings          : (96.931, 97.061)    (97.061, 97.191)    (97.191, 97.651)    (97.651, 97.761)    (97.761, 97.997)    (97.997, 98.234)    (98.234, 98.471)    (98.471, 98.55)     (98.712, 98.841)    (98.841, 99.166)    (99.245, 99.473)    (99.473, 99.701)    (99.701, 100.261)   (100.261, 100.361)  (100.361, 100.477) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (96.931, 97.061)    (97.061, 97.191)    (97.191, 97.651)    (97.651, 97.761)    (97.761, 97.997)    (97.997, 98.234)    (98.234, 98.471)    (98.471, 98.55)     (98.712, 98.841)    (98.841, 99.166)    (99.245, 99.473)    (99.473, 99.701)    (99.701, 100.261)   (100.261, 100.361)  (100.361, 100.477) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : irl                 s                   Ġa                  Ġbat                on                  Ġand                Ġwe                 Ġdid                Ġa                  Ġlot                Ġof                 Ġthings             Ġtogether           <emp>               <emp>              
Timings          : (100.477, 100.593)  (100.593, 100.71)   (100.71, 100.8)     (100.8, 101.005)    (101.005, 101.211)  (102.353, 102.819)  (103.363, 103.691)  (103.691, 103.881)  (103.881, 103.951)  (103.951, 104.121)  (104.121, 104.251)  (104.251, 104.601)  (104.601, 105.165)  (105.44, 105.542)   (105.542, 105.644) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                 
Timings          : (100.477, 100.593)  (100.593, 100.71)   (100.71, 100.8)     (100.8, 101.005)    (101.005, 101.211)  (102.353, 102.819)  (103.363, 103.691)  (103.691, 103.881)  (103.881, 103.951)  (103.951, 104.121)  (104.121, 104.251)  (104.251, 104.601)  (104.601, 105.165)  (105.44, 105.542)   (105.542, 105.644) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79598092025864      79598092025864     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : <emp>               Ġshe                Ġand                Ġi                  Ġdid                Ġa                  Ġlot                Ġof                 Ġthings             Ġtogether           Ġand                Ġflew               Ġwe                 've                 Ġflown             
Timings          : (105.644, 105.746)  (106.058, 106.341)  (106.341, 106.481)  (106.481, 106.621)  (106.621, 106.821)  (106.821, 106.891)  (106.891, 107.071)  (107.071, 107.149)  (107.225, 107.511)  (107.511, 108.096)  (108.171, 108.597)  (108.71, 108.988)   (109.108, 109.2)    (109.2, 109.291)    (109.351, 109.571) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779      79598628896779     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
