A                : well                Ġi                  'm                  Ġare                Ġyou                Ġthere              <emp>               Ġokay               Ġi                  'm                  Ġsure               Ġthat               Ġi                  Ġprobably           Ġum                
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>              
Timings          : (61.435, 61.585)    (61.585, 61.688)    (61.688, 61.812)    (61.812, 61.96)     (61.96, 62.19)      (62.19, 62.41)      (62.41, 62.52)      (62.52, 62.72)      (62.72, 63.12)      (63.726, 64.216)    (-1.0, -1.0)        (64.359, 64.439)    (64.439, 64.519)    (64.519, 64.759)    (64.759, 65.079)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   81745038802950      81745038802950      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                  

B                : Ġand                Ġshe                Ġand                Ġshe                Ġstill              Ġlikes              Ġto                 Ġget                Ġtime               <emp>               Ġwhich              Ġi                  've                 Ġnever              Ġliked             
Timings          : (61.435, 61.585)    (61.585, 61.688)    (61.688, 61.812)    (61.812, 61.96)     (61.96, 62.19)      (62.19, 62.41)      (62.41, 62.52)      (62.52, 62.72)      (62.72, 63.12)      (63.726, 64.216)    (64.179, 64.359)    (64.359, 64.439)    (64.439, 64.519)    (64.519, 64.759)    (64.759, 65.079)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81743428190213      81743428190213      81743428190213      81743428190213      81743428190213      81743428190213      81743428190213      81743428190213      81743428190213      81743428190213      81743428190213      81743428190213      81743428190213      81743428190213      81743428190213     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġdon                't                  Ġi                  Ġif                 Ġi                  Ġyou                Ġknow              
Timings          : (65.079, 65.269)    (65.269, 65.609)    (65.609, 65.769)    (65.769, 65.899)    (65.899, 66.199)    (66.199, 66.409)    (66.821, 67.23)     (67.23, 67.394)     (67.394, 67.49)     (67.49, 67.586)     (67.718, 67.926)    (68.149, 68.418)    (68.418, 68.758)    (68.758, 68.858)    (68.858, 69.028)   
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302     
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġvery               Ġmuch               Ġbut                Ġshe                Ġseems              Ġto                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (65.079, 65.269)    (65.269, 65.609)    (65.609, 65.769)    (65.769, 65.899)    (65.899, 66.199)    (66.199, 66.409)    (-1.0, -1.0)        (67.23, 67.394)     (67.394, 67.49)     (67.49, 67.586)     (67.718, 67.926)    (68.149, 68.418)    (68.418, 68.758)    (68.758, 68.858)    (68.858, 69.028)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81743428190213      81743428190213      81743428190213      81743428190213      81743428190213      81743428190213      81743428190213      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġif                 Ġif                 Ġi                  Ġhappen             Ġto                 Ġfind               Ġit                 Ġi                  'll                 Ġgo                 Ġahead              Ġand                Ġread               Ġit                 Ġsome              
Timings          : (69.028, 69.181)    (69.535, 69.728)    (69.728, 69.818)    (69.818, 70.088)    (70.088, 70.178)    (70.178, 70.558)    (70.558, 70.628)    (70.628, 70.708)    (70.708, 70.788)    (70.788, 70.918)    (70.918, 71.138)    (71.138, 71.248)    (71.248, 71.338)    (71.338, 71.638)    (71.638, 71.938)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (69.028, 69.181)    (69.535, 69.728)    (69.728, 69.818)    (69.818, 70.088)    (70.088, 70.178)    (70.178, 70.558)    (70.558, 70.628)    (70.628, 70.708)    (70.708, 70.788)    (70.788, 70.918)    (70.918, 71.138)    (71.138, 71.248)    (71.248, 71.338)    (71.338, 71.638)    (71.638, 71.938)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : place               Ġyou                Ġknow               Ġif                 Ġi                  'm                  Ġin                 Ġa                  Ġdoctor             's                  Ġoffice             Ġor                 Ġsomething          Ġlike               Ġthat              
Timings          : (71.938, 72.238)    (72.238, 72.318)    (72.318, 72.418)    (72.418, 72.508)    (72.508, 72.568)    (72.568, 72.628)    (72.628, 72.718)    (72.718, 72.788)    (72.788, 73.003)    (73.003, 73.218)    (73.218, 73.638)    (73.638, 73.708)    (73.708, 74.018)    (74.018, 74.218)    (74.218, 74.508)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (71.938, 72.238)    (72.238, 72.318)    (72.318, 72.418)    (72.418, 72.508)    (72.508, 72.568)    (72.568, 72.628)    (72.628, 72.718)    (72.718, 72.788)    (72.788, 73.003)    (73.003, 73.218)    (73.218, 73.638)    (73.638, 73.708)    (73.708, 74.018)    (74.018, 74.218)    (74.218, 74.508)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbut                Ġother              Ġthan               Ġthat               Ġi                  Ġnever              Ġi                  Ġnever              Ġliked              Ġthat               Ġreally             <eot>               <emp>               <emp>               <emp>              
Timings          : (75.088, 75.348)    (75.348, 75.578)    (75.578, 75.748)    (75.748, 75.958)    (75.958, 76.038)    (76.038, 76.398)    (76.926, 77.032)    (77.032, 77.228)    (77.228, 77.538)    (77.538, 77.758)    (77.758, 78.101)    (-1.0, -1.0)        (78.646, 78.746)    (78.746, 78.956)    (78.956, 79.016)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      81742891319302      0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġdo                 Ġyou                Ġread               Ġa                 
Timings          : (75.088, 75.348)    (75.348, 75.578)    (75.578, 75.748)    (75.748, 75.958)    (75.958, 76.038)    (76.038, 76.398)    (76.926, 77.032)    (77.032, 77.228)    (77.228, 77.538)    (77.538, 77.758)    (77.758, 78.101)    (78.566, 78.646)    (78.646, 78.746)    (78.746, 78.956)    (78.956, 79.016)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81743428190215      81743428190215      81743428190215      81743428190215     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  


A                : <emp>               Ġi                  Ġread               Ġmy                 Ġnewspaper          Ġi                  Ġcan                Ġhardly             Ġwait               Ġin                 Ġthe                Ġmornings           Ġfor                Ġthe                Ġnewspaper         
Timings          : (79.016, 79.736)    (79.984, 80.215)    (80.215, 80.424)    (80.424, 80.545)    (80.545, 81.104)    (81.104, 81.164)    (81.164, 81.304)    (81.304, 81.575)    (81.575, 81.814)    (81.814, 81.874)    (81.874, 81.935)    (81.935, 82.314)    (82.314, 82.414)    (82.414, 82.484)    (82.484, 82.975)   
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġnewspaper          <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah              
Timings          : (79.016, 79.736)    (-1.0, -1.0)        (80.215, 80.424)    (80.424, 80.545)    (80.545, 81.104)    (81.104, 81.164)    (81.164, 81.304)    (81.304, 81.575)    (81.575, 81.814)    (81.814, 81.874)    (81.874, 81.935)    (81.935, 82.314)    (82.314, 82.414)    (82.414, 82.484)    (82.647, 82.927)   
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 81743428190215      81743428190215      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81745575673862     
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : Ġto                 Ġget                Ġhere               Ġyou                Ġknow               Ġso                 Ġi                  Ġdo                 Ġlike               Ġto                 Ġread               Ġthe                Ġnewspaper          Ġum                 Ġand               
Timings          : (82.975, 83.045)    (83.045, 83.265)    (83.265, 83.494)    (84.37, 84.576)     (84.576, 84.756)    (84.756, 84.906)    (84.906, 84.986)    (84.986, 85.196)    (85.196, 85.436)    (85.546, 85.666)    (85.666, 85.856)    (85.856, 85.926)    (85.926, 86.773)    (87.327, 87.827)    (88.277, 88.437)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (83.045, 83.265)    (83.265, 83.494)    (84.37, 84.576)     (84.576, 84.756)    (84.756, 84.906)    (84.906, 84.986)    (84.986, 85.196)    (85.196, 85.436)    (85.546, 85.666)    (85.666, 85.856)    (85.856, 85.926)    (85.926, 86.773)    (87.327, 87.827)    (88.277, 88.437)   
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81745575673862      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġeven               Ġthis               Ġlittle             Ġnewspaper          Ġthat               Ġpat                terson              Ġputs               Ġout                Ġin                 Ġfact               Ġit                 Ġit                 Ġputs               Ġit                
Timings          : (88.437, 88.727)    (88.727, 88.917)    (88.917, 89.161)    (89.53, 90.067)     (90.067, 90.267)    (90.267, 90.507)    (90.507, 90.747)    (90.747, 91.027)    (91.027, 91.237)    (91.237, 91.497)    (91.497, 91.757)    (91.757, 91.987)    (91.987, 92.157)    (92.157, 92.347)    (92.347, 92.447)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (88.437, 88.727)    (88.727, 88.917)    (88.917, 89.161)    (89.53, 90.067)     (90.067, 90.267)    (90.267, 90.507)    (90.507, 90.747)    (90.747, 91.027)    (91.027, 91.237)    (91.237, 91.497)    (91.497, 91.757)    (91.757, 91.987)    (91.987, 92.157)    (92.157, 92.347)    (92.347, 92.447)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġout                Ġon                 Ġt                  ues                 days                Ġand                Ġth                 urs                 days                Ġi                  Ġcan                Ġhardly             Ġwait               Ġto                 Ġget               
Timings          : (92.447, 92.567)    (92.567, 92.707)    (92.707, 92.861)    (92.861, 93.014)    (93.014, 93.167)    (93.167, 93.307)    (93.307, 93.493)    (93.493, 93.679)    (93.679, 93.866)    (94.453, 94.547)    (94.547, 94.687)    (94.687, 94.987)    (94.987, 95.257)    (95.257, 95.447)    (95.787, 95.987)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (92.447, 92.567)    (92.567, 92.707)    (92.707, 92.861)    (92.861, 93.014)    (93.014, 93.167)    (93.167, 93.307)    (93.307, 93.493)    (93.493, 93.679)    (93.679, 93.866)    (94.453, 94.547)    (94.547, 94.687)    (94.687, 94.987)    (94.987, 95.257)    (95.257, 95.447)    (95.787, 95.987)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthat               Ġto                 Ġget                Ġthe                Ġlocal              Ġnews               Ġbut                Ġuh                 Ġother              Ġthan               Ġthat               Ġmagazines          Ġi                  Ġdon                't                 
Timings          : (95.987, 96.237)    (96.237, 96.317)    (96.317, 96.509)    (96.509, 96.603)    (96.603, 96.977)    (96.977, 97.317)    (100.164, 100.574)  (100.574, 100.901)  (101.312, 101.584)  (101.584, 101.784)  (101.784, 102.252)  (103.598, 104.288)  (104.288, 104.398)  (104.398, 104.483)  (104.483, 104.568) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (95.987, 96.237)    (96.237, 96.317)    (96.317, 96.509)    (96.509, 96.603)    (96.603, 96.977)    (96.977, 97.317)    (100.164, 100.574)  (100.574, 100.901)  (101.312, 101.584)  (101.584, 101.784)  (101.784, 102.252)  (103.598, 104.288)  (104.288, 104.398)  (104.398, 104.483)  (104.483, 104.568) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġknow               Ġthere              's                  Ġso                 Ġmuch               Ġadvertising        Ġin                 Ġthem               Ġanymore            <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (104.568, 104.708)  (104.708, 104.803)  (104.803, 104.898)  (104.898, 105.028)  (105.028, 105.248)  (105.248, 105.948)  (105.948, 106.108)  (106.108, 106.198)  (106.198, 106.718)  (-1.0, -1.0)        (107.517, 107.687)  (107.687, 107.917)  (108.777, 108.837)  (108.837, 109.147)  (109.147, 109.257) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      81742891319304      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġsome               Ġof                 Ġthem               Ġi                  Ġused               Ġto                
Timings          : (104.568, 104.708)  (104.708, 104.803)  (104.803, 104.898)  (104.898, 105.028)  (105.028, 105.248)  (105.248, 105.948)  (105.948, 106.108)  (106.108, 106.198)  (106.198, 106.718)  (107.217, 107.517)  (107.517, 107.687)  (107.687, 107.917)  (108.777, 108.837)  (108.837, 109.147)  (109.147, 109.257) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   81743428190217      81743428190217      81743428190217      81743428190217      81743428190217      81743428190217     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġokay               <yield>             <emp>               <emp>              
Timings          : (109.257, 109.487)  (109.487, 109.757)  (109.757, 109.837)  (109.837, 110.746)  (111.19, 111.385)   (111.385, 111.607)  (111.607, 112.267)  (112.267, 112.467)  (112.467, 112.617)  (112.617, 112.883)  (113.65, 113.828)   (113.828, 114.495)  (-1.0, -1.0)        (114.005, 114.065)  (114.065, 114.435) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81742891319306      81742891319306      81742891319306      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                  

B                : Ġget                Ġfor                Ġthe                Ġadvertising        Ġlike               Ġbyte               Ġmagazine           Ġwhich              Ġis                 Ġuh                 <eot>               Ġone                Ġof                 Ġthe                Ġlarger            
